,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2007-11-01,8.0,24.3,0.0,7,30.0,12,7,6.0,20.0,68.0,29.0,1019.7,1015.0,14.4,23.6,0,1
1,2007-11-02,14.0,26.9,3.6,1,39.0,0,13,4.0,17.0,80.0,36.0,1012.4,1008.4,17.5,25.7,1,1
2,2007-11-03,13.7,23.4,3.6,7,85.0,3,5,6.0,6.0,82.0,69.0,1009.5,1007.2,15.4,20.2,1,1
3,2007-11-04,13.3,15.5,39.8,7,54.0,14,13,30.0,24.0,62.0,56.0,1005.5,1007.0,13.5,14.1,1,1
4,2007-11-05,7.6,16.1,2.8,10,50.0,10,2,20.0,28.0,68.0,49.0,1018.3,1018.5,11.1,15.4,1,0
5,2007-11-06,6.2,16.9,0.0,9,44.0,9,0,20.0,24.0,70.0,57.0,1023.8,1021.7,10.9,14.8,0,0
6,2007-11-07,6.1,18.2,0.2,9,43.0,9,2,19.0,26.0,63.0,47.0,1024.6,1022.2,12.4,17.3,0,0
7,2007-11-08,8.3,17.0,0.0,0,41.0,9,0,11.0,24.0,65.0,57.0,1026.2,1024.2,12.1,15.5,0,0
8,2007-11-09,8.8,19.5,0.0,8,48.0,0,1,19.0,17.0,70.0,48.0,1026.1,1022.7,14.1,18.9,0,1
9,2007-11-10,8.4,22.8,16.2,0,31.0,8,2,7.0,6.0,82.0,32.0,1024.1,1020.7,13.3,21.7,1,0
10,2007-11-11,9.1,25.2,0.0,3,30.0,9,7,6.0,9.0,74.0,34.0,1024.4,1021.1,14.6,24.0,0,0
11,2007-11-12,8.5,27.3,0.2,0,41.0,0,7,2.0,15.0,54.0,35.0,1023.8,1019.9,16.8,26.0,0,0
12,2007-11-13,10.1,27.9,0.0,14,30.0,8,7,6.0,7.0,62.0,29.0,1022.0,1017.1,17.0,27.1,0,0
13,2007-11-14,12.1,30.9,0.0,7,44.0,14,13,7.0,20.0,67.0,20.0,1017.3,1013.1,19.7,30.7,0,0
14,2007-11-15,10.1,31.2,0.0,7,41.0,8,13,6.0,20.0,45.0,16.0,1018.2,1013.7,18.7,30.4,0,0
15,2007-11-16,12.4,32.1,0.0,0,46.0,9,15,7.0,9.0,70.0,22.0,1017.9,1012.8,19.1,30.7,0,0
16,2007-11-17,13.8,31.2,0.0,2,44.0,15,13,6.0,19.0,72.0,23.0,1014.4,1009.8,20.2,29.8,0,1
17,2007-11-18,11.7,30.0,1.2,8,52.0,12,4,6.0,11.0,59.0,26.0,1016.4,1013.0,20.1,28.6,1,0
18,2007-11-19,12.4,32.3,0.6,0,39.0,5,13,4.0,17.0,60.0,25.0,1017.1,1013.3,20.2,31.2,0,0
19,2007-11-20,15.6,33.4,0.0,4,33.0,6,6,2.0,13.0,61.0,27.0,1018.5,1013.7,22.8,32.0,0,0
20,2007-11-21,15.3,33.4,0.0,14,59.0,3,7,2.0,31.0,60.0,26.0,1012.4,1006.5,22.2,32.8,0,0
21,2007-11-22,16.4,19.4,0.4,0,26.0,1,0,6.0,11.0,88.0,72.0,1010.7,1008.9,16.5,18.3,0,1
22,2007-11-23,12.8,18.5,25.8,2,28.0,8,9,13.0,13.0,91.0,79.0,1014.0,1014.9,14.0,16.8,1,0
23,2007-11-24,12.0,24.3,0.4,5,26.0,15,4,6.0,9.0,74.0,57.0,1020.7,1019.2,17.8,22.8,0,0
24,2007-11-25,15.4,28.4,0.0,1,33.0,10,4,9.0,15.0,85.0,31.0,1022.4,1018.6,16.8,27.3,0,0
25,2007-11-26,15.6,26.9,0.0,0,41.0,0,0,6.0,22.0,65.0,48.0,1019.7,1016.5,19.8,25.1,0,0
26,2007-11-27,13.3,22.2,0.2,1,39.0,0,0,20.0,17.0,70.0,55.0,1021.0,1018.6,16.5,21.2,0,0
27,2007-11-28,12.9,28.0,0.0,8,52.0,8,5,6.0,11.0,61.0,31.0,1019.2,1014.8,18.8,26.7,0,0
28,2007-11-29,15.1,24.3,0.0,9,39.0,9,9,7.0,17.0,69.0,80.0,1019.0,1017.1,18.9,19.7,0,0
29,2007-11-30,13.6,24.1,0.4,6,30.0,11,8,6.0,6.0,83.0,49.0,1017.2,1013.3,17.3,23.2,0,1
30,2007-12-01,15.1,20.4,22.6,10,41.0,0,8,6.0,20.0,82.0,90.0,1015.0,1014.1,17.0,16.3,1,1
31,2007-12-02,11.6,26.3,4.2,5,41.0,0,12,6.0,9.0,66.0,46.0,1013.9,1009.5,16.7,25.2,1,0
32,2007-12-03,16.6,24.2,0.2,7,50.0,14,7,13.0,35.0,72.0,60.0,1007.9,1004.6,20.5,19.9,0,1
33,2007-12-04,13.3,26.5,6.6,7,50.0,7,14,20.0,26.0,74.0,40.0,1007.3,1006.3,18.8,25.1,1,0
34,2007-12-05,14.5,21.8,0.0,1,43.0,2,0,11.0,30.0,69.0,63.0,1015.0,1015.3,18.6,20.5,0,0
35,2007-12-06,16.3,26.8,0.0,1,39.0,2,2,13.0,9.0,78.0,54.0,1018.8,1016.1,18.6,24.5,0,0
36,2007-12-07,17.2,25.8,0.0,12,41.0,7,3,6.0,6.0,70.0,74.0,1014.5,1011.5,21.5,22.6,0,1
37,2007-12-08,16.5,28.2,4.0,4,39.0,0,3,7.0,13.0,76.0,42.0,1014.8,1011.4,18.0,26.3,1,0
38,2007-12-09,15.0,29.4,0.0,7,43.0,3,13,9.0,24.0,78.0,24.0,1010.8,1008.5,20.6,28.6,0,0
39,2007-12-10,14.9,24.8,0.0,6,35.0,5,14,11.0,6.0,58.0,37.0,1011.7,1010.4,19.3,22.9,0,0
40,2007-12-11,11.8,18.5,0.6,1,35.0,2,0,9.0,15.0,60.0,63.0,1018.0,1017.4,13.8,16.4,0,0
41,2007-12-12,11.7,21.5,0.0,1,41.0,2,0,15.0,24.0,66.0,51.0,1021.1,1019.6,15.7,19.4,0,0
42,2007-12-13,9.6,20.3,0.0,9,39.0,2,0,22.0,20.0,70.0,49.0,1021.9,1019.3,15.8,19.2,0,0
43,2007-12-14,8.9,27.1,0.0,0,35.0,6,3,6.0,11.0,63.0,37.0,1018.1,1012.5,15.8,25.0,0,0
44,2007-12-15,10.1,29.9,0.0,0,41.0,9,14,2.0,13.0,63.0,36.0,1012.6,1010.2,17.4,29.1,0,1
45,2007-12-16,15.5,21.1,5.4,8,31.0,10,4,6.0,7.0,93.0,86.0,1010.1,1008.6,16.6,20.0,1,1
46,2007-12-17,10.8,21.7,1.4,2,48.0,10,2,13.0,20.0,59.0,40.0,1017.6,1016.8,15.3,20.8,1,0
47,2007-12-18,7.5,20.9,0.0,1,39.0,9,0,13.0,20.0,61.0,43.0,1020.6,1018.3,15.3,19.8,0,0
48,2007-12-19,12.8,21.0,0.0,4,22.0,4,1,7.0,6.0,72.0,54.0,1018.0,1015.6,16.1,20.0,0,1
49,2007-12-20,12.6,23.1,3.4,6,30.0,3,7,4.0,13.0,97.0,74.0,1015.8,1014.1,15.3,20.4,1,1
50,2007-12-21,14.8,29.5,6.4,3,41.0,7,7,6.0,22.0,81.0,48.0,1012.9,1008.3,21.0,28.2,1,1
51,2007-12-22,19.9,22.0,11.0,6,76.0,3,14,41.0,30.0,92.0,62.0,996.5,996.8,20.6,19.6,1,1
52,2007-12-23,9.2,20.4,17.4,1,39.0,3,3,9.0,20.0,59.0,49.0,1009.5,1009.1,14.9,18.8,1,0
53,2007-12-24,12.4,24.4,0.0,7,44.0,6,14,7.0,13.0,69.0,43.0,1012.8,1009.7,15.0,22.5,0,1
54,2007-12-25,11.3,21.7,3.4,0,41.0,9,4,11.0,11.0,67.0,52.0,1020.4,1019.1,12.4,21.0,1,0
55,2007-12-26,9.8,26.3,0.0,6,41.0,13,6,6.0,19.0,63.0,35.0,1023.2,1018.0,15.3,23.9,0,0
56,2007-12-27,14.3,26.7,0.0,6,65.0,3,6,7.0,48.0,68.0,64.0,1017.3,1014.3,19.8,19.0,0,1
57,2007-12-28,15.1,28.3,14.4,6,28.0,6,7,6.0,13.0,73.0,44.0,1016.8,1013.4,18.3,27.4,1,0
58,2007-12-29,14.4,31.6,0.0,6,30.0,7,3,6.0,7.0,65.0,30.0,1017.1,1014.2,21.5,30.3,0,0
59,2007-12-30,15.4,35.0,0.0,0,39.0,11,2,6.0,22.0,55.0,18.0,1017.4,1015.0,23.4,34.3,0,0
60,2007-12-31,13.8,33.5,0.0,4,31.0,10,4,7.0,9.0,44.0,20.0,1019.2,1015.6,21.9,32.2,0,0
61,2008-01-01,13.6,34.2,0.0,5,35.0,2,13,2.0,11.0,50.0,20.0,1015.8,1011.6,21.9,31.8,0,0
62,2008-01-02,14.3,35.0,0.0,2,41.0,2,15,2.0,9.0,43.0,14.0,1012.6,1008.7,23.0,33.6,0,0
63,2008-01-03,15.9,23.4,0.0,2,50.0,2,2,20.0,24.0,69.0,55.0,1016.8,1016.3,19.2,22.3,0,0
64,2008-01-04,16.7,25.3,0.0,2,46.0,2,2,24.0,26.0,56.0,45.0,1016.2,1013.0,20.3,23.9,0,0
65,2008-01-05,12.1,27.5,0.0,4,35.0,10,0,7.0,15.0,69.0,40.0,1011.8,1007.4,18.6,26.8,0,0
66,2008-01-06,14.3,34.1,0.0,1,39.0,13,6,6.0,19.0,77.0,34.0,1006.6,1003.3,18.9,31.9,0,0
67,2008-01-07,16.5,33.9,0.0,1,39.0,0,7,11.0,11.0,60.0,36.0,1012.3,1009.5,20.8,31.3,0,0
68,2008-01-08,16.5,30.3,0.0,0,46.0,0,3,7.0,9.0,77.0,44.0,1015.7,1013.4,18.1,28.0,0,0
69,2008-01-09,17.5,29.9,0.0,0,43.0,0,1,13.0,11.0,74.0,45.0,1018.5,1015.9,19.3,27.9,0,0
70,2008-01-10,14.7,34.2,0.0,4,33.0,14,7,6.0,11.0,64.0,25.0,1017.8,1013.3,21.3,32.2,0,0
71,2008-01-11,17.5,35.8,0.0,10,57.0,6,7,6.0,19.0,56.0,24.0,1011.8,1006.5,24.7,34.5,0,0
72,2008-01-12,20.9,35.7,0.0,12,50.0,0,14,4.0,17.0,61.0,28.0,1007.6,1003.0,23.6,34.0,0,1
73,2008-01-13,17.0,33.8,2.0,14,52.0,6,13,6.0,24.0,65.0,35.0,1004.0,1001.8,23.0,31.8,1,0
74,2008-01-14,16.0,22.8,0.0,0,50.0,0,1,13.0,19.0,70.0,57.0,1012.3,1012.3,17.0,21.6,0,0
75,2008-01-15,15.4,33.8,0.0,13,35.0,0,7,7.0,15.0,70.0,26.0,1014.2,1009.0,18.0,31.7,0,0
76,2008-01-16,17.9,33.2,0.0,3,59.0,3,5,15.0,20.0,58.0,62.0,1008.5,1006.1,24.5,23.5,0,1
77,2008-01-17,15.2,25.1,4.8,0,46.0,2,2,20.0,28.0,62.0,42.0,1016.8,1015.0,17.1,23.9,1,0
78,2008-01-18,15.1,20.4,0.0,2,39.0,2,2,17.0,19.0,63.0,55.0,1017.5,1015.8,17.8,19.4,0,1
79,2008-01-19,15.3,19.6,18.8,4,33.0,10,5,9.0,13.0,92.0,88.0,1008.7,1006.0,18.0,18.6,1,1
80,2008-01-20,17.2,24.7,12.2,7,50.0,7,14,19.0,28.0,80.0,71.0,1004.9,1004.0,19.4,21.9,1,0
81,2008-01-21,15.9,19.9,0.8,0,48.0,10,2,17.0,22.0,73.0,58.0,1011.4,1012.1,17.4,18.6,0,0
82,2008-01-22,10.0,22.5,0.0,0,33.0,9,8,11.0,7.0,55.0,46.0,1018.7,1016.8,14.7,22.2,0,0
83,2008-01-23,9.9,24.4,0.0,4,28.0,9,0,7.0,7.0,60.0,38.0,1021.6,1019.2,16.2,22.7,0,0
84,2008-01-24,10.3,27.8,0.0,1,35.0,9,4,6.0,11.0,64.0,29.0,1021.3,1018.1,17.0,26.3,0,0
85,2008-01-25,15.4,25.7,0.0,0,41.0,0,4,9.0,17.0,67.0,32.0,1020.1,1016.9,17.6,24.6,0,0
86,2008-01-26,12.7,28.8,0.0,5,28.0,7,11,4.0,7.0,70.0,28.0,1016.5,1012.4,18.3,28.3,0,0
87,2008-01-27,13.2,31.3,0.0,15,46.0,3,14,4.0,26.0,71.0,28.0,1013.1,1009.5,19.7,30.7,0,0
88,2008-01-28,15.3,33.2,0.0,6,44.0,5,7,4.0,24.0,60.0,18.0,1013.9,1012.0,22.4,32.1,0,0
89,2008-01-29,17.9,33.9,0.0,1,46.0,8,13,6.0,11.0,72.0,22.0,1017.4,1014.6,19.8,32.3,0,0
90,2008-01-30,18.0,34.9,0.0,7,69.0,3,13,6.0,13.0,68.0,29.0,1018.0,1013.7,22.2,33.1,0,1
91,2008-01-31,17.6,27.8,5.2,2,39.0,3,6,13.0,13.0,66.0,49.0,1014.6,1012.8,21.4,26.3,1,1
92,2008-02-01,16.0,23.8,2.2,10,30.0,9,2,11.0,11.0,73.0,49.0,1018.9,1017.1,16.5,22.9,1,0
93,2008-02-02,14.9,28.8,0.0,5,30.0,10,5,7.0,11.0,71.0,44.0,1018.2,1014.5,19.1,27.0,0,0
94,2008-02-03,17.1,29.6,0.0,0,48.0,9,2,9.0,17.0,67.0,38.0,1016.7,1012.8,21.7,29.1,0,1
