,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,17.9,35.2,0.0,11,48.0,1,12,6.0,20.0,20.0,13.0,1006.3,1004.4,26.6,33.4,0,0
1,2009-01-02,18.4,28.9,0.0,8,37.0,10,10,19.0,19.0,30.0,8.0,1012.9,1012.1,20.3,27.0,0,0
2,2009-01-03,15.5,34.1,0.0,9,30.0,10,3,24.5,7.0,36.0,7.0,1012.6,1011.6,24.5,32.7,0,0
3,2009-01-04,19.4,37.6,0.0,5,46.0,5,6,30.0,15.0,42.0,22.0,1012.3,1009.2,28.7,34.9,0,0
4,2009-01-05,21.9,38.4,0.0,14,31.0,14,15,6.0,6.0,37.0,22.0,1012.7,1009.1,29.1,35.6,0,0
5,2009-01-06,24.2,41.0,0.0,14,35.0,7,14,17.0,13.0,19.0,15.0,1010.7,1007.4,33.6,37.6,0,0
6,2009-01-07,27.1,36.1,0.0,3,43.0,3,14,7.0,20.0,26.0,19.0,1007.7,1007.4,30.7,34.3,0,0
7,2009-01-08,23.3,34.0,0.0,11,41.0,8,10,17.0,19.0,33.0,15.0,1011.3,1009.9,25.0,31.5,0,0
8,2009-01-09,16.1,34.2,0.0,9,37.0,9,8,15.0,6.0,25.0,9.0,1013.3,1009.2,20.7,32.8,0,0
9,2009-01-10,19.0,35.5,0.0,1,48.0,1,15,30.0,9.0,46.0,28.0,1008.3,1004.0,23.4,33.3,0,0
10,2009-01-11,19.7,35.5,0.0,4,41.0,5,15,15.0,17.0,61.0,14.0,1007.9,1005.8,24.0,33.6,0,0
11,2009-01-12,20.9,37.8,0.0,0,30.0,9,1,11.0,7.0,27.0,9.0,1012.6,1010.1,29.8,36.4,0,0
12,2009-01-13,23.9,39.1,0.0,1,39.0,4,3,24.0,9.0,40.0,15.0,1013.6,1010.4,29.1,37.0,0,0
13,2009-01-14,24.9,41.2,0.0,11,43.0,3,6,17.0,11.0,25.0,15.0,1012.9,1010.1,31.5,38.1,0,0
14,2009-01-15,25.2,40.5,0.0,12,44.0,13,12,13.0,22.0,24.0,15.0,1012.4,1009.0,31.4,37.8,0,0
15,2009-01-16,21.6,34.2,0.0,12,44.0,8,8,17.0,19.0,19.0,8.0,1014.1,1012.3,25.0,32.2,0,0
16,2009-01-17,18.4,31.8,0.0,8,33.0,8,12,17.0,15.0,25.0,5.0,1016.3,1013.8,19.9,30.3,0,0
17,2009-01-18,17.9,34.2,0.0,9,61.0,4,9,22.0,17.0,46.0,19.0,1016.4,1013.5,21.6,32.2,0,0
18,2009-01-19,21.4,37.5,0.0,5,43.0,1,5,26.0,9.0,34.0,29.0,1013.1,1009.6,26.2,34.1,0,1
19,2009-01-20,23.3,39.4,4.8,13,59.0,3,7,19.0,17.0,54.0,14.0,1011.1,1008.5,27.0,37.0,1,0
20,2009-01-21,25.4,33.5,0.0,3,46.0,7,3,9.0,28.0,46.0,52.0,1012.0,1009.8,28.9,29.7,0,0
21,2009-01-22,21.8,30.7,0.0,14,56.0,3,3,24.0,19.0,71.0,63.0,1008.6,1006.2,24.4,27.3,0,1
22,2009-01-23,20.3,36.0,18.0,15,94.0,5,7,13.0,7.0,89.0,50.0,1008.6,1006.7,24.7,33.4,1,1
23,2009-01-24,22.1,34.7,8.6,6,50.0,11,12,11.0,15.0,46.0,23.0,1008.6,1008.3,28.1,33.2,1,0
24,2009-01-25,19.7,37.3,0.0,11,28.0,9,1,13.0,6.0,19.0,10.0,1013.1,1011.8,26.4,35.0,0,0
25,2009-01-26,23.8,39.9,0.0,8,31.0,1,0,17.0,7.0,50.0,16.0,1014.6,1012.1,28.7,38.7,0,0
26,2009-01-27,27.0,38.7,0.0,1,46.0,1,2,24.0,7.0,45.0,22.0,1015.2,1012.6,29.0,36.4,0,0
27,2009-01-28,26.2,38.5,0.0,0,39.0,5,1,15.0,19.0,37.0,17.0,1014.4,1011.5,29.6,37.0,0,0
28,2009-01-29,25.0,39.5,0.0,1,52.0,5,5,19.0,20.0,31.0,14.0,1014.6,1011.2,29.9,38.4,0,0
29,2009-01-30,25.1,39.3,0.0,2,44.0,5,2,20.0,20.0,34.0,18.0,1013.8,1010.5,29.9,37.5,0,0
30,2009-01-31,25.2,38.5,0.0,1,44.0,5,4,24.0,20.0,35.0,18.0,1015.2,1011.9,29.0,36.9,0,0
31,2009-02-01,24.8,40.8,0.0,9,30.0,13,10,9.0,9.0,34.0,16.0,1012.9,1009.8,30.1,38.9,0,0
32,2009-02-02,27.6,40.3,0.0,8,57.0,5,5,17.0,9.0,32.0,20.0,1010.4,1007.1,32.0,38.5,0,0
33,2009-02-03,23.6,40.4,0.6,15,54.0,0,11,9.0,11.0,42.0,17.0,1008.4,1005.0,29.9,38.7,0,1
34,2009-02-04,24.1,41.4,1.6,1,39.0,4,15,17.0,7.0,50.0,21.0,1007.0,1003.5,28.2,38.8,1,0
35,2009-02-05,27.2,43.4,0.0,6,37.0,3,3,15.0,7.0,33.0,14.0,1005.9,1003.3,32.6,43.0,0,0
36,2009-02-06,29.1,43.5,0.0,14,28.0,6,6,9.0,13.0,25.0,16.0,1007.5,1005.2,35.6,41.4,0,0
37,2009-02-07,28.9,41.4,0.0,5,41.0,5,1,20.0,19.0,22.0,14.0,1010.4,1008.3,32.1,40.0,0,0
38,2009-02-08,25.1,42.0,0.0,5,39.0,3,5,15.0,13.0,23.0,9.0,1009.9,1007.3,31.6,40.4,0,0
39,2009-02-09,25.4,36.6,0.0,12,43.0,11,11,19.0,13.0,24.0,12.0,1008.6,1006.9,26.1,35.4,0,0
40,2009-02-10,19.3,28.1,0.0,11,46.0,8,11,19.0,24.0,26.0,14.0,1010.2,1008.8,19.6,24.9,0,0
41,2009-02-11,14.1,25.9,0.0,12,44.0,11,8,22.0,24.0,38.0,19.0,1011.9,1010.1,14.8,24.1,0,0
42,2009-02-12,14.5,30.1,0.0,8,37.0,8,9,9.0,13.0,44.0,25.0,1013.2,1010.0,17.4,28.4,0,0
43,2009-02-13,16.8,23.3,0.6,0,63.0,0,0,35.0,35.0,66.0,53.0,1013.8,1012.2,18.5,22.4,0,1
44,2009-02-14,16.1,19.1,26.0,2,54.0,2,2,28.0,19.0,81.0,93.0,1014.3,1013.2,17.1,17.0,1,1
45,2009-02-15,16.0,24.2,7.0,9,43.0,9,2,13.0,24.0,66.0,56.0,1012.1,1011.2,18.9,22.7,1,0
46,2009-02-16,17.4,19.7,0.0,2,48.0,9,9,19.0,20.0,65.0,97.0,1011.2,1010.7,19.2,17.1,0,1
47,2009-02-17,15.9,20.8,32.6,2,44.0,2,2,15.0,19.0,94.0,77.0,1011.9,1010.2,16.6,20.6,1,1
48,2009-02-18,16.5,27.4,1.6,0,30.0,0,2,19.0,15.0,69.0,53.0,1009.0,1006.2,20.1,27.0,1,0
49,2009-02-19,16.8,30.6,0.0,10,26.0,0,8,6.0,13.0,66.0,28.0,1008.7,1007.1,22.1,30.0,0,0
50,2009-02-20,20.4,34.0,0.0,12,31.0,15,10,9.0,4.0,45.0,19.0,1011.0,1009.6,25.9,33.1,0,0
51,2009-02-21,19.9,31.7,0.0,8,31.0,8,11,13.0,11.0,39.0,25.0,1012.5,1010.8,23.0,30.3,0,0
52,2009-02-22,17.2,34.3,0.0,14,39.0,0,6,15.0,9.0,52.0,19.0,1013.3,1011.2,22.3,32.3,0,0
53,2009-02-23,21.9,35.1,0.0,8,43.0,5,6,22.0,24.0,53.0,30.0,1012.8,1010.4,25.9,34.0,0,1
54,2009-02-24,21.0,34.7,2.0,0,46.0,5,7,15.0,22.0,60.0,34.0,1013.5,1011.7,25.6,32.9,1,0
55,2009-02-25,18.7,33.1,0.8,15,31.0,11,12,11.0,9.0,69.0,32.0,1014.9,1013.2,23.6,31.7,0,0
56,2009-02-26,17.9,33.8,0.0,2,24.0,2,15,13.0,7.0,25.0,19.0,1014.7,1013.0,24.0,32.4,0,0
57,2009-02-27,19.9,33.5,0.0,4,39.0,1,3,26.0,7.0,55.0,22.0,1014.5,1011.7,22.5,32.3,0,0
58,2009-02-28,22.2,36.9,0.0,15,41.0,3,14,17.0,19.0,41.0,18.0,1010.9,1008.1,25.8,35.8,0,0
59,2009-03-01,16.9,32.8,0.0,11,30.0,12,8,2.0,11.0,33.0,14.0,1011.4,1010.1,20.4,30.4,0,0
60,2009-03-02,20.0,31.1,0.0,9,30.0,0,7,7.0,6.0,31.0,31.0,1013.4,1012.7,23.1,29.3,0,0
61,2009-03-03,23.0,38.9,0.0,13,65.0,4,5,19.0,28.0,28.0,20.0,1012.8,1008.6,25.0,37.5,0,0
62,2009-03-04,18.6,24.5,0.0,11,54.0,11,12,22.0,24.0,46.0,21.0,1016.0,1015.6,18.6,22.9,0,0
63,2009-03-05,14.1,24.6,0.0,11,46.0,11,11,20.0,17.0,50.0,29.0,1016.9,1014.2,15.1,22.5,0,0
64,2009-03-06,11.9,26.4,0.0,15,41.0,11,15,11.0,9.0,52.0,28.0,1014.8,1012.0,16.7,24.9,0,0
65,2009-03-07,13.1,29.6,0.0,12,26.0,2,4,11.0,7.0,42.0,18.0,1014.6,1012.4,18.7,27.8,0,0
66,2009-03-08,16.5,33.2,0.0,0,46.0,9,2,15.0,11.0,29.0,13.0,1014.2,1012.0,22.6,31.8,0,0
67,2009-03-09,21.1,33.4,0.0,0,41.0,1,1,24.0,9.0,52.0,29.0,1015.8,1013.2,22.5,31.3,0,0
68,2009-03-10,21.6,31.1,0.0,12,61.0,1,0,30.0,11.0,49.0,34.0,1014.9,1013.7,24.2,28.5,0,0
69,2009-03-11,19.5,31.4,0.0,2,46.0,1,1,26.0,19.0,54.0,34.0,1016.9,1014.4,21.8,30.2,0,0
70,2009-03-12,21.6,32.2,0.0,5,48.0,1,3,28.0,20.0,54.0,35.0,1016.2,1013.2,23.9,31.2,0,1
71,2009-03-13,18.5,29.6,9.2,4,39.0,1,4,13.0,6.0,86.0,43.0,1016.1,1013.3,20.0,28.8,1,1
72,2009-03-14,19.1,34.2,1.2,7,37.0,1,7,15.0,11.0,66.5,30.0,1015.3,1009.0,18.55,33.0,1,0
73,2009-03-15,16.0,24.3,0.0,8,39.0,10,12,17.0,13.0,47.0,25.0,1014.5,1012.2,17.1,23.3,0,0
74,2009-03-16,9.2,24.4,0.0,11,41.0,12,12,9.0,15.0,43.0,34.0,1015.1,1012.6,16.0,23.2,0,0
75,2009-03-17,12.1,25.8,0.0,11,30.0,11,8,11.0,9.0,58.0,25.0,1015.6,1013.6,15.9,24.4,0,0
76,2009-03-18,13.9,29.5,0.0,2,28.0,2,0,11.0,9.0,41.0,23.0,1015.8,1012.9,20.2,27.7,0,0
77,2009-03-19,15.3,32.3,0.0,12,24.0,0,11,4.0,9.0,39.0,16.0,1014.7,1012.7,21.3,30.8,0,0
78,2009-03-20,17.6,33.9,0.0,0,39.0,2,15,7.0,6.0,29.0,9.0,1014.5,1011.9,23.8,32.7,0,0
79,2009-03-21,19.1,34.2,0.0,1,28.0,1,9,13.0,7.0,40.0,14.0,1014.7,1011.9,22.8,32.6,0,0
80,2009-03-22,20.9,34.3,0.0,6,28.0,4,14,13.0,13.0,46.0,19.0,1014.4,1011.9,21.9,32.8,0,0
81,2009-03-23,21.3,35.9,0.0,3,35.0,3,14,9.0,15.0,35.0,17.0,1014.5,1012.5,24.8,34.7,0,0
82,2009-03-24,19.2,37.0,0.0,6,43.0,3,7,15.0,20.0,30.0,12.0,1014.9,1013.7,25.1,35.6,0,0
83,2009-03-25,23.5,36.5,0.0,6,44.0,5,3,19.0,20.0,29.0,14.0,1017.3,1016.0,25.7,35.6,0,0
84,2009-03-26,21.9,36.4,0.0,6,37.0,5,7,13.0,9.0,31.0,13.0,1019.2,1016.8,25.2,36.3,0,0
85,2009-03-27,20.8,31.2,0.2,9,33.0,10,8,13.0,11.0,46.0,18.0,1021.3,1019.3,22.5,30.8,0,0
86,2009-03-28,15.9,31.0,0.0,1,37.0,1,10,20.0,6.0,52.0,23.0,1021.2,1018.9,20.6,29.8,0,0
87,2009-03-29,16.6,31.6,0.0,15,26.0,1,2,13.0,7.0,40.0,18.0,1020.3,1017.3,20.6,30.2,0,0
88,2009-03-30,17.3,31.0,0.0,9,33.0,0,10,17.0,9.0,43.0,24.0,1019.5,1016.3,20.4,29.4,0,0
89,2009-03-31,17.5,30.0,0.0,9,38.5,9,2,15.0,20.0,49.0,29.0,1018.4,1015.0,20.5,29.0,0,0
90,2009-04-01,18.0,30.6,0.0,9,44.0,9,9,15.0,19.0,55.0,36.0,1016.3,1014.1,20.4,28.8,0,0
91,2009-04-02,19.7,31.8,0.0,2,37.0,0,2,19.0,20.0,67.0,40.0,1017.9,1015.1,21.9,29.4,0,0
