,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
1,2009-01-02,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
2,2009-01-03,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
3,2009-01-04,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
4,2009-01-05,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
5,2009-01-06,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
6,2009-01-07,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
7,2009-01-08,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
8,2009-01-09,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
9,2009-01-10,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
10,2009-01-11,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
11,2009-01-12,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
12,2009-01-13,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
13,2009-01-14,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
14,2009-01-15,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
15,2009-01-16,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
16,2009-01-17,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
17,2009-01-18,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
18,2009-01-19,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
19,2009-01-20,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
20,2009-01-21,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
21,2009-01-22,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
22,2009-01-23,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
23,2009-01-24,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
24,2009-01-25,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
25,2009-01-26,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
26,2009-01-27,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
27,2009-01-28,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
28,2009-01-29,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
29,2009-01-30,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
30,2009-01-31,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
31,2009-02-01,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
32,2009-02-02,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
33,2009-02-03,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
34,2009-02-04,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
35,2009-02-05,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
36,2009-02-06,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
37,2009-02-07,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
38,2009-02-08,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
39,2009-02-09,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
40,2009-02-10,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
41,2009-02-11,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
42,2009-02-12,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
43,2009-02-13,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
44,2009-02-14,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
45,2009-02-15,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
46,2009-02-16,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
47,2009-02-17,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
48,2009-02-18,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
49,2009-02-19,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
50,2009-02-20,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
51,2009-02-21,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
52,2009-02-22,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
53,2009-02-23,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
54,2009-02-24,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
55,2009-02-25,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
56,2009-02-26,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
57,2009-02-27,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
58,2009-02-28,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
59,2009-03-01,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
60,2009-03-02,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
61,2009-03-03,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
62,2009-03-04,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
63,2009-03-05,8.2,21.7,0.8,12,48.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
64,2009-03-06,8.2,17.6,0.8,13,26.0,14,13,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0,0
65,2009-03-07,10.1,19.9,0.8,11,41.0,14,11,9.0,24.0,98.0,52.0,1017.8,1018.1,12.8,18.0,0,0
66,2009-03-08,8.8,20.5,0.2,9,41.0,9,2,13.0,26.0,68.0,54.0,1021.9,1020.9,14.1,19.8,0,0
