,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,17.0,30.4,0.0,6,31.0,6,4,17.0,22.0,52.0,61.0,1013.5,1010.7,26.2,28.5,0,0
1,2008-12-02,19.0,29.7,0.0,5,37.0,6,5,19.0,31.0,55.0,70.0,1013.1,1010.2,27.8,26.2,0,0
2,2008-12-03,21.3,28.6,0.0,5,52.0,3,3,24.0,31.0,61.0,74.0,1013.4,1009.8,27.8,24.6,0,0
3,2008-12-04,20.9,28.7,0.8,9,52.0,1,9,15.0,39.0,65.0,75.0,1014.7,1014.5,27.5,23.6,0,0
4,2008-12-05,19.7,29.5,0.2,7,43.0,0,9,11.0,11.0,67.0,83.0,1017.5,1015.2,26.0,23.8,0,1
5,2008-12-06,22.8,34.5,3.6,7,48.0,7,7,22.0,17.0,52.0,50.0,1011.2,1006.7,29.4,31.9,1,1
6,2008-12-07,22.1,29.1,15.4,10,54.0,6,10,17.0,39.0,82.0,75.0,1007.2,1006.2,26.0,23.6,1,0
7,2008-12-08,20.2,27.7,0.2,9,41.0,8,9,26.0,26.0,64.0,62.0,1013.4,1011.0,25.1,25.5,0,1
8,2008-12-09,19.9,29.0,1.2,9,41.0,10,1,19.0,26.0,71.0,61.0,1013.5,1011.4,25.6,28.4,1,0
9,2008-12-10,21.65,30.3,0.6,5,41.0,3,5,19.0,31.0,58.0,70.0,1011.3,1007.5,27.3,26.5,0,0
10,2008-12-11,23.4,31.0,0.0,10,50.0,9,5,20.0,30.0,70.0,80.0,1011.1,1006.7,26.7,25.5,0,1
11,2008-12-12,21.5,27.5,13.2,8,39.0,8,8,28.0,22.0,99.0,100.0,1014.4,1010.9,21.6,22.3,1,1
12,2008-12-13,21.5,32.0,6.2,3,41.0,6,3,22.0,30.0,63.0,77.0,1006.4,1000.7,27.5,26.5,1,0
13,2008-12-14,23.1,32.9,0.0,14,61.0,7,13,35.0,33.0,40.0,27.0,1001.2,999.4,29.9,31.3,0,0
14,2008-12-15,17.7,30.3,0.0,10,39.0,13,10,22.0,31.0,29.0,48.0,1006.2,1007.0,26.8,25.8,0,0
15,2008-12-16,17.4,29.6,0.0,5,33.0,0,4,11.0,26.0,56.0,53.0,1014.8,1012.3,25.5,28.5,0,0
16,2008-12-17,18.5,31.0,0.0,5,37.0,7,5,24.0,31.0,52.0,58.0,1014.3,1010.9,27.1,28.9,0,0
17,2008-12-18,21.2,30.1,0.0,11,56.0,7,3,20.0,33.0,49.0,69.0,1010.6,1005.0,27.8,25.7,0,1
