,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-07-01,4.6,12.2,3.0,15,81.0,5,7,17.0,24.0,72.0,42.0,988.3,992.3,6.5,12.1,1,1
1,2008-07-02,5.1,10.8,16.2,13,83.0,7,12,24.0,26.0,78.0,60.0,991.7,1002.5,6.0,8.5,1,1
2,2008-07-03,5.5,12.4,3.0,12,100.0,14,12,37.0,39.0,55.0,53.0,1008.7,1015.1,10.1,9.3,1,0
3,2008-07-04,0.9,10.4,1.0,6,28.0,7,3,17.0,9.0,76.0,54.0,1028.9,1028.1,3.2,9.6,0,0
4,2008-07-05,0.5,10.0,0.0,6,28.0,6,7,13.0,15.0,79.0,53.0,1028.2,1025.4,2.9,9.7,0,0
5,2008-07-06,1.3,10.0,0.0,6,41.0,6,3,19.0,7.0,77.0,70.0,1021.6,1017.8,4.2,9.1,0,0
6,2008-07-07,4.1,15.8,0.0,6,39.0,6,14,13.0,4.0,82.0,61.0,1017.2,1015.2,7.7,13.8,0,1
7,2008-07-08,7.3,14.2,8.4,6,24.0,3,6,7.0,13.0,96.0,72.0,1017.6,1017.2,8.3,14.0,1,0
8,2008-07-09,5.4,11.4,0.4,7,35.0,7,3,11.0,13.0,88.0,74.0,1017.8,1012.4,7.5,10.7,0,0
9,2008-07-10,5.2,12.9,0.6,6,44.0,6,7,19.0,20.0,68.0,49.0,998.7,996.5,9.0,10.3,0,1
10,2008-07-11,3.7,10.0,2.6,12,52.0,7,12,20.0,28.0,66.0,52.0,1002.3,1007.4,7.1,9.5,1,0
11,2008-07-12,6.4,10.9,0.2,7,43.0,12,3,6.0,9.0,73.0,63.0,1016.5,1014.8,8.3,10.8,0,0
12,2008-07-13,6.5,13.0,0.0,3,30.0,7,6,17.0,11.0,77.0,56.0,1016.2,1016.0,7.6,12.2,0,0
13,2008-07-14,5.1,13.1,0.0,6,28.0,7,0,13.0,9.0,88.0,64.0,1020.4,1019.6,5.8,11.6,0,0
14,2008-07-15,5.7,12.4,0.8,10,26.0,6,10,11.0,11.0,88.0,69.0,1023.3,1022.4,7.1,11.6,0,0
15,2008-07-16,6.1,10.1,0.8,6,17.0,6,10,11.0,0.0,88.0,87.0,1023.8,1021.5,7.3,10.1,0,0
