,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-07-01,9.5,15.4,2.0,13,63.0,13,13,37.0,35.0,60.0,38.0,1006.8,1010.3,11.0,14.6,1,0
1,2008-07-02,11.0,14.5,0.6,13,63.0,13,15,30.0,35.0,66.0,52.0,1013.4,1016.2,11.8,13.7,0,1
2,2008-07-03,8.4,14.1,1.4,13,39.0,13,13,17.0,24.0,72.0,58.0,1024.8,1024.3,10.6,13.9,1,0
3,2008-07-04,9.1,14.5,0.6,0,19.0,6,3,9.0,7.0,87.0,49.0,1030.2,1029.0,10.2,13.1,0,0
4,2008-07-05,4.3,15.5,0.0,3,52.0,3,5,24.0,30.0,81.0,52.0,1028.9,1024.9,5.5,14.6,0,0
5,2008-07-06,5.5,15.4,0.0,3,74.0,3,6,31.0,44.0,68.0,48.0,1023.1,1020.1,11.6,14.6,0,0
6,2008-07-07,11.5,14.3,0.0,5,57.0,3,3,28.0,22.0,73.0,63.0,1016.3,1012.9,12.2,13.3,0,1
7,2008-07-08,6.9,10.4,5.0,3,37.0,3,3,13.0,11.0,80.0,71.0,1017.1,1017.0,7.3,10.3,1,1
8,2008-07-09,3.6,14.8,1.2,3,35.0,3,15,11.0,17.0,95.0,61.0,1023.1,1019.6,4.2,13.1,1,1
9,2008-07-10,4.2,13.5,3.0,14,69.0,3,14,15.0,46.0,87.0,33.0,1009.4,1006.7,9.0,12.2,1,0
10,2008-07-11,7.4,13.5,0.2,15,52.0,13,15,26.0,26.0,71.0,56.0,1016.3,1018.5,9.2,13.0,0,0
11,2008-07-12,6.6,11.3,0.0,3,91.0,3,3,22.0,46.0,68.0,53.0,1023.2,1018.5,8.4,10.3,0,0
12,2008-07-13,8.4,14.3,0.0,3,87.0,3,3,33.0,44.0,49.0,55.0,1017.1,1014.4,11.3,13.8,0,0
13,2008-07-14,7.4,18.9,0.0,3,54.0,11,3,7.0,26.0,78.0,24.0,1017.4,1016.2,8.5,17.9,0,0
14,2008-07-15,8.4,17.6,0.0,5,39.0,3,3,17.0,24.0,70.0,51.0,1019.9,1018.2,10.8,16.1,0,0
15,2008-07-16,6.2,16.4,0.0,3,43.0,3,3,19.0,30.0,86.0,55.0,1022.2,1018.7,7.5,14.1,0,0
16,2008-07-17,7.5,13.6,0.0,3,59.0,3,3,35.0,30.0,70.0,47.0,1013.5,1009.2,11.4,13.4,0,0
17,2008-07-18,9.1,12.4,0.8,12,56.0,14,15,20.0,19.0,87.0,70.0,1008.2,1009.0,9.3,11.7,0,1
18,2008-07-19,6.4,14.1,1.6,3,72.0,3,3,33.0,43.0,74.0,55.0,1012.5,1009.2,8.3,13.0,1,0
19,2008-07-20,8.3,14.0,0.8,5,63.0,5,3,43.0,39.0,63.0,60.0,1004.4,1001.5,12.4,13.4,0,1
