,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,11.2,19.9,0.0,12,69.0,13,12,33.0,43.0,55.0,37.0,1005.1,1006.4,15.9,18.1,0,1
1,2009-01-02,7.8,17.8,1.2,10,56.0,12,10,31.0,26.0,50.0,43.0,1018.0,1019.3,12.5,15.8,1,0
2,2009-01-03,6.3,21.1,0.0,10,31.0,0,8,13.0,19.0,51.0,35.0,1020.8,1017.6,13.4,19.6,0,0
3,2009-01-04,8.1,29.2,0.0,10,35.0,4,10,2.0,20.0,67.0,23.0,1016.2,1012.8,16.0,28.2,0,0
4,2009-01-05,9.7,29.0,0.0,9,33.0,12,10,9.0,20.0,51.0,31.0,1011.9,1010.3,19.4,27.1,0,0
5,2009-01-06,13.5,31.7,0.0,10,50.0,5,8,11.0,28.0,50.0,34.0,1010.7,1007.7,21.3,29.8,0,0
6,2009-01-07,15.8,21.4,0.2,8,46.0,11,10,17.0,28.0,98.0,67.0,1010.0,1009.9,16.0,19.9,0,0
7,2009-01-08,9.7,18.4,0.2,9,56.0,11,10,28.0,35.0,51.0,42.0,1017.4,1018.9,14.5,17.7,0,0
8,2009-01-09,10.2,19.7,0.0,8,43.0,10,8,19.0,28.0,51.0,42.0,1021.4,1018.0,14.2,19.3,0,0
9,2009-01-10,10.7,23.6,0.0,8,43.0,15,8,7.0,24.0,76.0,46.0,1013.8,1010.3,14.5,21.8,0,0
10,2009-01-11,10.7,23.5,0.0,8,41.0,12,10,9.0,17.0,77.0,52.0,1012.0,1009.7,14.8,23.0,0,0
11,2009-01-12,10.4,25.1,0.0,10,26.0,11,9,11.0,17.0,73.0,47.0,1018.6,1017.4,15.3,22.4,0,0
12,2009-01-13,11.5,37.1,0.0,3,52.0,3,6,35.0,22.0,39.0,12.0,1013.8,1010.0,25.0,35.1,0,0
13,2009-01-14,24.9,33.5,0.0,3,57.0,3,8,35.0,24.0,12.0,45.0,1007.5,1009.4,31.2,24.8,0,0
14,2009-01-15,13.8,23.1,0.0,12,44.0,12,9,28.0,22.0,56.0,44.0,1015.8,1014.5,16.5,21.4,0,0
15,2009-01-16,12.7,21.6,0.0,15,61.0,12,8,28.0,28.0,59.0,33.0,1017.4,1018.4,15.5,19.8,0,0
16,2009-01-17,12.5,19.8,0.0,8,41.0,10,8,28.0,26.0,50.0,44.0,1022.7,1022.7,14.5,18.8,0,0
17,2009-01-18,7.5,26.3,0.0,10,31.0,9,10,7.0,20.0,67.0,32.0,1021.9,1019.0,14.7,24.5,0,0
18,2009-01-19,11.9,37.0,0.0,3,54.0,3,14,28.0,22.0,22.0,7.0,1013.6,1009.0,26.3,35.3,0,0
19,2009-01-20,18.4,40.2,0.0,12,100.0,3,10,37.0,37.0,18.0,26.0,1005.6,1006.0,29.5,29.3,0,0
20,2009-01-21,12.8,28.8,0.0,8,37.0,4,10,9.0,24.0,73.0,40.0,1010.4,1006.6,17.6,27.3,0,0
21,2009-01-22,15.1,35.6,0.0,13,94.0,6,7,41.0,46.0,57.0,9.0,998.1,994.2,27.1,34.7,0,0
22,2009-01-23,9.8,32.3,0.0,14,59.0,3,7,9.0,24.0,46.0,11.0,1008.1,1002.9,16.7,28.9,0,0
23,2009-01-24,15.3,24.2,0.0,15,54.0,15,15,30.0,30.0,55.0,24.0,1008.1,1011.6,17.1,22.7,0,0
24,2009-01-25,9.2,29.0,0.0,8,39.0,5,9,7.0,24.0,54.0,18.0,1018.3,1016.4,16.9,28.0,0,0
25,2009-01-26,11.4,24.8,0.0,10,46.0,10,10,13.0,26.0,72.0,46.0,1022.3,1020.8,16.7,23.8,0,0
26,2009-01-27,14.9,36.0,0.0,3,37.0,5,10,7.0,26.0,71.0,22.0,1017.8,1014.0,19.1,34.2,0,0
