,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,13.8,27.4,0.0,11,56.0,12,15,17.0,31.0,51.0,24.0,1009.8,1008.5,19.2,26.0,0,0
1,2009-01-02,8.9,24.8,0.0,8,39.0,10,10,24.0,15.0,39.0,21.0,1019.8,1017.7,14.1,23.3,0,0
2,2009-01-03,10.6,28.6,0.0,2,30.0,0,12,20.0,9.0,39.0,18.0,1019.2,1016.0,17.0,27.1,0,0
3,2009-01-04,13.2,34.5,0.0,6,26.0,0,7,9.0,17.0,24.0,9.0,1014.2,1012.1,24.1,32.8,0,0
4,2009-01-05,16.5,37.3,0.0,15,37.0,10,14,11.0,13.0,37.0,7.0,1013.7,1010.8,23.7,35.6,0,0
5,2009-01-06,15.7,39.2,0.0,13,37.0,10,13,9.0,15.0,34.0,6.0,1011.8,1007.7,23.3,37.8,0,0
6,2009-01-07,17.0,32.3,0.0,15,48.0,11,12,11.0,26.0,67.0,22.0,1010.0,1008.7,19.9,31.5,0,0
7,2009-01-08,12.9,27.3,0.0,10,46.0,10,11,24.0,17.0,50.0,20.0,1018.3,1017.0,16.1,24.7,0,0
8,2009-01-09,12.3,27.8,0.0,9,35.0,9,2,20.0,17.0,43.0,14.0,1019.1,1014.8,15.7,26.4,0,0
9,2009-01-10,12.7,32.2,0.0,12,52.0,10,9,13.0,11.0,35.0,11.0,1010.9,1008.0,19.1,30.4,0,0
10,2009-01-11,15.4,33.4,0.0,15,56.0,12,12,11.0,17.0,53.0,14.0,1010.0,1008.9,18.5,32.0,0,0
11,2009-01-12,15.3,34.4,0.0,10,50.0,10,8,17.0,20.0,40.0,9.0,1016.6,1013.9,19.7,33.0,0,0
12,2009-01-13,17.7,40.4,0.0,3,35.0,4,3,13.0,6.0,22.0,9.0,1012.7,1009.4,28.0,38.7,0,0
13,2009-01-14,22.3,42.4,0.0,13,41.0,3,14,11.0,20.0,13.0,7.0,1009.1,1007.6,31.4,41.4,0,0
14,2009-01-15,16.4,29.7,0.0,8,52.0,8,11,24.0,20.0,51.0,23.0,1016.8,1015.8,18.4,25.9,0,0
15,2009-01-16,12.8,29.8,0.0,11,48.0,8,11,24.0,20.0,53.0,21.0,1021.3,1018.3,16.8,27.6,0,0
16,2009-01-17,12.0,28.6,0.0,10,43.0,9,10,17.0,20.0,45.0,15.0,1022.8,1019.5,15.5,25.7,0,0
17,2009-01-18,15.4,32.7,0.0,9,28.0,9,9,15.0,13.0,30.0,12.0,1019.0,1016.0,19.6,30.0,0,0
18,2009-01-19,17.2,39.0,0.0,14,26.0,5,3,9.0,9.0,24.0,8.0,1012.5,1008.8,27.2,36.8,0,0
19,2009-01-20,20.1,42.3,0.0,7,46.0,5,7,9.0,20.0,19.0,4.0,1007.1,1005.2,28.7,41.3,0,0
