,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,16.4,38.7,0.0,7,54.0,3,14,15.0,28.0,27.0,11.0,1005.5,1003.3,28.9,37.4,0,0
1,2009-01-02,22.3,30.3,0.0,5,30.0,5,3,19.0,15.0,68.0,40.0,1009.5,1009.0,25.2,29.4,0,0
2,2009-01-03,21.2,33.3,0.0,1,46.0,1,1,22.0,22.0,57.0,31.0,1014.9,1012.2,24.5,32.7,0,0
3,2009-01-04,16.4,33.5,0.0,1,39.0,4,1,20.0,20.0,51.0,28.0,1016.9,1012.2,22.9,31.9,0,0
4,2009-01-05,19.2,34.5,0.0,9,35.0,1,8,19.0,11.0,44.0,22.0,1015.1,1010.6,24.2,32.9,0,0
5,2009-01-06,21.3,36.8,0.0,10,33.0,5,4,24.0,9.0,54.0,26.0,1013.6,1009.1,25.4,34.6,0,0
6,2009-01-07,22.2,34.5,0.0,5,39.0,5,3,26.0,7.0,56.0,23.0,1012.7,1008.5,25.2,32.5,0,0
7,2009-01-08,23.7,36.4,0.0,1,46.0,5,1,24.0,9.0,46.0,31.0,1009.6,1007.0,26.3,34.3,0,0
8,2009-01-09,20.4,34.3,0.0,11,69.0,0,9,26.0,7.0,53.0,31.0,1011.2,1008.0,26.3,32.1,0,1
9,2009-01-10,16.0,32.1,9.2,12,76.0,0,3,25.0,9.0,51.0,29.0,1012.0,1007.3,21.1,30.4,1,1
10,2009-01-11,18.2,33.0,3.4,12,76.0,5,5,24.0,13.0,56.0,37.0,1011.2,1008.0,22.5,30.3,1,0
11,2009-01-12,21.5,34.6,0.0,1,41.0,5,4,26.0,11.0,55.0,26.0,1013.3,1010.1,25.5,33.7,0,0
12,2009-01-13,21.2,35.9,0.0,1,43.0,1,0,19.0,15.0,47.0,19.0,1016.3,1012.3,25.4,34.3,0,0
13,2009-01-14,19.5,35.0,0.0,4,39.0,4,4,24.0,11.0,47.0,24.0,1016.8,1012.7,24.3,33.0,0,0
14,2009-01-15,20.5,36.1,0.0,5,43.0,5,5,30.0,11.0,48.0,24.0,1015.5,1011.4,24.4,33.2,0,0
15,2009-01-16,21.1,40.1,0.0,15,48.0,3,7,22.0,17.0,32.0,15.0,1011.5,1007.6,28.1,38.2,0,0
16,2009-01-17,15.0,35.6,0.0,0,57.0,10,15,9.0,24.0,32.0,11.0,1011.7,1009.4,25.6,34.2,0,0
17,2009-01-18,18.5,33.3,0.0,1,48.0,4,0,24.0,11.0,51.0,36.0,1018.1,1014.4,22.4,30.7,0,0
18,2009-01-19,19.7,31.6,0.0,4,52.0,4,3,30.0,17.0,52.0,35.0,1017.8,1013.4,22.5,30.7,0,0
19,2009-01-20,22.1,33.6,0.0,5,44.0,5,3,30.0,11.0,48.0,29.0,1016.6,1012.7,24.6,32.2,0,0
20,2009-01-21,23.8,32.5,0.0,11,76.0,4,3,28.0,11.0,54.0,36.0,1014.8,1011.7,25.1,31.3,0,1
21,2009-01-22,20.5,24.5,47.6,5,48.0,4,5,26.0,31.0,97.0,95.0,1012.4,1009.3,21.1,22.5,1,1
22,2009-01-23,21.1,32.1,23.0,4,22.0,5,3,13.0,9.0,86.0,54.0,1011.4,1008.7,24.3,31.2,1,0
23,2009-01-24,23.2,35.5,0.0,5,28.0,3,14,15.0,11.0,79.0,47.0,1010.1,1007.4,27.0,34.2,0,0
24,2009-01-25,24.4,36.0,0.0,12,57.0,5,5,13.0,37.0,68.0,48.0,1011.1,1009.5,28.8,32.7,0,1
25,2009-01-26,22.7,34.4,5.4,9,43.0,4,2,22.0,9.0,69.0,46.0,1015.7,1012.8,27.0,33.3,1,0
26,2009-01-27,21.3,33.4,0.0,1,44.0,0,0,20.0,13.0,53.0,38.0,1017.3,1014.2,26.7,31.1,0,0
27,2009-01-28,20.3,33.7,0.0,4,41.0,1,2,13.0,15.0,58.0,36.0,1016.2,1013.0,25.9,31.5,0,0
28,2009-01-29,19.1,33.6,0.0,0,61.0,0,1,17.0,13.0,56.0,28.0,1016.9,1013.1,24.9,32.4,0,0
29,2009-01-30,20.2,33.6,0.0,4,48.0,1,5,24.0,20.0,54.0,33.0,1017.0,1012.7,24.5,31.5,0,0
30,2009-01-31,19.6,33.7,0.0,0,44.0,1,0,19.0,17.0,59.0,28.0,1017.4,1013.2,25.1,32.9,0,0
31,2009-02-01,19.5,35.1,0.0,1,48.0,4,2,17.0,17.0,56.0,32.0,1015.0,1010.9,25.4,33.2,0,0
32,2009-02-02,21.1,33.4,0.0,4,33.0,0,4,22.0,9.0,54.0,40.0,1012.9,1008.9,26.5,31.4,0,0
33,2009-02-03,20.4,34.7,0.0,1,52.0,5,2,17.0,15.0,57.0,32.0,1010.4,1006.7,24.8,33.0,0,0
34,2009-02-04,20.3,35.0,0.0,5,37.0,4,2,24.0,7.0,61.0,36.0,1008.9,1005.8,26.0,32.8,0,0
35,2009-02-05,22.1,36.8,0.0,5,35.0,5,10,17.0,17.0,60.0,29.0,1008.9,1005.5,25.4,34.3,0,0
36,2009-02-06,22.8,37.4,0.0,5,33.0,3,10,17.0,13.0,63.0,22.0,1010.4,1008.1,25.9,35.1,0,0
37,2009-02-07,19.7,36.1,0.0,1,44.0,4,1,20.0,15.0,55.0,22.0,1014.4,1010.4,24.8,34.3,0,0
38,2009-02-08,19.8,36.1,0.0,3,30.0,3,4,19.0,7.0,63.0,25.0,1012.4,1008.4,24.0,34.0,0,0
39,2009-02-09,20.0,40.5,0.0,13,31.0,1,13,11.0,9.0,33.0,13.0,1008.9,1005.4,28.0,38.2,0,0
40,2009-02-10,27.3,37.6,0.0,3,59.0,5,6,28.0,22.0,42.0,24.0,1007.1,1003.5,29.5,36.9,0,1
41,2009-02-11,20.8,31.9,7.0,15,48.0,15,15,11.0,24.0,47.0,23.0,1006.1,1005.1,23.2,30.8,1,0
42,2009-02-12,16.1,33.4,0.0,4,54.0,0,3,26.0,11.0,53.0,22.0,1010.5,1007.6,23.0,32.1,0,0
43,2009-02-13,19.4,25.5,0.0,0,69.0,0,0,30.0,39.0,59.0,57.0,1014.9,1013.0,22.3,22.1,0,1
