,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-04-23,2.5,9.3,0.0,7,46.0,0,3,20.0,9.0,100.0,89.0,3.3,8.6,0,0
1,2009-04-24,3.1,7.7,0.0,3,69.0,7,6,31.0,30.0,100.0,100.0,6.5,6.1,0,1
2,2009-04-25,3.0,4.9,24.4,7,100.0,13,14,33.0,33.0,100.0,100.0,3.7,3.6,1,1
3,2009-04-26,-3.0,-1.7,38.8,6,76.0,13,13,28.0,31.0,100.0,100.0,-2.3,-1.9,1,1
4,2009-04-27,-3.2,0.0,10.6,13,50.0,13,13,17.0,13.0,100.0,100.0,-2.8,-1.3,1,1
5,2009-04-28,-2.8,0.0,5.6,13,37.0,13,13,9.0,17.0,100.0,96.5,-0.1,0.04999999999999993,1,0
6,2009-04-29,-5.0,2.4,0.8,0,24.0,1,1,7.0,9.0,98.0,93.0,-0.3,1.4,0,0
7,2009-04-30,-2.7,6.8,0.0,5,22.0,2,6,6.0,4.0,89.0,90.0,1.6,4.4,0,0
8,2009-05-01,-0.3,7.9,0.0,13,33.0,13,15,13.0,13.0,78.0,56.0,2.3,7.3,0,0
9,2009-05-02,0.6,8.8,0.0,2,20.0,2,12,7.0,6.0,61.0,67.0,5.4,7.9,0,0
10,2009-05-03,1.4,9.9,0.0,14,22.0,15,13,9.0,13.0,81.0,62.0,5.3,9.2,0,0
11,2009-05-04,1.8,10.9,0.0,12,31.0,12,11,20.0,9.0,53.0,41.0,4.7,10.2,0,0
12,2009-05-05,1.4,10.4,0.0,10,26.0,14,7,9.0,13.0,66.0,67.0,6.4,9.5,0,0
13,2009-05-06,2.2,10.6,0.0,7,26.0,15,13,15.0,13.0,64.0,64.0,5.3,10.0,0,0
14,2009-05-07,1.7,11.3,0.0,12,41.0,11,12,20.0,17.0,36.0,46.0,5.9,10.0,0,0
15,2009-05-08,2.2,10.2,0.0,9,24.0,10,15,4.0,7.0,26.0,54.0,6.3,9.3,0,0
16,2009-05-09,3.5,12.4,0.0,10,31.0,8,2,13.0,9.0,48.0,57.0,8.5,9.1,0,0
