,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,17.9,28.1,0.0,11,63.0,7,4,9.0,24.0,69.0,69.0,1005.3,1001.7,23.7,25.9,0,0
1,2009-01-02,19.1,23.8,0.0,8,69.0,10,9,15.0,28.0,62.0,62.0,1012.5,1012.8,22.6,23.0,0,0
2,2009-01-03,17.1,23.0,0.0,5,52.0,0,4,19.0,19.0,61.0,62.0,1021.1,1019.1,20.0,22.1,0,0
3,2009-01-04,19.7,25.0,0.0,4,61.0,5,4,39.0,46.0,70.0,68.0,1018.4,1015.2,22.8,23.7,0,0
4,2009-01-05,18.5,25.9,0.0,5,48.0,5,4,20.0,35.0,73.0,73.0,1013.4,1009.0,22.8,23.7,0,0
5,2009-01-06,19.8,26.5,0.0,3,43.0,8,4,28.0,20.0,92.0,80.0,1011.8,1008.7,20.1,24.3,0,0
6,2009-01-07,20.0,27.7,0.0,8,44.0,8,5,24.0,15.0,85.0,82.0,1010.1,1006.3,21.9,23.7,0,0
7,2009-01-08,20.4,22.3,0.0,10,57.0,8,10,35.0,41.0,86.0,81.0,1011.3,1012.3,21.0,20.6,0,1
8,2009-01-09,17.5,22.8,2.8,10,59.0,10,9,43.0,30.0,64.0,59.0,1019.0,1018.3,19.3,20.9,1,0
9,2009-01-10,18.4,25.6,0.0,4,50.0,5,1,19.0,22.0,62.0,51.0,1016.8,1013.8,20.9,23.4,0,0
10,2009-01-11,19.6,27.3,0.0,4,43.0,5,1,19.0,30.0,69.0,66.0,1013.8,1011.6,23.0,24.0,0,0
11,2009-01-12,19.0,26.2,1.0,1,31.0,11,1,13.0,30.5,84.0,66.0,1015.2,1014.25,22.1,24.6,0,0
12,2009-01-13,20.1,27.8,0.2,4,54.0,4,4,17.0,31.0,75.0,66.0,1019.3,1016.9,24.4,25.2,0,0
13,2009-01-14,19.8,26.7,0.0,4,52.0,5,4,22.0,41.0,78.0,69.0,1015.1,1011.5,23.3,25.1,0,0
14,2009-01-15,20.2,27.7,0.0,8,69.0,5,4,30.0,30.5,79.0,69.0,1009.6,1010.5,23.7,24.20000000000001,0,1
15,2009-01-16,19.0,24.7,10.4,10,57.0,11,2,11.0,20.0,78.0,69.0,1012.9,1009.5,20.4,23.3,1,1
16,2009-01-17,18.0,21.1,1.2,10,61.0,10,10,48.0,43.0,65.0,63.0,1019.4,1019.8,18.9,20.4,1,0
17,2009-01-18,14.5,23.8,0.0,5,41.0,11,0,11.0,22.0,66.0,54.0,1021.7,1020.1,20.1,22.7,0,0
18,2009-01-19,17.2,26.2,0.0,5,54.0,5,4,30.0,35.0,65.0,67.0,1019.3,1015.5,22.9,24.7,0,0
19,2009-01-20,18.9,26.7,0.0,4,48.0,5,4,20.0,37.0,74.0,71.0,1014.2,1010.7,23.5,25.5,0,0
20,2009-01-21,21.1,27.6,0.0,8,72.0,3,4,15.0,37.0,77.0,71.0,1012.3,1008.3,24.5,25.6,0,1
21,2009-01-22,21.3,29.2,2.0,3,69.0,6,4,19.0,30.5,71.0,69.0,1009.7,1008.1,25.9,26.05,1,0
22,2009-01-23,21.7,33.2,0.0,5,41.0,7,4,19.0,24.0,61.0,67.0,1009.6,1007.9,29.2,26.5,0,0
23,2009-01-24,21.7,40.4,0.0,8,74.0,7,14,17.0,17.0,63.0,30.0,1005.4,1002.9,31.0,39.8,0,0
24,2009-01-25,20.4,23.8,0.0,8,65.0,10,10,31.0,24.0,69.0,68.0,1018.7,1018.1,21.4,23.2,0,0
25,2009-01-26,19.8,23.4,0.4,8,48.0,11,11,24.0,26.0,91.0,84.0,1018.6,1018.4,20.9,23.1,0,0
26,2009-01-27,19.950000000000006,26.1,0.0,9,31.0,11,10,13.0,13.0,94.0,77.0,1020.6,1019.6,21.7,25.9,0,0
27,2009-01-28,20.1,28.1,0.2,4,41.0,1,4,6.0,30.0,80.0,70.0,1018.7,1016.3,24.2,26.3,0,0
28,2009-01-29,20.9,29.6,0.2,4,50.0,3,4,9.0,39.0,81.0,75.0,1018.4,1016.3,24.0,26.4,0,0
29,2009-01-30,20.9,29.3,0.2,4,57.0,5,4,9.0,41.0,76.0,72.0,1018.5,1015.5,24.6,26.2,0,0
30,2009-01-31,20.3,29.0,0.0,5,56.0,5,4,11.0,33.0,82.0,71.0,1017.4,1014.3,23.5,25.9,0,0
31,2009-02-01,19.7,26.8,0.2,5,31.0,10,0,11.0,20.0,81.0,71.0,1015.7,1015.0,23.2,26.1,0,0
32,2009-02-02,21.1,29.0,0.0,5,44.0,5,4,9.0,28.0,78.0,73.0,1015.9,1012.4,24.5,25.8,0,0
33,2009-02-03,19.8,26.9,0.0,5,30.0,5,0,19.0,9.0,83.0,70.0,1010.3,1009.2,22.2,26.2,0,0
34,2009-02-04,21.2,26.1,0.0,4,33.0,7,10,17.0,13.0,96.0,82.0,1011.1,1009.4,21.8,25.3,0,1
35,2009-02-05,20.6,28.7,2.0,4,52.0,4,4,9.0,33.0,85.0,74.0,1009.2,1006.4,24.1,25.8,1,0
36,2009-02-06,20.5,28.7,0.0,5,43.0,5,3,6.0,11.0,82.0,73.0,1010.5,1009.0,22.4,25.5,0,0
37,2009-02-07,20.3,25.1,0.0,4,56.0,5,5,26.0,35.0,82.0,71.0,1013.5,1011.1,22.0,24.7,0,0
38,2009-02-08,18.2,24.8,0.0,5,50.0,5,5,22.0,24.0,84.0,73.0,1010.9,1007.8,20.4,23.0,0,0
39,2009-02-09,18.5,21.4,0.0,8,44.0,11,5,17.0,27.5,90.0,85.0,1011.2,1011.0,20.1,21.1,0,1
40,2009-02-10,18.3,19.4,7.4,8,57.0,11,11,30.0,31.0,97.0,95.0,1010.9,1009.0,18.6,19.2,1,1
41,2009-02-11,16.7,21.5,13.8,8,56.0,11,11,24.0,33.0,89.0,82.0,1010.2,1010.3,17.0,20.5,1,1
42,2009-02-12,16.5,20.5,13.8,9,56.0,10,10,33.0,30.0,90.0,91.0,1016.4,1018.0,17.2,18.8,1,1
43,2009-02-13,16.6,21.1,16.0,10,59.0,0,0,30.0,19.0,89.0,77.0,1024.5,1023.1,18.1,20.3,1,1
44,2009-02-14,16.9,20.4,14.2,10,65.0,9,9,43.0,37.0,74.0,84.0,1021.6,1017.4,19.3,18.8,1,1
45,2009-02-15,16.2,21.7,26.6,10,56.0,8,10,26.0,30.0,89.0,90.0,1013.3,1012.8,19.5,19.6,1,1
46,2009-02-16,18.1,23.3,19.2,9,67.0,9,10,37.0,33.0,77.0,73.0,1016.4,1016.4,21.7,22.6,1,1
47,2009-02-17,19.1,22.0,2.2,10,67.0,9,8,37.0,37.0,75.0,84.0,1015.8,1013.9,21.1,21.2,1,1
48,2009-02-18,18.8,24.1,23.6,8,74.0,13,8,11.0,30.0,88.0,82.0,1010.1,1008.2,20.6,22.6,1,0
49,2009-02-19,19.5,28.8,0.0,3,33.0,6,4,11.0,24.0,76.0,75.0,1008.4,1005.3,23.7,24.2,0,0
50,2009-02-20,20.8,27.8,0.0,1,33.0,11,0,9.0,22.0,83.0,76.0,1011.6,1010.2,22.0,24.9,0,0
51,2009-02-21,21.4,24.8,0.0,2,31.0,4,0,4.0,22.0,89.0,75.0,1012.8,1012.4,22.5,23.5,0,0
52,2009-02-22,21.1,25.8,0.0,4,30.0,9,0,13.0,17.0,71.0,66.0,1017.9,1017.3,23.9,24.9,0,0
53,2009-02-23,20.1,27.7,0.0,4,50.0,5,4,2.0,33.0,80.0,76.0,1016.8,1013.5,23.4,25.7,0,1
54,2009-02-24,21.1,29.4,1.6,1,43.0,6,10,9.0,22.0,85.0,72.0,1014.2,1012.6,23.8,27.0,1,0
55,2009-02-25,21.8,27.0,0.0,9,41.0,8,2,11.0,24.0,83.0,73.0,1016.2,1014.3,23.6,25.1,0,0
56,2009-02-26,20.9,23.6,0.0,8,50.0,8,8,30.0,41.0,70.0,70.0,1019.4,1018.1,22.7,22.7,0,0
57,2009-02-27,18.4,23.8,0.2,10,41.0,12,10,13.0,24.0,70.0,59.0,1017.6,1015.7,20.8,23.1,0,0
58,2009-02-28,17.6,26.8,0.0,5,46.0,6,4,9.0,22.0,74.0,68.0,1009.5,1007.1,21.6,26.3,0,0
59,2009-03-01,21.4,26.0,0.0,8,50.0,9,2,24.0,20.0,75.0,68.0,1010.4,1010.7,23.3,25.0,0,0
60,2009-03-02,21.8,26.2,0.0,0,30.0,0,0,15.0,15.0,70.0,62.0,1016.1,1015.2,22.6,25.5,0,0
61,2009-03-03,22.0,29.0,0.0,5,44.0,4,1,26.0,26.0,68.0,66.0,1018.0,1015.1,24.3,25.7,0,0
62,2009-03-04,21.7,25.5,0.0,11,46.0,3,8,17.0,30.0,79.0,67.0,1008.7,1008.3,24.6,22.5,0,0
63,2009-03-05,15.2,23.0,0.0,10,33.0,15,10,11.0,26.0,47.0,44.0,1010.0,1008.9,19.2,22.8,0,0
64,2009-03-06,15.3,23.7,0.0,5,43.0,13,1,9.0,19.0,68.0,57.0,1013.2,1011.5,18.3,23.1,0,0
65,2009-03-07,17.3,25.5,0.0,5,35.0,15,10,9.0,22.0,81.0,73.0,1013.7,1011.7,20.2,25.0,0,0
66,2009-03-08,20.0,26.2,0.0,4,35.0,9,2,20.0,24.0,75.0,66.0,1017.1,1017.5,24.4,25.0,0,0
67,2009-03-09,21.7,25.4,0.0,1,35.0,0,1,26.0,24.0,76.0,65.0,1021.3,1020.0,23.2,24.4,0,0
68,2009-03-10,21.4,25.2,0.0,4,33.0,1,0,28.0,26.0,69.0,59.0,1021.7,1021.0,22.5,24.2,0,1
69,2009-03-11,19.9,24.1,3.6,9,46.0,9,1,39.0,30.0,89.0,71.0,1023.1,1021.9,20.5,23.6,1,0
70,2009-03-12,20.2,27.8,0.0,4,43.0,4,4,20.0,24.0,68.0,65.0,1022.4,1020.2,23.9,25.1,0,0
71,2009-03-13,19.4,27.2,0.0,5,39.0,7,1,7.0,13.0,85.0,70.0,1018.4,1016.0,21.7,24.9,0,0
72,2009-03-14,20.0,25.3,0.0,6,46.0,5,7,17.0,28.0,83.0,80.0,1014.8,1011.7,22.2,22.3,0,1
73,2009-03-15,18.6,27.4,2.2,3,50.0,1,4,9.0,19.0,76.0,73.0,1010.8,1007.8,23.7,26.6,1,1
74,2009-03-16,18.1,22.9,7.6,11,41.0,11,0,15.0,22.0,45.0,44.0,1011.8,1008.8,18.8,22.0,1,0
75,2009-03-17,15.4,24.0,0.0,11,43.0,13,10,7.0,22.0,61.0,49.0,1013.5,1012.3,18.4,23.5,0,0
76,2009-03-18,18.0,26.9,0.0,5,44.0,8,4,2.0,24.0,69.0,59.0,1018.8,1016.4,21.4,25.3,0,0
77,2009-03-19,17.4,26.5,0.0,4,30.0,6,4,9.0,24.0,76.0,73.0,1016.6,1014.1,21.2,24.5,0,0
78,2009-03-20,19.4,26.4,0.2,1,20.0,4,0,2.0,15.0,85.0,73.0,1017.4,1016.3,22.1,25.2,0,0
79,2009-03-21,20.5,25.9,0.2,5,26.0,3,0,6.0,20.0,78.0,68.0,1018.5,1017.0,23.6,24.6,0,0
80,2009-03-22,18.6,26.5,0.4,5,35.0,7,1,7.0,22.0,86.0,71.0,1017.6,1015.3,21.6,24.5,0,0
81,2009-03-23,18.5,27.2,0.0,4,43.0,3,4,9.0,26.0,77.0,68.0,1017.2,1015.5,21.8,25.5,0,0
82,2009-03-24,19.0,25.9,0.0,4,46.0,5,4,22.0,31.0,80.0,74.0,1018.4,1016.5,22.3,24.6,0,0
83,2009-03-25,19.0,26.9,0.0,4,48.0,5,4,26.0,30.0,79.0,73.0,1019.8,1017.7,21.6,24.2,0,0
84,2009-03-26,18.9,27.1,0.0,10,43.0,3,4,13.0,26.0,84.0,78.0,1019.8,1016.7,21.2,23.2,0,1
85,2009-03-27,19.9,22.8,17.8,10,61.0,10,10,37.0,33.0,81.0,78.0,1022.8,1023.2,21.2,20.8,1,0
86,2009-03-28,17.5,24.4,0.6,4,30.0,15,1,13.0,19.0,85.0,54.0,1025.2,1023.1,18.4,22.8,0,0
87,2009-03-29,17.6,24.4,0.0,0,24.0,11,2,11.0,19.0,85.0,75.0,1023.4,1021.6,19.2,23.0,0,0
88,2009-03-30,19.2,23.6,0.0,9,70.0,9,10,26.0,35.0,73.0,79.0,1023.1,1020.7,22.6,22.6,0,1
89,2009-03-31,18.5,22.2,17.0,9,83.0,9,10,46.0,56.0,77.0,85.0,1020.1,1017.6,21.4,21.0,1,1
90,2009-04-01,20.2,22.9,8.2,2,85.0,2,2,37.0,35.0,86.0,86.0,1019.6,1019.4,22.0,21.7,1,1
91,2009-04-02,19.7,24.0,29.8,4,46.0,5,0,17.0,19.0,93.0,85.0,1022.6,1021.2,20.6,23.0,1,1
92,2009-04-03,20.2,25.3,2.2,5,43.0,0,1,2.0,13.0,91.0,84.0,1021.1,1016.8,22.1,24.2,1,0
93,2009-04-04,20.2,21.7,0.8,8,50.0,11,8,9.0,37.0,92.0,77.0,1016.7,1018.2,20.9,20.1,0,0
94,2009-04-05,17.3,23.6,0.8,3,44.0,8,4,6.0,24.0,79.0,74.0,1019.7,1015.1,21.4,21.5,0,0
95,2009-04-06,16.9,21.0,0.0,8,54.0,8,8,44.0,39.0,77.0,72.0,1019.0,1018.6,20.7,19.6,0,1
96,2009-04-07,16.8,20.9,7.6,10,43.0,10,8,22.0,33.0,75.0,70.0,1024.9,1023.6,18.6,19.8,1,0
97,2009-04-08,14.3,20.8,0.0,8,44.0,12,10,19.0,31.0,70.0,75.0,1026.5,1024.6,18.6,19.5,0,0
98,2009-04-09,14.9,22.6,0.0,5,28.0,8,1,9.0,13.0,80.0,69.0,1025.3,1022.3,19.4,21.1,0,0
99,2009-04-10,15.8,23.6,0.0,13,19.0,6,1,7.0,13.0,74.0,76.0,1023.4,1020.8,19.7,21.3,0,0
100,2009-04-11,17.1,23.9,0.2,4,19.0,11,9,4.0,7.0,85.0,81.0,1024.9,1022.9,20.6,22.6,0,0
101,2009-04-12,19.0,24.4,0.0,3,17.0,3,0,11.0,13.0,88.0,83.0,1023.0,1020.5,20.8,22.6,0,0
102,2009-04-13,20.4,22.4,0.0,3,26.0,8,5,13.0,9.0,92.0,88.0,1021.8,1018.7,21.9,21.1,0,1
103,2009-04-14,17.6,24.7,5.4,13,24.0,14,0,13.0,19.0,87.0,81.0,1015.1,1011.4,20.1,21.4,1,0
104,2009-04-15,17.4,28.2,0.2,14,33.0,14,7,9.0,15.0,65.0,36.0,1011.3,1007.5,22.3,27.8,0,0
105,2009-04-16,15.2,24.0,0.0,8,43.0,15,1,11.0,15.0,49.0,57.0,1015.2,1011.7,18.5,21.8,0,0
106,2009-04-17,15.2,21.7,0.0,8,52.0,15,8,11.0,33.0,60.0,65.0,1015.7,1015.0,19.3,20.9,0,0
107,2009-04-18,15.7,20.8,0.0,8,69.0,11,8,22.0,24.0,74.0,88.0,1019.3,1017.8,18.7,17.9,0,1
108,2009-04-19,16.3,21.4,6.0,8,80.0,11,8,37.0,57.0,89.0,67.0,1018.5,1016.0,17.2,21.4,1,1
109,2009-04-20,15.8,21.1,14.0,10,80.0,8,10,41.0,56.0,75.0,64.0,1019.0,1016.9,19.5,20.0,1,0
110,2009-04-21,18.0,21.7,0.2,10,72.0,10,10,43.0,37.0,58.0,71.0,1021.5,1019.7,21.0,20.9,0,0
111,2009-04-22,17.7,21.3,0.2,9,56.0,10,10,9.0,33.0,75.0,62.0,1023.5,1021.1,18.1,20.2,0,0
112,2009-04-23,15.6,21.4,0.0,9,46.0,11,8,20.0,11.0,90.0,65.0,1021.8,1018.0,17.0,20.2,0,0
113,2009-04-24,13.4,23.7,0.4,5,39.0,6,5,17.0,31.0,75.0,76.0,1013.0,1007.0,19.6,21.1,0,0
114,2009-04-25,17.2,24.1,0.4,7,44.0,14,13,13.0,11.0,52.0,47.0,1005.3,1003.1,20.4,23.2,0,0
115,2009-04-26,17.0,21.5,0.0,14,63.0,13,14,11.0,19.0,49.0,39.0,1002.9,1003.6,21.4,20.3,0,0
116,2009-04-27,10.7,19.1,0.0,13,39.0,13,13,15.0,17.0,50.0,35.0,1013.8,1012.9,14.9,18.2,0,0
117,2009-04-28,11.7,22.6,0.0,7,39.0,14,15,17.0,17.0,55.0,38.0,1015.7,1014.5,18.5,21.1,0,0
118,2009-04-29,11.3,18.3,0.0,8,35.0,15,2,15.0,13.0,76.0,78.0,1021.7,1018.9,11.9,16.3,0,1
119,2009-04-30,11.9,17.4,5.0,11,46.0,12,11,19.0,24.0,86.0,77.0,1019.2,1019.1,13.1,17.0,1,1
120,2009-05-01,12.0,20.6,2.6,5,26.0,13,4,15.0,19.0,76.0,66.0,1024.2,1020.8,14.5,20.0,1,0
121,2009-05-02,12.4,20.8,0.0,8,56.0,13,10,13.0,26.0,67.0,72.0,1024.0,1021.9,16.4,19.3,0,1
122,2009-05-03,13.9,19.9,34.8,11,33.0,12,8,13.0,19.0,87.0,73.0,1027.3,1025.3,15.0,19.5,1,0
123,2009-05-04,13.7,22.8,0.0,9,35.0,13,4,15.0,15.0,77.0,61.0,1027.9,1025.5,16.7,21.3,0,1
124,2009-05-05,14.7,20.4,12.4,10,57.0,15,8,15.0,35.0,88.0,67.0,1029.7,1027.3,16.0,19.8,1,0
125,2009-05-06,14.2,22.3,0.6,5,30.0,13,4,11.0,19.0,78.0,64.0,1028.0,1023.6,17.2,20.4,0,0
126,2009-05-07,13.2,21.1,0.0,10,43.0,13,8,11.0,26.0,76.0,53.0,1023.7,1020.9,16.4,20.6,0,1
127,2009-05-08,13.5,19.4,3.4,10,52.0,12,8,19.0,31.0,80.0,77.0,1026.5,1024.3,16.3,18.8,1,1
128,2009-05-09,12.2,20.7,21.2,8,46.0,15,10,13.0,24.0,70.0,55.0,1023.6,1020.0,15.6,19.9,1,1
129,2009-05-10,14.2,19.0,2.2,11,56.0,15,10,15.0,37.0,88.0,59.0,1022.9,1022.7,15.1,18.4,1,1
130,2009-05-11,12.5,20.0,19.2,9,28.0,13,9,13.0,13.0,71.0,51.0,1024.5,1022.0,16.0,18.1,1,0
131,2009-05-12,11.5,20.9,0.0,13,26.0,13,9,15.0,22.0,69.0,60.0,1021.0,1017.6,14.4,18.5,0,0
132,2009-05-13,11.4,20.9,0.0,13,26.0,14,9,15.0,9.0,70.0,45.0,1016.2,1013.1,15.1,20.4,0,0
133,2009-05-14,11.0,21.3,0.0,15,31.0,7,13,15.0,13.0,54.0,40.0,1013.4,1010.9,16.1,20.8,0,0
134,2009-05-15,11.4,21.9,0.0,14,35.0,7,13,15.0,19.0,59.0,41.0,1013.7,1009.7,16.5,21.3,0,0
135,2009-05-16,15.6,22.4,0.0,13,46.0,7,14,17.0,20.0,53.0,46.0,1009.5,1008.8,19.1,21.1,0,0
136,2009-05-17,11.9,19.2,0.0,10,33.0,13,10,9.0,22.0,63.0,59.0,1018.4,1017.2,14.6,17.6,0,0
137,2009-05-18,12.6,20.8,0.0,9,41.0,15,2,17.0,22.0,78.0,60.0,1024.7,1022.5,15.0,20.0,0,0
138,2009-05-19,14.6,21.4,0.4,5,57.0,2,1,17.0,35.0,78.0,71.0,1023.8,1020.7,16.9,18.6,0,1
139,2009-05-20,16.0,21.4,2.6,1,57.0,4,0,39.0,41.0,58.0,70.0,1021.1,1019.3,20.0,19.5,1,0
140,2009-05-21,17.7,20.6,0.6,9,78.0,2,2,48.0,41.0,60.0,60.0,1022.3,1020.2,19.8,19.7,0,1
141,2009-05-22,16.1,20.5,3.6,1,81.0,9,2,50.0,44.0,76.0,70.0,1021.9,1018.9,19.4,20.1,1,1
142,2009-05-23,16.2,21.0,5.6,2,65.0,0,0,44.0,41.0,73.0,70.0,1022.6,1021.4,19.4,20.1,1,0
143,2009-05-24,18.8,21.2,0.0,2,46.0,2,2,31.0,26.0,68.0,66.0,1026.1,1024.8,19.9,19.7,0,0
144,2009-05-25,16.2,22.2,0.0,5,33.0,13,1,6.0,13.0,76.0,67.0,1025.4,1022.8,18.4,19.9,0,0
145,2009-05-26,13.6,22.1,0.0,14,20.0,6,0,11.0,9.0,81.0,70.0,1021.9,1018.9,16.7,19.5,0,0
146,2009-05-27,15.2,18.1,0.0,14,24.0,13,13,13.0,9.0,84.0,81.0,1019.7,1017.8,15.9,17.4,0,0
147,2009-05-28,13.0,18.9,0.4,10,54.0,15,12,13.0,20.0,87.0,72.0,1020.6,1019.2,15.8,17.8,0,1
148,2009-05-29,12.4,16.9,50.4,11,65.0,7,12,13.0,31.0,82.0,74.0,1022.0,1021.2,13.3,16.3,1,1
149,2009-05-30,11.1,17.7,30.2,10,69.0,13,6,17.0,13.0,90.0,91.0,1027.0,1026.3,12.6,14.9,1,1
150,2009-05-31,12.6,19.2,17.6,2,61.0,4,0,15.0,35.0,80.0,58.0,1032.4,1031.0,16.5,18.1,1,0
151,2009-06-01,16.2,18.3,0.0,1,44.0,2,8,7.0,24.0,66.0,75.0,1031.9,1029.4,17.0,16.9,0,1
152,2009-06-02,13.4,19.5,7.4,5,31.0,14,1,15.0,11.0,86.0,79.0,1029.3,1026.6,14.6,18.1,1,1
153,2009-06-03,14.6,20.3,5.6,4,31.0,4,4,9.0,20.0,92.0,79.0,1025.3,1021.7,16.6,18.8,1,0
154,2009-06-04,14.7,18.6,0.4,3,19.0,6,15,7.0,2.0,92.0,84.0,1020.2,1016.6,14.8,17.1,0,0
