,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,20.4,25.8,0.0,6,31.0,6,7,13.0,19.0,84.0,71.0,1014.5,1013.6,23.3,24.7,0,0
1,2009-01-02,20.9,26.7,0.2,3,31.0,5,4,15.0,6.0,79.0,77.0,1016.3,1015.5,25.0,25.1,0,0
2,2009-01-03,22.3,26.3,0.0,0,35.0,1,9,6.0,19.0,87.0,90.0,1014.6,1014.3,24.7,23.8,0,1
3,2009-01-04,21.6,22.2,1.2,2,41.0,2,2,20.0,22.0,92.0,95.0,1016.0,1015.3,22.1,21.2,1,1
4,2009-01-05,20.4,23.5,2.6,2,52.0,2,2,24.0,28.0,86.0,86.0,1015.3,1013.7,21.8,21.6,1,0
5,2009-01-06,20.4,24.4,0.0,0,48.0,2,2,30.0,24.0,84.0,79.0,1014.5,1012.7,21.4,23.3,0,0
6,2009-01-07,20.2,24.2,0.0,2,52.0,2,2,28.0,31.0,86.0,79.0,1014.1,1013.0,21.9,23.3,0,0
7,2009-01-08,20.5,24.0,0.0,0,52.0,2,9,28.0,28.0,82.0,82.0,1011.5,1009.4,22.5,22.8,0,0
8,2009-01-09,20.9,22.0,0.0,10,61.0,10,10,28.0,33.0,92.0,95.0,1003.9,1000.4,21.9,21.6,0,1
9,2009-01-10,18.5,23.1,45.2,9,81.0,9,2,46.0,33.0,77.0,64.0,1001.7,1001.2,19.8,22.1,1,0
10,2009-01-11,19.7,22.8,0.4,9,54.0,9,9,30.0,28.0,83.0,82.0,1006.4,1006.9,21.6,22.1,0,0
11,2009-01-12,19.8,23.8,0.0,9,37.0,9,9,24.0,22.0,78.0,78.0,1011.2,1010.5,21.6,22.0,0,0
12,2009-01-13,19.2,23.2,0.0,10,35.0,8,9,22.0,20.0,77.0,77.0,1011.4,1010.4,21.2,22.0,0,1
13,2009-01-14,17.3,22.5,1.6,10,46.0,10,9,26.0,22.0,74.0,55.0,1013.2,1012.4,19.9,21.7,1,0
14,2009-01-15,18.5,23.6,0.0,9,37.0,10,9,24.0,24.0,64.0,69.0,1015.3,1015.0,21.4,22.4,0,0
15,2009-01-16,17.3,22.8,0.0,10,26.0,9,10,13.0,15.0,63.0,61.0,1016.9,1016.2,21.3,21.6,0,0
16,2009-01-17,16.2,23.4,0.0,7,30.0,14,3,13.0,13.0,65.0,62.0,1015.0,1013.4,21.0,22.1,0,1
17,2009-01-18,17.9,22.6,12.8,15,50.0,8,8,15.0,24.0,84.0,66.0,1014.6,1014.8,19.2,21.6,1,0
18,2009-01-19,16.5,22.5,0.0,10,31.0,9,10,13.0,19.0,58.0,60.0,1018.7,1018.0,21.1,21.4,0,0
19,2009-01-20,17.0,23.0,0.0,0,35.0,9,9,17.0,19.0,60.0,62.0,1021.7,1021.4,21.1,22.0,0,0
20,2009-01-21,16.9,23.6,0.0,0,41.0,2,0,22.0,30.0,60.0,68.0,1022.9,1021.8,21.8,22.2,0,0
21,2009-01-22,19.3,24.0,0.0,0,46.0,2,2,26.0,26.0,78.0,71.0,1022.6,1020.5,22.1,22.7,0,0
22,2009-01-23,20.2,24.5,0.0,0,46.0,0,1,22.0,30.0,76.0,72.0,1020.8,1018.5,22.7,23.3,0,0
23,2009-01-24,20.1,25.1,0.0,0,52.0,2,0,28.0,31.0,83.0,72.0,1018.3,1016.7,22.7,24.1,0,0
24,2009-01-25,20.5,25.1,0.0,1,46.0,1,0,31.0,28.0,74.0,75.0,1018.1,1018.3,23.5,23.1,0,0
25,2009-01-26,19.6,24.7,0.0,0,41.0,2,0,20.0,26.0,73.0,67.0,1018.4,1016.9,22.6,23.0,0,0
26,2009-01-27,18.6,23.9,0.0,10,30.0,9,10,15.0,22.0,68.0,65.0,1015.9,1015.0,21.5,22.7,0,0
27,2009-01-28,17.8,24.2,0.0,10,35.0,9,2,19.0,15.0,76.0,71.0,1016.4,1016.1,21.8,22.6,0,0
28,2009-01-29,19.5,24.1,0.8,2,41.0,2,9,22.0,22.0,70.0,66.0,1019.0,1018.4,22.2,23.0,0,0
29,2009-01-30,18.2,24.2,0.0,9,41.0,9,9,22.0,26.0,64.0,63.0,1019.5,1018.3,22.3,23.5,0,0
30,2009-01-31,20.1,23.7,0.0,2,43.0,9,2,24.0,26.0,74.0,70.0,1019.3,1017.6,22.0,22.1,0,1
31,2009-02-01,19.3,23.6,2.0,9,37.0,2,9,17.0,22.0,86.0,72.0,1015.7,1014.3,21.0,22.6,1,0
32,2009-02-02,19.9,24.2,0.2,10,35.0,9,9,17.0,22.0,79.0,75.0,1014.4,1013.1,21.9,23.5,0,0
33,2009-02-03,19.6,24.8,0.0,0,37.0,0,0,20.0,20.0,69.0,73.0,1013.6,1011.6,22.9,23.6,0,0
34,2009-02-04,20.0,25.0,0.0,0,35.0,9,2,15.0,17.0,81.0,84.0,1011.5,1009.9,22.3,23.1,0,1
35,2009-02-05,21.5,22.1,1.8,2,44.0,2,2,26.0,22.0,95.0,95.0,1008.7,1006.1,21.8,21.7,1,1
