,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,13.3,22.7,0.0,15,61.0,12,13,22.0,28.0,66.0,37.0,1010.4,1011.4,16.7,21.1,0,0
1,2009-01-02,7.0,22.4,0.0,9,41.0,2,2,20.0,17.0,47.0,25.0,1020.1,1017.8,13.7,20.8,0,0
2,2009-01-03,10.5,28.9,0.0,9,41.0,1,2,19.0,7.0,35.0,13.0,1018.0,1014.5,16.8,26.4,0,0
3,2009-01-04,9.8,33.1,0.0,15,37.0,1,14,15.0,22.0,23.0,7.0,1014.1,1011.8,23.5,32.8,0,0
4,2009-01-05,12.5,32.6,0.0,13,35.0,2,13,9.0,17.0,26.0,12.0,1015.0,1012.4,22.0,31.0,0,0
5,2009-01-06,12.1,33.8,0.0,12,50.0,4,15,7.0,22.0,23.0,14.0,1012.1,1008.9,24.3,32.5,0,0
6,2009-01-07,11.7,26.0,0.0,15,43.0,12,12,11.0,17.0,36.0,44.0,1012.7,1012.4,18.2,24.7,0,0
7,2009-01-08,9.0,23.3,0.0,9,43.0,10,10,17.0,20.0,49.0,29.0,1019.3,1018.4,16.0,21.8,0,0
8,2009-01-09,9.8,24.9,0.0,9,46.0,0,1,22.0,13.0,43.0,22.0,1018.6,1014.7,14.3,22.3,0,0
9,2009-01-10,12.0,29.4,0.0,10,41.0,2,5,13.0,9.0,43.0,15.0,1012.1,1008.9,18.4,27.8,0,0
10,2009-01-11,11.2,28.3,0.0,9,52.0,9,12,11.0,20.0,61.0,20.0,1012.1,1010.3,17.4,27.6,0,0
11,2009-01-12,13.0,32.4,0.0,9,44.0,0,3,20.0,7.0,47.0,19.0,1016.9,1014.1,19.0,30.0,0,0
12,2009-01-13,17.9,40.3,0.0,6,48.0,3,7,20.0,33.0,11.0,4.0,1011.3,1008.2,31.0,38.7,0,0
13,2009-01-14,17.2,34.8,0.0,14,35.0,7,14,2.0,17.0,75.0,19.0,1012.0,1009.8,20.6,33.8,0,0
14,2009-01-15,10.8,27.3,0.0,11,39.0,11,11,11.0,17.0,61.0,25.0,1018.5,1017.2,16.8,26.4,0,0
15,2009-01-16,7.9,27.5,0.0,10,41.0,10,12,17.0,20.0,57.0,22.0,1022.3,1020.1,16.9,26.6,0,0
16,2009-01-17,10.2,26.6,0.0,2,39.0,0,10,17.0,13.0,48.0,16.0,1023.0,1019.8,14.2,25.2,0,0
17,2009-01-18,14.2,31.6,0.0,9,35.0,0,1,15.0,17.0,29.0,10.0,1019.2,1015.7,21.1,30.1,0,0
18,2009-01-19,12.3,38.0,0.0,15,48.0,4,15,9.0,24.0,17.0,5.0,1012.4,1008.7,28.1,37.2,0,0
19,2009-01-20,13.5,36.3,0.0,15,52.0,4,12,9.0,19.0,20.0,10.0,1007.6,1008.5,29.2,33.9,0,0
20,2009-01-21,14.1,30.7,0.0,15,37.0,1,12,11.0,15.0,54.0,30.0,1010.9,1007.3,19.5,29.6,0,0
21,2009-01-22,11.9,29.5,0.0,15,67.0,14,13,30.0,37.0,20.0,44.0,1003.0,1003.3,24.2,26.0,0,0
22,2009-01-23,9.4,29.0,0.0,13,56.0,5,14,17.0,26.0,51.0,22.0,1008.1,1004.2,17.2,29.0,0,0
23,2009-01-24,14.6,27.0,1.0,13,50.0,15,12,20.0,17.0,63.0,30.0,1012.6,1012.7,16.8,24.4,0,0
24,2009-01-25,10.7,32.9,0.0,9,26.0,1,15,15.0,13.0,54.0,13.0,1017.4,1016.0,17.7,30.9,0,0
25,2009-01-26,13.7,33.9,0.0,9,39.0,0,2,20.0,17.0,49.0,16.0,1019.8,1016.9,20.1,31.2,0,0
26,2009-01-27,16.1,41.7,0.0,4,31.0,4,6,13.0,11.0,20.0,5.0,1014.8,1010.7,29.9,40.0,0,0
27,2009-01-28,21.1,44.1,0.0,3,70.0,5,7,19.0,17.0,11.0,8.0,1009.2,1006.6,35.8,41.8,0,0
28,2009-01-29,26.9,42.5,0.0,7,48.0,6,3,15.0,15.0,17.0,9.0,1010.7,1008.5,34.9,41.4,0,0
29,2009-01-30,22.0,41.9,0.0,6,54.0,3,5,9.0,15.0,19.0,9.0,1011.4,1008.6,34.4,40.4,0,0
30,2009-01-31,23.1,41.0,0.0,9,59.0,4,10,9.0,13.0,30.0,11.0,1012.9,1010.3,31.7,41.0,0,0
31,2009-02-01,23.2,39.8,0.0,2,54.0,1,15,15.0,11.0,45.0,17.0,1013.7,1010.6,25.9,38.0,0,0
32,2009-02-02,24.9,37.4,0.6,10,52.0,2,9,19.0,26.0,33.0,22.0,1011.7,1009.7,28.8,35.0,0,0
33,2009-02-03,18.2,37.7,0.0,15,31.0,0,9,15.0,11.0,52.0,24.0,1010.8,1007.5,25.3,35.3,0,0
34,2009-02-04,12.8,35.6,0.0,13,39.0,13,15,6.0,22.0,62.0,23.0,1008.5,1005.5,22.3,33.8,0,0
35,2009-02-05,12.6,36.1,0.0,13,30.0,4,13,9.0,15.0,63.0,26.0,1008.0,1007.5,22.2,34.7,0,0
36,2009-02-06,17.7,41.7,0.0,4,41.0,1,5,17.0,19.0,39.0,13.0,1007.9,1004.2,27.2,40.6,0,0
37,2009-02-07,19.8,43.9,0.0,7,76.0,6,15,31.0,35.0,11.0,29.0,1002.9,1004.1,37.7,35.3,0,0
38,2009-02-08,16.9,24.6,0.0,10,43.0,10,8,13.0,17.0,70.0,36.0,1013.6,1014.3,19.4,24.0,0,0
39,2009-02-09,10.2,22.9,0.0,10,46.0,9,8,20.0,22.0,52.0,26.0,1019.3,1016.7,14.1,21.9,0,0
40,2009-02-10,9.4,20.4,0.0,10,44.0,10,10,17.0,26.0,57.0,38.0,1020.5,1019.2,13.2,17.6,0,0
41,2009-02-11,7.2,20.6,0.0,10,50.0,10,10,17.0,28.0,46.0,32.0,1022.7,1020.0,13.1,19.7,0,0
42,2009-02-12,9.2,23.4,0.0,10,52.0,9,9,24.0,24.0,62.0,21.0,1022.0,1019.1,13.0,21.4,0,0
43,2009-02-13,11.55,26.2,0.0,9,54.0,2,0,19.0,24.0,49.0,26.0,1021.5,1019.0,16.2,23.6,0,0
44,2009-02-14,13.9,29.8,0.0,2,54.0,0,9,19.0,20.0,46.0,21.0,1020.4,1017.7,21.0,27.2,0,0
45,2009-02-15,14.5,30.0,0.0,9,44.0,0,3,4.0,7.0,46.0,18.0,1017.1,1014.2,19.0,29.4,0,0
46,2009-02-16,15.9,30.3,0.0,9,37.0,2,9,19.0,7.0,58.0,24.0,1016.3,1013.1,19.8,28.6,0,0
47,2009-02-17,15.0,31.9,0.0,9,37.0,4,1,9.0,13.0,39.0,23.0,1013.2,1010.9,24.6,28.9,0,0
48,2009-02-18,15.1,32.8,0.0,9,30.0,1,0,6.0,13.0,33.0,16.0,1010.8,1008.0,24.7,30.7,0,0
49,2009-02-19,14.1,34.2,0.0,15,56.0,2,13,2.0,31.0,34.0,43.0,1009.2,1008.5,25.6,28.4,0,1
50,2009-02-20,14.4,25.1,1.6,8,37.0,12,13,9.0,24.0,66.0,44.0,1016.6,1015.8,17.0,23.4,1,0
51,2009-02-21,14.4,25.7,0.0,2,39.0,10,9,22.0,20.0,58.0,31.0,1020.0,1016.9,16.9,24.6,0,0
52,2009-02-22,12.8,30.7,0.0,9,39.0,0,13,17.0,11.0,64.0,19.0,1016.7,1012.8,16.9,27.9,0,0
53,2009-02-23,10.6,28.9,0.0,15,44.0,0,13,0.0,28.0,50.0,21.0,1012.2,1012.9,19.5,27.9,0,0
54,2009-02-24,10.5,25.1,0.0,2,48.0,2,2,22.0,19.0,55.0,19.0,1019.5,1016.8,13.8,23.3,0,0
55,2009-02-25,12.9,30.0,0.0,2,37.0,1,0,19.0,13.0,37.0,12.0,1018.2,1015.9,16.7,28.6,0,0
56,2009-02-26,16.7,35.0,0.0,5,35.0,1,5,19.0,15.0,21.0,7.0,1015.6,1012.4,22.1,33.7,0,0
57,2009-02-27,21.9,34.2,0.0,13,46.0,9,13,7.0,22.0,13.0,33.0,1012.4,1011.7,25.5,29.6,0,0
58,2009-02-28,12.7,29.1,0.0,11,52.0,9,11,17.0,11.0,66.0,22.0,1015.3,1013.2,16.9,27.8,0,0
59,2009-03-01,13.1,23.1,0.0,0,35.0,2,0,17.0,6.0,64.0,35.0,1016.3,1014.2,14.1,21.9,0,0
60,2009-03-02,13.8,26.2,0.2,1,37.0,1,0,17.0,15.0,60.0,47.0,1012.5,1009.3,16.8,25.5,0,0
61,2009-03-03,16.4,28.0,1.0,15,65.0,14,13,15.0,37.0,39.0,96.0,1003.9,1008.5,26.1,16.4,0,1
62,2009-03-04,12.1,19.5,12.6,15,72.0,13,15,35.0,41.0,55.0,46.0,1019.5,1020.3,14.8,18.5,1,0
63,2009-03-05,11.7,21.3,0.2,12,37.0,12,12,13.0,19.0,81.0,52.0,1023.0,1021.2,14.1,20.7,0,0
64,2009-03-06,13.0,21.7,0.0,12,26.0,12,11,2.0,9.0,82.0,53.0,1019.6,1016.4,14.1,19.7,0,0
65,2009-03-07,9.6,23.7,0.0,9,50.0,2,0,9.0,13.0,82.0,41.0,1017.7,1015.6,15.3,23.4,0,0
66,2009-03-08,11.3,25.3,0.0,9,54.0,2,9,19.0,19.0,60.0,32.0,1019.4,1017.0,14.6,23.7,0,0
67,2009-03-09,13.2,27.2,0.0,9,35.0,2,9,17.0,13.0,56.0,23.0,1019.1,1016.8,16.6,26.4,0,0
68,2009-03-10,15.6,28.3,0.0,2,31.0,9,9,13.0,13.0,66.0,20.0,1017.3,1015.4,17.3,27.4,0,0
69,2009-03-11,14.7,28.2,0.0,10,31.0,0,4,7.0,7.0,67.0,33.0,1016.9,1014.1,19.2,26.5,0,0
70,2009-03-12,13.8,29.3,0.0,12,33.0,5,1,6.0,13.0,62.0,32.0,1016.0,1013.9,20.4,28.9,0,1
71,2009-03-13,13.6,31.5,1.2,15,30.0,5,15,0.0,13.0,64.0,19.0,1015.9,1013.5,19.4,30.3,1,0
72,2009-03-14,16.6,21.1,0.2,15,61.0,13,15,20.0,33.0,89.0,42.0,1013.6,1014.0,17.0,19.4,0,0
73,2009-03-15,8.1,20.0,0.0,12,50.0,13,15,20.0,26.0,64.0,43.0,1018.0,1016.7,14.7,19.3,0,1
74,2009-03-16,12.8,19.7,1.6,12,39.0,15,15,13.0,24.0,92.0,51.0,1018.3,1017.5,13.9,18.6,1,0
