,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,18.8,38.4,0.0,0,50.0,2,9,22.0,13.0,46.0,20.0,1010.4,1007.2,23.1,35.6,0,0
1,2009-01-02,22.0,39.1,0.0,0,52.0,7,12,4.0,31.0,38.0,23.0,1008.3,1007.4,27.1,36.0,0,0
2,2009-01-03,15.9,35.6,0.0,0,47.5,8,11,13.0,28.0,58.0,29.0,1012.1,1010.2,24.0,34.8,0,0
3,2009-01-04,18.85,37.0,0.0,9,43.0,9,2,24.0,20.0,45.0,19.0,1016.6,1012.6,22.7,35.2,0,0
4,2009-01-05,21.8,38.6,0.0,0,59.0,2,10,15.0,15.0,35.0,15.0,1014.1,1010.1,26.8,37.3,0,0
5,2009-01-06,19.9,38.0,0.0,11,43.0,9,10,24.0,20.0,50.0,20.0,1013.5,1009.1,24.9,37.1,0,0
6,2009-01-07,18.8,36.6,0.0,0,69.0,0,2,26.0,22.0,49.0,23.0,1013.8,1010.5,23.2,34.3,0,0
7,2009-01-08,19.6,38.1,0.0,9,44.0,2,8,19.0,26.0,49.0,22.0,1014.1,1010.7,23.9,36.6,0,0
8,2009-01-09,19.4,38.3,0.0,9,47.0,9,11,11.0,22.0,49.0,23.0,1015.0,1010.8,24.1,37.3,0,0
9,2009-01-10,19.6,37.4,0.0,10,50.0,9,11,17.0,30.0,41.0,22.0,1012.7,1009.7,26.0,35.9,0,0
10,2009-01-11,19.8,40.6,0.0,0,61.0,1,15,31.0,13.0,31.0,12.0,1008.6,1004.9,26.6,39.0,0,0
11,2009-01-12,13.3,28.8,0.0,11,59.0,11,12,11.0,31.0,64.0,49.0,1007.3,1008.6,22.1,27.2,0,0
12,2009-01-13,9.1,27.8,0.0,11,48.0,8,8,11.0,17.0,50.0,27.0,1017.4,1014.5,19.8,26.5,0,0
13,2009-01-14,12.0,32.7,0.0,13,41.0,9,9,15.0,13.0,49.0,19.0,1016.8,1013.7,21.0,31.9,0,0
14,2009-01-15,17.6,39.5,0.0,13,42.5,0,0,31.0,17.0,41.0,15.0,1015.4,1011.5,23.2,37.8,0,0
15,2009-01-16,23.2,43.7,0.0,13,43.25,4,14,24.0,15.0,13.0,23.0,1010.5,1010.0,32.8,34.4,0,0
16,2009-01-17,17.0,33.7,0.0,10,44.0,8,11,11.0,19.0,59.0,28.0,1015.1,1013.4,21.9,33.2,0,0
17,2009-01-18,21.7,33.2,0.0,2,59.0,8,11,11.0,20.0,48.0,31.0,1015.3,1011.5,23.1,31.4,0,0
18,2009-01-19,16.8,30.8,0.0,2,72.0,8,10,20.0,13.0,60.0,35.0,1016.0,1013.3,20.2,28.4,0,0
19,2009-01-20,15.7,31.8,0.0,12,46.0,2,11,24.0,20.0,50.0,24.0,1018.0,1014.2,18.8,31.2,0,0
20,2009-01-21,13.6,30.3,0.0,8,52.0,8,15,17.0,28.0,68.0,34.0,1015.7,1012.4,19.4,28.4,0,0
21,2009-01-22,17.1,30.6,0.0,12,46.0,8,12,17.0,22.0,75.0,41.0,1013.4,1011.1,20.4,29.7,0,0
22,2009-01-23,19.5,29.8,0.0,12,39.0,10,11,17.0,24.0,71.0,45.0,1013.6,1011.1,21.3,28.8,0,0
23,2009-01-24,11.9,33.8,0.0,15,41.0,13,12,7.0,24.0,73.0,32.0,1013.4,1010.6,19.6,33.2,0,0
24,2009-01-25,15.4,33.15,0.0,15,40.0,9,2,15.0,13.0,26.0,16.0,1011.9,1007.6,25.8,38.7,0,0
25,2009-01-26,15.75,32.5,0.0,12,39.0,14,12,7.0,26.0,95.0,37.0,1007.9,1007.4,20.2,31.2,0,0
26,2009-01-27,16.1,35.2,0.0,12,43.0,0,1,20.0,9.0,57.0,33.0,1007.8,1003.6,23.2,33.8,0,0
27,2009-01-28,20.1,32.6,0.0,15,43.0,9,12,13.0,11.0,71.0,51.0,1003.4,1000.7,23.7,29.9,0,0
28,2009-01-29,20.2,25.0,0.0,11,33.0,11,8,22.0,13.0,71.0,57.0,1007.6,1007.5,21.1,24.6,0,0
29,2009-01-30,18.1,30.55,0.0,11,48.0,9,2,17.0,9.0,68.0,47.0,1010.1,1006.6,21.7,30.1,0,0
30,2009-01-31,20.65,36.1,0.0,8,63.0,1,9,17.0,15.0,58.0,42.0,1008.5,1005.9,27.6,32.5,0,0
31,2009-02-01,23.2,38.7,0.0,15,44.0,1,8,15.0,15.0,62.0,24.0,1011.3,1008.4,27.7,37.5,0,0
32,2009-02-02,19.4,40.6,0.0,12,41.0,5,12,6.0,22.0,46.0,20.0,1010.4,1007.7,30.5,39.8,0,0
33,2009-02-03,17.6,36.1,0.0,15,35.0,15,15,6.0,28.0,81.0,29.0,1010.1,1007.9,22.5,34.4,0,0
34,2009-02-04,17.8,34.2,0.0,11,43.0,9,11,19.0,24.0,59.0,28.0,1012.0,1009.5,23.1,32.1,0,0
35,2009-02-05,17.5,34.4,0.0,2,57.0,2,8,19.0,20.0,50.0,22.0,1010.7,1006.1,21.2,32.9,0,0
36,2009-02-06,14.3,28.3,0.0,12,54.0,8,12,24.0,31.0,63.0,33.0,1008.7,1006.0,18.0,26.9,0,0
37,2009-02-07,9.2,28.8,0.0,10,41.0,9,8,17.0,22.0,53.0,27.0,1013.9,1011.8,18.5,28.0,0,0
38,2009-02-08,15.0,33.3,0.0,0,67.0,0,2,39.0,28.0,44.0,21.0,1016.5,1014.6,19.0,32.1,0,0
39,2009-02-09,18.5,35.0,0.0,0,65.0,0,4,41.0,28.0,47.0,16.0,1016.5,1014.4,21.3,33.5,0,0
