,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,15.2,32.6,0.0,14,59.0,5,13,13.0,22.0,35.0,23.0,24.4,31.3,0,0
1,2008-12-02,15.0,31.7,0.0,1,28.0,5,3,13.0,15.0,64.0,38.0,20.4,30.1,0,0
2,2008-12-03,15.9,33.4,0.0,7,52.0,3,7,9.0,30.0,63.0,16.0,21.0,31.4,0,0
3,2008-12-04,17.2,24.8,0.0,0,35.0,10,0,9.0,19.0,71.0,55.0,19.5,22.7,0,0
4,2008-12-05,17.8,32.2,0.0,1,28.0,4,1,7.0,15.0,97.0,48.0,19.8,29.6,0,0
5,2008-12-06,18.1,36.2,0.2,13,46.0,7,13,7.0,24.0,75.0,26.0,25.9,35.7,0,0
6,2008-12-07,19.3,27.8,0.0,8,50.0,4,9,4.0,24.0,99.0,89.0,20.3,21.7,0,1
7,2008-12-08,17.2,26.9,12.0,5,37.0,13,5,6.0,11.0,84.0,99.0,20.5,19.6,1,1
8,2008-12-09,15.9,33.0,4.8,6,35.0,5,14,7.0,15.0,89.0,21.0,20.0,32.2,1,0
9,2008-12-10,19.5,25.85,0.0,6,33.0,10,14,15.0,13.0,60.0,52.5,23.5,25.4,0,1
10,2008-12-11,17.5,18.7,3.4,2,31.0,8,2,13.0,11.0,100.0,84.0,17.4,18.6,1,1
11,2008-12-12,15.5,21.1,6.8,11,17.0,0,11,7.0,9.0,100.0,59.5,15.8,16.7,1,1
12,2008-12-13,15.8,32.7,42.2,7,76.0,6,14,9.0,31.0,100.0,35.0,21.1,32.0,1,0
13,2008-12-14,19.1,25.5,0.0,15,61.0,13,15,26.0,30.0,42.0,37.0,21.8,23.3,0,0
14,2008-12-15,15.1,27.3,0.0,8,43.0,11,9,19.0,9.0,42.0,34.0,20.0,25.8,0,0
15,2008-12-16,12.9,30.5,0.0,0,24.0,10,0,2.0,13.0,70.0,32.0,18.4,29.2,0,0
16,2008-12-17,14.8,31.6,0.0,9,50.0,3,3,4.0,13.0,69.0,30.0,21.9,30.4,0,0
17,2008-12-18,18.6,33.5,0.0,7,56.0,5,7,7.0,30.0,60.0,26.0,23.3,32.1,0,0
18,2008-12-19,15.8,28.5,0.0,9,54.0,9,9,6.0,20.0,44.0,27.0,23.0,28.0,0,0
19,2008-12-20,14.2,24.1,0.0,10,39.0,8,9,19.0,20.0,52.0,55.0,18.3,20.6,0,0
