,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-07-01,2.7,18.8,0.0,1,20.0,2,0,0.0,7.0,97.0,53.0,1027.6,1024.5,8.5,18.1,0,0
1,2008-07-02,6.4,20.7,0.0,4,22.0,2,1,6.0,9.0,80.0,39.0,1024.1,1019.0,11.1,19.7,0,0
2,2008-07-03,6.5,19.9,0.4,4,31.0,2,14,0.0,4.0,84.0,71.0,1016.8,1015.6,12.1,17.7,0,1
3,2008-07-04,9.5,19.2,1.8,13,26.0,5,6,11.0,6.0,93.0,73.0,1019.3,1018.4,13.2,17.7,1,1
4,2008-07-05,9.5,16.4,1.8,15,44.0,13,12,13.0,17.0,69.0,57.0,1020.4,1022.1,15.9,16.0,1,1
5,2008-07-06,0.7,15.9,6.8,5,24.0,1,4,4.0,7.0,86.0,41.0,1032.0,1029.6,6.9,15.5,1,0
6,2008-07-07,0.7,18.3,0.0,3,37.0,4,5,15.0,13.0,72.0,36.0,1028.9,1024.2,8.7,17.9,0,0
7,2008-07-08,3.2,20.4,0.0,6,24.0,4,3,9.0,13.0,58.0,42.0,1023.9,1021.1,10.2,19.3,0,1
8,2008-07-09,9.8,19.5,8.0,2,31.0,4,2,0.0,9.0,97.0,64.0,1026.4,1024.9,12.1,18.7,1,1
9,2008-07-10,11.2,20.4,4.6,6,46.0,4,5,19.0,11.0,79.0,50.0,1020.2,1014.0,13.4,19.0,1,1
10,2008-07-11,13.4,17.1,2.6,12,54.0,12,12,26.0,13.0,63.0,77.0,1014.7,1015.2,15.4,14.8,1,1
11,2008-07-12,7.9,17.3,4.4,11,19.0,3,11,7.0,9.0,99.0,59.0,1019.0,1018.7,9.6,16.2,1,0
12,2008-07-13,5.3,18.8,0.2,3,17.0,4,13,7.0,7.0,96.0,63.0,1025.1,1024.1,9.5,17.2,0,0
13,2008-07-14,7.9,19.7,0.0,4,31.0,4,3,11.0,15.0,86.0,41.0,1026.0,1021.9,11.7,18.7,0,0
14,2008-07-15,9.0,17.1,0.0,5,43.0,3,13,22.0,15.0,62.0,90.0,1010.4,1008.1,15.8,14.9,0,1
15,2008-07-16,10.2,17.1,24.0,12,44.0,12,15,19.0,13.0,76.0,54.0,1013.8,1014.8,13.2,15.9,1,1
16,2008-07-17,6.7,16.9,2.6,15,46.0,4,6,9.0,9.0,87.0,75.0,1015.1,1010.1,10.5,14.4,1,1
17,2008-07-18,10.4,17.9,20.6,7,76.0,7,13,22.0,30.0,57.0,50.0,1002.3,1002.2,16.8,13.9,1,1
18,2008-07-19,3.3,14.3,15.2,10,37.0,7,8,0.0,17.0,95.0,49.0,1022.9,1023.1,8.0,13.9,1,0
19,2008-07-20,1.2,17.0,0.0,4,20.0,4,10,7.0,6.0,97.0,52.0,1030.1,1028.5,7.5,15.6,0,0
20,2008-07-21,3.1,17.1,0.0,5,28.0,4,0,2.0,6.0,94.0,49.0,1031.1,1027.4,9.1,16.6,0,0
21,2008-07-22,3.3,18.9,0.0,4,37.0,4,3,11.0,15.0,80.0,40.0,1024.8,1020.2,8.9,17.9,0,0
22,2008-07-23,8.9,17.4,0.0,3,43.0,3,6,15.0,7.0,68.0,97.0,1013.6,1013.2,14.9,14.9,0,1
23,2008-07-24,9.3,18.3,19.2,13,33.0,14,15,7.0,15.0,65.0,57.0,1018.0,1017.6,15.6,17.4,1,0
24,2008-07-25,7.4,17.0,0.0,4,28.0,0,12,7.0,19.0,84.0,88.0,1017.7,1014.1,12.1,14.0,0,1
25,2008-07-26,7.8,19.3,12.6,9,52.0,0,3,4.0,2.0,99.0,50.0,1017.8,1015.2,9.0,19.2,1,1
26,2008-07-27,9.0,20.8,4.0,5,39.0,4,13,11.0,11.0,94.0,87.0,1009.7,1007.9,13.4,18.3,1,1
27,2008-07-28,11.8,15.9,5.4,15,44.0,3,13,11.0,15.0,97.0,81.0,1008.2,1007.5,14.6,14.7,1,1
28,2008-07-29,9.7,18.0,11.6,14,39.0,5,14,7.0,11.0,93.0,86.0,1012.3,1008.4,12.5,15.3,1,1
29,2008-07-30,12.4,16.2,30.6,15,54.0,13,13,19.0,24.0,61.0,45.0,1005.1,1005.5,14.4,15.0,1,1
30,2008-07-31,6.7,14.1,3.0,12,37.0,5,11,4.0,9.0,97.0,76.0,1015.2,1017.0,9.1,13.2,1,1
31,2008-08-01,7.8,18.1,7.8,3,30.0,5,3,11.0,11.0,82.0,86.0,1021.6,1018.3,11.8,15.0,1,1
32,2008-08-02,11.2,17.5,18.2,12,46.0,12,11,22.0,20.0,57.0,51.0,1017.3,1018.0,14.7,15.6,1,0
33,2008-08-03,4.7,17.1,0.2,8,24.0,5,8,6.0,15.0,70.0,50.0,1027.5,1026.5,11.2,16.4,0,0
34,2008-08-04,2.1,19.4,0.0,4,22.0,1,4,6.0,6.0,78.0,39.0,1033.2,1030.5,9.7,19.2,0,0
35,2008-08-05,2.2,20.3,0.0,4,20.0,1,9,7.0,7.0,84.0,40.0,1034.0,1030.5,9.6,18.9,0,0
36,2008-08-06,2.3,20.7,0.0,15,22.0,1,15,0.0,13.0,74.0,49.0,1030.7,1026.4,10.7,19.1,0,0
37,2008-08-07,4.3,17.3,0.0,2,24.0,9,2,11.0,9.0,69.0,58.0,1029.1,1027.6,11.7,16.7,0,0
38,2008-08-08,7.0,17.6,0.0,1,31.0,0,1,11.0,13.0,64.0,41.0,1031.7,1028.3,11.4,17.3,0,0
39,2008-08-09,8.1,18.0,0.0,2,46.0,0,0,17.0,15.0,63.0,42.0,1030.0,1026.4,11.6,17.7,0,0
40,2008-08-10,9.1,18.7,0.0,5,39.0,1,1,13.0,19.0,52.0,41.0,1028.6,1024.7,12.6,18.5,0,0
41,2008-08-11,7.6,20.4,0.0,0,30.0,0,9,9.0,9.0,57.0,33.0,1026.9,1023.5,11.0,20.3,0,0
42,2008-08-12,4.9,17.5,0.0,9,28.0,0,2,11.0,15.0,57.0,34.0,1030.4,1027.9,11.7,16.9,0,0
43,2008-08-13,5.8,19.7,0.0,5,31.0,0,0,7.0,11.0,59.0,27.0,1031.8,1028.7,12.2,18.9,0,0
44,2008-08-14,3.3,21.3,0.0,4,33.0,4,1,13.0,13.0,49.0,25.0,1030.1,1026.4,13.3,20.3,0,0
45,2008-08-15,3.3,23.1,0.0,6,30.0,4,12,11.0,9.0,53.0,21.0,1028.1,1025.1,11.9,22.2,0,0
46,2008-08-16,3.1,23.9,0.0,5,30.0,4,7,13.0,9.0,39.0,17.0,1029.5,1027.6,14.9,23.6,0,0
47,2008-08-17,2.5,24.2,0.0,3,28.0,4,15,15.0,7.0,41.0,21.0,1032.5,1029.9,14.7,22.9,0,0
48,2008-08-18,1.8,22.5,0.0,6,39.0,5,14,13.0,17.0,44.0,11.0,1029.5,1025.8,13.2,22.1,0,0
49,2008-08-19,5.5,18.2,0.0,9,30.0,10,10,4.0,11.0,77.0,75.0,1025.9,1024.4,11.7,17.0,0,0
50,2008-08-20,6.9,17.4,0.2,0,37.0,9,9,19.0,19.0,66.0,38.0,1034.0,1031.9,10.9,16.6,0,0
51,2008-08-21,8.5,17.6,0.0,2,43.0,0,2,15.0,15.0,55.0,35.0,1038.0,1034.3,12.3,17.0,0,0
52,2008-08-22,5.5,19.1,0.0,4,41.0,0,1,7.0,17.0,58.0,33.0,1034.8,1029.3,11.5,18.7,0,0
53,2008-08-23,3.4,21.4,0.0,4,31.0,4,4,19.0,9.0,44.0,28.0,1026.6,1021.8,13.3,21.0,0,0
54,2008-08-24,3.8,21.3,0.0,12,22.0,4,12,0.0,9.0,51.0,55.0,1018.8,1016.6,12.8,18.6,0,0
55,2008-08-25,5.0,20.1,0.0,11,30.0,0,11,6.0,15.0,79.0,59.0,1022.4,1020.8,12.8,18.8,0,0
56,2008-08-26,6.8,21.2,0.0,0,22.0,0,2,11.0,11.0,67.0,42.0,1024.8,1019.5,12.1,20.6,0,0
57,2008-08-27,8.7,24.1,0.0,5,30.0,1,1,9.0,9.0,53.0,37.0,1017.3,1013.1,16.0,23.2,0,0
58,2008-08-28,7.1,21.7,0.0,11,26.0,5,15,7.0,13.0,79.0,57.0,1014.9,1011.6,12.6,20.2,0,1
59,2008-08-29,9.5,18.7,1.2,11,41.0,10,12,7.0,20.0,81.0,54.0,1014.0,1013.3,14.7,16.8,1,0
60,2008-08-30,3.8,16.9,0.2,12,35.0,9,12,13.0,19.0,52.0,41.0,1023.1,1022.4,11.7,15.9,0,0
61,2008-08-31,8.7,18.5,0.0,15,30.0,3,13,7.0,15.0,68.0,51.0,1025.1,1022.7,12.3,16.9,0,1
62,2008-09-01,10.9,18.9,3.4,10,20.0,5,12,7.0,9.0,97.0,61.0,1024.8,1023.1,12.5,18.9,1,0
63,2008-09-02,5.4,22.9,0.2,12,22.0,0,15,6.0,6.0,81.0,43.0,1024.9,1022.0,14.1,21.1,0,0
64,2008-09-03,8.1,21.15,0.0,12,28.0,1,15,9.0,17.0,54.0,26.0,1023.1,1020.2,17.2,24.1,0,0
65,2008-09-04,11.3,19.4,0.0,11,39.0,8,12,15.0,19.0,62.0,47.0,1022.5,1018.9,15.2,18.6,0,1
66,2008-09-05,9.8,21.6,1.2,12,41.0,8,12,11.0,24.0,69.0,57.0,1021.9,1018.8,15.0,19.5,1,0
67,2008-09-06,9.7,19.4,0.0,10,28.0,9,10,11.0,17.0,58.0,32.0,1024.1,1021.5,13.4,18.7,0,0
68,2008-09-07,5.7,20.1,0.0,11,35.0,1,12,9.0,11.0,57.0,41.0,1026.0,1021.9,13.5,19.2,0,0
69,2008-09-08,5.3,22.4,0.0,12,30.0,0,12,7.0,15.0,61.0,37.0,1022.8,1018.1,13.9,20.7,0,0
70,2008-09-09,4.6,21.3,0.0,12,30.0,5,15,4.0,17.0,68.0,44.0,1018.7,1016.4,14.1,20.4,0,0
71,2008-09-10,7.7,18.9,0.0,7,31.0,7,14,7.0,17.0,79.0,46.0,1017.7,1015.6,13.4,18.1,0,0
72,2008-09-11,13.4,20.5,0.8,15,46.0,15,15,19.0,20.0,71.0,62.0,1014.1,1012.5,17.3,18.9,0,0
73,2008-09-12,15.2,20.9,0.4,14,52.0,13,7,11.0,19.0,60.0,87.0,1011.4,1007.9,17.0,15.9,0,1
74,2008-09-13,11.8,17.6,6.0,12,59.0,12,12,17.0,17.0,73.0,55.0,1013.5,1014.6,14.0,17.1,1,0
75,2008-09-14,13.6,19.6,0.0,15,54.0,13,12,22.0,26.0,64.0,57.0,1015.5,1016.0,16.3,18.6,0,1
76,2008-09-15,6.2,20.3,1.2,3,26.0,0,5,9.0,9.0,55.0,34.0,1023.0,1019.1,14.1,19.8,1,0
77,2008-09-16,4.7,22.5,0.0,15,30.0,5,15,6.0,15.0,50.0,38.0,1012.2,1008.0,15.6,20.9,0,1
