,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,12.5,16.6,0.0,12,59.0,12,12,28.0,28.0,97.0,99.0,1006.7,1010.5,13.7,14.5,0,1
1,2009-01-02,8.6,15.2,1.6,11,39.0,12,8,20.0,17.0,60.0,61.0,1020.0,1021.3,11.9,14.0,1,0
2,2009-01-03,1.6,18.0,0.2,8,30.0,4,2,9.0,15.0,67.0,52.0,1020.4,1018.3,11.6,17.5,0,0
3,2009-01-04,4.8,20.1,0.0,8,28.0,0,8,11.0,17.0,73.0,63.0,1016.4,1015.2,14.7,18.1,0,0
4,2009-01-05,4.4,18.8,0.0,13,46.0,13,13,20.0,31.0,72.0,68.0,1014.0,1013.4,14.9,18.0,0,0
5,2009-01-06,8.600000000000001,20.0,0.0,13,48.0,14,13,17.0,26.0,99.0,81.0,1010.9,1010.8,15.4,18.9,0,1
6,2009-01-07,12.8,18.6,1.4,15,50.0,12,13,9.0,28.0,88.0,57.0,1011.5,1012.8,14.6,17.9,1,0
7,2009-01-08,10.8,16.2,0.0,8,39.0,11,8,20.0,22.0,58.0,50.0,1019.8,1021.5,12.9,15.0,0,0
8,2009-01-09,10.9,18.0,0.0,9,35.0,9,2,17.0,19.0,56.0,51.0,1022.2,1019.7,14.1,17.2,0,0
9,2009-01-10,11.8,18.5,0.0,2,33.0,0,10,15.0,19.0,71.0,56.0,1014.5,1013.0,15.4,17.7,0,0
10,2009-01-11,7.4,18.6,0.0,13,35.0,0,15,0.0,24.0,75.0,51.0,1012.7,1013.1,14.0,17.5,0,0
11,2009-01-12,13.4,21.6,0.2,8,24.0,14,10,9.0,13.0,89.0,64.0,1018.3,1017.5,16.2,20.8,0,0
12,2009-01-13,11.0,36.8,0.0,7,48.0,3,13,15.0,30.0,51.0,14.0,1010.9,1006.7,21.4,36.3,0,0
13,2009-01-14,15.2,18.5,0.0,13,43.0,11,8,17.0,15.0,90.0,71.0,1011.5,1012.7,15.4,17.2,0,0
14,2009-01-15,10.5,20.0,0.0,15,54.0,13,15,20.0,30.0,61.0,58.0,1015.8,1017.5,16.7,18.2,0,0
15,2009-01-16,13.0,17.6,0.0,15,52.0,12,12,28.0,26.0,51.0,47.0,1020.3,1022.7,14.6,15.7,0,0
16,2009-01-17,7.4,18.5,0.0,11,41.0,9,9,9.0,15.0,59.0,52.0,1024.4,1023.9,14.5,17.2,0,0
17,2009-01-18,2.7,22.6,0.0,0,28.0,1,2,13.0,19.0,67.0,50.0,1021.8,1019.7,14.1,20.9,0,0
18,2009-01-19,8.4,29.4,0.0,15,39.0,0,11,9.0,20.0,72.0,28.0,1012.3,1010.3,16.9,26.0,0,0
19,2009-01-20,13.2,27.8,0.0,13,56.0,15,6,9.0,20.0,78.0,27.0,1006.3,1007.6,18.0,24.6,0,0
20,2009-01-21,8.4,22.4,0.0,13,43.0,7,13,17.0,35.0,79.0,53.0,1011.3,1008.2,16.3,21.2,0,0
21,2009-01-22,13.5,23.2,0.0,14,83.0,7,13,44.0,41.0,46.0,63.0,994.6,998.9,21.7,17.8,0,0
22,2009-01-23,8.1,23.3,0.2,14,57.0,3,13,15.0,31.0,75.0,50.0,1006.6,1003.1,12.8,21.4,0,1
23,2009-01-24,12.6,18.3,7.4,13,57.0,15,15,28.0,28.0,60.0,48.0,1008.8,1013.6,15.3,17.3,1,0
24,2009-01-25,6.5,20.4,0.0,13,39.0,3,13,7.0,24.0,78.0,54.0,1018.5,1018.9,13.8,19.6,0,0
25,2009-01-26,6.9,21.5,0.0,9,33.0,9,2,9.0,19.0,86.0,63.0,1022.6,1021.4,16.6,20.4,0,0
26,2009-01-27,12.3,33.1,0.0,0,28.0,1,2,15.0,15.0,87.0,35.0,1016.3,1013.3,15.5,32.1,0,0
27,2009-01-28,15.1,39.1,0.0,3,41.0,3,8,11.0,15.0,29.0,19.0,1009.0,1008.6,27.5,33.4,0,0
28,2009-01-29,18.3,39.3,0.0,13,59.0,3,13,19.0,28.0,33.0,21.0,1006.9,1007.8,31.3,36.5,0,0
29,2009-01-30,18.2,30.9,0.0,13,54.5,8,8,13.0,19.0,64.0,65.0,1011.7,1011.8,23.2,23.7,0,0
30,2009-01-31,17.15,25.2,0.0,9,50.0,9,2,20.0,28.0,77.0,77.0,1015.7,1017.2,21.2,20.8,0,0
31,2009-02-01,16.1,26.1,0.0,2,41.0,2,9,20.0,20.0,87.0,64.0,1017.1,1014.7,17.9,25.2,0,0
32,2009-02-02,17.6,21.4,0.0,9,35.0,8,10,9.0,19.0,93.0,89.0,1012.6,1013.7,19.3,19.2,0,0
33,2009-02-03,15.9,24.0,0.0,0,39.0,2,2,20.0,28.0,83.0,64.0,1014.7,1012.2,17.4,23.1,0,0
34,2009-02-04,14.9,26.2,0.0,0,31.0,0,0,19.0,17.0,83.0,57.0,1009.7,1007.5,17.8,25.5,0,0
35,2009-02-05,13.4,20.4,0.0,0,44.0,15,11,17.0,15.0,84.0,68.0,1008.4,1010.6,17.2,20.4,0,0
36,2009-02-06,6.1,26.8,0.0,12,57.0,1,10,15.0,17.0,89.0,77.0,1009.5,1008.6,14.3,18.7,0,0
37,2009-02-07,14.3,33.8,0.0,15,67.0,2,12,9.0,15.0,82.0,74.0,1000.4,1003.2,20.4,21.5,0,0
38,2009-02-08,14.2,20.4,0.0,12,46.0,15,12,22.0,26.0,57.0,58.0,1013.6,1016.1,16.3,18.2,0,0
39,2009-02-09,12.1,17.9,0.0,11,35.0,8,11,17.0,22.0,53.0,44.0,1019.9,1019.7,14.0,16.6,0,1
40,2009-02-10,9.9,17.2,1.6,8,43.0,11,8,15.0,20.0,67.0,58.0,1020.5,1021.3,13.1,15.5,1,0
41,2009-02-11,11.9,16.7,0.0,8,39.0,8,8,19.0,17.0,56.0,62.0,1023.1,1023.3,13.1,14.1,0,0
42,2009-02-12,11.5,17.7,0.8,2,52.0,9,9,20.0,28.0,60.0,56.0,1024.5,1024.3,14.4,17.3,0,0
43,2009-02-13,13.5,22.9,0.0,0,50.0,0,2,30.0,20.0,54.0,48.0,1026.5,1024.3,16.4,22.1,0,0
44,2009-02-14,8.8,21.9,0.0,11,35.0,2,8,9.0,15.0,82.0,61.0,1023.0,1020.8,16.0,20.5,0,0
45,2009-02-15,15.3,21.0,0.0,2,52.0,2,9,28.0,31.0,80.0,72.0,1020.7,1020.5,17.4,18.8,0,0
46,2009-02-16,15.2,23.7,0.0,9,37.0,2,9,24.0,22.0,87.0,61.0,1019.7,1017.1,17.4,22.1,0,0
47,2009-02-17,14.5,25.8,0.0,2,31.0,1,9,19.0,20.0,80.0,52.0,1015.5,1013.6,17.0,24.8,0,0
48,2009-02-18,13.1,31.3,0.0,13,37.0,1,15,9.0,26.0,80.0,23.0,1011.5,1009.5,18.4,30.3,0,0
49,2009-02-19,12.0,27.6,0.0,15,43.0,5,13,7.0,22.0,83.0,65.0,1007.9,1007.5,17.7,22.5,0,0
50,2009-02-20,14.9,20.4,0.0,15,37.0,15,15,17.0,17.0,75.0,66.0,1014.2,1016.2,16.0,17.3,0,0
51,2009-02-21,15.1,18.9,0.0,8,31.0,10,10,13.0,17.0,85.0,65.0,1020.6,1020.4,15.6,17.6,0,0
52,2009-02-22,14.8,21.7,0.0,2,33.0,2,9,17.0,19.0,61.0,47.0,1018.5,1015.2,15.9,21.5,0,0
53,2009-02-23,9.4,21.8,0.0,13,54.0,3,13,15.0,37.0,71.0,86.0,1009.5,1012.5,17.1,17.1,0,0
54,2009-02-24,12.2,17.9,0.2,8,35.0,8,11,13.0,20.0,59.0,49.0,1021.0,1021.7,14.3,16.6,0,0
55,2009-02-25,12.1,19.3,0.0,9,35.0,2,9,9.0,19.0,76.0,64.0,1021.8,1020.7,14.4,18.2,0,0
56,2009-02-26,11.8,24.4,0.0,1,31.0,1,0,20.0,22.0,87.0,56.0,1018.4,1016.3,14.4,22.2,0,0
57,2009-02-27,12.4,30.1,0.0,15,54.0,3,12,13.0,30.0,44.0,57.0,1010.0,1010.3,20.4,23.3,0,0
58,2009-02-28,12.7,19.5,0.0,15,33.0,8,12,13.0,19.0,66.0,52.0,1015.1,1015.6,16.1,18.8,0,0
59,2009-03-01,13.6,18.7,0.0,9,31.0,11,9,15.0,17.0,62.0,45.0,1016.9,1016.4,14.6,17.5,0,0
60,2009-03-02,7.9,22.5,0.0,0,41.0,1,0,11.0,17.0,77.0,43.0,1015.4,1011.4,14.4,21.8,0,1
61,2009-03-03,14.3,29.0,1.6,14,72.0,3,13,24.0,41.0,67.0,97.0,1000.5,1000.8,21.9,16.2,1,1
62,2009-03-04,10.4,17.1,13.0,13,87.0,13,15,48.0,43.0,84.0,60.0,1009.5,1013.6,11.4,15.2,1,1
63,2009-03-05,11.3,16.0,1.4,12,50.0,11,11,17.0,17.0,98.0,93.0,1018.9,1019.5,13.4,14.7,1,1
64,2009-03-06,12.2,16.6,3.0,13,28.0,12,13,7.0,17.0,70.0,70.0,1018.0,1016.7,13.8,15.9,1,1
65,2009-03-07,11.2,17.5,2.6,11,28.0,11,11,9.0,15.0,98.0,62.0,1017.4,1018.2,13.3,15.5,1,0
66,2009-03-08,12.0,17.1,0.8,2,37.0,9,9,11.0,20.0,81.0,68.0,1022.0,1021.9,13.0,15.5,0,0
67,2009-03-09,12.6,18.8,0.0,9,37.0,2,2,15.0,22.0,68.0,60.0,1022.2,1020.5,15.1,18.2,0,0
68,2009-03-10,14.7,21.3,0.0,2,41.0,9,9,24.0,26.0,91.0,71.0,1020.9,1019.3,16.1,19.7,0,0
69,2009-03-11,15.2,23.8,0.0,2,35.0,0,9,15.0,17.0,95.0,65.0,1020.2,1017.4,16.2,21.7,0,0
70,2009-03-12,15.1,27.3,0.0,13,35.0,3,13,9.0,26.0,84.0,68.0,1015.7,1014.5,18.4,23.3,0,0
