,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,12.0,33.1,0.0,13,61.0,13,9.0,31.0,60.0,23.0,1005.5,1001.0,20.0,32.1,0,0
1,2009-01-02,15.9,25.8,0.0,9,50.0,9,13.0,35.0,60.0,23.0,1012.6,1012.1,20.0,23.7,0,0
2,2009-01-03,13.6,20.8,0.0,0,24.0,5,7.0,9.0,60.0,23.0,1021.9,1019.1,16.8,20.0,0,0
3,2009-01-04,16.3,30.1,0.0,4,33.0,4,4.0,17.0,60.0,23.0,1018.7,1013.5,19.6,29.3,0,0
4,2009-01-05,14.6,36.5,0.0,13,57.0,15,7.0,24.0,60.0,23.0,1013.1,1007.7,21.2,36.1,0,0
5,2009-01-06,14.0,38.2,0.0,6,59.0,4,6.0,11.0,60.0,23.0,1011.8,1006.1,22.5,38.0,0,0
6,2009-01-07,15.6,38.2,0.0,13,48.0,7,9.0,19.0,60.0,23.0,1010.0,1004.2,22.2,35.8,0,0
7,2009-01-08,19.4,21.4,0.0,9,43.0,9,11.0,19.0,60.0,23.0,1012.4,1013.4,20.2,18.3,0,1
8,2009-01-09,14.2,21.2,1.4,0,37.0,0,17.0,13.0,60.0,23.0,1020.3,1018.5,16.9,19.9,1,0
9,2009-01-10,11.3,25.1,0.0,4,35.0,0,6.0,19.0,60.0,23.0,1017.1,1012.7,17.2,23.3,0,0
10,2009-01-11,11.8,28.5,0.0,2,37.0,4,2.0,17.0,60.0,23.0,1014.3,1009.8,19.4,27.8,0,1
11,2009-01-12,15.4,28.3,3.4,1,50.0,2,4.0,30.0,60.0,23.0,1015.8,1014.8,17.8,26.4,1,0
12,2009-01-13,17.8,31.1,0.2,4,35.0,4,11.0,17.0,60.0,23.0,1019.4,1015.0,22.7,29.3,0,0
13,2009-01-14,15.1,38.4,0.0,1,37.0,1,4.0,13.0,60.0,23.0,1014.6,1009.5,22.3,37.0,0,0
14,2009-01-15,17.6,40.7,0.0,9,72.0,7,11.0,24.0,60.0,23.0,1008.9,1005.1,29.7,39.9,0,0
15,2009-01-16,15.9,34.9,0.4,9,63.0,5,6.0,11.0,60.0,23.0,1012.9,1007.4,19.8,30.7,0,0
16,2009-01-17,14.7,21.4,0.2,10,35.0,9,11.0,17.0,60.0,23.0,1020.8,1020.1,15.9,20.0,0,0
17,2009-01-18,10.7,28.0,0.0,4,33.0,1,4.0,11.0,60.0,23.0,1022.1,1018.5,18.0,27.1,0,0
18,2009-01-19,11.6,33.5,0.0,2,41.0,4,6.0,19.0,60.0,23.0,1019.4,1013.5,18.9,31.9,0,0
19,2009-01-20,15.4,39.0,0.0,6,44.0,7,4.0,19.0,60.0,19.0,1013.7,1008.8,22.7,38.5,0,0
20,2009-01-21,21.6,38.9,0.0,11,46.0,7,9.0,17.0,61.0,26.0,1011.7,1006.6,26.5,38.1,0,1
21,2009-01-22,21.2,32.6,1.6,7,48.0,6,13.0,22.0,65.0,48.0,1008.9,1005.7,26.0,30.9,1,0
22,2009-01-23,23.0,36.4,0.2,2,46.0,1,17.0,19.0,53.0,40.0,1008.9,1006.0,29.6,35.0,0,0
23,2009-01-24,23.0,41.0,0.0,9,69.0,14,20.0,35.0,51.0,23.0,1004.8,1002.6,32.6,40.5,0,0
24,2009-01-25,19.8,27.6,0.0,0,33.0,1,15.0,13.0,57.0,40.0,1019.8,1017.4,21.5,27.2,0,0
25,2009-01-26,21.1,30.7,0.0,2,39.0,9,9.0,19.0,64.0,51.0,1019.4,1018.1,22.5,30.1,0,1
26,2009-01-27,19.8,29.2,10.6,8,28.0,9,9.0,9.0,99.0,63.0,1021.4,1019.1,20.3,27.3,1,0
27,2009-01-28,18.1,35.1,0.2,1,33.0,4,7.0,17.0,99.0,38.0,1018.7,1014.6,19.3,32.9,0,0
28,2009-01-29,16.9,34.7,0.0,1,35.0,5,6.0,11.0,89.0,37.0,1018.8,1014.9,21.5,32.8,0,0
29,2009-01-30,17.6,34.8,0.0,1,37.0,5,6.0,13.0,74.0,32.0,1018.5,1014.2,24.3,33.3,0,0
30,2009-01-31,17.5,37.5,0.0,0,35.0,1,6.0,15.0,76.0,31.0,1017.4,1012.1,23.5,36.6,0,0
31,2009-02-01,19.7,33.3,0.0,9,39.0,2,13.0,26.0,71.0,43.0,1015.6,1014.4,24.8,31.8,0,0
32,2009-02-02,19.5,35.5,0.0,0,37.0,1,0.0,15.0,75.0,36.0,1016.3,1010.4,25.0,34.0,0,0
33,2009-02-03,20.5,34.0,0.0,9,46.0,10,6.0,28.0,69.0,37.0,1010.8,1008.7,24.0,31.9,0,0
34,2009-02-04,21.6,33.2,0.0,0,31.0,5,2.0,11.0,77.0,43.0,1011.6,1007.9,23.9,31.8,0,0
35,2009-02-05,19.7,40.1,0.0,1,35.0,4,2.0,15.0,76.0,26.0,1009.2,1004.1,25.0,38.3,0,0
36,2009-02-06,22.1,41.3,0.0,1,44.0,4,11.0,20.0,71.0,23.0,1010.8,1006.2,26.0,40.4,0,0
37,2009-02-07,21.7,41.9,0.0,1,43.0,4,4.0,24.0,64.0,18.0,1013.4,1008.7,26.1,41.0,0,0
38,2009-02-08,17.6,41.4,0.0,9,43.0,5,9.0,11.0,54.0,24.0,1010.8,1005.7,24.3,39.5,0,0
39,2009-02-09,21.6,23.5,0.0,8,30.0,9,11.0,15.0,83.0,71.0,1012.1,1011.6,22.0,22.5,0,1
40,2009-02-10,17.3,19.8,2.8,9,24.0,8,9.0,9.0,95.0,97.0,1011.4,1010.2,18.2,19.2,1,1
41,2009-02-11,16.2,21.8,4.6,8,35.0,11,13.0,19.0,84.0,64.0,1011.6,1011.8,16.7,21.1,1,0
42,2009-02-12,15.6,20.6,0.0,9,39.0,8,17.0,17.0,75.0,69.0,1017.8,1018.6,18.1,20.1,0,1
43,2009-02-13,15.0,18.9,7.6,9,50.0,9,11.0,19.0,97.0,91.0,1026.1,1024.9,15.3,17.3,1,1
44,2009-02-14,15.0,18.4,18.2,8,28.0,11,17.0,15.0,96.0,96.0,1023.3,1019.2,15.6,17.8,1,1
45,2009-02-15,15.6,21.7,27.6,8,35.0,12,17.0,17.0,93.0,90.0,1015.2,1014.1,17.6,20.1,1,1
46,2009-02-16,16.5,24.4,39.8,9,52.0,9,11.0,31.0,97.0,60.0,1018.1,1017.4,18.3,22.5,1,1
47,2009-02-17,16.5,21.8,3.4,9,31.0,10,9.0,13.0,94.0,67.0,1017.3,1015.7,18.2,21.4,1,1
48,2009-02-18,17.4,27.4,13.6,11,35.0,11,17.0,15.0,83.0,55.0,1011.0,1008.4,20.5,26.4,1,0
49,2009-02-19,18.9,29.7,0.0,13,59.0,3,15.0,17.0,73.0,76.0,1008.0,1005.3,23.1,24.5,0,1
50,2009-02-20,18.8,32.4,5.0,9,41.0,1,6.0,11.0,82.0,43.0,1011.8,1008.6,21.2,31.6,1,0
51,2009-02-21,20.8,26.8,0.2,9,41.0,0,2.0,11.0,90.0,87.0,1013.2,1012.6,22.0,21.7,0,1
52,2009-02-22,18.5,26.1,24.6,9,28.0,1,6.0,7.0,89.0,60.0,1018.9,1017.0,19.6,24.9,1,0
53,2009-02-23,19.5,31.6,0.2,6,54.0,4,13.0,22.0,76.0,56.0,1016.9,1011.6,22.5,31.1,0,1
