,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,14.8,31.8,0.4,0,46.0,2,9,28.0,20.0,62.0,28.0,18.2,30.1,0,0
1,2009-01-02,14.7,37.6,0.0,5,43.0,4,6,24.0,17.0,58.0,22.0,21.2,35.7,0,0
2,2009-01-03,15.8,32.0,0.0,11,54.0,11,11,15.0,30.0,60.0,37.0,23.5,30.4,0,0
3,2009-01-04,17.0,30.8,0.0,0,50.0,9,2,24.0,22.0,66.0,29.0,19.0,28.7,0,0
4,2009-01-05,11.0,35.9,0.0,10,41.0,4,0,15.0,11.0,61.0,21.0,19.7,33.2,0,0
5,2009-01-06,15.6,31.8,0.0,10,44.0,9,2,19.0,19.0,67.0,32.0,20.3,30.4,0,0
6,2009-01-07,16.2,30.9,0.0,1,46.0,1,0,28.0,24.0,68.0,33.0,19.2,28.7,0,0
7,2009-01-08,15.9,34.3,0.0,2,44.0,1,0,24.0,22.0,60.0,30.0,20.7,31.9,0,0
8,2009-01-09,15.1,34.5,0.0,9,46.0,1,1,22.0,9.0,59.0,25.0,20.7,32.6,0,0
9,2009-01-10,14.3,35.3,0.0,10,50.0,4,10,15.0,11.0,52.0,23.0,21.1,34.2,0,0
10,2009-01-11,10.2,38.0,0.0,6,39.0,5,14,19.0,19.0,47.0,19.0,23.1,35.7,0,0
11,2009-01-12,23.0,42.5,0.0,7,76.0,3,11,35.0,41.0,18.0,34.0,32.0,30.2,0,0
12,2009-01-13,14.1,26.9,0.8,10,39.0,11,13,17.0,13.0,62.0,31.0,19.4,25.5,0,0
13,2009-01-14,8.7,28.3,0.0,9,41.0,0,10,9.0,19.0,58.0,32.0,19.6,27.2,0,0
14,2009-01-15,10.2,31.9,0.0,0,39.0,0,0,26.0,22.0,59.0,22.0,19.4,29.7,0,0
15,2009-01-16,14.6,37.0,0.0,4,39.0,5,5,26.0,19.0,54.0,13.0,21.2,35.1,0,0
16,2009-01-17,21.2,39.0,0.0,11,54.0,6,8,24.0,31.0,20.0,28.0,28.9,33.7,0,0
17,2009-01-18,18.1,25.8,0.0,8,46.0,9,8,19.0,35.0,73.0,55.0,19.9,24.2,0,1
18,2009-01-19,15.0,18.2,16.8,10,41.0,9,8,24.0,22.0,94.0,94.0,15.4,16.0,1,1
19,2009-01-20,13.0,26.5,11.2,9,31.0,9,11,11.0,19.0,62.0,44.0,16.1,24.6,1,0
20,2009-01-21,10.9,33.7,0.0,15,48.0,3,13,4.0,28.0,70.0,23.0,19.2,31.1,0,0
21,2009-01-22,16.8,29.3,0.0,11,39.0,12,11,19.0,15.0,74.0,34.0,20.5,27.5,0,0
22,2009-01-23,13.0,30.2,0.0,8,44.0,15,11,22.0,24.0,64.0,37.0,22.4,29.3,0,0
23,2009-01-24,10.6,33.8,0.0,10,44.0,5,11,15.0,11.0,66.0,24.0,18.6,31.6,0,0
24,2009-01-25,12.5,37.0,0.0,9,50.0,1,4,15.0,15.0,52.0,19.0,22.6,34.6,0,0
25,2009-01-26,20.8,43.4,0.0,6,57.0,5,3,30.0,33.0,22.0,14.0,28.9,41.4,0,1
26,2009-01-27,18.0,21.9,7.4,8,33.0,10,0,19.0,13.0,94.0,92.0,18.2,20.6,1,1
27,2009-01-28,18.1,20.8,47.8,0,26.0,1,2,11.0,11.0,95.0,94.0,19.4,20.7,1,1
28,2009-01-29,17.6,24.8,28.8,2,39.0,8,9,13.0,19.0,95.0,72.0,19.5,23.6,1,0
29,2009-01-30,17.2,25.4,0.0,0,39.0,2,0,19.0,20.0,89.0,66.0,18.0,24.8,0,0
30,2009-01-31,17.2,24.3,0.0,2,33.0,0,0,20.0,20.0,89.0,74.0,18.6,23.3,0,0
31,2009-02-01,18.3,32.6,0.0,2,31.0,0,2,15.0,13.0,80.0,50.0,22.5,31.8,0,0
32,2009-02-02,17.6,34.0,0.0,9,35.0,0,0,20.0,17.0,65.0,41.0,24.3,33.1,0,0
33,2009-02-03,17.2,38.6,0.0,11,44.0,6,8,13.0,31.0,56.0,46.0,27.5,34.0,0,0
34,2009-02-04,18.2,25.7,0.0,8,46.0,8,10,17.0,30.0,90.0,55.0,19.2,24.2,0,0
35,2009-02-05,13.9,24.2,0.0,8,39.5,0,1,17.0,13.0,76.0,52.0,18.0,25.6,0,0
36,2009-02-06,13.25,22.7,0.0,0,33.0,2,8,11.0,20.0,79.0,83.0,19.3,19.6,0,0
37,2009-02-07,12.6,22.2,0.0,10,44.0,11,8,20.0,24.0,61.0,58.0,19.1,20.6,0,0
38,2009-02-08,6.2,25.1,0.0,2,43.0,0,9,15.0,22.0,54.0,38.0,17.9,24.5,0,0
39,2009-02-09,9.1,25.3,0.0,2,46.0,0,0,24.0,26.0,57.0,41.0,20.0,24.5,0,0
