,Date,MinTemp,MaxTemp,Rainfall,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-02-01,19.5,22.4,15.6,8,11,17.0,20.0,92.0,84.0,1017.6,1017.4,20.7,20.9,1,1
1,2008-02-02,19.5,25.6,6.0,13,0,9.0,13.0,83.0,73.0,1017.9,1016.4,22.4,24.8,1,1
2,2008-02-03,21.6,24.5,6.6,2,2,17.0,2.0,88.0,86.0,1016.7,1015.6,23.5,23.0,1,1
3,2008-02-04,20.2,22.8,18.8,5,0,22.0,20.0,83.0,90.0,1014.2,1011.8,21.4,20.9,1,1
4,2008-02-05,19.7,25.7,77.4,5,13,11.0,6.0,88.0,74.0,1008.3,1004.8,22.5,25.5,1,1
5,2008-02-06,20.2,27.2,1.6,13,1,9.0,22.0,69.0,62.0,1002.7,998.6,23.8,26.0,1,1
6,2008-02-07,18.6,26.3,6.2,13,8,15.0,15.0,75.0,80.0,999.0,1000.3,21.7,22.3,1,1
7,2008-02-08,17.2,22.3,27.6,8,9,7.0,15.0,77.0,61.0,1008.3,1007.4,18.9,21.1,1,1
8,2008-02-09,16.4,20.8,12.6,11,13,19.0,9.0,92.0,91.0,1006.4,1007.6,17.1,16.5,1,1
9,2008-02-10,14.6,24.2,8.8,13,10,11.0,20.0,80.0,53.0,1014.0,1013.4,17.2,23.3,1,0
10,2008-02-11,16.4,23.9,0.0,14,0,9.0,26.0,78.0,53.0,1017.6,1015.3,18.9,23.7,0,0
11,2008-02-12,18.9,27.3,0.0,3,4,7.0,24.0,68.0,67.0,1010.7,1007.5,22.9,24.7,0,1
12,2008-02-13,18.4,22.8,14.4,8,8,24.0,30.0,87.0,70.0,1009.2,1011.7,20.9,21.0,1,1
13,2008-02-14,16.9,24.3,3.0,11,10,15.0,19.0,81.0,51.0,1017.2,1016.5,18.4,23.3,1,0
14,2008-02-15,18.3,24.4,0.0,12,10,19.0,22.0,80.0,56.0,1020.2,1018.9,19.5,23.8,0,0
15,2008-02-16,16.7,24.1,0.0,14,10,11.0,26.0,77.0,52.0,1023.0,1022.6,19.8,23.3,0,0
16,2008-02-17,19.5,24.8,0.0,9,2,13.0,24.0,63.0,62.0,1024.7,1023.1,21.8,23.4,0,0
17,2008-02-18,18.6,25.3,0.0,10,1,13.0,24.0,70.0,59.0,1021.7,1019.4,21.2,23.8,0,0
18,2008-02-19,19.0,24.8,0.0,14,0,7.0,17.0,79.0,65.0,1018.0,1015.4,20.8,23.4,0,0
19,2008-02-20,18.3,26.4,0.0,13,0,13.0,22.0,80.0,60.0,1013.4,1010.8,21.3,25.2,0,0
20,2008-02-21,20.6,26.8,0.0,14,9,4.0,15.0,86.0,62.0,1011.4,1009.7,22.1,24.9,0,0
21,2008-02-22,19.1,25.4,0.4,14,0,11.0,28.0,77.0,66.0,1009.2,1003.1,22.3,24.9,0,0
22,2008-02-23,20.5,26.0,0.0,15,2,20.0,24.0,38.0,45.0,1007.4,1007.0,22.5,24.0,0,0
23,2008-02-24,16.5,28.3,0.0,14,2,11.0,24.0,48.0,40.0,1007.9,1008.0,21.2,26.1,0,0
24,2008-02-25,20.5,24.2,0.0,0,0,15.0,20.0,58.0,54.0,1017.5,1016.9,21.6,23.5,0,0
25,2008-02-26,19.3,26.2,0.0,15,0,2.0,28.0,73.0,65.0,1018.3,1015.6,23.0,25.8,0,1
26,2008-02-27,19.0,29.0,22.2,15,5,0.0,15.0,82.0,52.0,1014.1,1010.6,21.3,24.7,1,1
27,2008-02-28,17.9,21.4,4.2,8,2,20.0,9.0,77.0,88.0,1010.0,1010.1,20.4,19.2,1,1
28,2008-02-29,14.7,20.6,33.0,12,8,24.0,28.0,65.0,51.0,1015.3,1015.6,17.1,19.9,1,0
29,2008-03-01,12.8,22.0,0.2,13,10,19.0,31.0,55.0,46.0,1020.9,1020.6,15.9,21.2,0,1
30,2008-03-02,14.2,23.4,5.4,13,9,13.0,17.0,93.0,54.0,1026.2,1025.2,15.1,22.4,1,0
31,2008-03-03,15.0,23.1,0.2,13,1,15.0,19.0,78.0,57.0,1025.8,1022.5,18.2,22.5,0,0
32,2008-03-04,15.5,25.4,0.0,14,0,9.0,19.0,77.0,57.0,1020.5,1018.6,18.7,23.8,0,0
33,2008-03-05,18.7,25.8,0.0,8,2,19.0,22.0,72.0,64.0,1024.8,1024.2,22.6,24.1,0,0
34,2008-03-06,19.6,26.0,0.0,3,1,11.0,19.0,67.0,65.0,1024.2,1019.8,22.1,24.7,0,0
35,2008-03-07,19.9,24.9,0.0,11,10,13.0,24.0,83.0,75.0,1021.3,1020.7,22.9,23.3,0,1
36,2008-03-08,16.5,24.8,17.4,14,0,9.0,22.0,88.0,71.0,1023.4,1022.3,18.8,21.5,1,0
37,2008-03-09,16.4,24.3,0.0,13,0,9.0,19.0,82.0,64.0,1025.5,1025.2,19.7,23.8,0,0
38,2008-03-10,19.3,26.3,0.0,14,4,9.0,24.0,76.0,50.0,1025.1,1022.5,22.9,25.5,0,0
39,2008-03-11,18.6,26.1,0.0,1,0,2.0,20.0,72.0,58.0,1022.0,1021.4,21.9,26.0,0,0
