,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,17.7,35.1,0.0,8,72.0,7,7,15.0,33.0,63.0,13.0,1005.3,1000.2,22.9,34.0,0,0
1,2009-01-02,18.5,23.0,0.0,8,63.0,10,9,15.0,35.0,63.0,58.0,1012.9,1014.1,20.6,20.1,0,0
2,2009-01-03,16.9,23.2,0.0,8,64.0,2,1,15.0,17.0,52.0,50.0,1021.8,1019.4,18.9,22.0,0,0
3,2009-01-04,18.7,27.1,0.0,4,65.0,5,4,24.0,48.0,60.0,51.0,1018.5,1014.9,22.9,25.9,0,0
4,2009-01-05,20.2,31.6,0.0,5,63.0,14,4,11.0,35.0,58.0,52.0,1013.2,1008.0,24.9,29.0,0,0
5,2009-01-06,19.9,29.7,0.0,4,41.0,8,0,19.0,20.0,82.0,54.0,1011.7,1007.8,22.7,28.7,0,0
6,2009-01-07,20.6,34.9,0.0,8,59.0,10,4,15.0,26.0,79.0,52.0,1010.0,1004.7,22.3,30.3,0,0
7,2009-01-08,20.2,21.7,0.2,11,56.0,8,8,33.0,35.0,85.0,78.0,1012.4,1013.6,20.7,19.7,0,0
8,2009-01-09,17.4,22.9,0.0,10,50.0,10,9,30.0,28.0,54.0,44.0,1020.2,1018.8,19.4,22.3,0,0
9,2009-01-10,16.3,24.0,0.0,1,48.0,0,4,17.0,28.0,49.0,44.0,1017.0,1013.8,20.3,23.2,0,0
10,2009-01-11,18.0,26.6,0.0,4,54.0,5,4,24.0,33.0,57.0,48.0,1013.9,1011.3,23.1,25.7,0,0
11,2009-01-12,18.5,24.0,0.8,8,39.0,8,8,9.0,28.0,81.0,72.0,1015.5,1016.5,21.8,23.7,0,0
12,2009-01-13,19.3,27.9,0.6,5,59.0,10,4,11.0,35.0,84.0,48.0,1019.5,1016.1,21.9,26.7,0,0
13,2009-01-14,20.9,32.0,0.0,4,67.0,3,4,9.0,46.0,57.0,39.0,1014.5,1010.5,26.5,30.9,0,0
14,2009-01-15,22.6,38.8,0.0,8,81.0,1,5,6.0,26.0,42.0,43.0,1009.1,1006.6,29.6,32.0,0,1
15,2009-01-16,18.4,26.3,5.4,10,54.0,8,0,17.0,24.0,73.0,54.0,1013.0,1008.9,20.5,25.5,1,0
16,2009-01-17,17.1,20.7,0.0,8,54.0,10,8,43.0,33.0,58.0,57.0,1020.2,1020.8,18.8,19.8,0,0
17,2009-01-18,14.4,25.0,0.0,1,43.0,15,1,9.0,30.0,65.0,43.0,1022.0,1019.8,19.3,23.5,0,0
18,2009-01-19,17.0,27.3,0.0,5,59.0,3,4,22.0,37.0,53.0,49.0,1019.2,1014.7,22.2,25.6,0,0
19,2009-01-20,19.5,31.7,0.0,4,67.0,3,4,7.0,41.0,51.0,38.0,1013.8,1009.9,25.8,31.1,0,1
20,2009-01-21,20.9,33.7,3.0,11,59.0,7,4,13.0,39.0,57.0,45.0,1011.8,1007.6,27.6,31.2,1,0
21,2009-01-22,22.6,34.6,0.6,3,63.0,6,3,26.0,39.0,42.0,40.0,1008.7,1004.8,29.4,33.0,0,0
22,2009-01-23,24.7,32.1,0.0,4,80.0,11,2,13.0,20.0,80.0,56.0,1009.3,1007.3,25.3,29.8,0,0
23,2009-01-24,24.1,41.8,0.0,8,69.0,7,9,11.0,31.0,52.0,37.0,1004.6,1002.9,31.7,34.4,0,0
24,2009-01-25,19.6,25.0,0.0,10,44.0,8,9,22.0,20.0,69.0,52.0,1019.5,1018.5,20.2,24.0,0,0
25,2009-01-26,20.1,24.9,0.0,8,39.0,8,8,17.0,30.0,81.0,81.0,1019.4,1019.3,21.4,24.1,0,1
26,2009-01-27,19.8,24.6,8.2,4,39.0,8,8,24.0,15.0,98.0,96.0,1021.1,1020.1,20.2,21.5,1,0
27,2009-01-28,19.5,29.4,0.2,4,54.0,3,4,24.0,35.0,73.0,50.0,1018.4,1015.5,24.6,29.2,0,0
28,2009-01-29,20.7,30.0,0.0,4,57.0,3,4,13.0,37.0,70.0,59.0,1018.5,1016.2,25.5,28.7,0,0
29,2009-01-30,20.4,30.2,0.0,4,61.0,5,5,15.0,41.0,65.0,48.0,1018.7,1015.4,24.9,29.6,0,0
30,2009-01-31,21.6,31.2,0.0,5,61.0,5,4,15.0,31.0,76.0,51.0,1017.4,1013.9,24.8,29.5,0,0
31,2009-02-01,20.9,28.2,0.0,0,41.0,10,10,17.0,24.0,78.0,69.0,1016.3,1016.2,23.5,26.9,0,0
32,2009-02-02,22.7,30.4,0.0,4,63.0,4,4,13.0,33.0,70.0,48.0,1016.2,1011.8,26.4,29.8,0,0
33,2009-02-03,21.9,28.3,0.0,8,46.0,5,10,13.0,24.0,59.0,63.0,1010.9,1010.2,25.8,26.4,0,0
34,2009-02-04,21.3,28.0,0.0,1,37.0,10,0,19.0,24.0,86.0,64.0,1011.7,1009.2,23.5,27.3,0,0
35,2009-02-05,22.6,31.5,0.0,4,63.0,3,4,17.0,31.0,67.0,52.0,1009.1,1005.4,26.6,30.7,0,0
36,2009-02-06,21.4,31.7,0.0,5,59.0,9,1,17.0,30.0,81.0,53.0,1011.2,1008.1,23.8,30.8,0,0
37,2009-02-07,21.5,34.9,0.0,4,67.0,5,4,9.0,44.0,57.0,32.0,1013.3,1009.9,27.1,31.9,0,0
38,2009-02-08,22.0,31.1,0.0,8,59.0,5,4,20.0,39.0,64.0,43.0,1010.8,1007.1,25.2,30.2,0,0
39,2009-02-09,20.0,21.5,0.0,8,57.0,11,11,35.0,31.0,92.0,88.0,1012.0,1011.7,20.3,19.8,0,1
40,2009-02-10,17.8,19.5,1.2,8,54.0,11,8,17.0,31.0,93.0,88.0,1012.0,1010.2,18.4,18.7,1,1
41,2009-02-11,17.4,22.1,2.8,11,56.0,11,11,35.0,33.0,81.0,70.0,1011.4,1011.3,17.8,21.4,1,1
42,2009-02-12,17.0,21.5,4.8,11,54.0,11,9,28.0,31.0,80.0,64.0,1017.6,1019.0,19.1,19.9,1,1
43,2009-02-13,17.0,20.2,1.8,9,52.0,9,0,35.0,28.0,81.0,95.0,1025.5,1025.1,18.5,17.6,1,1
44,2009-02-14,16.5,21.3,41.8,9,52.0,2,9,28.0,22.0,66.0,82.0,1023.1,1019.5,19.3,18.4,1,1
45,2009-02-15,17.0,23.2,14.0,10,54.0,8,10,28.0,30.0,88.0,85.0,1014.9,1014.1,19.5,20.9,1,1
46,2009-02-16,17.8,24.6,16.6,10,61.0,9,10,35.0,37.0,75.0,58.0,1017.8,1017.8,21.5,22.8,1,1
47,2009-02-17,18.3,22.8,3.6,9,50.0,2,9,20.0,26.0,69.0,69.0,1017.0,1015.6,21.2,21.4,1,1
48,2009-02-18,18.9,25.0,15.0,9,40.5,12,10,26.0,30.0,90.0,68.0,1010.2,1008.2,20.4,24.3,1,0
49,2009-02-19,19.5,31.2,0.6,9,35.75,6,1,20.0,17.0,69.0,51.0,1007.9,1004.7,23.4,28.9,0,0
50,2009-02-20,19.9,27.4,0.0,0,31.0,14,0,7.0,24.0,69.0,63.0,1011.7,1010.1,23.5,26.2,0,0
51,2009-02-21,21.7,24.2,0.0,11,33.0,11,10,4.0,26.0,87.0,91.0,1013.4,1013.6,22.2,21.7,0,1
52,2009-02-22,20.4,25.1,2.6,11,30.0,9,9,17.0,19.0,63.0,61.0,1018.5,1017.5,22.3,23.9,1,0
53,2009-02-23,19.8,28.8,0.0,4,52.0,3,4,9.0,31.0,70.0,58.0,1016.9,1012.7,23.6,27.6,0,0
54,2009-02-24,20.2,27.8,0.0,8,56.0,7,10,17.0,30.0,68.0,77.0,1014.1,1013.5,24.3,24.3,0,0
55,2009-02-25,20.6,25.8,0.0,9,37.0,8,9,13.0,24.0,89.0,66.0,1016.7,1014.8,21.4,25.1,0,0
56,2009-02-26,19.3,23.0,0.0,8,48.0,13,8,13.0,33.0,79.0,59.0,1020.4,1018.8,19.7,22.6,0,0
57,2009-02-27,18.7,23.9,0.0,11,33.0,11,9,22.0,20.0,74.0,50.0,1018.0,1015.7,20.3,23.0,0,0
58,2009-02-28,17.8,27.7,0.0,4,37.0,6,1,15.0,28.0,60.0,53.0,1009.6,1006.6,21.7,26.8,0,0
59,2009-03-01,21.3,26.1,0.0,9,31.0,0,2,11.0,19.0,66.0,56.0,1010.8,1010.8,23.2,25.1,0,0
60,2009-03-02,21.3,26.6,0.0,1,44.0,5,1,11.0,24.0,65.0,56.0,1016.5,1015.1,23.6,25.3,0,0
61,2009-03-03,21.3,28.3,0.0,4,44.0,5,4,24.0,30.0,58.0,51.0,1017.9,1014.9,24.7,26.2,0,0
62,2009-03-04,22.9,25.9,0.0,15,57.0,3,15,9.0,20.0,66.0,46.0,1007.9,1008.7,25.4,22.9,0,0
63,2009-03-05,15.6,23.2,0.0,15,50.0,15,10,35.0,24.0,39.0,39.0,1009.8,1009.0,19.2,22.6,0,1
64,2009-03-06,14.1,23.7,17.6,1,43.0,7,2,11.0,20.0,61.0,45.0,1013.5,1011.4,18.6,22.8,1,0
65,2009-03-07,18.2,25.5,0.0,11,30.0,11,9,19.0,24.0,80.0,63.0,1014.3,1011.8,20.4,24.8,0,0
66,2009-03-08,20.3,22.9,0.0,8,50.0,11,8,22.0,31.0,85.0,89.0,1017.8,1018.8,21.8,20.4,0,0
67,2009-03-09,17.9,24.3,0.0,4,39.0,11,9,19.0,15.0,93.0,71.0,1022.2,1020.3,19.0,23.0,0,0
68,2009-03-10,19.0,25.1,0.2,1,39.0,4,0,20.0,26.0,64.0,52.0,1022.0,1021.4,23.1,24.5,0,0
69,2009-03-11,19.4,23.9,0.4,0,41.0,2,0,22.0,30.0,61.0,69.0,1023.9,1022.8,22.8,22.3,0,0
70,2009-03-12,18.2,26.8,0.0,0,34.5,4,1,4.0,26.0,72.0,47.0,1023.0,1020.1,22.4,25.3,0,0
71,2009-03-13,19.6,25.8,0.0,4,28.0,14,13,6.0,6.0,84.0,68.0,1018.5,1016.0,21.4,24.5,0,0
72,2009-03-14,19.6,29.3,0.0,14,69.0,3,4,7.0,28.0,76.0,59.0,1014.7,1009.8,23.2,27.8,0,1
73,2009-03-15,18.5,27.3,25.6,0,35.0,14,0,13.0,24.0,79.0,54.0,1010.6,1007.4,22.1,26.7,1,0
74,2009-03-16,15.9,27.6,0.2,15,43.0,13,7,17.0,11.0,41.0,21.0,1011.9,1008.0,18.5,27.4,0,0
75,2009-03-17,15.2,24.1,0.0,11,41.0,13,8,24.0,24.0,42.0,59.0,1013.4,1012.6,19.1,22.3,0,0
76,2009-03-18,16.9,26.3,0.0,4,43.0,14,4,9.0,30.0,71.0,47.0,1019.0,1015.9,20.1,25.8,0,0
77,2009-03-19,17.1,30.4,0.0,4,40.0,7,1,15.0,24.0,67.0,53.0,1016.6,1013.3,21.7,28.2,0,0
78,2009-03-20,19.9,28.6,0.0,0,37.0,11,1,9.0,28.0,91.0,54.0,1017.5,1016.4,21.9,26.6,0,0
79,2009-03-21,19.9,26.3,0.0,0,47.0,11,0,11.0,22.0,87.0,53.0,1018.9,1017.1,21.6,25.5,0,0
80,2009-03-22,17.7,28.0,0.0,5,57.0,7,4,13.0,28.0,71.0,49.0,1017.9,1014.8,21.4,27.0,0,1
81,2009-03-23,18.5,27.9,1.4,5,46.0,5,4,17.0,28.0,61.0,51.0,1017.0,1014.8,23.8,27.5,1,0
82,2009-03-24,20.0,28.2,0.0,4,54.0,5,4,15.0,35.0,63.0,53.0,1018.1,1015.9,24.7,27.7,0,0
83,2009-03-25,21.2,29.1,0.0,5,50.0,4,4,9.0,31.0,66.0,52.0,1019.6,1017.0,23.7,28.0,0,1
84,2009-03-26,20.4,30.9,3.8,11,56.0,3,4,9.0,19.0,67.0,52.0,1019.5,1016.2,24.3,28.4,1,0
85,2009-03-27,19.6,22.4,0.8,8,56.0,10,10,26.0,24.0,76.0,61.0,1024.0,1023.9,20.6,21.7,0,0
86,2009-03-28,16.5,24.9,0.4,0,35.0,7,0,7.0,26.0,73.0,46.0,1025.5,1022.9,20.0,24.0,0,0
87,2009-03-29,16.2,26.9,0.0,0,47.0,7,4,11.0,28.0,67.0,49.0,1023.7,1021.3,19.9,24.9,0,0
88,2009-03-30,18.7,24.8,0.0,9,59.0,10,10,13.0,26.0,88.0,64.0,1024.3,1022.3,20.2,24.1,0,1
89,2009-03-31,19.4,22.0,1.6,9,65.0,9,9,33.0,35.0,88.0,89.0,1022.0,1020.4,20.7,20.4,1,1
90,2009-04-01,18.8,25.2,43.4,2,56.0,2,2,33.0,30.0,95.0,66.0,1021.4,1021.1,20.3,24.8,1,1
91,2009-04-02,19.8,25.3,4.0,0,44.0,0,1,24.0,19.0,93.0,76.0,1023.4,1021.8,20.6,23.9,1,1
92,2009-04-03,19.5,26.8,5.2,4,43.0,3,4,9.0,26.0,88.0,66.0,1020.9,1016.6,22.3,25.4,1,1
93,2009-04-04,18.1,20.2,1.2,8,59.0,8,8,48.0,35.0,88.0,66.0,1017.3,1019.2,18.3,19.3,1,0
94,2009-04-05,16.9,23.9,0.0,5,43.0,7,4,9.0,28.0,67.0,58.0,1020.0,1014.1,19.7,23.0,0,0
95,2009-04-06,16.8,19.7,0.0,8,54.0,8,8,39.0,33.0,76.0,64.0,1020.6,1019.7,18.7,18.9,0,0
96,2009-04-07,17.0,19.6,0.0,8,54.0,8,8,28.0,30.0,66.0,61.0,1025.6,1024.5,18.6,18.9,0,0
97,2009-04-08,12.5,20.8,0.0,11,44.0,11,10,20.0,24.0,66.0,66.0,1026.9,1024.9,18.7,20.0,0,0
98,2009-04-09,15.0,23.2,0.0,0,31.0,15,1,9.0,20.0,70.0,56.0,1025.4,1022.0,19.5,22.1,0,0
99,2009-04-10,15.3,25.6,0.0,6,22.0,7,2,13.0,13.0,68.0,56.0,1023.6,1020.6,20.4,23.8,0,0
100,2009-04-11,16.9,24.8,0.0,0,19.0,6,0,7.0,15.0,70.0,58.0,1025.2,1022.7,21.6,23.8,0,0
101,2009-04-12,18.5,26.2,0.4,0,31.0,7,0,13.0,17.0,81.0,56.0,1023.0,1020.2,21.4,25.2,0,0
102,2009-04-13,20.3,22.4,0.0,12,43.0,9,11,19.0,20.0,82.0,96.0,1022.5,1019.2,21.4,19.7,0,1
103,2009-04-14,17.8,26.3,83.2,12,43.0,14,0,15.0,24.0,84.0,67.0,1015.0,1010.9,20.2,23.6,1,1
104,2009-04-15,16.2,30.1,19.4,12,43.0,14,14,19.0,35.0,65.0,21.0,1011.1,1006.3,21.1,29.7,1,0
105,2009-04-16,15.2,24.7,0.0,11,43.0,14,1,15.0,19.0,38.0,36.0,1015.3,1011.4,18.0,23.3,0,0
106,2009-04-17,13.1,21.5,0.0,8,43.0,15,8,15.0,28.0,43.0,64.0,1016.3,1015.8,19.4,20.9,0,0
107,2009-04-18,14.1,21.1,0.0,8,59.0,11,8,30.0,41.0,68.0,62.0,1020.1,1018.3,19.6,20.2,0,1
108,2009-04-19,16.0,21.5,4.2,8,60.0,11,10,46.0,43.0,86.0,65.0,1019.6,1017.9,16.7,20.8,1,1
109,2009-04-20,16.2,20.7,5.0,8,61.0,8,8,37.0,33.0,55.0,72.0,1020.4,1018.8,19.1,18.7,1,1
110,2009-04-21,15.8,21.8,1.4,8,52.0,9,8,30.0,30.0,62.0,87.0,1022.8,1021.6,19.9,17.3,1,1
111,2009-04-22,15.6,22.0,7.4,9,46.0,2,10,19.0,24.0,86.0,72.0,1024.3,1022.4,17.6,19.1,1,1
112,2009-04-23,14.9,21.0,3.4,15,26.0,7,9,9.0,13.0,79.0,61.0,1021.7,1018.1,18.6,20.4,1,0
113,2009-04-24,13.0,24.9,0.0,7,56.0,7,4,13.0,24.0,71.0,61.0,1012.7,1006.2,18.0,23.1,0,0
114,2009-04-25,15.7,24.2,0.0,7,65.0,3,14,20.0,31.0,45.0,35.0,1004.2,1002.1,20.3,23.7,0,0
115,2009-04-26,16.2,20.6,0.0,7,74.0,7,14,43.0,43.0,37.0,22.0,1002.7,1002.9,17.9,19.9,0,0
116,2009-04-27,11.4,19.4,0.0,14,50.0,14,13,35.0,31.0,37.0,26.0,1013.3,1012.7,15.2,18.4,0,0
117,2009-04-28,9.8,21.5,0.0,15,59.0,6,15,2.0,43.0,59.0,30.0,1015.3,1015.1,15.8,19.8,0,0
118,2009-04-29,9.7,16.9,0.0,8,59.0,14,11,15.0,33.0,55.0,69.0,1022.2,1019.6,13.9,15.8,0,1
