,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,24.4,31.4,23.6,1,33.0,4,1,11.0,26.0,72.0,74.0,1011.9,1008.9,30.1,30.1,1,0
1,2008-12-02,25.9,31.7,0.6,1,37.0,0,1,19.0,28.0,72.0,70.0,1012.4,1008.9,29.7,30.4,0,1
2,2008-12-03,26.1,32.0,2.4,1,33.0,1,5,20.0,9.0,59.0,44.0,1013.5,1010.4,29.4,31.2,1,0
3,2008-12-04,23.9,31.2,0.0,4,41.0,1,4,11.0,26.0,63.0,62.0,1014.2,1011.9,29.0,30.5,0,0
4,2008-12-05,24.2,32.3,0.0,1,39.0,2,1,20.0,26.0,65.0,65.0,1015.1,1012.3,29.8,30.7,0,1
5,2008-12-06,26.2,31.8,1.4,1,35.0,4,1,22.0,28.0,74.0,66.0,1013.2,1009.2,29.9,30.9,1,0
6,2008-12-07,26.7,32.4,0.0,5,39.0,3,3,20.0,24.0,71.0,65.0,1010.6,1006.4,29.3,31.5,0,1
7,2008-12-08,22.5,30.9,76.8,11,54.0,4,1,2.0,13.0,93.0,70.0,1011.0,1006.3,24.4,30.4,1,1
8,2008-12-09,23.8,32.2,3.8,2,59.0,0,1,17.0,28.0,76.0,71.0,1010.3,1006.3,29.2,30.8,1,0
9,2008-12-10,27.5,31.5,0.0,1,39.0,1,1,20.0,28.0,72.0,73.0,1010.4,1007.2,30.2,30.7,0,0
10,2008-12-11,27.3,31.6,0.0,4,33.0,1,1,20.0,26.0,70.0,63.0,1010.8,1007.1,29.9,31.0,0,0
11,2008-12-12,25.2,31.4,0.0,1,39.0,4,1,15.0,22.0,61.0,57.0,1011.0,1008.1,29.8,30.3,0,0
12,2008-12-13,26.2,32.2,0.0,3,33.0,3,3,17.0,20.0,71.0,61.0,1009.7,1005.9,29.5,31.7,0,0
13,2008-12-14,27.5,34.0,0.0,15,80.0,6,3,13.0,15.0,74.0,66.0,1006.7,1002.2,29.9,33.0,0,1
14,2008-12-15,23.4,33.8,21.2,1,28.0,12,4,17.0,17.0,36.0,42.0,1007.8,1004.8,30.7,32.3,1,0
