,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,13.1,24.2,0.0,14,61.0,14,22.0,33.0,36.0,34.0,1005.6,1003.6,19.6,23.1,0,0
1,2008-12-02,5.7,24.2,0.0,14,48.0,14,17.0,26.0,38.0,25.0,1008.8,1006.3,16.4,22.9,0,0
2,2008-12-03,9.4,25.7,0.0,14,50.0,7,11.0,24.0,35.0,26.0,1005.7,1005.9,19.4,24.6,0,0
3,2008-12-04,11.6,24.8,0.0,4,43.0,4,17.0,17.0,59.0,32.0,1017.7,1014.0,16.3,23.6,0,0
4,2008-12-05,14.6,29.1,0.4,15,35.0,15,6.0,11.0,91.0,47.0,1011.7,1007.7,15.5,25.6,0,0
5,2008-12-06,13.8,28.8,0.0,7,46.0,7,11.0,24.0,48.0,21.0,1007.6,1004.8,20.8,27.0,0,0
6,2008-12-07,16.5,26.4,0.0,15,56.0,13,15.0,24.0,38.0,12.0,1007.0,1005.2,20.8,26.2,0,0
7,2008-12-08,12.2,26.4,0.0,7,39.0,7,11.0,20.0,55.0,16.0,1012.7,1008.1,16.2,25.0,0,0
8,2008-12-09,10.0,28.1,0.0,13,41.0,14,6.0,19.0,69.0,14.0,1009.5,1004.6,17.1,26.0,0,0
9,2008-12-10,14.7,22.7,0.4,9,39.0,2,6.0,19.0,53.0,48.0,1006.5,1007.0,19.2,22.7,0,0
10,2008-12-11,13.9,23.2,0.0,1,41.0,1,9.0,20.0,68.0,49.0,1012.4,1011.0,15.9,21.0,0,1
11,2008-12-12,12.5,20.7,4.8,1,46.0,0,6.0,11.0,92.0,90.0,1012.7,1006.7,12.9,14.4,1,1
12,2008-12-13,12.8,22.1,55.6,14,67.0,14,33.0,37.0,61.0,65.0,992.8,992.6,20.5,17.9,1,0
