,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,9.9,28.4,0.0,14,59.0,7,13,7.0,35.0,37.0,24.0,1005.2,1003.5,20.8,27.0,0,0
1,2009-01-02,8.9,25.3,0.0,15,48.0,12,12,22.0,28.0,37.0,10.0,1013.9,1012.9,14.7,23.2,0,0
2,2009-01-03,11.0,30.7,0.0,4,39.0,1,5,26.0,9.0,43.0,18.0,1017.8,1014.3,18.9,28.0,0,0
3,2009-01-04,14.7,35.2,0.0,3,39.0,4,7,17.0,13.0,46.0,19.0,1014.8,1010.6,24.7,33.7,0,0
4,2009-01-05,11.8,36.5,0.0,13,43.0,5,12,7.0,19.0,23.0,5.0,1013.1,1009.8,23.6,34.6,0,0
5,2009-01-06,12.5,39.1,0.0,12,72.0,4,13,6.0,30.0,23.0,3.0,1011.4,1007.4,25.8,37.4,0,0
6,2009-01-07,15.6,41.8,0.0,6,59.0,2,13,13.0,30.0,17.0,5.0,1006.4,1002.5,29.1,39.4,0,0
7,2009-01-08,14.5,30.4,0.0,13,54.0,15,15,19.0,28.0,38.0,8.0,1011.9,1010.9,18.9,28.5,0,0
8,2009-01-09,14.8,28.7,0.0,1,78.0,0,4,30.0,20.0,46.0,18.0,1016.9,1013.5,19.0,27.2,0,0
9,2009-01-10,15.9,29.7,0.0,1,61.0,1,1,26.0,20.0,43.0,31.0,1013.4,1008.8,19.3,27.1,0,0
10,2009-01-11,18.1,31.3,0.0,0,33.0,1,6,20.0,9.0,51.0,38.0,1010.1,1007.3,22.6,29.1,0,0
11,2009-01-12,16.5,35.4,0.0,4,39.0,1,15,9.0,15.0,53.0,17.0,1013.9,1011.8,24.9,33.9,0,0
