,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,Walpole,15.7,24.5,0.0,2.0,44.0,0.0,9.0,17.0,28.0,73.0,66.0,1016.5,1014.0,18.0,23.1,0.0,0.0
1,2009-01-02,Walpole,13.2,25.7,0.0,8.0,35.0,0.0,8.0,11.0,13.0,78.0,71.0,1013.4,1011.1,20.0,24.7,0.0,0.0
2,2009-01-03,Walpole,17.1,21.8,0.0,9.0,33.0,10.0,10.0,13.0,15.0,73.0,66.0,1017.0,1016.6,19.1,20.7,0.0,0.0
3,2009-01-04,Walpole,12.9,24.9,0.0,9.0,31.0,2.0,8.0,4.0,13.0,74.0,53.0,1019.7,1017.4,19.8,23.9,0.0,0.0
4,2009-01-05,Walpole,14.3,24.5,0.0,12.0,31.0,4.0,10.0,9.0,15.0,71.0,75.0,1017.5,1015.5,20.4,22.4,0.0,0.0
5,2009-01-06,Walpole,17.4,23.3,0.0,9.0,39.0,9.0,10.0,9.0,19.0,73.0,90.0,1018.0,1017.3,20.5,18.6,0.0,0.0
6,2009-01-07,Walpole,12.5,23.4,0.0,9.0,46.0,0.0,9.0,15.0,30.0,68.0,55.0,1020.4,1017.0,17.3,22.2,0.0,0.0
7,2009-01-08,Walpole,13.1,25.6,0.0,9.0,41.0,0.0,9.0,19.0,24.0,75.0,64.0,1020.1,1017.6,18.9,24.3,0.0,0.0
8,2009-01-09,Walpole,13.9,25.6,0.0,10.0,35.0,0.0,10.0,15.0,17.0,70.0,67.0,1019.6,1017.0,19.9,22.8,0.0,0.0
9,2009-01-10,Walpole,13.3,24.1,0.0,10.0,30.0,13.0,10.0,4.0,17.0,98.0,66.0,1016.1,1015.1,15.9,23.2,0.0,0.0
10,2009-01-11,Walpole,13.2,31.3,0.0,10.0,30.0,3.0,10.0,9.0,15.0,84.0,64.0,1011.1,1007.1,19.3,25.9,0.0,0.0
11,2009-01-12,Walpole,16.0,22.6,0.0,13.0,41.0,7.0,15.0,15.0,17.0,85.0,92.0,1005.5,1008.3,21.1,16.7,0.0,0.0
12,2009-01-13,Walpole,13.0,22.2,1.0,15.0,33.0,12.0,15.0,17.0,15.0,60.0,51.0,1016.3,1016.3,18.5,21.0,0.0,0.0
13,2009-01-14,Walpole,11.6,23.5,0.0,11.0,33.0,14.0,8.0,9.0,15.0,74.0,49.0,1019.6,1019.3,17.0,22.3,0.0,0.0
