,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,11.9,28.3,0.0,10,39.0,2,10,19.0,22.0,66.0,49.0,1015.0,1012.0,17.5,27.7,0,0
1,2009-01-02,15.1,28.8,0.0,10,50.0,9,10,11.0,22.0,65.0,48.0,1012.4,1011.4,21.0,27.9,0,0
2,2009-01-03,16.6,24.7,0.0,9,44.0,9,8,24.0,22.0,66.0,54.0,1016.9,1016.2,20.3,23.7,0,0
3,2009-01-04,13.9,29.9,0.0,10,44.0,9,10,13.0,20.0,62.0,44.0,1020.1,1016.9,19.8,29.1,0,0
4,2009-01-05,15.6,30.1,0.0,10,44.0,9,10,13.0,24.0,71.0,56.0,1017.5,1015.5,20.7,26.5,0,0
5,2009-01-06,17.5,26.1,0.0,10,54.0,9,10,20.0,24.0,66.0,58.0,1018.1,1016.2,19.9,23.8,0,0
6,2009-01-07,13.9,27.2,0.0,10,50.0,2,10,20.0,28.0,63.0,45.0,1019.0,1015.9,18.1,25.2,0,0
7,2009-01-08,13.0,27.3,0.0,10,48.0,9,9,17.0,22.0,69.0,50.0,1018.9,1017.0,17.6,26.2,0,0
8,2009-01-09,14.6,28.7,0.0,8,39.0,9,8,13.0,24.0,74.0,47.0,1019.2,1016.9,18.7,26.9,0,0
9,2009-01-10,15.6,26.7,0.0,8,37.0,10,9,13.0,19.0,99.0,50.0,1016.3,1015.0,17.6,26.0,0,0
10,2009-01-11,12.7,32.6,0.2,14,31.0,5,14,9.0,19.0,68.0,30.0,1011.3,1008.4,21.8,30.5,0,0
11,2009-01-12,14.4,21.8,0.6,15,43.0,14,12,9.0,22.0,93.0,72.0,1007.5,1010.1,20.1,19.8,0,1
12,2009-01-13,9.4,23.3,2.0,12,31.0,11,12,17.0,17.0,51.0,47.0,1017.8,1017.4,18.9,22.3,1,0
13,2009-01-14,10.4,24.6,0.0,10,43.0,9,9,9.0,15.0,64.0,41.0,1020.4,1019.0,18.0,23.4,0,0
14,2009-01-15,12.8,32.2,0.0,10,41.0,0,10,17.0,19.0,70.0,33.0,1019.5,1015.9,18.6,31.8,0,0
15,2009-01-16,14.3,37.8,0.0,14,39.0,0,13,7.0,22.0,50.0,27.0,1012.6,1011.5,25.5,32.4,0,0
16,2009-01-17,15.8,26.7,0.0,10,50.0,10,8,28.0,26.0,62.0,53.0,1017.8,1017.7,21.3,25.9,0,0
17,2009-01-18,17.0,23.4,0.0,10,57.0,9,10,17.0,31.0,73.0,55.0,1019.5,1018.3,18.1,21.1,0,0
18,2009-01-19,14.0,22.9,0.0,9,48.0,2,10,13.0,26.0,53.0,42.0,1021.5,1018.9,17.3,21.4,0,0
19,2009-01-20,9.8,24.1,0.0,15,37.0,2,12,0.0,20.0,66.0,53.0,1020.0,1018.8,17.7,23.1,0,0
20,2009-01-21,17.0,23.7,0.0,13,41.0,13,13,15.0,17.0,61.0,57.0,1016.0,1014.3,20.6,23.6,0,1
21,2009-01-22,17.2,24.2,2.6,15,31.0,11,13,11.0,17.0,96.0,64.0,1013.6,1013.4,18.5,22.3,1,0
22,2009-01-23,18.3,24.9,0.2,12,31.0,15,12,15.0,15.0,86.0,52.0,1013.4,1013.4,19.7,23.8,0,0
23,2009-01-24,8.1,26.9,0.0,12,28.0,2,12,6.0,11.0,72.0,40.0,1015.8,1014.4,18.0,26.6,0,0
24,2009-01-25,16.5,28.6,0.0,10,39.0,0,10,17.0,20.0,70.0,49.0,1016.5,1013.3,20.5,27.2,0,0
25,2009-01-26,17.9,25.5,0.0,9,35.0,10,11,19.0,19.0,77.0,55.0,1009.9,1009.7,20.3,24.1,0,0
26,2009-01-27,11.7,25.1,0.2,8,50.0,9,10,13.0,26.0,82.0,50.0,1012.7,1010.1,18.5,23.6,0,0
27,2009-01-28,17.0,20.7,0.0,10,46.0,9,10,19.0,24.0,65.0,62.0,1008.3,1007.4,18.9,19.0,0,0
28,2009-01-29,16.4,24.1,0.0,10,39.0,9,8,13.0,20.0,54.0,41.0,1011.0,1011.1,19.5,22.3,0,0
29,2009-01-30,9.8,24.7,0.0,10,50.0,9,10,13.0,26.0,64.0,60.0,1013.8,1011.7,18.2,21.9,0,0
30,2009-01-31,17.4,32.6,0.0,10,33.0,2,8,13.0,20.0,69.0,47.0,1011.6,1009.1,21.2,31.6,0,0
31,2009-02-01,20.3,31.6,0.0,10,39.0,9,12,9.0,20.0,85.0,58.0,1013.9,1012.2,22.6,29.6,0,0
32,2009-02-02,20.0,31.8,0.0,14,30.0,9,15,7.0,13.0,77.0,59.0,1012.0,1010.7,23.6,28.5,0,0
33,2009-02-03,20.1,27.1,0.0,10,41.0,10,8,15.0,20.0,72.0,54.0,1012.3,1012.0,22.0,25.7,0,0
34,2009-02-04,15.6,23.6,0.6,10,41.0,8,10,13.0,22.0,83.0,51.0,1016.6,1015.9,17.1,22.0,0,0
35,2009-02-05,15.3,23.05,0.3,10,41.0,8,10,14.0,20.0,70.0,44.0,1013.9,1012.1,17.55,23.6,0,0
36,2009-02-06,15.15,22.5,0.0,15,41.0,8,12,15.0,19.0,57.0,40.0,1011.2,1009.9,18.0,21.2,0,0
37,2009-02-07,15.0,21.9,0.4,8,48.0,8,10,17.0,28.0,53.0,43.0,1015.8,1016.4,16.9,20.6,0,0
38,2009-02-08,9.8,25.4,0.2,9,48.0,0,10,17.0,26.0,56.0,44.0,1022.4,1019.3,16.2,24.6,0,0
39,2009-02-09,12.0,30.8,0.0,2,37.0,2,2,17.0,17.0,65.0,30.0,1021.4,1018.2,17.4,29.7,0,0
40,2009-02-10,15.6,31.9,0.0,1,33.0,1,0,15.0,7.0,54.0,30.0,1018.9,1016.2,20.1,30.9,0,0
41,2009-02-11,11.9,35.8,0.0,3,44.0,1,6,11.0,20.0,43.0,20.0,1013.4,1010.5,24.4,35.2,0,0
42,2009-02-12,19.1,28.9,0.0,11,48.0,1,2,7.0,9.0,39.0,76.0,1007.8,1010.1,26.5,21.2,0,1
43,2009-02-13,16.0,21.8,1.4,9,67.0,9,9,22.0,31.0,59.0,49.0,1019.1,1018.1,17.8,20.5,1,0
44,2009-02-14,16.4,29.6,0.0,9,56.0,9,10,30.0,26.0,78.0,53.0,1014.4,1009.6,18.8,27.4,0,1
45,2009-02-15,17.2,29.1,3.8,10,33.0,9,12,15.0,17.0,75.0,47.0,1008.6,1008.2,20.6,27.2,1,0
46,2009-02-16,15.1,24.0,0.2,8,39.0,12,11,9.0,22.0,69.0,59.0,1011.8,1012.5,20.7,21.1,0,0
47,2009-02-17,14.4,23.7,0.0,10,44.0,8,10,20.0,24.0,71.0,54.0,1016.1,1015.6,18.5,22.6,0,0
48,2009-02-18,10.5,24.7,0.0,8,46.0,2,10,15.0,26.0,64.0,44.0,1017.6,1014.9,16.4,24.2,0,0
49,2009-02-19,9.7,25.8,0.0,10,46.0,2,10,13.0,24.0,72.0,46.0,1017.7,1016.1,15.0,24.2,0,0
50,2009-02-20,12.3,31.3,0.0,10,39.0,9,10,13.0,22.0,69.0,38.0,1018.9,1016.1,17.0,30.1,0,0
51,2009-02-21,14.5,33.5,0.0,8,35.0,2,14,4.0,13.0,51.0,29.0,1013.0,1010.8,22.7,31.3,0,0
52,2009-02-22,16.2,23.4,0.0,10,46.0,8,10,22.0,28.0,60.0,46.0,1016.1,1015.9,19.4,21.7,0,0
53,2009-02-23,9.6,29.3,0.0,9,31.0,9,2,11.0,9.0,70.0,33.0,1016.4,1011.7,13.4,28.7,0,0
54,2009-02-24,13.3,20.8,0.0,12,37.0,12,15,19.0,19.0,79.0,58.0,1005.7,1006.9,19.6,19.7,0,1
55,2009-02-25,14.9,20.5,3.2,13,54.0,7,15,9.0,24.0,94.0,56.0,1005.2,1005.1,15.8,17.5,1,1
56,2009-02-26,12.8,20.8,2.8,12,31.0,12,11,15.0,20.0,55.0,58.0,1016.3,1017.7,16.4,18.3,1,0
57,2009-02-27,6.8,24.3,0.2,8,31.0,4,2,4.0,7.0,71.0,41.0,1019.1,1016.0,14.5,22.8,0,0
58,2009-02-28,14.0,25.5,0.0,10,54.0,9,9,19.0,31.0,70.0,54.0,1015.9,1011.4,17.1,24.2,0,1
59,2009-03-01,15.7,25.8,27.4,8,39.0,1,11,13.0,11.0,94.0,76.0,1007.4,1004.5,17.9,24.2,1,1
60,2009-03-02,15.1,19.4,2.0,11,57.0,11,10,24.0,28.0,75.0,41.0,1010.5,1013.9,15.8,18.8,1,0
61,2009-03-03,13.1,20.3,0.2,10,43.0,10,10,15.0,24.0,53.0,45.0,1026.1,1026.6,15.5,19.6,0,0
62,2009-03-04,6.5,26.0,0.0,10,37.0,2,2,7.0,13.0,70.0,32.0,1030.2,1026.2,12.2,25.2,0,0
63,2009-03-05,8.4,28.9,0.0,9,30.0,9,13,7.0,17.0,76.0,34.0,1025.7,1023.0,15.2,27.6,0,0
64,2009-03-06,15.2,24.2,0.2,10,54.0,9,10,20.0,28.0,84.0,53.0,1023.3,1021.9,17.9,23.5,0,0
65,2009-03-07,11.1,28.0,0.2,0,31.0,2,1,15.0,11.0,78.0,36.0,1023.2,1019.9,13.7,26.9,0,0
66,2009-03-08,11.1,30.1,0.0,3,28.0,1,5,7.0,11.0,63.0,29.0,1018.0,1016.0,17.4,29.4,0,0
67,2009-03-09,9.8,31.7,0.0,14,26.0,1,13,0.0,17.0,77.0,28.0,1017.0,1015.8,17.1,30.4,0,0
68,2009-03-10,11.4,35.1,0.0,7,35.0,9,14,6.0,19.0,77.0,26.0,1014.5,1012.6,17.7,33.2,0,0
69,2009-03-11,12.6,22.9,0.0,8,39.0,8,10,15.0,22.0,78.0,64.0,1014.3,1015.7,20.6,19.9,0,0
70,2009-03-12,8.7,22.8,0.0,12,35.0,2,8,6.0,22.0,71.0,44.0,1017.6,1015.9,15.1,21.5,0,0
71,2009-03-13,10.0,21.6,0.0,8,43.0,10,10,13.0,24.0,57.0,41.0,1021.4,1022.2,17.8,20.2,0,0
72,2009-03-14,7.5,25.7,0.0,10,39.0,9,9,11.0,17.0,69.0,33.0,1024.8,1019.9,12.2,24.2,0,0
73,2009-03-15,11.0,32.5,0.0,4,30.0,2,2,9.0,11.0,67.0,30.0,1016.9,1012.8,15.6,31.2,0,0
74,2009-03-16,13.1,29.0,0.0,6,35.0,3,7,15.0,20.0,93.0,55.0,1011.4,1010.6,19.7,26.1,0,0
75,2009-03-17,17.8,23.5,0.2,6,37.0,14,14,20.0,30.0,75.0,61.0,1010.4,1010.7,19.7,21.3,0,0
76,2009-03-18,15.85,20.5,0.1,12,39.0,12,12,11.0,15.0,56.0,56.0,1017.5,1018.0,16.5,18.4,0,0
77,2009-03-19,13.9,22.5,0.0,7,41.0,14,14,11.0,19.0,57.0,56.0,1016.9,1013.6,17.2,20.1,0,0
