,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,15.7,27.4,0.4,10,70.0,0,0,20.0,19.0,67.0,63.0,1007.9,1003.3,18.1,23.9,0,0
1,2008-12-02,15.7,27.4,0.4,10,70.0,0,0,20.0,19.0,67.0,63.0,1010.9,1006.8,18.1,23.9,0,0
2,2008-12-03,15.7,27.4,0.4,10,70.0,0,0,20.0,19.0,67.0,63.0,1007.8,1005.8,18.1,23.9,0,0
3,2008-12-04,15.7,21.5,0.4,4,39.0,0,1,20.0,22.0,67.0,65.0,1020.3,1018.9,18.1,19.5,0,0
4,2008-12-05,18.0,27.7,0.0,1,41.0,5,5,22.0,19.0,79.0,75.0,1014.3,1009.2,20.1,23.4,0,0
5,2008-12-06,18.6,32.5,0.2,10,44.0,9,10,6.0,22.0,57.0,81.0,1006.0,1004.4,27.6,21.2,0,0
6,2008-12-07,17.9,23.6,0.6,10,50.0,14,10,28.0,28.0,67.0,80.0,1007.2,1008.9,21.0,20.4,0,1
7,2008-12-08,15.3,21.9,11.2,1,54.0,8,1,11.0,37.0,79.0,77.0,1014.8,1011.9,18.7,20.4,1,1
8,2008-12-09,17.1,23.4,3.0,4,57.0,1,4,15.0,44.0,74.0,78.0,1010.2,1005.8,21.4,22.9,1,0
9,2008-12-10,17.8,20.2,0.0,11,59.0,10,10,44.0,37.0,77.0,80.0,1008.6,1010.8,20.1,18.5,0,1
10,2008-12-11,15.6,18.5,15.0,0,33.0,0,0,13.0,20.0,93.0,72.0,1014.9,1015.9,16.5,17.9,1,1
11,2008-12-12,16.3,22.8,3.4,5,67.0,5,4,28.0,24.0,89.0,94.0,1015.5,1010.0,17.1,17.5,1,1
12,2008-12-13,16.1,31.6,48.4,7,91.0,3,13,22.0,30.0,84.0,30.0,994.0,990.7,22.5,31.2,1,0
13,2008-12-14,18.2,25.0,0.0,14,85.0,15,13,30.0,33.0,43.0,33.0,996.1,996.8,20.5,24.6,0,0
14,2008-12-15,15.4,20.7,0.6,11,56.0,11,10,31.0,28.0,47.0,54.0,1007.0,1007.6,18.9,19.7,0,0
15,2008-12-16,14.8,23.1,0.0,1,39.0,4,5,9.0,17.0,62.0,67.0,1012.5,1010.1,20.6,22.1,0,0
16,2008-12-17,16.3,23.1,0.0,8,50.0,1,9,9.0,9.0,74.0,80.0,1011.7,1008.7,20.6,20.9,0,0
17,2008-12-18,17.3,29.0,0.0,7,67.0,0,4,13.0,9.0,73.0,79.0,1004.5,1000.3,21.4,22.5,0,0
18,2008-12-19,14.8,23.8,0.8,8,56.0,10,10,9.0,33.0,52.0,61.0,1005.6,1008.2,20.7,18.9,0,0
19,2008-12-20,14.1,19.0,0.0,10,56.0,8,10,26.0,30.0,58.0,73.0,1019.7,1020.0,17.1,17.1,0,0
20,2008-12-21,12.8,21.6,0.0,1,35.0,2,1,6.0,22.0,59.0,61.0,1022.1,1020.2,19.0,21.1,0,0
21,2008-12-22,16.4,22.9,0.0,4,63.0,3,4,31.0,52.0,63.0,67.0,1018.4,1014.2,20.6,21.7,0,0
