,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,16.8,29.7,0.0,8,54.0,8,8,28.0,26.0,56.0,18.0,1010.9,1010.1,18.9,27.5,0,0
1,2009-01-02,13.3,28.6,0.0,9,52.0,10,10,30.0,19.0,46.0,13.0,1016.4,1014.4,16.5,26.3,0,0
2,2009-01-03,14.9,32.0,0.0,9,31.0,0,2,22.0,11.0,14.0,6.0,1015.7,1012.3,22.4,29.9,0,0
3,2009-01-04,16.3,36.3,0.0,0,43.0,0,2,20.0,20.0,12.0,2.0,1012.2,1010.5,25.7,34.9,0,0
4,2009-01-05,20.0,38.4,0.0,14,41.0,9,7,22.0,11.0,29.0,5.0,1012.5,1009.5,25.6,37.1,0,0
5,2009-01-06,20.2,40.2,0.0,10,54.0,9,8,17.0,19.0,35.0,8.0,1010.6,1006.8,25.9,39.6,0,0
6,2009-01-07,19.7,33.3,0.0,8,57.0,8,8,24.0,26.0,61.0,20.0,1011.1,1010.4,22.3,31.2,0,0
7,2009-01-08,15.2,31.4,0.0,10,56.0,9,10,35.0,24.0,45.0,14.0,1015.8,1014.2,18.4,28.3,0,0
8,2009-01-09,15.8,33.3,0.0,10,41.0,2,11,28.0,9.0,28.0,11.0,1014.5,1011.3,21.5,30.9,0,0
9,2009-01-10,17.5,33.9,0.0,12,43.0,10,12,15.0,9.0,38.0,11.0,1009.8,1007.3,22.1,32.5,0,0
10,2009-01-11,18.1,33.3,0.0,10,44.0,8,11,24.0,7.0,42.0,15.0,1009.9,1008.2,21.9,31.7,0,0
11,2009-01-12,17.4,38.4,0.0,10,43.0,2,3,28.0,11.0,33.0,8.0,1013.1,1010.6,23.7,35.6,0,0
12,2009-01-13,22.0,42.2,0.0,3,48.0,5,13,24.0,15.0,9.0,4.0,1010.4,1008.1,31.8,40.5,0,0
13,2009-01-14,23.6,40.7,0.0,10,50.0,8,13,28.0,17.0,43.0,13.0,1010.3,1008.9,25.8,38.4,0,0
14,2009-01-15,19.0,31.5,0.0,10,52.0,10,10,35.0,31.0,58.0,21.0,1016.4,1015.2,20.3,29.7,0,0
15,2009-01-16,15.7,32.7,0.0,10,52.0,10,2,28.0,24.0,51.0,12.0,1019.7,1018.0,18.7,30.5,0,0
16,2009-01-17,16.6,33.5,0.0,10,44.0,9,8,31.0,17.0,31.0,8.0,1019.3,1016.3,21.2,31.4,0,0
17,2009-01-18,18.5,35.6,0.0,9,31.0,1,13,20.0,7.0,12.0,8.0,1016.3,1013.0,25.8,34.0,0,0
18,2009-01-19,20.5,39.6,0.0,15,37.0,7,15,9.0,7.0,11.0,6.0,1011.9,1008.3,29.1,38.0,0,0
19,2009-01-20,23.4,40.2,0.0,7,50.0,6,13,26.0,13.0,26.0,10.0,1009.7,1007.0,29.5,39.2,0,0
20,2009-01-21,21.1,37.1,0.0,10,54.0,10,12,19.0,15.0,59.0,23.0,1010.5,1006.6,24.0,34.1,0,0
21,2009-01-22,21.7,38.8,0.0,15,74.0,8,11,6.0,24.0,12.0,7.0,1005.6,1004.1,28.3,36.9,0,0
22,2009-01-23,19.0,37.4,0.0,13,61.0,5,13,4.0,20.0,58.0,12.0,1008.8,1005.0,21.8,35.7,0,0
23,2009-01-24,19.4,33.0,0.0,11,48.0,10,12,17.0,11.0,60.0,25.0,1012.7,1012.1,21.7,30.0,0,0
24,2009-01-25,18.4,37.9,0.0,9,39.0,9,4,19.0,6.0,38.0,12.0,1015.1,1013.4,23.8,35.8,0,0
25,2009-01-26,21.0,39.9,0.0,1,44.0,2,0,24.0,28.0,22.0,4.0,1015.9,1012.5,27.4,38.6,0,0
26,2009-01-27,24.1,43.8,0.0,5,46.0,0,5,19.0,6.0,9.0,7.0,1011.3,1008.4,32.8,42.2,0,0
27,2009-01-28,28.9,44.6,0.0,5,54.0,3,3,22.0,24.0,23.0,16.0,1007.8,1005.6,35.6,42.6,0,0
28,2009-01-29,28.5,42.3,0.0,5,57.0,6,6,22.0,15.0,20.0,12.0,1009.3,1007.1,35.1,41.0,0,0
