,Date,MinTemp,MaxTemp,Rainfall,WindDir9am,WindSpeed9am,Humidity9am,Pressure9am,Pressure3pm,Temp9am,RainToday,RainTomorrow
0,2008-12-01,13.3,18.5,0.0,6.0,4.0,82.0,1017.9,1015.2,15.2,0.0,0.0
1,2008-12-02,14.7,21.0,0.0,4.0,6.0,64.0,1012.8,1009.3,17.8,0.0,0.0
2,2008-12-03,16.5,24.0,0.2,1.0,19.0,36.0,999.8,998.7,20.0,0.0,1.0
3,2008-12-04,14.1,20.6,7.8,3.0,13.0,69.0,1006.7,1008.5,19.8,1.0,0.0
4,2008-12-05,13.0,17.8,0.0,12.0,13.0,73.0,1015.3,1016.3,16.0,0.0,0.0
5,2008-12-06,14.8,18.5,0.0,2.0,11.0,46.0,1020.1,1017.9,16.9,0.0,0.0
6,2008-12-07,14.0,20.0,0.0,1.0,7.0,62.0,1013.4,1007.9,18.0,0.0,0.0
7,2008-12-08,16.3,19.6,0.0,12.0,20.0,68.0,1008.2,1008.0,18.3,0.0,0.0
8,2008-12-09,10.8,19.4,0.0,6.0,6.0,71.0,1010.5,1010.3,17.0,0.0,1.0
9,2008-12-10,13.6,19.2,14.4,1.0,6.0,84.0,1013.1,1013.0,14.9,1.0,0.0
10,2008-12-11,14.6,19.7,0.2,2.0,22.0,71.0,1016.3,1015.1,18.5,0.0,0.0
11,2008-12-12,14.6,21.0,0.2,12.0,17.0,72.0,1018.1,1016.6,17.7,0.0,0.0
12,2008-12-13,16.5,21.3,0.2,13.0,4.0,90.0,1020.0,1019.1,18.0,0.0,0.0
13,2008-12-14,14.6,22.5,0.0,4.0,6.0,72.0,1018.9,1015.6,19.5,0.0,0.0
14,2008-12-15,17.5,20.6,0.0,8.0,24.0,81.0,1012.4,1013.3,18.5,0.0,0.0
15,2008-12-16,14.0,18.8,0.8,3.0,9.0,87.0,1017.6,1016.9,14.9,0.0,0.0
16,2008-12-17,14.5,19.0,0.2,13.0,6.0,69.0,1018.3,1018.3,17.2,0.0,0.0
17,2008-12-18,12.0,21.0,0.0,1.0,6.0,85.0,1019.1,1014.8,17.0,0.0,0.0
18,2008-12-19,15.8,22.0,0.0,2.0,19.0,76.0,1010.6,1007.7,20.2,0.0,0.0
19,2008-12-20,18.9,27.7,0.2,14.0,9.0,71.0,998.9,997.6,21.9,0.0,0.0
20,2008-12-21,15.5,18.5,0.6,3.0,37.0,87.0,1011.9,1013.1,16.0,0.0,1.0
21,2008-12-22,10.5,20.8,1.2,5.0,4.0,68.0,1016.2,1014.4,17.5,1.0,0.0
22,2008-12-23,12.0,21.2,0.0,13.0,6.0,67.0,1012.5,1010.9,17.8,0.0,0.0
23,2008-12-24,14.0,19.6,0.0,9.0,7.0,57.0,1016.5,1013.8,17.5,0.0,0.0
24,2008-12-25,12.2,21.1,0.0,14.0,9.0,66.0,1014.7,1013.1,18.0,0.0,0.0
25,2008-12-26,13.4,21.0,0.8,13.0,6.0,58.0,1015.7,1013.4,18.0,0.0,0.0
26,2008-12-27,17.5,24.6,0.0,13.0,6.0,77.0,1013.2,1011.0,20.0,0.0,1.0
27,2008-12-28,12.94843802485719,20.0,2.4,8.0,19.0,69.0,1018.4,1016.7,17.4,1.0,0.0
28,2008-12-29,12.0,21.5,0.0,11.0,4.0,77.0,1018.4,1017.3,17.0,0.0,0.0
29,2008-12-30,16.5,21.0,0.0,2.0,6.0,76.0,1018.1,1014.4,18.4,0.0,0.0
