,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,19.6,37.6,0.0,14.0,87.0,5.0,4.0,20.0,11.0,17.0,16.0,1010.5,1005.8,30.4,37.2,0.0,1.0
1,2008-12-02,21.0,39.1,1.2,6.0,41.0,6.0,8.0,24.0,9.0,18.0,13.0,1009.3,1004.6,32.5,38.2,1.0,0.0
2,2008-12-03,22.9,40.9,0.0,6.0,48.0,1.0,3.0,7.0,24.0,17.0,11.0,1006.3,1003.4,35.0,40.4,0.0,0.0
3,2008-12-04,24.7,40.5,0.0,14.0,72.0,11.0,13.0,2.0,22.0,29.0,24.0,1008.7,1006.9,32.3,36.5,0.0,0.0
4,2008-12-05,23.4,32.4,0.2,11.0,46.0,8.0,8.0,9.0,17.0,58.0,43.0,1014.0,1010.7,26.8,31.1,0.0,1.0
5,2008-12-06,21.7,25.1,2.6,10.0,35.0,11.0,3.0,19.0,11.0,90.0,78.0,1014.3,1011.1,21.9,22.9,1.0,1.0
6,2008-12-07,20.9,25.7,4.8,3.0,31.0,11.0,6.0,11.0,17.0,70.0,77.0,1011.4,1009.9,25.0,24.3,1.0,0.0
7,2008-12-08,17.7,34.6,0.6,0.0,26.0,1.0,6.0,15.0,9.0,63.0,27.0,1010.9,1005.9,24.5,33.6,0.0,0.0
8,2008-12-09,24.4,39.0,0.0,8.0,50.0,3.0,14.0,28.0,11.0,40.0,20.0,1006.2,1002.6,32.5,38.0,0.0,0.0
9,2008-12-10,25.3,38.6,0.0,13.0,54.0,5.0,15.0,22.0,35.0,38.0,51.0,1005.9,1004.4,32.8,29.6,0.0,0.0
10,2008-12-11,25.0,32.3,0.0,7.0,63.0,6.0,15.0,26.0,9.0,50.0,73.0,1005.6,1001.3,29.5,27.6,0.0,1.0
11,2008-12-12,20.7,32.2,14.4,7.0,41.0,6.0,15.0,13.0,19.0,88.0,37.0,1005.2,1002.7,22.5,31.0,1.0,0.0
12,2008-12-13,16.6,26.6,0.0,8.0,37.0,8.0,8.0,26.0,24.0,55.0,39.0,1012.9,1009.6,20.7,25.9,0.0,0.0
13,2008-12-14,13.7,26.8,0.0,10.0,46.0,9.0,10.0,20.0,19.0,37.0,24.0,1014.1,1010.5,20.5,26.0,0.0,0.0
14,2008-12-15,13.1,28.5,0.0,2.0,35.0,2.0,9.0,20.0,13.0,30.0,15.0,1013.7,1009.6,21.7,27.3,0.0,0.0
15,2008-12-16,13.6,31.7,0.0,1.0,31.0,0.0,12.0,22.0,13.0,21.0,15.0,1011.9,1007.9,24.6,31.2,0.0,0.0
16,2008-12-17,15.7,36.3,0.0,13.0,35.0,4.0,13.0,9.0,9.0,18.0,11.0,1009.3,1004.9,29.2,36.0,0.0,0.0
17,2008-12-18,19.6,36.9,0.0,8.0,41.0,11.0,11.0,15.0,17.0,21.0,12.0,1007.4,1004.9,31.0,36.2,0.0,0.0
18,2008-12-19,24.5,35.2,0.0,2.0,41.0,2.0,9.0,26.0,17.0,32.0,19.0,1010.1,1006.6,27.4,33.5,0.0,0.0
19,2008-12-20,19.4,35.2,0.0,0.0,41.0,2.0,2.0,31.0,13.0,20.0,14.0,1010.9,1007.0,26.9,34.4,0.0,0.0
20,2008-12-21,19.9,39.3,0.0,9.0,30.0,0.0,12.0,19.0,15.0,11.0,12.0,1007.8,1004.1,30.7,38.6,0.0,0.0
21,2008-12-22,21.5,39.9,0.0,0.0,33.0,4.0,1.0,13.0,19.0,16.0,13.0,1007.7,1004.9,33.2,38.2,0.0,0.0
22,2008-12-23,21.6,39.4,0.0,1.0,48.0,4.0,2.0,28.0,20.0,12.0,13.0,1007.9,1005.0,34.0,39.0,0.0,0.0
23,2008-12-24,22.5,38.5,0.0,9.0,37.0,2.0,8.0,20.0,17.0,17.0,19.0,1009.8,1005.7,30.5,37.1,0.0,0.0
24,2008-12-25,27.2,37.6,0.0,2.0,30.0,0.0,8.0,13.0,13.0,30.0,22.0,1010.2,1006.1,30.4,35.6,0.0,0.0
25,2008-12-26,26.8,38.9,0.0,3.0,69.0,0.0,12.0,20.0,35.0,21.0,58.0,1006.3,1003.5,33.5,27.5,0.0,1.0
26,2008-12-27,23.1,31.5,21.4,12.0,22.0,0.0,3.0,11.0,7.0,77.0,51.0,1009.0,1005.0,23.9,30.2,1.0,0.0
27,2008-12-28,23.3,34.0,0.2,5.0,46.0,0.0,9.0,0.0,19.0,71.0,37.0,1007.3,1003.8,25.9,33.3,0.0,1.0
28,2008-12-29,21.9,32.4,9.4,9.0,39.0,9.0,0.0,19.0,17.0,65.0,28.0,1008.5,1006.3,26.6,31.3,1.0,0.0
29,2008-12-30,18.7,32.7,0.0,2.0,37.0,2.0,9.0,28.0,17.0,21.0,14.0,1009.6,1006.2,26.4,32.0,0.0,0.0
30,2008-12-31,18.0,34.5,0.0,2.0,37.0,0.0,2.0,19.0,13.0,18.0,14.0,1007.3,1003.4,27.3,34.4,0.0,0.0
31,2009-01-01,22.2,36.0,0.0,9.0,54.0,0.0,2.0,22.0,28.0,18.0,12.0,1005.8,1002.9,29.0,35.0,0.0,0.0
32,2009-01-02,22.1,34.3,0.0,2.0,50.0,9.0,9.0,30.0,30.0,20.0,12.0,1009.2,1005.9,27.3,34.0,0.0,0.0
33,2009-01-03,18.6,34.7,0.0,9.0,54.0,9.0,2.0,19.0,24.0,17.0,20.0,1009.3,1004.4,26.9,33.3,0.0,0.0
