,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,5.8,17.6,3.2,13.0,52.0,13.0,14.0,26.0,30.0,71.0,37.0,1008.2,1007.5,10.4,15.7,1.0,0.0
1,2008-12-02,4.3,19.5,0.4,14.0,44.0,14.0,14.0,20.0,24.0,66.0,47.0,1009.3,1007.3,12.5,17.6,0.0,0.0
2,2008-12-03,9.5,18.8,0.6,13.0,43.0,15.0,12.0,22.0,20.0,82.0,42.0,1009.5,1011.5,11.2,16.5,0.0,0.0
3,2008-12-04,6.7,21.8,0.2,5.0,39.0,1.0,3.0,9.0,22.0,60.0,33.0,1016.2,1012.6,14.4,20.6,0.0,1.0
4,2008-12-05,13.3,25.6,1.2,7.0,61.0,6.0,7.0,30.0,39.0,74.0,40.0,1006.6,1005.5,18.3,24.3,1.0,0.0
5,2008-12-06,9.6,23.0,0.0,14.0,61.0,14.0,14.0,15.0,39.0,76.0,42.0,1009.6,1005.7,13.8,20.8,0.0,0.0
6,2008-12-07,4.6,16.4,0.0,12.0,39.0,12.0,12.0,20.0,24.0,71.0,42.0,1012.3,1012.1,9.6,15.6,0.0,0.0
7,2008-12-08,2.9,23.1,0.2,7.0,43.0,10.0,15.0,17.0,7.0,64.0,30.0,1014.0,1010.5,9.7,20.6,0.0,0.0
8,2008-12-09,5.3,17.6,0.0,8.0,35.0,7.0,10.0,9.0,19.0,55.0,87.0,1007.5,1006.4,13.2,12.4,0.0,1.0
9,2008-12-10,8.3,18.3,5.0,9.0,50.0,10.0,9.0,28.0,22.0,71.0,43.0,1011.8,1010.9,10.6,18.1,1.0,0.0
10,2008-12-11,6.9,23.8,0.0,10.0,54.0,9.0,10.0,28.0,26.0,67.0,28.0,1013.8,1011.0,12.2,22.9,0.0,0.0
11,2008-12-12,12.1,19.6,0.0,9.0,41.0,4.0,0.0,24.0,11.0,47.0,97.0,1006.2,1002.2,18.8,15.3,0.0,1.0
12,2008-12-13,13.1,13.9,53.6,12.0,63.0,11.0,12.0,26.0,39.0,99.0,99.0,990.5,996.5,13.5,13.0,1.0,1.0
13,2008-12-14,10.0,16.2,11.0,11.0,46.0,11.0,12.0,19.0,26.0,99.0,71.0,1005.8,1007.5,11.0,15.0,1.0,1.0
14,2008-12-15,8.3,18.7,1.4,13.0,37.0,12.0,14.0,17.0,20.0,72.0,50.0,1012.3,1011.2,9.2,16.9,1.0,0.0
15,2008-12-16,7.9,19.1,0.0,13.0,35.0,13.0,13.0,15.0,24.0,84.0,57.0,1012.5,1011.6,13.4,17.9,0.0,1.0
16,2008-12-17,10.3,20.1,1.8,2.0,31.0,8.0,15.0,7.0,7.0,91.0,64.0,1012.3,1008.8,12.3,18.7,1.0,0.0
17,2008-12-18,11.1,19.2,0.6,11.0,48.0,12.0,15.0,15.0,22.0,86.0,49.0,1005.6,1005.1,13.6,18.8,0.0,1.0
18,2008-12-19,6.3,16.9,1.4,11.0,52.0,11.0,11.0,26.0,26.0,69.0,41.0,1014.1,1014.6,8.9,16.3,1.0,0.0
19,2008-12-20,5.5,21.4,0.0,10.0,37.0,10.0,9.0,22.0,20.0,76.0,44.0,1020.4,1018.0,11.6,20.6,0.0,0.0
20,2008-12-21,6.8,26.7,0.0,3.0,46.0,5.0,3.0,20.0,28.0,44.0,32.0,1017.6,1013.8,19.2,25.2,0.0,0.0
21,2008-12-22,18.8,32.2,0.0,6.0,72.0,3.0,6.0,44.0,41.0,39.0,21.0,1007.6,1004.2,22.3,30.2,0.0,0.0
22,2008-12-23,10.5,20.1,0.0,11.0,44.0,11.0,8.0,26.0,24.0,90.0,52.0,1013.2,1012.7,11.2,18.0,0.0,0.0
23,2008-12-24,7.2,24.8,0.2,12.0,33.0,9.0,15.0,15.0,17.0,68.0,27.0,1013.2,1011.3,12.8,24.0,0.0,0.0
24,2008-12-25,8.8,25.5,0.0,15.0,37.0,9.0,11.0,13.0,9.0,61.0,32.0,1014.2,1012.3,15.9,22.7,0.0,0.0
25,2008-12-26,10.6,28.9,0.0,2.0,46.0,3.0,14.0,22.0,11.0,42.0,32.0,1010.3,1008.1,21.4,26.9,0.0,0.0
26,2008-12-27,11.3,28.0,0.0,8.0,43.0,3.0,13.0,13.0,19.0,55.0,43.0,1006.1,1003.2,22.6,26.5,0.0,0.0
27,2008-12-28,7.6,25.6,0.0,15.0,44.0,6.0,15.0,17.0,26.0,62.0,44.0,1003.9,1002.7,17.9,22.8,0.0,0.0
28,2008-12-29,9.3,19.8,0.0,13.0,46.0,15.0,12.0,17.0,24.0,70.0,40.0,1008.2,1008.0,11.8,17.4,0.0,1.0
29,2008-12-30,10.2,20.1,2.4,13.0,61.0,15.0,13.0,22.0,37.0,99.0,45.0,1003.6,1003.2,11.9,18.0,1.0,0.0
30,2008-12-31,9.0,20.4,0.2,7.0,39.0,15.0,7.0,15.0,26.0,81.0,44.0,1006.1,1004.7,10.6,17.2,0.0,0.0
31,2009-01-01,8.3,17.0,0.2,12.0,54.0,13.0,15.0,26.0,30.0,87.0,48.0,1004.7,1006.5,11.6,16.0,0.0,0.0
32,2009-01-02,3.0,17.0,0.4,11.0,52.0,12.0,11.0,26.0,28.0,70.0,35.0,1017.2,1017.6,9.1,15.9,0.0,0.0
33,2009-01-03,0.7,22.5,0.0,9.0,31.0,10.0,11.0,20.0,11.0,61.0,26.0,1018.7,1015.9,11.7,20.0,0.0,0.0
34,2009-01-04,5.9,28.8,0.0,8.0,39.0,10.0,12.0,20.0,11.0,24.0,14.0,1014.8,1012.8,20.4,27.1,0.0,0.0
35,2009-01-05,8.3,29.6,0.0,13.0,41.0,7.0,15.0,6.0,20.0,42.0,12.0,1012.1,1010.6,19.2,28.3,0.0,0.0
36,2009-01-06,10.8,30.3,0.0,11.0,41.0,14.0,15.0,9.0,19.0,48.0,30.0,1010.6,1008.0,20.1,29.9,0.0,0.0
37,2009-01-07,13.6,21.1,0.0,11.0,44.0,8.0,11.0,15.0,24.0,99.0,64.0,1009.2,1009.9,14.4,18.0,0.0,0.0
38,2009-01-08,7.3,18.2,0.0,11.0,50.0,11.0,11.0,26.0,28.0,71.0,36.0,1016.7,1017.2,11.4,16.9,0.0,0.0
39,2009-01-09,4.3,20.4,0.0,9.0,44.0,9.0,10.0,24.0,20.0,57.0,32.0,1019.5,1016.3,12.4,19.6,0.0,0.0
40,2009-01-10,9.0,26.7,0.0,9.0,44.0,9.0,13.0,13.0,6.0,61.0,16.0,1011.9,1008.6,15.4,24.9,0.0,0.0
41,2009-01-11,9.3,27.1,0.0,11.0,48.0,9.0,15.0,15.0,15.0,70.0,19.0,1010.0,1008.9,15.2,25.1,0.0,0.0
42,2009-01-12,8.7,26.6,0.0,2.0,39.0,8.0,10.0,20.0,17.0,86.0,30.0,1017.6,1015.9,12.9,24.2,0.0,0.0
43,2009-01-13,8.6,34.9,0.0,3.0,50.0,3.0,7.0,20.0,22.0,20.0,13.0,1013.8,1010.5,25.0,33.1,0.0,0.0
44,2009-01-14,20.3,33.9,0.0,8.0,41.0,3.0,15.0,19.0,13.0,16.0,25.0,1009.0,1007.8,27.5,32.7,0.0,0.0
45,2009-01-15,11.1,23.5,0.0,11.0,48.0,12.0,12.0,28.0,22.0,63.0,33.0,1014.8,1014.2,13.7,21.8,0.0,0.0
46,2009-01-16,9.8,18.6,0.0,15.0,54.0,15.0,12.0,26.0,30.0,66.0,43.0,1017.2,1018.3,12.6,16.3,0.0,0.0
47,2009-01-17,6.1,21.7,0.0,10.0,44.0,10.0,10.0,28.0,22.0,54.0,32.0,1021.3,1020.6,12.5,20.2,0.0,0.0
48,2009-01-18,6.1,29.1,0.0,9.0,35.0,9.0,12.0,20.0,19.0,38.0,13.0,1019.4,1017.2,16.6,28.0,0.0,0.0
49,2009-01-19,8.9,34.2,0.0,8.0,43.0,3.0,6.0,20.0,24.0,20.0,8.0,1013.8,1009.8,24.5,32.5,0.0,0.0
50,2009-01-20,13.7,36.5,0.0,7.0,67.0,3.0,12.0,22.0,30.0,21.0,18.0,1006.7,1006.7,26.5,31.0,0.0,0.0
51,2009-01-21,10.1,32.1,0.0,11.0,43.0,8.0,7.0,7.0,15.0,66.0,17.0,1009.5,1006.2,17.0,29.9,0.0,0.0
52,2009-01-22,13.6,30.6,0.0,6.0,83.0,3.0,7.0,37.0,50.0,28.0,28.0,998.5,996.6,21.2,27.0,0.0,0.0
53,2009-01-23,4.9,27.1,0.0,6.0,54.0,6.0,3.0,11.0,30.0,58.0,18.0,1007.0,1003.0,13.4,24.8,0.0,0.0
54,2009-01-24,11.1,21.6,0.0,14.0,54.0,15.0,15.0,28.0,28.0,77.0,33.0,1007.3,1010.8,12.9,20.2,0.0,0.0
55,2009-01-25,5.5,29.6,0.0,9.0,37.0,10.0,12.0,9.0,13.0,49.0,7.0,1016.9,1016.2,16.7,28.1,0.0,0.0
56,2009-01-26,10.7,27.7,0.2,9.0,39.0,10.0,9.0,30.0,20.0,70.0,30.0,1017.8450928381993,1016.2712010617116,15.0,26.2,0.0,0.0
57,2009-01-27,10.3,36.3,0.0,2.0,39.0,5.0,6.0,11.0,9.0,51.0,11.0,1016.8,1014.1,20.3,34.5,0.0,0.0
