,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-07-01,10.3,25.2,0.0,14.0,26.0,11.0,13.0,6.0,15.0,81.0,37.0,1019.6,1014.8,14.9,24.6,0.0,0.0
1,2008-07-02,8.1,22.9,0.0,13.0,30.0,13.0,14.0,15.0,19.0,41.0,30.0,1018.8,1015.0,16.2,22.4,0.0,0.0
2,2008-07-03,9.7,22.4,0.0,0.0,22.0,12.0,0.0,7.0,15.0,55.0,52.0,1021.4,1019.1,15.4,21.3,0.0,0.0
3,2008-07-04,11.8,20.0,0.8,12.0,24.0,12.0,10.0,9.0,7.0,76.0,53.0,1023.5,1021.7,14.1,19.6,0.0,0.0
4,2008-07-05,12.3,16.7,0.0,8.0,37.0,8.0,11.0,11.0,7.0,81.0,89.0,1027.3,1026.2,16.1,15.0,0.0,1.0
5,2008-07-06,12.6,21.5,16.2,1.0,31.0,11.0,0.0,7.0,17.0,78.0,52.0,1028.5,1025.7,15.9,20.0,1.0,0.0
6,2008-07-07,12.9,21.9,0.0,4.0,17.0,12.0,4.0,9.0,9.0,83.0,63.0,1026.9,1023.1,14.7,20.1,0.0,1.0
7,2008-07-08,14.5,17.4,24.2,15.0,31.0,12.0,7.0,7.0,2.0,94.0,73.0,1024.0,1019.3,14.7,17.0,1.0,1.0
8,2008-07-09,6.0,16.7,3.8,13.0,43.0,15.0,13.0,13.0,19.0,48.0,34.0,1022.6,1020.2,12.4,16.2,1.0,0.0
9,2008-07-10,10.3,19.7,0.2,13.0,39.0,15.0,15.0,17.0,17.0,47.0,34.0,1021.8,1017.0,13.2,18.8,0.0,0.0
10,2008-07-11,6.6,19.6,0.0,13.0,28.0,15.0,15.0,11.0,9.0,48.0,38.0,1021.7,1019.4,14.2,18.7,0.0,0.0
11,2008-07-12,7.9,21.1,0.0,1.0,30.0,12.0,0.0,7.0,15.0,60.0,48.0,1025.9,1023.4,12.8,19.3,0.0,0.0
12,2008-07-13,12.0,22.8,0.0,1.0,20.0,11.0,1.0,6.0,9.0,72.0,69.0,1026.6,1023.3,15.3,21.2,0.0,0.0
13,2008-07-14,13.6,25.7,0.0,3.0,19.0,11.0,4.0,4.0,9.0,86.0,65.0,1025.3,1021.0,18.3,23.3,0.0,0.0
14,2008-07-15,16.7,24.8,0.0,13.0,31.0,11.0,5.0,9.0,9.0,80.0,65.0,1022.2,1018.7,19.1,23.4,0.0,1.0
15,2008-07-16,16.5,18.9,5.4,12.0,19.0,15.0,15.0,2.0,4.0,93.0,71.0,1020.1,1017.8,17.1,18.7,1.0,1.0
16,2008-07-17,12.2,21.5,2.8,15.0,17.0,12.0,4.0,7.0,9.0,80.0,57.0,1020.6,1016.1,15.6,21.2,1.0,0.0
17,2008-07-18,9.4,25.4,0.0,14.0,37.0,12.0,14.0,6.0,15.0,72.0,34.0,1017.3,1011.9,15.2,25.0,0.0,0.0
18,2008-07-19,6.8,22.9,0.0,13.0,33.0,12.0,14.0,2.0,15.0,55.0,25.0,1018.3,1015.7,15.4,22.4,0.0,0.0
19,2008-07-20,7.5,22.9,0.0,5.0,30.0,12.0,5.0,6.0,15.0,60.0,45.0,1020.6,1015.4,13.6,21.3,0.0,0.0
20,2008-07-21,12.5,22.8,0.0,13.0,35.0,3.0,13.0,6.0,15.0,83.0,54.0,1014.9,1013.8,17.4,18.7,0.0,0.0
21,2008-07-22,12.1,20.4,0.0,13.0,33.0,12.0,0.0,7.0,15.0,48.0,52.0,1022.1,1021.3,16.6,18.7,0.0,0.0
22,2008-07-23,12.5,15.7,0.2,10.0,26.0,12.0,8.0,6.0,7.0,73.0,77.0,1026.7,1023.1,12.7,15.2,0.0,1.0
23,2008-07-24,12.4,14.3,12.6,8.0,28.0,11.0,8.0,9.0,10.998744113029828,92.0,53.912208936438006,1021.0,1015.0992778649887,12.9,24.753461296412897,1.0,1.0
24,2008-07-25,12.5,18.9,22.4,12.0,28.0,15.0,12.0,9.0,11.0,86.0,67.0,1014.8,1014.1,13.8,17.9,1.0,0.0
25,2008-07-26,8.3,19.9,0.4,15.0,24.0,12.0,14.0,9.0,11.0,62.0,42.0,1018.0,1014.1,14.7,19.4,0.0,0.0
26,2008-07-27,8.0,18.2,0.0,11.0,30.0,12.0,13.0,6.0,4.0,64.0,41.0,1016.7,1011.7,12.7,17.1,0.0,1.0
27,2008-07-28,8.2,15.7,2.4,15.0,39.0,15.0,15.0,11.0,15.0,75.0,49.0,1010.5,1005.9,11.5,14.3,1.0,0.0
28,2008-07-29,8.8,20.3,0.0,15.0,33.0,15.0,12.0,11.0,9.0,53.0,36.0,1012.3,1010.0,13.1,19.3,0.0,0.0
29,2008-07-30,6.3,20.6,0.0,14.0,22.0,15.0,15.0,11.0,6.0,55.0,25.0,1017.5,1014.2,13.8,20.3,0.0,0.0
30,2008-07-31,3.7,21.3,0.0,15.0,26.0,10.0,13.0,6.0,11.0,47.0,29.0,1020.5,1016.1,13.9,20.6,0.0,0.0
31,2008-08-01,7.1,28.7,0.0,13.0,35.0,12.0,3.0,2.0,7.0,54.0,28.0,1016.0,1009.6,15.7,28.6,0.0,0.0
32,2008-08-02,12.3,21.8,0.0,13.0,46.0,13.0,13.0,19.0,17.0,48.0,26.0,1017.3,1014.3,15.1,21.3,0.0,0.0
33,2008-08-03,8.5,21.3,0.0,15.0,22.0,11.0,4.0,11.0,11.0,47.0,45.0,1021.1,1018.1,14.0,20.2,0.0,0.0
34,2008-08-04,8.3,22.1,0.0,4.0,26.0,12.0,4.0,7.0,11.0,75.0,53.0,1021.7,1017.2,14.0,20.9,0.0,0.0
35,2008-08-05,8.5,22.4,0.0,0.0,22.0,15.0,1.0,7.0,11.0,62.0,33.0,1019.2,1016.0,15.4,20.8,0.0,0.0
36,2008-08-06,9.2,21.7,0.2,13.0,39.0,12.0,13.0,7.0,15.0,56.0,29.0,1018.6,1016.0,16.1,21.2,0.0,0.0
37,2008-08-07,7.0,21.2,0.0,13.0,30.0,12.0,13.0,9.0,19.0,49.0,29.0,1021.6,1017.4,15.5,20.5,0.0,0.0
38,2008-08-08,7.2,20.9,0.0,13.0,48.0,13.0,13.0,11.0,19.0,36.0,26.0,1021.5,1018.1,13.8,20.4,0.0,0.0
39,2008-08-09,7.5,21.5,0.0,12.0,19.0,12.0,1.0,7.0,13.0,47.0,32.0,1023.4,1019.4,14.3,19.8,0.0,0.0
