,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,25.2,32.3,0.4,4.0,31.0,0.0,1.0,7.0,13.0,62.0,66.0,1011.3,1008.1,31.2,30.7,0.0,1.0
1,2008-12-02,24.2,32.3,8.4,4.0,35.0,8.0,4.0,11.0,13.0,75.0,62.0,1011.9,1008.0,29.0,31.1,1.0,0.0
2,2008-12-03,23.9,32.8,0.6,10.0,31.0,10.0,0.0,17.0,20.0,69.0,42.0,1012.2,1009.9,29.1,31.6,0.0,0.0
3,2008-12-04,22.2,33.6,0.0,9.0,39.0,10.0,2.0,19.0,24.0,60.0,31.0,1013.3,1010.9,29.6,32.5,0.0,0.0
4,2008-12-05,23.2,33.5,0.0,9.0,43.0,10.0,2.0,22.0,26.0,64.0,56.0,1013.8,1011.0,29.7,32.2,0.0,0.0
5,2008-12-06,24.7,33.4,0.0,4.0,33.0,9.0,4.0,15.0,20.0,64.0,67.0,1012.7,1009.2,30.8,31.5,0.0,0.0
6,2008-12-07,23.9,32.0,0.0,5.0,28.0,7.0,4.0,7.0,17.0,70.0,73.0,1010.9,1007.1,29.3,30.6,0.0,0.0
7,2008-12-08,26.6,33.2,0.0,5.0,30.0,7.0,5.0,13.0,15.0,65.0,69.0,1009.8,1005.8,31.3,31.7,0.0,1.0
8,2008-12-09,26.1,32.8,4.6,5.0,28.0,4.0,3.0,9.0,13.0,72.0,77.0,1009.5,1006.9,30.8,30.2,1.0,0.0
9,2008-12-10,26.0,32.6,0.2,1.0,28.0,2.0,5.0,15.0,11.0,80.0,72.0,1009.9,1007.5,28.9,29.5,0.0,0.0
10,2008-12-11,25.3,32.9,0.4,1.0,33.0,1.0,4.0,15.0,22.0,64.0,57.0,1010.6,1006.6,30.4,31.4,0.0,0.0
11,2008-12-12,22.9,33.3,0.0,1.0,31.0,10.0,8.0,19.0,15.0,55.0,57.0,1010.5,1007.6,30.4,31.5,0.0,0.0
12,2008-12-13,24.7,33.0,0.0,5.0,30.0,9.0,4.0,9.0,15.0,63.0,68.0,1009.5,1006.3,30.9,31.1,0.0,0.0
13,2008-12-14,26.5,34.1,0.0,3.0,37.0,14.0,5.0,15.0,20.0,57.0,68.0,1007.2,1003.2,32.5,32.3,0.0,1.0
14,2008-12-15,23.8,32.9,31.8,8.0,35.0,12.0,3.0,4.0,17.0,79.0,74.0,1008.8,1005.0,26.3,30.5,1.0,0.0
