,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2007-11-01,8.0,24.3,0.0,7.0,30.0,12.0,7.0,6.0,20.0,68.0,29.0,1019.7,1015.0,14.4,23.6,0.0,1.0
1,2007-11-02,14.0,26.9,3.6,1.0,39.0,0.0,13.0,4.0,17.0,80.0,36.0,1012.4,1008.4,17.5,25.7,1.0,1.0
2,2007-11-03,13.7,23.4,3.6,7.0,85.0,3.0,5.0,6.0,6.0,82.0,69.0,1009.5,1007.2,15.4,20.2,1.0,1.0
3,2007-11-04,13.3,15.5,39.8,7.0,54.0,14.0,13.0,30.0,24.0,62.0,56.0,1005.5,1007.0,13.5,14.1,1.0,1.0
4,2007-11-05,7.6,16.1,2.8,10.0,50.0,10.0,2.0,20.0,28.0,68.0,49.0,1018.3,1018.5,11.1,15.4,1.0,0.0
5,2007-11-06,6.2,16.9,0.0,9.0,44.0,9.0,0.0,20.0,24.0,70.0,57.0,1023.8,1021.7,10.9,14.8,0.0,0.0
6,2007-11-07,6.1,18.2,0.2,9.0,43.0,9.0,2.0,19.0,26.0,63.0,47.0,1024.6,1022.2,12.4,17.3,0.0,0.0
7,2007-11-08,8.3,17.0,0.0,0.0,41.0,9.0,0.0,11.0,24.0,65.0,57.0,1026.2,1024.2,12.1,15.5,0.0,0.0
8,2007-11-09,8.8,19.5,0.0,8.0,48.0,0.0,1.0,19.0,17.0,70.0,48.0,1026.1,1022.7,14.1,18.9,0.0,1.0
9,2007-11-10,8.4,22.8,16.2,0.0,31.0,8.0,2.0,7.0,6.0,82.0,32.0,1024.1,1020.7,13.3,21.7,1.0,0.0
10,2007-11-11,9.1,25.2,0.0,3.0,30.0,9.0,7.0,6.0,9.0,74.0,34.0,1024.4,1021.1,14.6,24.0,0.0,0.0
11,2007-11-12,8.5,27.3,0.2,0.0,41.0,0.0,7.0,2.0,15.0,54.0,35.0,1023.8,1019.9,16.8,26.0,0.0,0.0
12,2007-11-13,10.1,27.9,0.0,14.0,30.0,8.0,7.0,6.0,7.0,62.0,29.0,1022.0,1017.1,17.0,27.1,0.0,0.0
13,2007-11-14,12.1,30.9,0.0,7.0,44.0,14.0,13.0,7.0,20.0,67.0,20.0,1017.3,1013.1,19.7,30.7,0.0,0.0
14,2007-11-15,10.1,31.2,0.0,7.0,41.0,8.0,13.0,6.0,20.0,45.0,16.0,1018.2,1013.7,18.7,30.4,0.0,0.0
15,2007-11-16,12.4,32.1,0.0,0.0,46.0,9.0,15.0,7.0,9.0,70.0,22.0,1017.9,1012.8,19.1,30.7,0.0,0.0
16,2007-11-17,13.8,31.2,0.0,2.0,44.0,15.0,13.0,6.0,19.0,72.0,23.0,1014.4,1009.8,20.2,29.8,0.0,1.0
17,2007-11-18,11.7,30.0,1.2,8.0,52.0,12.0,4.0,6.0,11.0,59.0,26.0,1016.4,1013.0,20.1,28.6,1.0,0.0
18,2007-11-19,12.4,32.3,0.6,0.0,39.0,5.0,13.0,4.0,17.0,60.0,25.0,1017.1,1013.3,20.2,31.2,0.0,0.0
19,2007-11-20,15.6,33.4,0.0,4.0,33.0,6.0,6.0,2.0,13.0,61.0,27.0,1018.5,1013.7,22.8,32.0,0.0,0.0
