,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,17.9,35.2,0.0,11.0,48.0,1.0,12.0,6.0,20.0,20.0,13.0,1006.3,1004.4,26.6,33.4,0.0,0.0
1,2009-01-02,18.4,28.9,0.0,8.0,37.0,10.0,10.0,19.0,19.0,30.0,8.0,1012.9,1012.1,20.3,27.0,0.0,0.0
2,2009-01-03,15.5,34.1,0.0,9.0,30.0,10.0,3.0,15.0,7.0,55.152912621359214,7.0,1017.971936891573,1011.6,18.119160279906712,32.7,0.0,0.0
3,2009-01-04,19.4,37.6,0.0,5.0,46.0,5.0,6.0,30.0,15.0,42.0,22.0,1012.3,1009.2,28.7,34.9,0.0,0.0
4,2009-01-05,21.9,38.4,0.0,14.0,31.0,14.0,15.0,6.0,6.0,37.0,22.0,1012.7,1009.1,29.1,35.6,0.0,0.0
5,2009-01-06,24.2,41.0,0.0,14.0,35.0,7.0,14.0,17.0,13.0,19.0,15.0,1010.7,1007.4,33.6,37.6,0.0,0.0
6,2009-01-07,27.1,36.1,0.0,3.0,43.0,3.0,14.0,7.0,20.0,26.0,19.0,1007.7,1007.4,30.7,34.3,0.0,0.0
7,2009-01-08,23.3,34.0,0.0,11.0,41.0,8.0,10.0,17.0,19.0,33.0,15.0,1011.3,1009.9,25.0,31.5,0.0,0.0
8,2009-01-09,16.1,34.2,0.0,9.0,37.0,9.0,8.0,15.0,6.0,25.0,9.0,1013.3,1009.2,20.7,32.8,0.0,0.0
9,2009-01-10,19.0,35.5,0.0,1.0,48.0,1.0,15.0,30.0,9.0,46.0,28.0,1008.3,1004.0,23.4,33.3,0.0,0.0
10,2009-01-11,19.7,35.5,0.0,4.0,41.0,5.0,15.0,15.0,17.0,61.0,14.0,1007.9,1005.8,24.0,33.6,0.0,0.0
11,2009-01-12,20.9,37.8,0.0,0.0,30.0,9.0,1.0,11.0,7.0,27.0,9.0,1012.6,1010.1,29.8,36.4,0.0,0.0
12,2009-01-13,23.9,39.1,0.0,1.0,39.0,4.0,3.0,24.0,9.0,40.0,15.0,1013.6,1010.4,29.1,37.0,0.0,0.0
13,2009-01-14,24.9,41.2,0.0,11.0,43.0,3.0,6.0,17.0,11.0,25.0,15.0,1012.9,1010.1,31.5,38.1,0.0,0.0
14,2009-01-15,25.2,40.5,0.0,12.0,44.0,13.0,12.0,13.0,22.0,24.0,15.0,1012.4,1009.0,31.4,37.8,0.0,0.0
15,2009-01-16,21.6,34.2,0.0,12.0,44.0,8.0,8.0,17.0,19.0,19.0,8.0,1014.1,1012.3,25.0,32.2,0.0,0.0
16,2009-01-17,18.4,31.8,0.0,8.0,33.0,8.0,12.0,17.0,15.0,25.0,5.0,1016.3,1013.8,19.9,30.3,0.0,0.0
17,2009-01-18,17.9,34.2,0.0,9.0,61.0,4.0,9.0,22.0,17.0,46.0,19.0,1016.4,1013.5,21.6,32.2,0.0,0.0
18,2009-01-19,21.4,37.5,0.0,5.0,43.0,1.0,5.0,26.0,9.0,34.0,29.0,1013.1,1009.6,26.2,34.1,0.0,1.0
19,2009-01-20,23.3,39.4,4.8,13.0,59.0,3.0,7.0,19.0,17.0,54.0,14.0,1011.1,1008.5,27.0,37.0,1.0,0.0
