,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,16.1,31.4,0.0,5.0,54.0,3.0,5.0,7.0,37.0,51.0,58.0,1005.9,1002.3,26.5,28.4,0.0,0.0
1,2009-01-02,22.8,24.7,0.0,11.0,56.0,11.0,8.0,35.0,15.0,68.0,67.0,1010.9,1011.4,23.4,24.4,0.0,1.0
2,2009-01-03,20.0,24.1,4.6,9.0,35.0,9.0,0.0,20.0,19.0,70.0,59.0,1019.3,1018.8,21.7,23.7,1.0,0.0
3,2009-01-04,14.8,25.0,0.8,0.0,24.0,10.0,2.0,7.0,17.0,62.0,45.0,1019.5,1017.0,22.5,24.8,0.0,0.0
4,2009-01-05,15.5,27.3,0.0,4.0,41.0,7.0,4.0,7.0,30.0,54.0,62.0,1015.7,1012.7,24.6,26.1,0.0,0.0
5,2009-01-06,19.8,30.2,0.0,5.0,54.0,7.0,4.0,24.0,39.0,55.0,58.0,1012.9,1011.0,27.1,27.3,0.0,0.0
6,2009-01-07,22.7,29.6,0.0,5.0,56.0,6.0,5.0,20.0,37.0,60.0,66.0,1012.3,1009.7,26.7,27.1,0.0,0.0
7,2009-01-08,22.7,29.2,0.0,11.0,44.0,7.0,5.0,9.0,20.0,70.0,71.0,1009.4,1008.8,25.8,26.4,0.0,1.0
8,2009-01-09,19.5,21.4,7.8,8.0,56.0,11.0,10.0,26.0,28.0,85.0,73.0,1015.7,1015.9,20.0,21.1,1.0,1.0
9,2009-01-10,16.9,24.2,3.2,12.0,30.0,12.0,9.0,20.0,15.0,59.0,47.0,1015.5,1013.5,21.2,23.3,1.0,0.0
10,2009-01-11,13.7,25.5,0.0,0.0,26.0,12.0,2.0,13.0,15.0,55.0,63.0,1013.7,1012.0,23.2,24.5,0.0,0.0
11,2009-01-12,17.5,27.4,0.0,0.0,31.0,0.0,0.0,11.0,19.0,67.0,63.0,1014.5,1014.3,24.8,26.0,0.0,0.0
12,2009-01-13,17.7,27.0,0.0,0.0,28.0,11.0,0.0,15.0,20.0,64.0,62.0,1019.1,1017.2,24.2,26.1,0.0,0.0
13,2009-01-14,16.9,27.4,0.0,3.0,43.0,6.0,5.0,13.0,30.0,58.0,49.0,1017.8,1015.9,24.9,26.1,0.0,0.0
14,2009-01-15,19.1,32.2,0.0,5.0,61.0,6.0,5.0,31.0,46.0,50.0,57.0,1013.9,1010.4,25.1,27.6,0.0,0.0
15,2009-01-16,21.0,27.5,0.0,11.0,39.0,10.0,0.0,6.0,15.0,68.0,74.0,1011.0,1008.8,26.3,26.5,0.0,1.0
16,2009-01-17,19.0,21.3,6.4,8.0,50.0,11.0,8.0,19.0,30.0,93.0,84.0,1016.6,1017.8,19.1,19.3,1.0,1.0
