,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-07-01,20.0,33.1,0.0,0.0,41.0,1.0,10.0,13.0,17.0,81.0,32.0,1016.0,1012.1,25.4,32.3,0.0,0.0
1,2008-07-02,19.4,32.4,0.0,1.0,50.0,9.0,0.0,15.0,28.0,81.0,17.0,1016.8,1012.4,24.3,31.9,0.0,0.0
2,2008-07-03,18.2,31.8,0.0,0.0,46.0,2.0,1.0,22.0,19.0,38.0,24.0,1017.2,1013.0,24.3,31.2,0.0,0.0
3,2008-07-04,17.3,30.7,0.0,0.0,44.0,9.0,0.0,22.0,13.0,55.0,16.0,1017.3,1013.6,21.3,29.8,0.0,0.0
4,2008-07-05,15.5,30.8,0.0,2.0,46.0,0.0,0.0,20.0,19.0,37.0,16.0,1016.3,1012.6,22.2,29.6,0.0,0.0
5,2008-07-06,16.2,31.9,0.0,0.0,41.0,2.0,9.0,11.0,13.0,62.0,18.0,1015.8,1012.2,22.8,30.5,0.0,0.0
6,2008-07-07,17.0,32.7,0.0,0.0,48.0,9.0,2.0,11.0,22.0,54.0,18.0,1016.7,1013.1,23.3,31.5,0.0,0.0
7,2008-07-08,19.6,30.8,0.0,2.0,54.0,9.0,2.0,20.0,33.0,36.0,12.0,1018.2,1014.6,22.3,30.2,0.0,0.0
8,2008-07-09,17.3,29.2,0.0,2.0,50.0,9.0,2.0,31.0,24.0,26.0,15.0,1019.1,1015.2,20.3,28.6,0.0,0.0
9,2008-07-10,17.1,30.3,0.0,2.0,48.0,9.0,2.0,17.0,13.0,33.0,14.0,1018.3,1013.2,19.5,28.8,0.0,0.0
10,2008-07-11,17.7,30.6,0.0,0.0,41.0,2.0,4.0,20.0,11.0,21.0,11.0,1015.7,1011.0,22.4,30.0,0.0,0.0
11,2008-07-12,14.7,30.9,0.0,4.0,35.0,0.0,15.0,13.0,15.0,43.0,40.0,1014.5,1010.6,22.2,29.0,0.0,0.0
12,2008-07-13,18.7,31.3,0.0,14.0,28.0,10.0,7.0,13.0,22.0,75.0,42.0,1015.8,1012.1,22.7,29.9,0.0,0.0
13,2008-07-14,18.8,31.0,0.0,1.0,33.0,2.0,6.0,7.0,20.0,69.0,56.0,1015.8,1012.1,25.3,28.7,0.0,0.0
14,2008-07-15,21.4,33.1,0.0,2.0,41.0,9.0,6.0,9.0,20.0,64.0,45.0,1014.9,1010.5,26.5,30.2,0.0,0.0
15,2008-07-16,18.7,33.5,0.0,2.0,41.0,10.0,2.0,15.0,22.0,71.0,32.0,1014.0,1009.7,25.1,32.3,0.0,0.0
16,2008-07-17,17.2,33.4,0.0,0.0,43.0,9.0,1.0,15.0,20.0,41.0,15.0,1013.7,1009.4,24.8,32.7,0.0,0.0
17,2008-07-18,17.6,32.3,0.0,3.0,41.0,2.0,5.0,13.0,24.0,44.0,41.0,1013.4,1010.1,25.5,31.3,0.0,0.0
18,2008-07-19,21.4,29.9,0.0,14.0,26.0,0.0,7.0,9.0,15.0,61.0,57.0,1013.3,1009.8,26.9,29.9,0.0,0.0
19,2008-07-20,21.9,31.4,0.0,7.0,35.0,8.0,7.0,7.0,22.0,83.0,72.0,1013.6,1010.0,25.2,28.3,0.0,0.0
20,2008-07-21,21.4,32.7,0.0,9.0,41.0,9.0,7.0,22.0,22.0,70.0,36.0,1012.2,1009.0,24.0,30.9,0.0,0.0
21,2008-07-22,22.5,32.5,0.0,2.0,52.0,9.0,10.0,26.0,19.0,30.0,28.0,1012.8,1009.1,24.8,31.8,0.0,0.0
22,2008-07-23,21.4,30.9,0.0,9.0,52.0,9.0,9.0,31.0,26.0,30.0,20.0,1014.4,1010.7,22.9,30.3,0.0,0.0
23,2008-07-24,17.3,29.1,0.0,9.0,44.0,9.0,8.0,28.0,15.0,27.0,19.0,1014.5,1010.3,20.5,28.3,0.0,0.0
24,2008-07-25,15.9,29.3,0.0,2.0,43.0,9.0,10.0,24.0,17.0,24.0,13.0,1015.0,1010.8,19.5,28.4,0.0,0.0
25,2008-07-26,14.6,30.2,0.0,0.0,41.0,2.0,9.0,17.0,15.0,32.0,8.0,1014.4,1010.7,19.8,29.7,0.0,0.0
26,2008-07-27,12.5,31.3,0.0,6.0,28.0,8.0,6.0,4.0,19.0,60.0,37.0,1014.9,1011.2,21.7,27.4,0.0,0.0
27,2008-07-28,15.5,30.0,0.0,3.0,33.0,0.0,7.0,2.0,20.0,70.0,56.0,1014.6,1011.3,23.9,27.9,0.0,0.0
28,2008-07-29,17.4,31.6,0.0,0.0,33.0,10.0,6.0,11.0,19.0,68.0,33.0,1015.0,1010.6,24.9,29.5,0.0,0.0
29,2008-07-30,18.9,28.7,0.0,7.0,35.0,8.0,7.0,7.0,22.0,95.0,54.0,1015.8,1011.7,20.6,27.6,0.0,0.0
