,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,17.0,30.4,0.0,6.0,31.0,6.0,4.0,17.0,22.0,52.0,61.0,1013.5,1010.7,26.2,28.5,0.0,0.0
1,2008-12-02,19.0,29.7,0.0,5.0,37.0,6.0,5.0,19.0,31.0,55.0,70.0,1013.1,1010.2,27.8,26.2,0.0,0.0
2,2008-12-03,21.3,28.6,0.0,5.0,52.0,3.0,3.0,24.0,31.0,61.0,74.0,1013.4,1009.8,27.8,24.6,0.0,0.0
3,2008-12-04,20.9,28.7,0.8,9.0,52.0,1.0,9.0,15.0,39.0,65.0,75.0,1014.7,1014.5,27.5,23.6,0.0,0.0
4,2008-12-05,19.7,29.5,0.2,7.0,43.0,0.0,9.0,11.0,11.0,67.0,83.0,1017.5,1015.2,26.0,23.8,0.0,1.0
5,2008-12-06,22.8,34.5,3.6,7.0,48.0,7.0,7.0,22.0,17.0,52.0,50.0,1011.2,1006.7,29.4,31.9,1.0,1.0
6,2008-12-07,22.1,29.1,15.4,10.0,54.0,6.0,10.0,17.0,39.0,82.0,75.0,1007.2,1006.2,26.0,23.6,1.0,0.0
7,2008-12-08,20.2,27.7,0.2,9.0,41.0,8.0,9.0,26.0,26.0,64.0,62.0,1013.4,1011.0,25.1,25.5,0.0,1.0
8,2008-12-09,19.9,29.0,1.2,9.0,41.0,10.0,1.0,19.0,26.0,71.0,61.0,1013.5,1011.4,25.6,28.4,1.0,1.0
9,2008-12-10,17.363286137635882,30.3,0.0,5.0,41.0,3.0,5.0,19.0,31.0,58.0,70.0,1011.3,1007.5,27.3,26.5,1.0,0.0
10,2008-12-11,23.4,31.0,0.0,10.0,50.0,9.0,5.0,20.0,30.0,70.0,80.0,1011.1,1006.7,26.7,25.5,0.0,1.0
11,2008-12-12,21.5,27.5,13.2,8.0,39.0,8.0,8.0,28.0,22.0,99.0,100.0,1014.4,1010.9,21.6,22.3,1.0,1.0
12,2008-12-13,21.5,32.0,6.2,3.0,41.0,6.0,3.0,22.0,30.0,63.0,77.0,1006.4,1000.7,27.5,26.5,1.0,0.0
13,2008-12-14,23.1,32.9,0.0,14.0,61.0,7.0,13.0,35.0,33.0,40.0,27.0,1001.2,999.4,29.9,31.3,0.0,0.0
14,2008-12-15,17.7,30.3,0.0,10.0,39.0,13.0,10.0,22.0,31.0,29.0,48.0,1006.2,1007.0,26.8,25.8,0.0,0.0
15,2008-12-16,17.4,29.6,0.0,5.0,33.0,0.0,4.0,11.0,26.0,56.0,53.0,1014.8,1012.3,25.5,28.5,0.0,0.0
16,2008-12-17,18.5,31.0,0.0,5.0,37.0,7.0,5.0,24.0,31.0,52.0,58.0,1014.3,1010.9,27.1,28.9,0.0,0.0
17,2008-12-18,21.2,30.1,0.0,11.0,56.0,7.0,3.0,20.0,33.0,49.0,69.0,1010.6,1005.0,27.8,25.7,0.0,1.0
18,2008-12-19,20.8,30.7,11.0,8.0,56.0,6.0,3.0,28.0,19.0,60.0,71.0,1006.2,1002.4,28.3,26.0,1.0,0.0
19,2008-12-20,20.6,26.1,0.0,10.0,54.0,10.0,10.0,37.0,37.0,61.0,58.0,1013.8,1013.6,25.4,24.6,0.0,0.0
20,2008-12-21,19.3,26.8,0.0,9.0,54.0,8.0,10.0,33.0,39.0,51.0,58.0,1017.9,1016.3,24.0,24.0,0.0,0.0
21,2008-12-22,18.7,27.9,0.0,2.0,39.0,8.0,9.0,24.0,30.0,47.0,54.0,1018.7,1015.8,24.1,25.8,0.0,0.0
22,2008-12-23,17.4,29.8,0.0,5.0,43.0,5.0,5.0,15.0,33.0,51.0,49.0,1015.2,1011.6,26.2,28.0,0.0,0.0
23,2008-12-24,20.7,30.3,0.0,5.0,46.0,5.0,5.0,19.0,37.0,57.0,58.0,1012.1,1008.1,27.9,28.4,0.0,1.0
24,2008-12-25,20.6,28.7,14.2,4.0,31.0,9.0,0.0,19.0,11.0,87.0,74.0,1013.1,1011.7,24.5,26.1,1.0,1.0
25,2008-12-26,21.5,28.5,6.8,5.0,26.0,4.0,5.0,17.0,17.0,96.0,73.0,1014.9,1012.8,24.0,26.6,1.0,0.0
26,2008-12-27,23.1,29.9,0.0,5.0,30.0,5.0,5.0,17.0,26.0,66.0,63.0,1014.0,1010.4,27.7,27.5,0.0,1.0
27,2008-12-28,21.3,28.9,20.0,5.0,50.0,7.0,5.0,17.0,28.0,84.0,66.0,1009.2,1005.9,23.3,27.4,1.0,1.0
28,2008-12-29,21.6,30.0,22.8,15.0,74.0,4.0,5.0,17.0,28.0,78.0,73.0,1006.4,1002.7,26.2,27.0,1.0,1.0
29,2008-12-30,19.1,31.5,8.2,7.0,35.0,7.0,5.0,24.0,26.0,53.0,74.0,1003.8,999.8,28.7,27.0,1.0,0.0
