,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-07-01,4.6,12.2,3.0,15.0,81.0,5.0,7.0,17.0,24.0,72.0,42.0,988.3,992.3,6.5,12.1,1.0,1.0
1,2008-07-02,5.1,10.8,16.2,13.0,83.0,7.0,12.0,24.0,26.0,78.0,60.0,991.7,1002.5,6.0,8.5,1.0,1.0
2,2008-07-03,5.5,12.4,3.0,12.0,100.0,14.0,12.0,37.0,39.0,55.0,53.0,1008.7,1015.1,10.1,9.3,1.0,0.0
3,2008-07-04,0.9,10.4,1.0,6.0,28.0,7.0,3.0,17.0,9.0,76.0,54.0,1028.9,1028.1,3.2,9.6,0.0,0.0
4,2008-07-05,0.5,10.0,0.0,6.0,28.0,6.0,7.0,13.0,15.0,79.0,53.0,1028.2,1025.4,2.9,9.7,0.0,0.0
5,2008-07-06,1.3,10.0,0.0,6.0,41.0,6.0,3.0,19.0,7.0,77.0,70.0,1021.6,1017.8,4.2,9.1,0.0,0.0
6,2008-07-07,4.1,15.8,0.0,6.0,39.0,6.0,14.0,13.0,4.0,82.0,61.0,1017.2,1015.2,7.7,13.8,0.0,1.0
7,2008-07-08,7.3,14.2,8.4,6.0,24.0,3.0,6.0,7.0,13.0,96.0,72.0,1017.6,1017.2,8.3,14.0,1.0,0.0
8,2008-07-09,5.4,11.4,0.4,7.0,35.0,7.0,3.0,11.0,13.0,88.0,74.0,1017.8,1012.4,7.5,10.7,0.0,0.0
9,2008-07-10,5.2,12.9,0.6,6.0,44.0,6.0,7.0,19.0,20.0,68.0,49.0,998.7,996.5,9.0,10.3,0.0,1.0
10,2008-07-11,3.7,10.0,2.6,12.0,52.0,7.0,12.0,20.0,28.0,66.0,52.0,1002.3,1007.4,7.1,9.5,1.0,0.0
11,2008-07-12,6.4,10.9,0.2,7.0,43.0,12.0,3.0,6.0,9.0,73.0,63.0,1016.5,1014.8,8.3,10.8,0.0,0.0
12,2008-07-13,6.5,13.0,0.0,3.0,30.0,7.0,6.0,17.0,11.0,77.0,56.0,1016.2,1016.0,7.6,12.2,0.0,0.0
13,2008-07-14,5.1,13.1,0.0,6.0,28.0,7.0,0.0,13.0,9.0,88.0,64.0,1020.4,1019.6,5.8,11.6,0.0,0.0
14,2008-07-15,5.7,12.4,0.8,10.0,26.0,6.0,10.0,11.0,11.0,88.0,69.0,1023.3,1022.4,7.1,11.6,0.0,0.0
15,2008-07-16,6.1,10.1,0.8,6.0,17.0,6.0,10.0,11.0,0.0,88.0,87.0,1023.8,1021.5,7.3,10.1,0.0,0.0
16,2008-07-17,4.9,12.6,0.2,5.0,20.0,6.0,1.0,0.0,7.0,91.0,66.0,1015.9,1010.0,6.2,11.4,0.0,0.0
17,2008-07-18,3.6,13.9,0.0,6.0,46.0,5.0,7.0,4.0,22.0,85.0,53.0,1001.7,999.7,6.0,13.2,0.0,0.0
18,2008-07-19,3.9,12.1,0.0,14.0,41.0,4.0,6.0,11.0,17.0,66.0,50.0,1005.0,1005.2,7.4,10.8,0.0,0.0
19,2008-07-20,1.3,8.2,0.0,6.0,28.0,3.0,6.0,9.0,7.0,74.0,70.0,1011.4,1008.5,3.5,7.2,0.0,1.0
20,2008-07-21,3.3,8.0,3.2,12.0,65.0,11.0,11.0,30.0,28.0,80.0,74.0,1000.6,1004.5,5.1,4.6,1.0,1.0
21,2008-07-22,3.3,10.9,5.2,15.0,52.0,3.0,12.0,11.0,20.0,59.0,54.0,1020.3,1022.2,7.9,10.6,1.0,0.0
22,2008-07-23,4.6,12.5,0.0,15.0,30.0,7.0,7.0,13.0,15.0,76.0,58.0,1031.2,1030.3,7.4,11.2,0.0,0.0
23,2008-07-24,2.7,12.8,0.0,7.0,30.0,7.0,6.0,17.0,11.0,75.0,45.0,1032.2,1028.9,5.3,12.1,0.0,0.0
24,2008-07-25,2.7,13.0,0.0,6.0,30.0,7.0,6.0,19.0,13.0,74.0,43.0,1024.9,1021.0,4.2,12.6,0.0,0.0
25,2008-07-26,1.5,11.4,0.0,7.0,30.0,7.0,9.0,19.0,7.0,78.0,60.0,1017.3,1014.5,3.6,9.9,0.0,0.0
26,2008-07-27,3.6,10.8,0.6,8.0,37.0,14.0,10.0,9.0,24.0,96.0,62.0,1017.6,1017.9,4.8,9.6,0.0,1.0
27,2008-07-28,4.8,10.0,1.2,8.0,39.0,8.0,11.0,19.0,13.0,73.0,88.0,1024.2,1024.1,6.9,7.7,1.0,0.0
28,2008-07-29,5.4,11.5,1.0,3.0,28.0,6.0,6.0,15.0,15.0,82.0,47.0,1024.0,1019.4,6.5,10.7,0.0,0.0
29,2008-07-30,0.3,11.1,0.0,7.0,28.0,3.0,6.0,15.0,15.0,93.0,48.0,1017.6,1013.5,1.2,10.6,0.0,0.0
30,2008-07-31,1.1,14.1,0.0,7.0,35.0,6.0,6.0,28.0,19.0,73.0,54.0,1008.9,1003.8,5.3,13.4,0.0,0.0
31,2008-08-01,4.9,13.1,1.0,15.0,33.0,6.0,2.0,20.0,2.0,85.0,68.0,993.8,991.7,6.7,11.4,0.0,0.0
32,2008-08-02,6.4,12.0,0.0,15.0,57.0,5.0,15.0,13.0,31.0,69.0,55.0,1004.5,1006.2,8.4,10.8,0.0,0.0
33,2008-08-03,4.7,15.2,0.0,6.0,33.0,7.0,2.0,17.0,13.0,71.0,52.0,1014.5,1013.0,7.8,12.6,0.0,0.0
34,2008-08-04,4.7,15.9,0.0,6.0,35.0,6.0,6.0,19.0,7.0,74.0,41.0,1017.7,1017.4,6.6,15.0,0.0,0.0
35,2008-08-05,4.5,16.2,0.0,6.0,35.0,6.0,6.0,17.0,15.0,74.0,43.0,1021.8,1020.0,7.9,16.0,0.0,0.0
36,2008-08-06,3.7,14.3,0.0,6.0,28.0,6.0,2.0,17.0,9.0,72.0,50.0,1018.9,1017.6,7.6,12.9,0.0,0.0
37,2008-08-07,6.6,12.9,0.0,9.0,20.0,6.0,9.0,0.0,15.0,76.0,63.0,1020.5,1019.2,9.0,12.2,0.0,0.0
38,2008-08-08,6.1,13.2,0.0,6.0,24.0,6.0,1.0,13.0,9.0,84.0,70.0,1019.0,1015.6,7.2,11.7,0.0,0.0
39,2008-08-09,3.9,13.1,0.4,6.0,28.0,6.0,9.0,17.0,17.0,70.0,51.0,1015.7,1013.3,7.1,10.9,0.0,0.0
40,2008-08-10,1.8,10.4,0.0,6.0,22.0,6.0,9.0,7.0,9.0,85.0,66.0,1012.4,1011.8,3.4,9.9,0.0,0.0
41,2008-08-11,1.7,12.7,0.0,6.0,50.0,6.0,0.0,19.0,9.0,78.0,53.0,1014.9,1012.5,4.7,10.5,0.0,0.0
42,2008-08-12,4.6,11.9,0.4,15.0,63.0,3.0,13.0,19.0,28.0,71.0,46.0,1006.1,1004.7,8.2,8.3,0.0,1.0
43,2008-08-13,2.0,11.1,3.0,13.0,78.0,7.0,13.0,22.0,31.0,62.0,44.0,1012.0,1009.4,7.0,10.5,1.0,1.0
44,2008-08-14,6.6,11.1,15.0,12.0,57.0,12.0,15.0,20.0,26.0,77.0,73.0,1009.0,1007.7,8.5,8.8,1.0,1.0
45,2008-08-15,5.4,9.5,1.8,12.0,44.0,10.0,8.0,7.0,15.0,78.0,63.0,1011.2,1010.2,6.5,8.5,1.0,1.0
46,2008-08-16,4.3,10.0,5.6,12.0,61.0,11.0,8.0,26.0,22.0,67.0,65.0,1013.7,1015.7,6.1,9.1,1.0,1.0
47,2008-08-17,5.0,12.3,3.2,15.0,33.0,7.0,8.0,9.0,17.0,73.0,84.0,1021.9,1020.8,7.7,8.3,1.0,0.0
48,2008-08-18,1.2,13.5,1.0,3.0,56.0,3.0,6.0,11.0,22.0,71.0,48.0,1020.8,1018.2,6.4,12.0,0.0,0.0
49,2008-08-19,6.2,17.2,0.0,6.0,91.0,6.0,6.0,24.0,43.0,51.0,35.0,1012.3,1005.6,13.2,15.4,0.0,0.0
50,2008-08-20,4.3,13.1,0.8,6.0,39.0,6.0,14.0,11.0,13.0,70.0,36.0,1015.1,1011.7,8.1,12.7,0.0,0.0
51,2008-08-21,5.5,11.6,0.2,8.0,54.0,6.0,8.0,13.0,20.0,56.0,61.0,1012.9,1015.9,9.9,7.5,0.0,1.0
52,2008-08-22,1.4,12.7,5.2,6.0,28.0,6.0,15.0,15.0,13.0,66.0,40.0,1025.5,1023.4,5.4,11.8,1.0,0.0
53,2008-08-23,3.3,14.0,0.0,15.0,50.0,6.0,5.0,13.0,4.0,65.0,57.0,1025.1,1023.8,8.8,13.0,0.0,0.0
54,2008-08-24,4.0,15.5,0.0,6.0,33.0,6.0,0.0,17.0,9.0,63.0,45.0,1026.5,1024.7,9.9,13.4,0.0,0.0
55,2008-08-25,3.6,15.5,0.0,14.0,35.0,6.0,15.0,15.0,15.0,64.0,41.0,1023.4,1018.4,8.6,15.3,0.0,0.0
56,2008-08-26,6.4,13.8,0.0,11.0,37.0,6.0,7.0,15.0,11.0,61.0,51.0,1014.0,1012.4,8.7,13.4,0.0,0.0
57,2008-08-27,5.2,16.2,0.0,6.0,26.0,6.0,8.0,11.0,13.0,64.0,48.0,1024.3,1024.2,10.4,14.8,0.0,0.0
58,2008-08-28,4.0,13.8,0.0,2.0,22.0,3.0,9.0,11.0,13.0,70.0,53.0,1029.7,1027.5,9.4,13.5,0.0,0.0
