,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Pressure9am,Pressure3pm,Temp9am,RainToday,RainTomorrow
0,2013-03-01,24.7,34.6,0.0,14,43.0,7,13,17.0,19.0,74.0,1008.5,1005.0,28.7,0,0
1,2013-03-02,25.2,31.1,0.8,14,26.0,14,12,11.0,7.0,88.0,1008.6,1004.1,27.0,0,0
2,2013-03-03,25.4,35.9,0.0,8,48.0,15,12,13.0,15.0,82.0,1004.1,999.6,29.2,0,1
3,2013-03-04,21.6,33.0,81.0,13,37.0,7,14,13.0,20.0,95.0,1005.1,1002.0,25.1,1,0
4,2013-03-05,24.9,34.93543563068914,0.0,7,30.0,14,14,13.0,13.0,89.0,1007.1,1003.8,26.9,0,0
5,2013-03-06,22.4,35.9,0.0,5,46.0,6,14,19.0,13.0,66.0,1008.0,1004.3,27.5,0,0
6,2013-03-07,24.5,35.7,0.0,7,26.0,14,13,17.0,11.0,81.0,1008.4,1004.8,28.0,0,0
7,2013-03-08,25.2,36.5,0.0,6,39.0,13,3,9.0,9.0,77.0,1009.3,1004.3,28.5,0,1
8,2013-03-09,21.7,32.8,6.6,10,61.0,2,14,22.0,13.0,93.0,1009.8,1003.9,22.6,1,0
9,2013-03-10,21.7,35.9,0.4,11,46.0,13,8,9.0,9.0,85.0,1007.7,1002.3,28.5,0,1
10,2013-03-11,23.4,34.6,6.6,10,31.0,8,10,4.0,15.0,83.0,1007.1,1003.0,27.7,1,0
11,2013-03-12,23.9,34.8,0.0,11,20.0,8,8,0.0,9.0,87.0,1008.2,1003.6,26.8,0,0
12,2013-03-13,23.2,37.3,0.0,4,59.0,14,14,13.0,15.0,78.0,1007.8,1004.2,28.0,0,0
13,2013-03-14,22.9,37.0,0.0,7,30.0,6,15,13.0,13.0,76.0,1008.5,1004.9,27.0,0,0
14,2013-03-15,25.1,37.5,0.0,0,74.0,14,13,20.0,11.0,77.0,1011.2,1007.2,29.5,0,0
15,2013-03-16,23.4,37.4,1.0,9,63.0,14,8,11.0,9.0,68.0,1012.1,1008.1,29.0,0,1
16,2013-03-17,23.0,36.8,3.2,1,24.0,6,0,9.0,9.0,75.0,1011.4,1007.7,28.2,1,0
17,2013-03-18,22.9,37.0,0.0,14,22.0,7,0,4.0,7.0,74.0,1011.1,1007.1,28.8,0,0
18,2013-03-19,22.6,37.0,0.0,4,35.0,3,15,11.0,9.0,67.0,1011.2,1007.2,30.0,0,0
19,2013-03-20,24.8,37.5,0.0,9,22.0,7,6,15.0,6.0,65.0,1012.3,1007.7,29.8,0,0
20,2013-03-21,24.0,38.1,0.0,1,24.0,14,7,7.0,9.0,67.0,1010.1,1005.6,30.1,0,0
21,2013-03-22,24.4,37.9,0.0,13,28.0,14,5,13.0,7.0,71.0,1010.8,1007.2,29.2,0,0
22,2013-03-23,23.8,36.5,0.0,4,28.0,4,0,11.0,17.0,66.0,1011.5,1007.3,30.0,0,0
23,2013-03-24,24.4,32.5,0.0,0,43.0,9,9,15.0,11.0,69.0,1010.4,1006.5,29.7,0,1
24,2013-03-25,23.2,35.0,1.2,9,54.0,8,0,9.0,13.0,78.0,1009.8,1005.0,27.3,1,0
25,2013-03-26,23.5,32.7,0.8,1,43.0,2,2,13.0,20.0,82.0,1008.0,1003.8,26.7,0,1
26,2013-03-27,24.8,33.8,3.4,2,43.0,0,2,19.0,26.0,87.0,1006.7,1002.6,26.0,1,1
27,2013-03-28,23.7,33.8,117.6,2,35.0,0,2,15.0,15.0,98.0,1006.4,1003.1,25.1,1,1
28,2013-03-29,23.2,29.6,79.4,4,43.0,1,1,19.0,15.0,91.0,1006.5,1003.7,26.0,1,1
29,2013-03-30,24.0,25.8,63.4,0,28.0,4,4,15.0,13.0,96.0,1006.4,1003.9,24.7,1,1
30,2013-03-31,24.1,34.93543563068914,23.6,0,31.0,1,1,15.0,11.0,96.0,1007.5,1005.1,25.2,1,1
31,2013-04-01,22.4,30.4,96.4,0,31.0,0,0,11.0,11.0,66.0,1011.2,1008.8,27.5,1,0
32,2013-04-02,22.5,33.6,0.0,0,37.0,0,1,9.0,13.0,86.0,1011.9,1008.1,26.1,0,1
33,2013-04-03,24.1,33.5,6.0,2,28.0,9,2,7.0,15.0,87.0,1010.9,1007.7,26.5,1,0
34,2013-04-04,22.9,34.3,0.0,4,59.0,2,0,13.0,19.0,64.0,1011.2,1007.0,27.8,0,0
35,2013-04-05,23.6,34.6,0.8,1,33.0,1,0,15.0,13.0,78.0,1010.9,1007.9,28.2,0,0
36,2013-04-06,23.9,33.0,0.0,9,39.0,2,2,17.0,19.0,81.0,1011.6,1007.8,27.0,0,0
37,2013-04-07,22.6,34.4,0.0,0,39.0,2,2,17.0,19.0,78.0,1010.3,1007.5,27.3,0,0
38,2013-04-08,21.6,34.3,0.0,0,46.0,2,0,11.0,24.0,74.0,1011.0,1008.2,27.0,0,0
39,2013-04-09,21.8,35.2,0.0,0,35.0,10,2,15.0,17.0,81.0,1011.7,1007.9,27.5,0,0
40,2013-04-10,20.6,34.3,0.0,2,44.0,9,9,19.0,19.0,53.0,1009.8,1006.5,26.8,0,0
41,2013-04-11,18.2,33.8,0.0,10,37.0,9,9,19.0,20.0,44.0,1009.7,1006.5,26.2,0,0
42,2013-04-12,17.2,33.4,0.0,10,41.0,9,10,13.0,15.0,62.0,1011.5,1008.2,24.8,0,0
43,2013-04-13,16.3,33.4,0.0,2,31.0,9,10,0.0,17.0,66.0,1012.3,1008.4,23.8,0,0
44,2013-04-14,19.3,34.8,0.0,0,26.0,8,10,2.0,9.0,69.0,1011.2,1007.2,25.6,0,0
45,2013-04-15,21.2,35.4,0.0,8,30.0,4,9,4.0,9.0,71.0,1009.4,1005.7,27.7,0,0
46,2013-04-16,20.4,36.0,0.0,10,24.0,7,10,9.0,7.0,76.0,1010.6,1006.8,26.9,0,0
47,2013-04-17,20.6,35.8,0.0,1,35.0,4,2,13.0,20.0,58.0,1011.3,1008.1,28.7,0,0
48,2013-04-18,19.6,36.2,0.0,1,39.0,0,0,6.0,22.0,71.0,1011.7,1008.1,26.2,0,0
49,2013-04-19,18.2,36.0,0.0,0,33.0,8,0,6.0,19.0,67.0,1013.1,1009.6,25.8,0,0
50,2013-04-20,19.0,36.3,0.0,9,33.0,9,2,6.0,17.0,66.0,1013.0,1009.2,27.6,0,0
51,2013-04-21,18.8,36.4,0.0,0,24.0,9,0,0.0,13.0,58.0,1012.8,1008.3,27.7,0,0
52,2013-04-22,18.2,36.7,0.0,7,22.0,6,12,7.0,6.0,70.0,1011.5,1008.2,26.0,0,0
53,2013-04-23,19.5,36.3,0.0,7,38.771465461588114,6,10,6.0,9.0,72.0,1012.5,1008.7,26.9,0,0
54,2013-04-24,17.8,35.1,0.0,2,37.0,1,0,13.0,24.0,63.0,1015.0,1010.4,26.8,0,0
55,2013-04-25,18.8,35.4,0.0,9,41.0,2,2,13.0,20.0,69.0,1014.7,1011.4,26.5,0,0
56,2013-04-26,16.4,33.9,0.0,2,43.0,9,2,17.0,19.0,42.0,1015.5,1012.3,25.5,0,0
57,2013-04-27,14.8,33.9,0.0,9,31.0,9,0,11.0,19.0,53.0,1014.6,1010.5,23.1,0,0
58,2013-04-28,16.9,34.7,0.0,2,33.0,12,0,6.0,17.0,66.0,1014.3,1010.2,23.8,0,0
59,2013-04-29,18.4,34.1,0.0,0,33.0,10,9,7.0,19.0,63.0,1014.9,1011.1,26.8,0,0
60,2013-04-30,15.5,34.2,0.0,0,41.0,10,0,13.0,22.0,54.0,1014.9,1010.4,25.3,0,0
61,2013-05-01,16.3,35.0,0.0,2,48.0,9,1,9.0,20.0,67.0,1013.1,1008.6,24.2,0,0
62,2013-05-02,21.1,35.5,0.0,9,44.0,9,2,13.0,19.0,64.0,1011.8,1008.5,27.7,0,0
