,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,9.5,17.9,3.4,14.0,57.0,14.0,7.0,19.0,28.0,53.0,61.0,12.9,14.1,1.0,1.0
1,2008-12-02,9.4,18.3,4.0,14.0,46.0,7.0,7.0,24.0,28.0,60.0,46.0,14.6,17.3,1.0,0.0
2,2008-12-03,9.1,18.4,1.0,15.0,50.0,7.0,14.0,17.0,24.0,62.0,37.0,13.7,16.5,0.0,0.0
3,2008-12-04,2.2,19.4,0.0,7.0,39.0,3.0,7.0,7.0,19.0,56.0,41.0,10.8,18.1,0.0,1.0
4,2008-12-05,9.6,19.8,4.6,6.0,39.0,9.0,6.0,7.0,11.0,91.0,89.0,11.2,15.9,1.0,0.0
5,2008-12-06,10.6,19.3,1.0,3.0,54.0,6.0,6.0,24.0,26.0,71.0,70.0,16.1,16.8,0.0,0.0
6,2008-12-07,6.7,20.4,0.4,13.0,37.0,6.0,14.0,17.0,17.0,59.0,37.0,13.4,19.1,0.0,0.0
7,2008-12-08,4.3,18.8,0.0,7.0,43.0,7.0,6.0,9.0,24.0,63.0,52.0,12.0,16.9,0.0,0.0
8,2008-12-09,10.7,17.5,0.8,6.0,39.0,6.0,3.0,13.0,24.0,93.0,63.0,12.6,16.3,0.0,0.0
9,2008-12-10,5.0,19.7,0.0,6.0,37.0,10.0,7.0,15.0,11.0,46.0,27.0,12.9,18.6,0.0,0.0
10,2008-12-11,7.0,21.8,0.0,7.0,37.0,9.0,6.0,7.0,19.0,63.0,41.0,14.7,21.0,0.0,0.0
11,2008-12-12,8.3,22.8,0.0,9.0,65.0,9.0,5.0,7.0,19.0,55.0,44.0,16.7,22.2,0.0,1.0
12,2008-12-13,14.9,15.4,13.6,10.0,74.0,10.0,10.0,22.0,39.0,85.0,80.0,15.3,14.5,1.0,1.0
13,2008-12-14,12.7,18.6,15.0,8.0,56.0,10.0,10.0,30.0,28.0,65.0,58.0,14.9,17.9,1.0,0.0
14,2008-12-15,5.5,19.8,0.0,7.0,44.0,13.0,6.0,4.0,28.0,67.0,62.0,12.6,18.4,0.0,0.0
15,2008-12-16,11.4,19.8,0.0,6.0,43.0,6.0,6.0,15.0,22.0,62.0,77.0,16.8,16.1,0.0,0.0
16,2008-12-17,6.2,20.4,0.2,6.0,33.0,2.0,7.0,11.0,20.0,61.0,49.0,14.8,19.3,0.0,0.0
17,2008-12-18,9.6,19.1,0.0,6.0,37.0,14.0,7.0,9.0,20.0,58.0,51.0,14.6,17.8,0.0,1.0
18,2008-12-19,10.1,21.0,2.0,8.0,46.0,10.0,8.0,30.0,19.0,46.0,37.0,13.7,19.7,1.0,0.0
19,2008-12-20,6.6,22.6,0.0,6.0,35.0,6.0,7.0,9.0,17.0,75.0,54.0,15.2,21.8,0.0,0.0
20,2008-12-21,11.4,23.4,0.0,7.0,35.0,7.0,7.0,11.0,22.0,80.0,51.0,15.9,22.3,0.0,0.0
21,2008-12-22,13.1,26.3,0.0,7.0,46.0,4.0,7.0,4.0,17.0,64.0,62.0,18.7,21.4,0.0,0.0
22,2008-12-23,11.1,27.7,0.2,3.0,48.0,9.0,8.0,7.0,11.0,63.0,24.0,19.3,26.4,0.0,0.0
23,2008-12-24,13.1,21.9,0.0,7.0,41.0,13.0,7.0,6.0,17.0,75.0,52.0,15.0,19.6,0.0,1.0
24,2008-12-25,12.3,24.3,1.2,3.0,39.0,8.0,3.0,7.0,17.0,71.0,33.0,15.3,23.7,1.0,0.0
25,2008-12-26,10.4,21.4,0.0,7.0,41.0,14.0,7.0,11.0,24.0,76.0,67.0,15.4,17.4,0.0,0.0
