,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-07-01,9.5,15.4,2.0,13.0,63.0,13.0,13.0,37.0,35.0,60.0,38.0,1006.8,1010.3,11.0,14.6,1.0,0.0
1,2008-07-02,11.0,14.5,0.6,13.0,63.0,13.0,15.0,30.0,35.0,66.0,52.0,1013.4,1016.2,11.8,13.7,0.0,1.0
2,2008-07-03,8.4,14.1,1.4,13.0,39.0,13.0,13.0,17.0,24.0,72.0,58.0,1024.8,1024.3,10.6,13.9,1.0,0.0
3,2008-07-04,9.1,14.5,0.6,0.0,19.0,6.0,3.0,9.0,7.0,87.0,49.0,1030.2,1029.0,10.2,13.1,0.0,0.0
4,2008-07-05,4.3,15.5,0.0,3.0,52.0,3.0,5.0,24.0,30.0,81.0,52.0,1028.9,1024.9,5.5,14.6,0.0,0.0
5,2008-07-06,5.5,15.4,0.0,3.0,74.0,3.0,6.0,31.0,44.0,68.0,48.0,1023.1,1020.1,11.6,14.6,0.0,0.0
6,2008-07-07,11.5,14.3,0.0,5.0,57.0,3.0,3.0,28.0,22.0,73.0,63.0,1016.3,1012.9,12.2,13.3,0.0,1.0
7,2008-07-08,6.9,10.4,5.0,3.0,37.0,3.0,3.0,13.0,11.0,80.0,71.0,1017.1,1017.0,7.3,10.3,1.0,1.0
8,2008-07-09,3.6,14.8,1.2,3.0,35.0,3.0,15.0,11.0,17.0,95.0,61.0,1023.1,1019.6,4.2,13.1,1.0,1.0
9,2008-07-10,4.2,13.5,3.0,14.0,69.0,3.0,14.0,15.0,46.0,87.0,33.0,1009.4,1006.7,9.0,12.2,1.0,0.0
10,2008-07-11,7.4,13.5,0.2,15.0,52.0,13.0,15.0,26.0,26.0,71.0,56.0,1016.3,1018.5,9.2,13.0,0.0,0.0
11,2008-07-12,6.6,11.3,0.0,3.0,91.0,3.0,3.0,22.0,46.0,68.0,53.0,1023.2,1018.5,8.4,10.3,0.0,0.0
12,2008-07-13,8.4,14.3,0.0,3.0,87.0,3.0,3.0,33.0,44.0,49.0,55.0,1017.1,1014.4,11.3,13.8,0.0,0.0
13,2008-07-14,7.4,18.9,0.0,3.0,54.0,11.0,3.0,7.0,26.0,78.0,24.0,1017.4,1016.2,8.5,17.9,0.0,0.0
14,2008-07-15,8.4,17.6,0.0,5.0,39.0,3.0,3.0,17.0,24.0,70.0,51.0,1019.9,1018.2,10.8,16.1,0.0,0.0
15,2008-07-16,6.2,16.4,0.0,3.0,43.0,3.0,3.0,19.0,30.0,86.0,55.0,1022.2,1018.7,7.5,14.1,0.0,0.0
16,2008-07-17,7.5,13.6,0.0,3.0,59.0,3.0,3.0,35.0,30.0,70.0,47.0,1013.5,1009.2,11.4,13.4,0.0,0.0
17,2008-07-18,9.1,12.4,0.8,12.0,56.0,14.0,15.0,20.0,19.0,87.0,70.0,1008.2,1009.0,9.3,11.7,0.0,1.0
18,2008-07-19,6.4,14.1,1.6,3.0,72.0,3.0,3.0,33.0,43.0,74.0,55.0,1012.5,1009.2,8.3,13.0,1.0,0.0
19,2008-07-20,8.3,14.0,0.8,5.0,63.0,5.0,3.0,43.0,39.0,63.0,60.0,1004.4,1001.5,12.4,13.4,0.0,1.0
20,2008-07-21,8.5,13.4,13.8,12.0,70.0,11.0,11.0,31.0,35.0,78.0,44.0,1011.7,1017.7,10.0,11.7,1.0,1.0
21,2008-07-22,6.2,12.6,2.4,11.0,41.0,15.0,11.0,15.0,13.0,78.0,62.0,1029.0,1029.2,8.0,12.1,1.0,0.0
22,2008-07-23,6.6,11.9,0.8,10.0,24.0,15.0,10.0,0.0,17.0,85.0,77.0,1034.1,1031.9,8.1,10.8,0.0,0.0
23,2008-07-24,4.2,16.1,0.0,5.0,33.0,5.0,3.0,11.0,17.0,95.0,39.0,1031.2,1026.2,5.5,15.1,0.0,0.0
24,2008-07-25,3.8,16.1,0.0,5.0,37.0,3.0,5.0,20.0,24.0,78.0,46.0,1024.8,1020.4,5.3,14.8,0.0,0.0
25,2008-07-26,4.7,13.3,0.0,3.0,41.0,3.0,5.0,24.0,20.0,79.0,54.0,1017.3,1013.7,6.6,12.8,0.0,1.0
26,2008-07-27,6.6,10.2,8.2,8.0,31.0,15.0,11.0,11.0,13.0,91.0,80.0,1013.5,1012.5,7.8,9.9,1.0,1.0
27,2008-07-28,6.0,13.8,1.6,10.0,41.0,15.0,8.0,9.0,24.0,71.0,61.0,1021.6,1021.4,9.2,12.7,1.0,0.0
28,2008-07-29,3.4,14.4,0.0,3.0,33.0,3.0,2.0,11.0,6.0,84.0,45.0,1023.0,1017.6,4.8,13.7,0.0,0.0
29,2008-07-30,4.4,15.2,0.0,3.0,56.0,3.0,5.0,28.0,31.0,76.0,41.0,1015.5,1012.1,6.5,14.6,0.0,0.0
30,2008-07-31,6.5,15.4,0.4,3.0,69.0,3.0,3.0,41.0,41.0,64.0,46.0,1011.6,1006.9,9.7,15.2,0.0,0.0
31,2008-08-01,9.7,14.7,0.4,15.0,80.0,7.0,15.0,28.0,43.0,70.0,67.0,999.7,1001.5,11.8,10.9,0.0,0.0
32,2008-08-02,8.6,15.3,0.6,15.0,46.0,13.0,15.0,19.0,26.0,78.0,55.0,1015.9,1016.1,9.8,14.6,0.0,0.0
33,2008-08-03,7.9,14.9,0.0,3.0,52.0,3.0,3.0,22.0,30.0,69.0,54.0,1019.2,1015.7,10.0,13.7,0.0,0.0
34,2008-08-04,9.7,13.6,0.2,5.0,54.0,3.0,5.0,17.0,26.0,61.0,52.0,1017.7,1018.1,11.1,13.4,0.0,0.0
35,2008-08-05,5.6,15.0,0.2,10.0,30.0,15.0,8.0,6.0,20.0,81.0,55.0,1024.4,1022.8,8.2,14.8,0.0,0.0
36,2008-08-06,7.2,16.6,0.0,7.0,35.0,3.0,5.0,13.0,17.0,89.0,43.0,1021.7,1017.0,9.1,15.7,0.0,0.0
37,2008-08-07,6.8,15.4,0.0,13.0,41.0,11.0,8.0,2.0,15.0,70.0,52.0,1017.6,1017.0,9.0,14.5,0.0,0.0
38,2008-08-08,4.4,14.7,0.4,6.0,35.0,6.0,7.0,19.0,24.0,61.0,41.0,1021.8,1018.9,6.8,14.0,0.0,1.0
39,2008-08-09,5.3,13.4,1.8,6.0,46.0,3.0,7.0,17.0,22.0,73.0,44.0,1021.0,1016.7,7.2,12.5,1.0,1.0
40,2008-08-10,5.6,12.2,4.8,12.0,70.0,13.0,15.0,19.0,24.0,83.0,66.0,1013.9,1013.0,5.7,9.1,1.0,1.0
