,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,11.2,19.9,0.0,12.0,69.0,13.0,12.0,33.0,43.0,55.0,37.0,1005.1,1006.4,15.9,18.1,0.0,1.0
1,2009-01-02,7.8,17.8,1.2,10.0,56.0,12.0,10.0,31.0,26.0,50.0,43.0,1018.0,1019.3,12.5,15.8,1.0,0.0
2,2009-01-03,6.3,21.1,0.0,10.0,31.0,0.0,8.0,13.0,19.0,51.0,35.0,1020.8,1017.6,13.4,19.6,0.0,0.0
3,2009-01-04,8.1,29.2,0.0,10.0,35.0,4.0,10.0,2.0,20.0,67.0,23.0,1016.2,1012.8,16.0,28.2,0.0,0.0
4,2009-01-05,9.7,29.0,0.0,9.0,33.0,12.0,10.0,9.0,20.0,51.0,31.0,1011.9,1010.3,19.4,27.1,0.0,0.0
5,2009-01-06,13.5,31.7,0.0,10.0,50.0,5.0,8.0,11.0,28.0,50.0,34.0,1010.7,1007.7,21.3,29.8,0.0,0.0
6,2009-01-07,15.8,21.4,0.2,8.0,46.0,11.0,10.0,17.0,28.0,98.0,67.0,1010.0,1009.9,16.0,19.9,0.0,0.0
7,2009-01-08,9.7,18.4,0.2,9.0,56.0,11.0,10.0,28.0,35.0,51.0,42.0,1017.4,1018.9,14.5,17.7,0.0,0.0
8,2009-01-09,10.2,19.7,0.0,8.0,43.0,10.0,8.0,19.0,28.0,51.0,42.0,1021.4,1018.0,14.2,19.3,0.0,0.0
9,2009-01-10,10.7,23.6,0.0,8.0,43.0,15.0,8.0,7.0,24.0,76.0,46.0,1013.8,1010.3,14.5,21.8,0.0,0.0
10,2009-01-11,10.7,23.5,0.0,8.0,41.0,12.0,10.0,9.0,17.0,77.0,52.0,1012.0,1009.7,14.8,23.0,0.0,0.0
11,2009-01-12,10.4,25.1,0.0,10.0,26.0,11.0,9.0,11.0,17.0,73.0,47.0,1018.6,1017.4,15.3,22.4,0.0,0.0
12,2009-01-13,11.5,37.1,0.0,3.0,52.0,3.0,6.0,35.0,22.0,39.0,12.0,1013.8,1010.0,25.0,35.1,0.0,0.0
13,2009-01-14,24.9,33.5,0.0,3.0,57.0,3.0,8.0,35.0,24.0,12.0,45.0,1007.5,1009.4,31.2,24.8,0.0,0.0
14,2009-01-15,13.8,23.1,0.0,12.0,44.0,12.0,9.0,28.0,22.0,56.0,44.0,1015.8,1014.5,16.5,21.4,0.0,0.0
15,2009-01-16,12.7,21.6,0.0,15.0,61.0,12.0,8.0,28.0,28.0,59.0,33.0,1017.4,1018.4,15.5,19.8,0.0,0.0
16,2009-01-17,12.5,19.8,0.0,8.0,41.0,10.0,8.0,28.0,26.0,50.0,44.0,1022.7,1022.7,14.5,18.8,0.0,0.0
17,2009-01-18,7.5,26.3,0.0,10.0,31.0,9.0,10.0,7.0,20.0,67.0,32.0,1021.9,1019.0,14.7,24.5,0.0,0.0
18,2009-01-19,11.9,37.0,0.0,3.0,54.0,3.0,14.0,28.0,22.0,22.0,7.0,1013.6,1009.0,26.3,35.3,0.0,0.0
19,2009-01-20,18.4,40.2,0.0,12.0,100.0,3.0,10.0,37.0,37.0,18.0,26.0,1005.6,1006.0,29.5,29.3,0.0,0.0
20,2009-01-21,12.8,28.8,0.0,8.0,37.0,4.0,10.0,9.0,24.0,73.0,40.0,1010.4,1006.6,17.6,27.3,0.0,0.0
21,2009-01-22,15.1,35.6,0.0,13.0,94.0,6.0,7.0,41.0,46.0,57.0,9.0,998.1,994.2,27.1,34.7,0.0,0.0
22,2009-01-23,9.8,32.3,0.0,14.0,59.0,3.0,7.0,9.0,24.0,46.0,11.0,1008.1,1002.9,16.7,28.9,0.0,0.0
23,2009-01-24,15.3,24.2,0.0,15.0,54.0,15.0,15.0,30.0,30.0,55.0,24.0,1008.1,1011.6,17.1,22.7,0.0,0.0
24,2009-01-25,9.2,29.0,0.0,8.0,39.0,5.0,9.0,7.0,24.0,54.0,18.0,1018.3,1016.4,16.9,28.0,0.0,0.0
25,2009-01-26,11.4,24.8,0.0,10.0,46.0,10.0,10.0,13.0,26.0,72.0,46.0,1022.3,1020.8,16.7,23.8,0.0,0.0
26,2009-01-27,14.9,36.0,0.0,3.0,37.0,5.0,10.0,7.0,26.0,71.0,22.0,1017.8,1014.0,19.1,34.2,0.0,0.0
27,2009-01-28,16.6,43.1,0.0,3.0,50.0,3.0,6.0,24.0,15.0,18.0,7.0,1012.3,1009.3,31.2,41.6,0.0,0.0
28,2009-01-29,30.5,44.2,0.0,3.0,59.0,3.0,3.0,39.0,26.0,15.0,10.0,1011.2,1009.6,35.4,42.4,0.0,0.0
29,2009-01-30,23.9,44.2,0.0,3.0,50.0,3.0,3.0,15.0,22.0,23.0,8.0,1012.2,1009.3,33.9,42.9,0.0,0.0
30,2009-01-31,19.6,31.6,0.0,11.0,46.0,12.0,8.0,7.0,26.0,52.0,39.0,1013.7,1014.3,25.0,30.9,0.0,0.0
31,2009-02-01,18.1,34.1,0.0,11.0,39.0,11.0,2.0,11.0,11.0,75.0,46.0,1016.8,1012.5,20.8,31.7,0.0,0.0
32,2009-02-02,18.7,28.8,0.0,8.0,37.0,15.0,8.0,7.0,26.0,81.0,55.0,1012.4,1010.3,20.8,27.1,0.0,0.0
33,2009-02-03,18.8,28.7,0.0,11.0,52.0,8.0,8.0,15.0,28.0,86.0,43.0,1013.2,1010.7,20.3,27.9,0.0,0.0
34,2009-02-04,17.9,31.6,0.0,8.0,35.0,5.0,8.0,4.0,17.0,72.0,40.0,1009.1,1006.4,20.5,29.6,0.0,0.0
35,2009-02-05,17.0,32.2,0.0,10.0,39.0,15.0,10.0,11.0,24.0,50.0,52.0,1005.7,1007.6,24.9,25.6,0.0,0.0
36,2009-02-06,17.6,33.5,0.0,8.0,44.0,10.0,10.0,11.0,19.0,73.0,39.0,1010.6,1007.3,18.9,29.0,0.0,0.0
37,2009-02-07,18.8,46.8,0.0,12.0,83.0,3.0,7.0,54.0,39.0,21.0,10.0,1003.1,998.8,32.7,46.1,0.0,1.0
38,2009-02-08,16.9,20.9,1.8,8.0,44.0,12.0,10.0,20.0,28.0,74.0,59.0,1012.6,1014.0,18.4,20.0,1.0,0.0
