,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,6.6,18.7,4.0,14,61.0,14,14,20.0,30.0,73.0,39.0,1009.4,1008.9,13.4,17.8,1,0
1,2008-12-02,8.9,18.1,0.0,13,50.0,7,14,17.0,31.0,74.0,49.0,1009.8,1008.9,14.4,16.2,0,0
2,2008-12-03,10.1,19.3,1.0,15,43.0,15,12,20.0,24.0,73.0,47.0,1011.9,1013.9,13.6,18.2,0,0
3,2008-12-04,5.9,21.2,0.0,5,50.0,1,5,17.0,26.0,69.0,39.0,1014.8,1009.5,13.7,20.5,0,1
4,2008-12-05,13.6,19.3,12.8,14,63.0,7,14,24.0,39.0,86.0,65.0,1005.7,1006.9,16.1,18.7,1,0
5,2008-12-06,12.7,19.6,0.6,13,57.0,7,13,26.0,39.0,81.0,46.0,1008.9,1008.7,15.7,18.5,0,0
6,2008-12-07,10.2,16.8,0.0,12,39.0,15,11,11.0,26.0,65.0,46.0,1015.3,1014.6,12.6,16.4,0,0
7,2008-12-08,11.1,21.0,0.0,11,35.0,14,11,15.0,26.0,51.0,42.0,1015.3,1011.0,13.9,20.4,0,0
8,2008-12-09,6.9,16.5,0.4,10,33.0,8,3,22.0,15.0,87.0,91.0,1006.9,1007.8,11.1,13.1,0,1
9,2008-12-10,7.5,19.9,4.2,10,50.0,9,10,20.0,35.0,58.0,43.0,1014.2,1012.2,14.9,19.3,1,0
10,2008-12-11,6.2,25.8,0.0,2,35.0,2,0,26.0,15.0,56.0,25.0,1014.8,1010.3,14.7,24.7,0,0
11,2008-12-12,13.6,15.4,0.8,10,59.0,5,0,7.0,22.0,85.0,93.0,1005.2,1000.3,15.2,13.5,0,1
12,2008-12-13,11.4,14.9,78.8,10,63.0,8,11,37.0,33.0,86.0,74.0,1002.3,1005.8,11.9,13.6,1,1
13,2008-12-14,11.0,15.9,2.0,11,41.0,8,8,24.0,22.0,69.0,61.0,1011.4,1012.5,13.0,15.8,1,0
14,2008-12-15,10.6,19.9,0.0,15,46.0,15,13,17.0,30.0,61.0,50.0,1014.4,1012.3,13.2,19.6,0,0
15,2008-12-16,11.4,19.3,0.4,12,43.0,7,15,15.0,22.0,89.0,72.0,1013.6,1012.6,14.1,18.4,0,1
16,2008-12-17,12.4,19.7,6.0,10,31.0,2,2,15.0,15.0,87.0,64.0,1012.8,1009.1,14.5,18.5,1,0
17,2008-12-18,10.4,19.1,0.0,15,50.0,2,15,0.0,33.0,63.0,58.0,1008.0,1008.8,15.2,16.2,0,0
18,2008-12-19,8.9,18.5,0.6,11,41.0,8,8,28.0,26.0,46.0,45.0,1017.9,1018.4,15.4,18.0,0,0
19,2008-12-20,6.2,24.9,0.0,8,33.0,0,10,20.0,11.0,63.0,39.0,1021.5,1017.8,15.5,24.0,0,0
20,2008-12-21,11.3,30.2,0.0,5,41.0,5,3,20.0,19.0,38.0,18.0,1014.6,1010.2,22.0,28.2,0,0
21,2008-12-22,18.2,20.6,0.0,3,54.0,14,13,30.0,30.0,71.0,64.0,1006.1,1007.2,18.2,19.8,0,0
22,2008-12-23,13.7,20.5,0.0,8,33.0,8,8,20.0,19.0,61.0,51.0,1016.2,1015.3,15.6,19.0,0,0
23,2008-12-24,6.6,25.4,0.0,15,46.0,4,14,17.0,28.0,57.0,35.0,1013.5,1011.8,16.2,24.8,0,0
24,2008-12-25,9.3,24.0,0.0,11,33.0,2,11,13.0,19.0,63.0,40.0,1015.9,1012.6,16.8,23.5,0,0
25,2008-12-26,11.2,25.8,0.0,11,30.0,11,11,13.0,13.0,68.0,45.0,1010.8,1008.1,18.4,24.8,0,0
26,2008-12-27,12.9,22.8,0.0,13,39.0,12,15,15.0,22.0,66.0,50.0,1007.6,1005.6,18.0,21.6,0,0
27,2008-12-28,13.3,20.6,0.0,14,56.0,7,15,24.0,28.0,89.0,59.0,1004.6,1004.3,16.2,20.1,0,0
28,2008-12-29,10.7,19.1,0.8,13,48.0,15,13,28.0,30.0,45.0,49.0,1010.5,1009.8,16.2,17.9,0,1
29,2008-12-30,13.2,18.8,6.0,13,59.0,15,13,30.0,39.0,60.0,50.0,1006.2,1006.6,16.4,17.4,1,0
30,2008-12-31,12.2,19.6,0.0,13,52.0,15,14,24.0,31.0,64.0,51.0,1007.7,1006.3,14.6,18.6,0,0
31,2009-01-01,12.6,17.0,0.8,12,56.0,12,12,28.0,35.0,66.0,43.0,1008.3,1011.6,14.3,16.6,0,0
32,2009-01-02,7.3,18.8,0.0,11,43.0,8,11,28.0,20.0,48.0,37.0,1020.6,1020.6,15.5,17.4,0,0
33,2009-01-03,4.0,22.6,0.0,11,43.0,0,9,13.0,13.0,55.0,33.0,1020.5,1017.0,13.3,21.3,0,0
34,2009-01-04,6.2,25.3,0.0,11,33.0,9,8,11.0,20.0,56.0,44.0,1016.2,1013.8,16.6,23.9,0,0
35,2009-01-05,6.2,23.1,0.0,15,37.0,12,14,17.0,22.0,68.0,45.0,1014.8,1013.3,15.8,22.3,0,0
36,2009-01-06,12.7,24.7,0.0,15,43.0,7,15,17.0,31.0,90.0,65.0,1011.9,1010.4,16.4,21.6,0,1
37,2009-01-07,13.7,21.2,1.4,12,44.0,11,12,19.0,26.0,89.0,41.0,1012.3,1013.0,14.8,19.9,1,0
38,2009-01-08,10.1,19.3,0.0,8,48.0,12,8,26.0,31.0,42.0,44.0,1020.2,1021.1,17.1,17.5,0,0
39,2009-01-09,6.4,21.6,0.0,8,43.0,2,10,19.0,28.0,52.0,41.0,1021.7,1017.7,15.3,20.8,0,0
40,2009-01-10,9.0,22.5,0.0,8,46.0,9,11,20.0,31.0,59.0,47.0,1014.0,1011.9,16.4,21.4,0,0
41,2009-01-11,7.7,22.6,0.0,11,39.0,8,12,7.0,28.0,68.0,39.0,1013.3,1012.7,14.7,22.1,0,0
42,2009-01-12,14.0,27.2,0.0,8,33.0,8,8,2.0,19.0,71.0,45.0,1018.5,1016.0,18.1,26.0,0,0
43,2009-01-13,13.6,39.3,0.0,6,63.0,3,7,28.0,37.0,24.0,8.0,1010.6,1006.3,26.6,38.2,0,0
44,2009-01-14,15.2,23.0,0.0,6,54.5,10,8,22.0,26.0,78.0,53.0,1012.1,1011.9,17.5,22.4,0,0
45,2009-01-15,11.8,22.1,0.0,15,46.0,15,12,24.0,26.0,56.0,44.0,1016.8,1017.7,17.3,21.2,0,0
46,2009-01-16,13.3,19.9,0.0,11,46.0,11,12,28.0,33.0,63.0,38.0,1021.5,1022.8,15.4,18.3,0,0
47,2009-01-17,6.8,23.1,0.0,11,35.0,2,11,15.0,24.0,50.0,37.0,1024.7,1022.6,16.2,22.6,0,0
48,2009-01-18,4.9,29.0,0.0,11,39.0,2,8,13.0,22.0,53.0,25.0,1021.3,1017.7,16.7,28.6,0,0
49,2009-01-19,9.7,33.7,0.0,13,43.0,3,12,15.0,26.0,32.0,14.0,1011.7,1009.3,23.0,32.5,0,0
50,2009-01-20,12.3,30.2,0.0,15,48.0,12,6,15.0,13.0,69.0,17.0,1007.2,1007.3,19.8,29.5,0,0
51,2009-01-21,9.0,25.7,0.0,15,43.0,6,13,13.0,26.0,72.0,40.0,1011.4,1007.7,17.6,24.3,0,0
52,2009-01-22,14.9,22.7,0.0,7,80.0,7,14,50.0,39.0,42.0,51.0,996.5,1000.2,22.7,19.1,0,0
53,2009-01-23,7.8,24.5,0.0,7,54.0,3,6,22.0,31.0,60.0,31.0,1006.6,1002.8,15.6,23.3,0,1
54,2009-01-24,12.9,20.6,3.2,13,46.0,15,13,28.0,22.0,54.0,37.0,1010.5,1013.9,16.0,19.3,1,0
55,2009-01-25,5.7,24.6,0.0,8,37.0,6,11,9.0,13.0,65.0,39.0,1019.0,1018.2,15.6,23.2,0,0
56,2009-01-26,7.8,27.6,0.0,8,37.0,9,8,15.0,26.0,74.0,44.0,1022.8,1019.4,18.3,26.6,0,0
57,2009-01-27,10.6,39.5,0.0,3,39.0,5,15,11.0,17.0,57.0,10.0,1015.6,1011.8,21.2,38.3,0,0
58,2009-01-28,21.1,43.6,0.0,3,48.0,3,11,24.0,30.0,13.0,13.0,1009.0,1007.4,32.4,38.6,0,0
59,2009-01-29,21.2,43.6,0.0,7,69.0,6,6,26.0,39.0,23.0,12.0,1007.4,1007.5,35.2,40.1,0,0
60,2009-01-30,20.5,36.8,0.0,8,52.0,8,8,20.0,30.0,53.0,37.0,1011.1,1010.1,26.5,33.0,0,0
61,2009-01-31,17.5,32.4,0.0,10,54.0,8,10,26.0,28.0,65.0,48.0,1014.6,1014.6,24.0,29.0,0,0
62,2009-02-01,16.6,32.2,0.0,11,41.0,10,11,24.0,28.0,64.0,43.0,1016.1,1013.4,21.7,30.8,0,0
63,2009-02-02,17.3,25.8,0.0,10,43.0,11,8,26.0,28.0,89.0,60.0,1013.5,1012.7,18.9,24.4,0,0
64,2009-02-03,16.7,31.7,0.0,2,37.0,9,0,24.0,17.0,74.0,39.0,1013.7,1009.7,18.8,29.4,0,0
65,2009-02-04,13.0,35.1,0.0,8,39.0,2,10,13.0,22.0,70.0,21.0,1008.9,1005.2,19.8,34.6,0,0
66,2009-02-05,16.0,25.2,0.0,12,39.0,11,11,19.0,26.0,72.0,49.0,1008.8,1010.2,19.1,25.0,0,0
67,2009-02-06,9.5,30.1,0.0,12,54.0,0,10,13.0,20.0,73.0,51.0,1009.0,1007.2,16.7,23.5,0,0
68,2009-02-07,16.6,34.5,0.0,15,57.0,4,12,9.0,15.0,58.0,49.0,999.8,1003.7,24.0,26.0,0,0
69,2009-02-08,14.1,21.8,0.0,15,48.0,15,12,19.0,28.0,52.0,40.0,1014.9,1016.1,17.1,20.1,0,0
70,2009-02-09,9.3,20.1,0.0,8,54.0,8,11,19.0,24.0,53.0,26.0,1020.3,1019.3,15.1,19.0,0,0
71,2009-02-10,7.4,19.7,0.8,11,54.0,11,11,17.0,39.0,74.0,56.0,1021.1,1020.9,12.7,14.8,0,0
72,2009-02-11,11.9,19.0,0.4,8,52.0,8,8,26.0,33.0,53.0,50.0,1023.2,1023.0,14.3,15.7,0,0
73,2009-02-12,11.6,21.6,0.2,10,57.0,10,10,30.0,37.0,40.0,42.0,1024.5,1022.7,16.3,20.6,0,0
74,2009-02-13,7.1,27.3,0.0,8,39.0,0,0,28.0,24.0,57.0,21.0,1026.2,1022.8,15.0,26.3,0,0
75,2009-02-14,8.8,26.5,0.0,8,41.0,2,11,7.0,20.0,72.0,30.0,1022.6,1019.8,15.9,25.7,0,0
76,2009-02-15,15.1,26.0,0.0,9,50.0,9,9,24.0,30.0,73.0,39.0,1019.9,1018.3,18.2,25.5,0,0
77,2009-02-16,13.4,29.2,0.0,2,39.0,2,10,26.0,11.0,69.0,28.0,1019.2,1015.0,18.1,28.9,0,0
78,2009-02-17,13.6,33.5,0.0,11,41.0,1,11,15.0,15.0,53.0,21.0,1014.6,1011.5,20.6,32.4,0,0
79,2009-02-18,14.6,33.9,0.0,15,50.0,3,13,15.0,30.0,36.0,18.0,1010.9,1008.5,23.3,31.7,0,0
80,2009-02-19,12.9,30.8,0.0,12,39.0,13,11,7.0,19.0,44.0,46.0,1008.0,1007.3,22.4,26.4,0,0
81,2009-02-20,15.0,22.0,0.0,11,41.0,15,12,15.0,26.0,74.0,51.0,1015.4,1016.4,16.7,20.1,0,0
82,2009-02-21,14.8,20.1,0.0,8,39.0,11,8,13.0,28.0,75.0,65.0,1020.9,1019.8,16.5,18.4,0,0
83,2009-02-22,10.0,27.3,0.0,11,41.0,2,9,19.0,15.0,57.0,27.0,1018.1,1013.6,17.1,26.1,0,0
84,2009-02-23,9.3,24.9,0.0,12,54.0,6,12,17.0,30.0,53.0,81.0,1010.5,1013.9,19.2,16.4,0,0
85,2009-02-24,7.0,20.9,0.0,8,46.0,10,10,19.0,31.0,50.0,34.0,1021.4,1020.6,16.3,20.3,0,0
86,2009-02-25,6.1,25.4,0.0,8,39.0,2,10,22.0,15.0,69.0,32.0,1021.4,1018.6,14.3,24.5,0,0
87,2009-02-26,10.0,32.7,0.0,0,26.0,0,0,15.0,9.0,76.0,16.0,1018.0,1014.4,15.9,30.7,0,0
88,2009-02-27,15.8,32.2,0.0,12,52.0,3,11,22.0,33.0,11.0,46.0,1010.2,1011.2,27.3,24.7,0,0
89,2009-02-28,13.0,22.1,0.0,11,41.0,12,12,15.0,28.0,65.0,39.0,1015.7,1014.9,16.5,20.9,0,0
90,2009-03-01,13.9,21.7,0.0,10,41.0,11,10,20.0,15.0,56.0,41.0,1017.2,1016.1,15.9,20.0,0,0
91,2009-03-02,8.3,28.4,0.0,1,39.0,0,6,26.0,17.0,64.0,22.0,1014.8,1009.8,15.6,26.7,0,0
92,2009-03-03,15.5,27.7,0.4,3,81.0,5,13,41.0,30.0,61.0,94.0,999.5,1003.6,23.3,15.8,0,1
93,2009-03-04,11.4,18.3,5.8,13,72.0,13,15,31.0,43.0,82.0,52.0,1012.4,1015.5,12.6,16.6,1,1
94,2009-03-05,12.0,18.6,2.2,12,52.0,12,8,28.0,28.0,88.0,62.0,1020.2,1019.9,14.8,17.5,1,0
95,2009-03-06,10.2,17.6,1.0,15,26.0,15,15,9.0,13.0,71.0,64.0,1018.6,1016.6,14.6,16.3,0,0
96,2009-03-07,11.1,20.9,0.4,8,41.0,11,12,11.0,22.0,94.0,43.0,1018.2,1017.8,13.5,19.4,0,0
97,2009-03-08,10.2,21.1,0.0,10,41.0,9,8,19.0,20.0,64.0,48.0,1022.3,1020.3,13.9,20.5,0,0
98,2009-03-09,9.2,23.6,0.0,8,43.0,9,8,20.0,28.0,69.0,45.0,1021.8,1018.8,15.0,22.1,0,0
99,2009-03-10,12.0,27.6,0.0,0,37.0,2,2,20.0,11.0,82.0,36.0,1020.5,1017.5,16.5,27.3,0,0
100,2009-03-11,14.8,27.6,0.0,0,48.0,0,4,13.0,22.0,87.0,41.0,1019.5,1016.0,18.0,26.1,0,1
101,2009-03-12,15.8,27.3,13.0,15,33.0,5,15,13.0,20.0,88.0,46.0,1015.6,1014.4,18.9,26.8,1,0
102,2009-03-13,15.8,29.5,0.0,14,33.0,11,3,7.0,9.0,91.0,28.0,1015.9,1013.1,16.9,28.9,0,1
103,2009-03-14,14.4,18.9,16.0,14,72.0,13,14,24.0,20.0,84.0,89.0,1009.8,1009.9,15.5,13.7,1,1
104,2009-03-15,10.8,18.2,4.8,15,59.0,14,15,20.0,28.0,73.0,51.0,1012.8,1012.7,13.8,17.9,1,1
105,2009-03-16,12.0,18.9,1.6,12,41.0,12,12,24.0,26.0,91.0,58.0,1015.2,1016.0,13.2,17.7,1,0
106,2009-03-17,12.0,16.9,0.6,12,28.0,12,11,9.0,20.0,79.0,65.0,1020.4,1019.4,13.5,16.5,0,0
