,Date,MinTemp,MaxTemp,Rainfall,WindSpeed9am,Humidity9am,Temp9am,RainToday,RainTomorrow
0,2008-12-01,13.2,23.5,0.0,6.0,50.0,21.8,0.0,0.0
1,2008-12-02,13.760007426661765,32.2,0.0,0.0,74.0,18.119251336898405,0.0,0.0
2,2008-12-03,16.2,32.2,0.0,2.0,74.0,22.2,0.0,0.0
3,2008-12-04,19.2,24.0,0.0,22.0,66.0,20.4,0.0,0.0
4,2008-12-05,18.8,30.2,0.0,4.0,85.0,20.0,0.0,0.0
5,2008-12-06,19.8,34.2,0.0,4.0,56.0,29.2,0.0,0.0
6,2008-12-07,19.4,27.8,0.0,0.0,91.0,20.8,0.0,0.0
7,2008-12-08,13.760007426661765,26.2,0.0,0.0,74.0,18.119251336898405,0.0,0.0
8,2008-12-09,15.6,29.4,0.0,4.0,78.0,21.2,0.0,0.0
9,2008-12-10,19.2,26.4,0.0,22.0,63.0,25.8,0.0,0.0
10,2008-12-11,19.4,21.4,0.0,2.0,83.0,19.6,0.0,0.0
11,2008-12-12,18.0,22.4,0.4,4.0,87.0,18.8,0.0,1.0
12,2008-12-13,18.2,31.6,29.8,0.0,95.0,22.2,1.0,0.0
13,2008-12-14,18.2,27.2,1.0,19.0,55.0,22.0,0.0,0.0
14,2008-12-15,16.6,22.8,0.0,9.0,42.0,20.4,0.0,0.0
15,2008-12-16,11.6,27.0,0.0,0.0,72.0,18.8,0.0,0.0
16,2008-12-17,14.4,29.0,0.0,0.0,51.0,23.2,0.0,0.0
17,2008-12-18,17.6,34.0,0.0,4.0,91.0,20.0,0.0,1.0
18,2008-12-19,18.0,26.6,1.2,0.0,71.0,22.4,1.0,0.0
19,2008-12-20,17.6,21.6,0.0,19.0,96.0,19.4,0.0,0.0
20,2008-12-21,12.6,24.2,0.0,4.0,96.0,20.0,0.0,0.0
21,2008-12-22,15.2,26.4,0.0,7.0,100.0,20.6,0.0,0.0
22,2008-12-23,16.0,31.0,0.0,4.0,62.0,21.6,0.0,1.0
23,2008-12-24,18.8,23.5,2.0,9.0,81.0,20.2,1.0,0.0
24,2008-12-25,13.760007426661765,25.6,0.0,0.0,74.0,18.119251336898405,0.0,0.0
25,2008-12-26,19.2,29.4,0.0,4.0,87.0,21.8,0.0,0.0
26,2008-12-27,19.2,30.6,0.0,4.0,88.0,23.4,0.0,0.0
27,2008-12-28,18.6,31.2,0.0,4.0,74.0,23.8,0.0,0.0
28,2008-12-29,20.2,28.8,0.0,2.0,57.0,28.0,0.0,1.0
29,2008-12-30,19.2,33.4,10.6,0.0,77.0,22.0,1.0,0.0
30,2008-12-31,15.4,33.4,0.0,0.0,50.0,23.8,0.0,0.0
31,2009-01-01,15.2,32.8,0.0,4.0,71.0,22.8,0.0,0.0
32,2009-01-02,19.2,25.6,0.0,0.0,65.0,21.2,0.0,0.0
33,2009-01-03,16.4,22.6,0.8,4.0,64.0,19.6,0.0,0.0
34,2009-01-04,17.8,28.8,0.0,4.0,67.0,21.6,0.0,0.0
35,2009-01-05,16.8,36.0,0.0,7.0,69.0,22.2,0.0,0.0
36,2009-01-06,19.6,31.8,0.0,4.0,55.0,28.0,0.0,0.0
37,2009-01-07,21.2,34.8,0.0,0.0,77.0,24.2,0.0,0.0
38,2009-01-08,21.2,23.8,0.0,11.0,74.0,22.4,0.0,1.0
39,2009-01-09,16.8,22.6,2.4,19.0,61.0,19.0,1.0,0.0
40,2009-01-10,15.4,25.4,0.2,7.0,58.0,21.6,0.0,0.0
41,2009-01-11,17.4,27.6,0.0,6.0,59.0,22.6,0.0,0.0
42,2009-01-12,18.4,28.2,0.0,0.0,70.0,23.4,0.0,0.0
43,2009-01-13,19.2,28.4,0.0,4.0,65.0,24.6,0.0,0.0
44,2009-01-14,18.6,35.2,0.0,4.0,74.0,23.0,0.0,0.0
45,2009-01-15,19.0,40.6,0.0,4.0,54.0,26.6,0.0,1.0
46,2009-01-16,19.6,27.0,6.6,4.0,80.0,20.6,1.0,1.0
47,2009-01-17,17.4,22.0,1.6,19.0,61.0,19.0,1.0,0.0
48,2009-01-18,12.2,25.0,0.0,0.0,69.0,19.6,0.0,0.0
49,2009-01-19,15.4,28.6,0.0,4.0,66.0,20.6,0.0,0.0
50,2009-01-20,15.5,35.0,0.0,4.0,69.0,22.4,0.0,0.0
51,2009-01-21,22.0,38.2,0.0,0.0,63.0,26.4,0.0,0.0
52,2009-01-22,22.2,28.8,0.0,4.0,72.0,25.4,0.0,1.0
53,2009-01-23,21.8,35.4,2.0,4.0,63.0,28.0,1.0,0.0
54,2009-01-24,23.6,40.0,0.0,9.0,53.0,30.6,0.0,1.0
55,2009-01-25,18.8,24.0,2.4,11.0,65.0,21.4,1.0,0.0
56,2009-01-26,19.2,26.4,0.0,0.0,92.0,20.6,0.0,0.0
57,2009-01-27,20.6,29.0,0.0,7.0,83.0,24.4,0.0,0.0
58,2009-01-28,20.2,30.8,0.0,4.0,81.0,24.0,0.0,0.0
59,2009-01-29,20.2,32.0,0.0,19.0,80.0,24.0,0.0,0.0
60,2009-01-30,19.8,32.2,0.0,4.0,67.0,24.0,0.0,0.0
61,2009-01-31,20.6,34.8,0.0,4.0,67.0,25.2,0.0,0.0
62,2009-02-01,19.6,31.4,0.0,0.0,75.0,23.6,0.0,0.0
63,2009-02-02,20.6,31.0,0.0,4.0,74.0,25.4,0.0,0.0
64,2009-02-03,19.6,31.8,0.0,4.0,74.0,23.0,0.0,0.0
65,2009-02-04,21.4,31.0,0.0,4.0,76.0,25.0,0.0,0.0
66,2009-02-05,21.0,34.2,0.0,4.0,74.0,24.8,0.0,0.0
67,2009-02-06,21.4,35.0,0.0,0.0,72.0,25.6,0.0,0.0
68,2009-02-07,22.2,37.8,0.0,7.0,51.0,27.4,0.0,0.0
