,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2013-03-01,Nhil,9.8,27.4,0.2,9,54.0,10,9,28.0,30.0,62.0,27.0,1021.2,1019.3,14.3,25.3,0,0
1,2013-03-02,Nhil,12.6,30.1,0.0,2,46.0,2,2,35.0,19.0,60.0,22.0,1022.7,1019.9,16.0,27.6,0,0
2,2013-03-03,Nhil,13.7,30.6,0.0,1,50.0,1,4,22.0,20.0,51.0,26.0,1021.0,1017.8,18.9,29.4,0,0
3,2013-03-04,Nhil,16.9,32.4,0.0,1,48.0,1,4,20.0,17.0,52.0,23.0,1018.9,1015.9,21.0,32.0,0,0
4,2013-03-05,Nhil,18.9,34.2,0.0,9,54.0,1,2,28.0,20.0,48.0,25.0,1016.9,1014.5,22.3,32.6,0,0
5,2013-03-06,Nhil,19.4,35.2,0.4,0,28.0,1,11,17.0,9.0,41.0,26.0,1015.3,1012.8,23.7,32.7,0,0
6,2013-03-07,Nhil,21.5,35.2,0.0,2,33.0,9,7,9.0,9.0,45.0,29.0,1015.5,1014.2,24.7,32.8,0,0
7,2013-03-08,Nhil,23.1,37.3,0.0,4,33.0,1,5,19.0,11.0,42.0,18.0,1017.1,1014.3,25.7,35.4,0,0
8,2013-03-09,Nhil,20.5,36.5,0.0,12,43.0,5,3,11.0,20.0,33.0,17.0,1015.1,1012.8,26.1,34.4,0,0
9,2013-03-10,Nhil,21.7,37.7,0.0,0,30.0,0,13,15.0,9.0,44.0,20.0,1015.8,1013.9,25.1,34.6,0,0
10,2013-03-11,Nhil,21.4,39.0,0.0,6,43.0,1,3,13.0,13.0,35.0,16.0,1015.8,1013.5,26.2,37.5,0,0
11,2013-03-12,Nhil,22.4,38.5,0.0,6,50.0,4,3,9.0,26.0,31.0,15.0,1014.1,1010.2,26.5,36.8,0,0
12,2013-03-13,Nhil,18.1,25.4,0.0,13,54.0,12,11,31.0,30.0,54.0,30.0,1011.6,1011.6,19.2,24.7,0,0
13,2013-03-14,Nhil,11.9,26.5,0.0,8,46.0,11,12,22.0,22.0,55.0,28.0,1017.1,1015.0,16.0,24.7,0,0
14,2013-03-15,Nhil,9.2,26.9,0.0,12,41.0,8,8,9.0,19.0,81.0,28.0,1019.1,1016.7,13.5,25.1,0,0
