,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,NorahHead,17.9,28.1,0.0,11.0,63.0,7.0,4.0,9.0,24.0,69.0,69.0,1005.3,1001.7,23.7,25.9,0.0,0.0
1,2009-01-02,NorahHead,19.1,23.8,0.0,8.0,69.0,10.0,9.0,15.0,28.0,62.0,62.0,1012.5,1012.8,22.6,23.0,0.0,0.0
2,2009-01-03,NorahHead,17.1,23.0,0.0,5.0,52.0,0.0,4.0,19.0,19.0,61.0,62.0,1021.1,1019.1,20.0,22.1,0.0,0.0
3,2009-01-04,NorahHead,19.7,25.0,0.0,4.0,61.0,5.0,4.0,39.0,46.0,70.0,68.0,1018.4,1015.2,22.8,23.7,0.0,0.0
4,2009-01-05,NorahHead,18.5,25.9,0.0,5.0,48.0,5.0,4.0,20.0,35.0,73.0,73.0,1013.4,1009.0,22.8,23.7,0.0,0.0
5,2009-01-06,NorahHead,19.8,26.5,0.0,3.0,43.0,8.0,4.0,28.0,20.0,92.0,80.0,1011.8,1008.7,20.1,24.3,0.0,0.0
6,2009-01-07,NorahHead,20.0,27.7,0.0,8.0,44.0,8.0,5.0,24.0,15.0,85.0,82.0,1010.1,1006.3,21.9,23.7,0.0,0.0
7,2009-01-08,NorahHead,20.4,22.3,0.0,10.0,57.0,8.0,10.0,35.0,41.0,86.0,81.0,1011.3,1012.3,21.0,20.6,0.0,1.0
8,2009-01-09,NorahHead,17.5,22.8,2.8,10.0,59.0,10.0,9.0,43.0,30.0,64.0,59.0,1019.0,1018.3,19.3,20.9,1.0,0.0
9,2009-01-10,NorahHead,18.4,25.6,0.0,4.0,50.0,5.0,1.0,19.0,22.0,62.0,51.0,1016.8,1013.8,20.9,23.4,0.0,0.0
10,2009-01-11,NorahHead,19.6,27.3,0.0,4.0,43.0,5.0,1.0,19.0,30.0,69.0,66.0,1013.8,1011.6,23.0,24.0,0.0,0.0
11,2009-01-12,NorahHead,19.0,26.2,1.0,1.0,31.0,11.0,1.0,13.0,21.027936721642547,84.0,67.52119784656796,1015.2,1016.0133310946946,22.1,20.76421123444336,0.0,0.0
12,2009-01-13,NorahHead,20.1,27.8,0.2,4.0,54.0,4.0,4.0,17.0,31.0,75.0,66.0,1019.3,1016.9,24.4,25.2,0.0,0.0
13,2009-01-14,NorahHead,19.8,26.7,0.0,4.0,52.0,5.0,4.0,22.0,41.0,78.0,69.0,1015.1,1011.5,23.3,25.1,0.0,0.0
14,2009-01-15,NorahHead,20.2,27.7,0.0,8.0,69.0,5.0,4.0,30.0,21.027936721642547,79.0,67.52119784656796,1009.6,1016.0133310946946,23.7,20.76421123444336,0.0,1.0
15,2009-01-16,NorahHead,19.0,24.7,10.4,10.0,57.0,11.0,2.0,11.0,20.0,78.0,69.0,1012.9,1009.5,20.4,23.3,1.0,1.0
16,2009-01-17,NorahHead,18.0,21.1,1.2,10.0,61.0,10.0,10.0,48.0,43.0,65.0,63.0,1019.4,1019.8,18.9,20.4,1.0,0.0
17,2009-01-18,NorahHead,14.5,23.8,0.0,5.0,41.0,11.0,0.0,11.0,22.0,66.0,54.0,1021.7,1020.1,20.1,22.7,0.0,0.0
18,2009-01-19,NorahHead,17.2,26.2,0.0,5.0,54.0,5.0,4.0,30.0,35.0,65.0,67.0,1019.3,1015.5,22.9,24.7,0.0,0.0
19,2009-01-20,NorahHead,18.9,26.7,0.0,4.0,48.0,5.0,4.0,20.0,37.0,74.0,71.0,1014.2,1010.7,23.5,25.5,0.0,0.0
20,2009-01-21,NorahHead,21.1,27.6,0.0,8.0,72.0,3.0,4.0,15.0,37.0,77.0,71.0,1012.3,1008.3,24.5,25.6,0.0,1.0
21,2009-01-22,NorahHead,21.3,29.2,2.0,3.0,69.0,6.0,4.0,19.0,21.027936721642547,71.0,67.52119784656796,1009.7,1016.0133310946946,25.9,20.76421123444336,1.0,0.0
22,2009-01-23,NorahHead,21.7,33.2,0.0,5.0,41.0,7.0,4.0,19.0,24.0,61.0,67.0,1009.6,1007.9,29.2,26.5,0.0,0.0
23,2009-01-24,NorahHead,21.7,40.4,0.0,8.0,74.0,7.0,14.0,17.0,17.0,63.0,30.0,1005.4,1002.9,31.0,39.8,0.0,0.0
24,2009-01-25,NorahHead,20.4,23.8,0.0,8.0,65.0,10.0,10.0,31.0,24.0,69.0,68.0,1018.7,1018.1,21.4,23.2,0.0,0.0
25,2009-01-26,NorahHead,19.8,23.4,0.4,8.0,42.183050847457636,11.0,11.0,24.0,26.0,91.0,84.0,1018.6,1018.4,20.9,23.1,0.0,0.0
26,2009-01-27,NorahHead,15.35548083389375,26.1,0.0,9.0,31.0,11.0,10.0,13.0,13.0,94.0,67.52119784656796,1020.6,1019.6,21.7,25.9,0.0,0.0
27,2009-01-28,NorahHead,20.1,28.1,0.2,4.0,41.0,1.0,4.0,6.0,30.0,80.0,70.0,1018.7,1016.3,24.2,26.3,0.0,0.0
28,2009-01-29,NorahHead,20.9,29.6,0.2,4.0,50.0,3.0,4.0,9.0,39.0,81.0,75.0,1018.4,1016.3,24.0,26.4,0.0,0.0
29,2009-01-30,NorahHead,20.9,29.3,0.2,4.0,57.0,5.0,4.0,9.0,41.0,76.0,72.0,1018.5,1015.5,24.6,26.2,0.0,0.0
30,2009-01-31,NorahHead,20.3,29.0,0.0,5.0,56.0,5.0,4.0,11.0,33.0,82.0,71.0,1017.4,1014.3,23.5,25.9,0.0,0.0
31,2009-02-01,NorahHead,19.7,26.8,0.2,5.0,31.0,10.0,0.0,11.0,20.0,81.0,71.0,1015.7,1015.0,23.2,26.1,0.0,0.0
32,2009-02-02,NorahHead,21.1,29.0,0.0,5.0,44.0,5.0,4.0,9.0,28.0,78.0,73.0,1015.9,1012.4,24.5,25.8,0.0,0.0
33,2009-02-03,NorahHead,19.8,26.9,0.0,5.0,30.0,5.0,0.0,19.0,9.0,83.0,70.0,1010.3,1009.2,22.2,26.2,0.0,0.0
34,2009-02-04,NorahHead,21.2,26.1,0.0,4.0,33.0,7.0,10.0,17.0,13.0,96.0,82.0,1011.1,1009.4,21.8,25.3,0.0,1.0
35,2009-02-05,NorahHead,20.6,28.7,2.0,4.0,52.0,4.0,4.0,9.0,33.0,85.0,74.0,1009.2,1006.4,24.1,25.8,1.0,0.0
36,2009-02-06,NorahHead,20.5,28.7,0.0,5.0,43.0,5.0,3.0,6.0,11.0,82.0,73.0,1010.5,1009.0,22.4,25.5,0.0,0.0
37,2009-02-07,NorahHead,20.3,25.1,0.0,4.0,56.0,5.0,5.0,26.0,35.0,82.0,71.0,1013.5,1011.1,22.0,24.7,0.0,0.0
38,2009-02-08,NorahHead,18.2,24.8,0.0,5.0,50.0,5.0,5.0,22.0,24.0,84.0,73.0,1010.9,1007.8,20.4,23.0,0.0,0.0
39,2009-02-09,NorahHead,18.5,21.4,0.0,8.0,44.0,11.0,5.0,17.0,21.027936721642547,90.0,85.0,1011.2,1011.0,20.1,21.1,0.0,1.0
40,2009-02-10,NorahHead,18.3,19.4,7.4,8.0,57.0,11.0,11.0,30.0,31.0,97.0,95.0,1010.9,1009.0,18.6,19.2,1.0,1.0
41,2009-02-11,NorahHead,16.7,21.5,13.8,8.0,56.0,11.0,11.0,24.0,33.0,89.0,82.0,1010.2,1010.3,17.0,20.5,1.0,1.0
42,2009-02-12,NorahHead,16.5,20.5,13.8,9.0,56.0,10.0,10.0,33.0,30.0,90.0,91.0,1016.4,1018.0,17.2,18.8,1.0,1.0
43,2009-02-13,NorahHead,16.6,21.1,16.0,10.0,59.0,0.0,0.0,30.0,19.0,89.0,77.0,1024.5,1023.1,18.1,20.3,1.0,1.0
44,2009-02-14,NorahHead,16.9,20.4,14.2,10.0,65.0,9.0,9.0,43.0,37.0,74.0,84.0,1021.6,1017.4,19.3,18.8,1.0,1.0
45,2009-02-15,NorahHead,16.2,21.7,26.6,10.0,56.0,8.0,10.0,26.0,30.0,89.0,90.0,1013.3,1012.8,19.5,19.6,1.0,1.0
46,2009-02-16,NorahHead,18.1,23.3,19.2,9.0,67.0,9.0,10.0,37.0,33.0,77.0,73.0,1016.4,1016.4,21.7,22.6,1.0,1.0
47,2009-02-17,NorahHead,19.1,22.0,2.2,10.0,67.0,9.0,8.0,37.0,37.0,75.0,84.0,1015.8,1013.9,21.1,21.2,1.0,1.0
48,2009-02-18,NorahHead,18.8,24.1,23.6,8.0,74.0,13.0,8.0,11.0,30.0,88.0,82.0,1010.1,1008.2,20.6,22.6,1.0,0.0
49,2009-02-19,NorahHead,19.5,28.8,0.0,3.0,33.0,6.0,4.0,11.0,24.0,76.0,75.0,1008.4,1005.3,23.7,24.2,0.0,0.0
50,2009-02-20,NorahHead,20.8,27.8,0.0,1.0,33.0,11.0,0.0,9.0,22.0,83.0,76.0,1011.6,1010.2,22.0,24.9,0.0,0.0
51,2009-02-21,NorahHead,21.4,24.8,0.0,2.0,31.0,4.0,0.0,4.0,22.0,89.0,75.0,1012.8,1012.4,22.5,23.5,0.0,0.0
52,2009-02-22,NorahHead,21.1,25.8,0.0,4.0,30.0,9.0,0.0,13.0,17.0,71.0,66.0,1017.9,1017.3,23.9,24.9,0.0,0.0
53,2009-02-23,NorahHead,20.1,27.7,0.0,4.0,50.0,5.0,4.0,2.0,33.0,80.0,76.0,1016.8,1013.5,23.4,25.7,0.0,1.0
54,2009-02-24,NorahHead,21.1,29.4,1.6,1.0,43.0,6.0,10.0,9.0,22.0,85.0,72.0,1014.2,1012.6,23.8,27.0,1.0,0.0
55,2009-02-25,NorahHead,21.8,27.0,0.0,9.0,41.0,8.0,2.0,11.0,24.0,83.0,73.0,1016.2,1014.3,23.6,25.1,0.0,0.0
56,2009-02-26,NorahHead,20.9,23.6,0.0,8.0,50.0,8.0,8.0,30.0,41.0,70.0,70.0,1019.4,1018.1,22.7,22.7,0.0,0.0
57,2009-02-27,NorahHead,18.4,23.8,0.2,10.0,41.0,12.0,10.0,13.0,24.0,70.0,59.0,1017.6,1015.7,20.8,23.1,0.0,0.0
58,2009-02-28,NorahHead,17.6,26.8,0.0,5.0,46.0,6.0,4.0,9.0,22.0,74.0,68.0,1009.5,1007.1,21.6,26.3,0.0,0.0
59,2009-03-01,NorahHead,21.4,26.0,0.0,8.0,50.0,9.0,2.0,24.0,20.0,75.0,68.0,1010.4,1010.7,23.3,25.0,0.0,0.0
60,2009-03-02,NorahHead,21.8,26.2,0.0,0.0,30.0,0.0,0.0,15.0,15.0,70.0,62.0,1016.1,1015.2,22.6,25.5,0.0,0.0
61,2009-03-03,NorahHead,22.0,29.0,0.0,5.0,44.0,4.0,1.0,26.0,26.0,68.0,66.0,1018.0,1015.1,24.3,25.7,0.0,0.0
62,2009-03-04,NorahHead,21.7,25.5,0.0,11.0,46.0,3.0,8.0,17.0,30.0,79.0,67.0,1008.7,1008.3,24.6,22.5,0.0,0.0
