,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,NorfolkIsland,20.4,25.8,0.0,6.0,31.0,6.0,7.0,13.0,19.0,84.0,71.0,1014.5,1013.6,23.3,24.7,0.0,0.0
1,2009-01-02,NorfolkIsland,20.9,26.7,0.2,3.0,31.0,5.0,4.0,15.0,6.0,79.0,77.0,1016.3,1015.5,25.0,25.1,0.0,0.0
2,2009-01-03,NorfolkIsland,22.3,26.3,0.0,0.0,35.0,1.0,9.0,6.0,19.0,87.0,90.0,1014.6,1014.3,24.7,23.8,0.0,1.0
3,2009-01-04,NorfolkIsland,21.6,22.2,1.2,2.0,41.0,2.0,2.0,20.0,22.0,92.0,95.0,1016.0,1015.3,22.1,21.2,1.0,1.0
4,2009-01-05,NorfolkIsland,20.4,23.5,2.6,2.0,52.0,2.0,2.0,24.0,28.0,86.0,86.0,1015.3,1013.7,21.8,21.6,1.0,0.0
5,2009-01-06,NorfolkIsland,20.4,24.4,0.0,0.0,48.0,2.0,2.0,30.0,24.0,84.0,79.0,1014.5,1012.7,21.4,23.3,0.0,0.0
6,2009-01-07,NorfolkIsland,20.2,24.2,0.0,2.0,52.0,2.0,2.0,28.0,31.0,86.0,79.0,1014.1,1013.0,21.9,23.3,0.0,0.0
7,2009-01-08,NorfolkIsland,20.5,24.0,0.0,0.0,52.0,2.0,9.0,28.0,28.0,82.0,82.0,1011.5,1009.4,22.5,22.8,0.0,0.0
8,2009-01-09,NorfolkIsland,20.9,22.0,0.0,10.0,61.0,10.0,10.0,28.0,33.0,92.0,95.0,1003.9,1000.4,21.9,21.6,0.0,1.0
9,2009-01-10,NorfolkIsland,18.5,23.1,45.2,9.0,81.0,9.0,2.0,46.0,33.0,77.0,64.0,1001.7,1001.2,19.8,22.1,1.0,0.0
10,2009-01-11,NorfolkIsland,19.7,22.8,0.4,9.0,54.0,9.0,9.0,30.0,28.0,83.0,82.0,1006.4,1006.9,21.6,22.1,0.0,0.0
11,2009-01-12,NorfolkIsland,19.8,23.8,0.0,9.0,37.0,9.0,9.0,24.0,22.0,78.0,78.0,1011.2,1010.5,21.6,22.0,0.0,0.0
12,2009-01-13,NorfolkIsland,19.2,23.2,0.0,10.0,35.0,8.0,9.0,22.0,20.0,77.0,77.0,1011.4,1010.4,21.2,22.0,0.0,1.0
13,2009-01-14,NorfolkIsland,17.3,22.5,1.6,10.0,46.0,10.0,9.0,26.0,22.0,74.0,55.0,1013.2,1012.4,19.9,21.7,1.0,0.0
14,2009-01-15,NorfolkIsland,18.5,23.6,0.0,9.0,37.0,10.0,9.0,24.0,24.0,64.0,69.0,1015.3,1015.0,21.4,22.4,0.0,0.0
15,2009-01-16,NorfolkIsland,17.3,22.8,0.0,10.0,26.0,9.0,10.0,13.0,15.0,63.0,61.0,1016.9,1016.2,21.3,21.6,0.0,0.0
16,2009-01-17,NorfolkIsland,16.2,23.4,0.0,7.0,30.0,14.0,3.0,13.0,13.0,65.0,62.0,1015.0,1013.4,21.0,22.1,0.0,1.0
17,2009-01-18,NorfolkIsland,17.9,22.6,12.8,15.0,50.0,8.0,8.0,15.0,24.0,84.0,66.0,1014.6,1014.8,19.2,21.6,1.0,0.0
18,2009-01-19,NorfolkIsland,16.5,22.5,0.0,10.0,31.0,9.0,10.0,13.0,19.0,58.0,60.0,1018.7,1018.0,21.1,21.4,0.0,0.0
19,2009-01-20,NorfolkIsland,17.0,23.0,0.0,0.0,35.0,9.0,9.0,17.0,19.0,60.0,62.0,1021.7,1021.4,21.1,22.0,0.0,0.0
20,2009-01-21,NorfolkIsland,16.9,23.6,0.0,0.0,41.0,2.0,0.0,22.0,30.0,60.0,68.0,1022.9,1021.8,21.8,22.2,0.0,0.0
21,2009-01-22,NorfolkIsland,19.3,24.0,0.0,0.0,46.0,2.0,2.0,26.0,26.0,78.0,71.0,1022.6,1020.5,22.1,22.7,0.0,0.0
22,2009-01-23,NorfolkIsland,20.2,24.5,0.0,0.0,46.0,0.0,1.0,22.0,30.0,76.0,72.0,1020.8,1018.5,22.7,23.3,0.0,0.0
23,2009-01-24,NorfolkIsland,20.1,25.1,0.0,0.0,52.0,2.0,0.0,28.0,31.0,83.0,72.0,1018.3,1016.7,22.7,24.1,0.0,0.0
24,2009-01-25,NorfolkIsland,20.5,25.1,0.0,1.0,46.0,1.0,0.0,31.0,28.0,74.0,75.0,1018.1,1018.3,23.5,23.1,0.0,0.0
25,2009-01-26,NorfolkIsland,19.6,24.7,0.0,0.0,41.0,2.0,0.0,20.0,26.0,73.0,67.0,1018.4,1016.9,22.6,23.0,0.0,0.0
26,2009-01-27,NorfolkIsland,18.6,23.9,0.0,10.0,30.0,9.0,10.0,15.0,22.0,68.0,65.0,1015.9,1015.0,21.5,22.7,0.0,0.0
27,2009-01-28,NorfolkIsland,17.8,24.2,0.0,10.0,35.0,9.0,2.0,19.0,15.0,76.0,71.0,1016.4,1016.1,21.8,22.6,0.0,0.0
28,2009-01-29,NorfolkIsland,19.5,24.1,0.8,2.0,41.0,2.0,9.0,22.0,22.0,70.0,66.0,1019.0,1018.4,22.2,23.0,0.0,0.0
29,2009-01-30,NorfolkIsland,18.2,24.2,0.0,9.0,41.0,9.0,9.0,22.0,26.0,64.0,63.0,1019.5,1018.3,22.3,23.5,0.0,0.0
30,2009-01-31,NorfolkIsland,20.1,23.7,0.0,2.0,43.0,9.0,2.0,24.0,26.0,74.0,70.0,1019.3,1017.6,22.0,22.1,0.0,1.0
31,2009-02-01,NorfolkIsland,19.3,23.6,2.0,9.0,37.0,2.0,9.0,17.0,22.0,86.0,72.0,1015.7,1014.3,21.0,22.6,1.0,0.0
32,2009-02-02,NorfolkIsland,19.9,24.2,0.2,10.0,35.0,9.0,9.0,17.0,22.0,79.0,75.0,1014.4,1013.1,21.9,23.5,0.0,0.0
33,2009-02-03,NorfolkIsland,19.6,24.8,0.0,0.0,37.0,0.0,0.0,20.0,20.0,69.0,73.0,1013.6,1011.6,22.9,23.6,0.0,0.0
34,2009-02-04,NorfolkIsland,20.0,25.0,0.0,0.0,35.0,9.0,2.0,15.0,17.0,81.0,84.0,1011.5,1009.9,22.3,23.1,0.0,1.0
35,2009-02-05,NorfolkIsland,21.5,22.1,1.8,2.0,44.0,2.0,2.0,26.0,22.0,95.0,95.0,1008.7,1006.1,21.8,21.7,1.0,1.0
36,2009-02-06,NorfolkIsland,20.6,23.1,17.6,9.0,67.0,9.0,9.0,28.0,39.0,92.0,96.0,1000.6,998.8,21.9,21.7,1.0,1.0
37,2009-02-07,NorfolkIsland,21.5,25.5,3.8,9.0,61.0,2.0,1.0,31.0,26.0,98.0,90.0,1003.1,1005.4,23.0,25.2,1.0,1.0
38,2009-02-08,NorfolkIsland,22.2,26.8,6.0,3.0,43.0,5.0,3.0,19.0,26.0,87.0,80.0,1012.1,1012.6,24.7,25.8,1.0,0.0
39,2009-02-09,NorfolkIsland,23.7,25.4,0.6,6.0,56.0,3.0,3.0,20.0,22.0,90.0,94.0,1014.2,1012.5,24.8,24.1,0.0,1.0
40,2009-02-10,NorfolkIsland,22.2,26.3,20.6,6.0,33.0,6.0,14.0,15.0,20.0,85.0,80.0,1013.6,1012.3,24.3,25.5,1.0,0.0
41,2009-02-11,NorfolkIsland,20.9,27.1,0.2,3.0,37.0,4.0,5.0,17.0,17.0,87.0,86.0,1012.9,1010.9,23.6,25.6,0.0,0.0
42,2009-02-12,NorfolkIsland,23.6,27.0,0.0,3.0,50.0,3.0,7.0,28.0,24.0,87.0,87.0,1008.8,1008.3,25.2,26.2,0.0,1.0
43,2009-02-13,NorfolkIsland,21.7,25.5,5.8,9.0,44.0,10.0,10.0,22.0,22.0,80.0,74.0,1014.5,1015.2,23.1,24.1,1.0,0.0
44,2009-02-14,NorfolkIsland,20.2,23.4,0.0,9.0,48.0,9.0,9.0,26.0,22.0,63.0,61.0,1017.2,1016.3,21.6,22.5,0.0,0.0
45,2009-02-15,NorfolkIsland,20.0,24.7,0.0,0.0,46.0,2.0,1.0,24.0,28.0,69.0,74.0,1014.5,1012.4,22.8,23.1,0.0,1.0
46,2009-02-16,NorfolkIsland,21.2,28.1,10.0,6.0,30.0,5.0,7.0,13.0,15.0,96.0,79.0,1011.5,1010.8,23.5,27.3,1.0,0.0
47,2009-02-17,NorfolkIsland,23.2,27.4,0.2,4.0,30.0,4.0,10.0,13.0,9.0,87.0,83.0,1014.8,1014.3,25.2,26.4,0.0,0.0
48,2009-02-18,NorfolkIsland,23.5,27.6,0.4,4.0,46.0,1.0,4.0,22.0,28.0,90.0,85.0,1017.6,1015.9,25.3,25.3,0.0,0.0
49,2009-02-19,NorfolkIsland,23.9,28.1,0.0,5.0,44.0,5.0,5.0,26.0,28.0,86.0,79.0,1015.9,1013.9,25.8,27.5,0.0,0.0
50,2009-02-20,NorfolkIsland,24.3,26.4,0.0,14.0,44.0,6.0,14.0,20.0,24.0,91.0,88.0,1013.6,1011.8,25.0,25.3,0.0,1.0
51,2009-02-21,NorfolkIsland,22.5,26.0,16.6,8.0,26.0,6.0,9.0,20.173608797067644,9.0,95.0,74.0,1011.8,1010.2,23.1,25.6,1.0,1.0
52,2009-02-22,NorfolkIsland,20.1,25.7,6.0,8.0,33.0,9.0,9.0,15.0,19.0,76.0,72.0,1013.5,1012.9,23.8,24.5,1.0,0.0
53,2009-02-23,NorfolkIsland,21.6,25.6,0.2,9.0,35.0,9.0,9.0,20.0,22.0,81.0,70.0,1014.4,1014.7,22.4,23.8,0.0,0.0
54,2009-02-24,NorfolkIsland,20.5,25.6,0.0,9.0,41.0,2.0,9.0,20.0,24.0,67.0,58.0,1018.0,1017.2,22.9,24.7,0.0,0.0
55,2009-02-25,NorfolkIsland,19.5,25.7,0.0,0.0,44.0,2.0,0.0,20.0,30.0,52.0,55.0,1018.5,1016.7,23.7,24.2,0.0,0.0
56,2009-02-26,NorfolkIsland,21.0,25.2,0.0,9.0,52.0,2.0,2.0,26.0,28.0,84.0,84.0,1014.0,1010.4,22.8,23.9,0.0,1.0
57,2009-02-27,NorfolkIsland,19.5,22.5,107.4,12.0,65.0,12.0,8.0,17.0,22.0,95.0,87.0,1004.7,1005.3,21.8,21.2,1.0,0.0
58,2009-02-28,NorfolkIsland,20.0,24.7,0.8,13.0,24.0,11.0,13.0,11.0,13.0,76.0,66.0,1008.9,1009.0,21.8,24.3,0.0,0.0
59,2009-03-01,NorfolkIsland,18.3,25.9,0.0,7.0,28.0,14.0,14.0,13.0,20.0,67.0,61.0,1013.3,1012.6,23.4,25.0,0.0,0.0
60,2009-03-02,NorfolkIsland,19.1,24.3,0.0,8.0,24.0,10.0,9.0,9.0,17.0,79.0,69.0,1016.6,1015.7,22.3,23.1,0.0,0.0
61,2009-03-03,NorfolkIsland,20.0,25.4,0.0,0.0,41.0,2.0,9.0,17.0,22.0,68.0,71.0,1018.9,1017.7,23.6,23.6,0.0,0.0
62,2009-03-04,NorfolkIsland,20.6,24.7,0.0,2.0,41.0,2.0,2.0,20.0,24.0,73.0,73.0,1016.2,1012.2,22.6,23.2,0.0,1.0
63,2009-03-05,NorfolkIsland,20.7,25.3,4.4,13.0,31.0,14.0,14.0,19.0,20.0,82.0,66.0,1008.6,1009.3,23.5,24.6,1.0,0.0
64,2009-03-06,NorfolkIsland,20.2,26.5,0.0,7.0,31.0,7.0,14.0,13.0,13.0,77.0,70.0,1012.6,1011.6,24.0,25.8,0.0,0.0
