,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,Nuriootpa,13.3,22.7,0.0,15.0,61.0,12.0,13.0,22.0,28.0,66.0,37.0,1010.4,1011.4,16.7,21.1,0.0,0.0
1,2009-01-02,Nuriootpa,7.0,22.4,0.0,9.0,41.0,2.0,2.0,20.0,17.0,47.0,25.0,1020.1,1017.8,13.7,20.8,0.0,0.0
2,2009-01-03,Nuriootpa,10.5,28.9,0.0,9.0,41.0,1.0,2.0,19.0,7.0,35.0,13.0,1018.0,1014.5,16.8,26.4,0.0,0.0
3,2009-01-04,Nuriootpa,9.8,33.1,0.0,15.0,37.0,1.0,14.0,15.0,22.0,23.0,7.0,1014.1,1011.8,23.5,32.8,0.0,0.0
4,2009-01-05,Nuriootpa,12.5,32.6,0.0,13.0,35.0,2.0,13.0,9.0,17.0,26.0,12.0,1015.0,1012.4,22.0,31.0,0.0,0.0
5,2009-01-06,Nuriootpa,12.1,33.8,0.0,12.0,50.0,4.0,15.0,7.0,22.0,23.0,14.0,1012.1,1008.9,24.3,32.5,0.0,0.0
6,2009-01-07,Nuriootpa,11.7,26.0,0.0,15.0,43.0,12.0,12.0,11.0,17.0,66.76025341780594,44.0,1012.7,1012.4,18.2,24.7,0.0,0.0
7,2009-01-08,Nuriootpa,9.0,23.3,0.0,9.0,43.0,10.0,10.0,17.0,20.0,49.0,29.0,1019.3,1018.4,16.0,21.8,0.0,0.0
8,2009-01-09,Nuriootpa,9.8,24.9,0.0,9.0,46.0,0.0,1.0,22.0,13.0,43.0,22.0,1018.6,1014.7,14.3,22.3,0.0,0.0
9,2009-01-10,Nuriootpa,12.0,29.4,0.0,10.0,41.0,2.0,5.0,13.0,9.0,43.0,15.0,1012.1,1008.9,18.4,27.8,0.0,0.0
10,2009-01-11,Nuriootpa,11.2,28.3,0.0,9.0,52.0,9.0,12.0,11.0,20.0,61.0,20.0,1012.1,1010.3,17.4,27.6,0.0,0.0
11,2009-01-12,Nuriootpa,13.0,32.4,0.0,9.0,44.0,0.0,3.0,20.0,7.0,47.0,19.0,1016.9,1014.1,19.0,30.0,0.0,0.0
12,2009-01-13,Nuriootpa,17.9,40.3,0.0,6.0,48.0,3.0,7.0,20.0,33.0,11.0,4.0,1011.3,1008.2,31.0,38.7,0.0,0.0
13,2009-01-14,Nuriootpa,17.2,34.8,0.0,14.0,35.0,7.0,14.0,2.0,17.0,75.0,19.0,1012.0,1009.8,20.6,33.8,0.0,0.0
14,2009-01-15,Nuriootpa,10.8,27.3,0.0,11.0,39.0,11.0,11.0,11.0,17.0,61.0,25.0,1018.5,1017.2,16.8,26.4,0.0,0.0
15,2009-01-16,Nuriootpa,7.9,27.5,0.0,10.0,41.0,10.0,12.0,17.0,20.0,57.0,22.0,1022.3,1020.1,16.9,26.6,0.0,0.0
16,2009-01-17,Nuriootpa,10.2,26.6,0.0,2.0,39.0,0.0,10.0,17.0,13.0,48.0,16.0,1023.0,1019.8,14.2,25.2,0.0,0.0
17,2009-01-18,Nuriootpa,14.2,31.6,0.0,9.0,35.0,0.0,1.0,15.0,17.0,29.0,10.0,1019.2,1015.7,21.1,30.1,0.0,0.0
18,2009-01-19,Nuriootpa,12.3,38.0,0.0,15.0,48.0,4.0,15.0,9.0,24.0,17.0,5.0,1012.4,1008.7,28.1,37.2,0.0,0.0
19,2009-01-20,Nuriootpa,13.5,36.3,0.0,15.0,52.0,4.0,12.0,9.0,19.0,20.0,10.0,1007.6,1008.5,29.2,33.9,0.0,0.0
20,2009-01-21,Nuriootpa,14.1,30.7,0.0,15.0,37.0,1.0,12.0,11.0,15.0,54.0,30.0,1010.9,1007.3,19.5,29.6,0.0,0.0
21,2009-01-22,Nuriootpa,11.9,29.5,0.0,15.0,67.0,14.0,13.0,30.0,37.0,20.0,44.0,1003.0,1003.3,24.2,26.0,0.0,0.0
22,2009-01-23,Nuriootpa,9.4,29.0,0.0,13.0,56.0,5.0,14.0,17.0,26.0,51.0,22.0,1008.1,1004.2,17.2,29.0,0.0,0.0
23,2009-01-24,Nuriootpa,14.6,27.0,1.0,13.0,50.0,15.0,12.0,20.0,17.0,63.0,30.0,1012.6,1012.7,16.8,24.4,0.0,0.0
24,2009-01-25,Nuriootpa,10.7,32.9,0.0,9.0,26.0,1.0,15.0,15.0,13.0,54.0,13.0,1017.4,1016.0,17.7,30.9,0.0,0.0
25,2009-01-26,Nuriootpa,13.7,33.9,0.0,9.0,39.0,0.0,2.0,20.0,17.0,49.0,16.0,1019.8,1016.9,20.1,31.2,0.0,0.0
26,2009-01-27,Nuriootpa,16.1,41.7,0.0,4.0,31.0,4.0,6.0,13.0,11.0,20.0,5.0,1014.8,1010.7,29.9,40.0,0.0,0.0
