,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Pressure9am,Pressure3pm
0,2008-12-01,Penrith,15.2,32.6,0.0,14.0,59.0,5.0,13.0,13.0,22.0,35.0,23.0,24.4,31.3,0.0,0.0,,
1,2008-12-02,Penrith,15.0,31.7,0.0,1.0,28.0,5.0,3.0,13.0,15.0,64.0,38.0,20.4,30.1,0.0,0.0,,
2,2008-12-03,Penrith,15.9,33.4,0.0,7.0,52.0,3.0,7.0,9.0,30.0,63.0,16.0,21.0,31.4,0.0,0.0,,
3,2008-12-04,Penrith,17.2,24.8,0.0,0.0,35.0,10.0,0.0,9.0,19.0,71.0,55.0,19.5,22.7,0.0,0.0,,
4,2008-12-05,Penrith,17.8,32.2,0.0,1.0,28.0,4.0,1.0,7.0,15.0,97.0,48.0,19.8,29.6,0.0,0.0,,
5,2008-12-06,Penrith,18.1,36.2,0.2,13.0,46.0,7.0,13.0,7.0,24.0,75.0,26.0,25.9,35.7,0.0,0.0,,
6,2008-12-07,Penrith,19.3,27.8,0.0,8.0,50.0,4.0,9.0,4.0,24.0,99.0,89.0,20.3,21.7,0.0,1.0,,
7,2008-12-08,Penrith,17.2,26.9,12.0,5.0,37.0,13.0,5.0,6.0,11.0,84.0,99.0,20.5,19.6,1.0,1.0,,
8,2008-12-09,Penrith,15.9,33.0,4.8,6.0,35.0,5.0,14.0,7.0,15.0,89.0,21.0,20.0,32.2,1.0,0.0,,
9,2008-12-10,Penrith,19.5,24.76436629064375,0.0,6.0,31.807330195023535,10.0,14.0,15.0,11.990390987408881,60.0,49.0989898989899,23.5,23.35409075852936,0.0,0.0,,
10,2008-12-11,Penrith,12.577449352374606,18.7,0.0,2.0,31.0,8.0,2.0,13.0,11.0,100.0,84.0,17.4,18.6,0.0,1.0,,
11,2008-12-12,Penrith,15.5,21.1,6.8,11.0,17.0,0.0,11.0,7.0,9.0,100.0,49.0989898989899,15.8,16.7,1.0,1.0,,
12,2008-12-13,Penrith,15.8,32.7,42.2,7.0,76.0,6.0,14.0,9.0,31.0,100.0,35.0,21.1,32.0,1.0,0.0,,
13,2008-12-14,Penrith,19.1,25.5,0.0,15.0,61.0,13.0,15.0,26.0,30.0,42.0,37.0,21.8,23.3,0.0,0.0,,
14,2008-12-15,Penrith,15.1,27.3,0.0,8.0,43.0,11.0,9.0,19.0,9.0,42.0,34.0,20.0,25.8,0.0,0.0,,
15,2008-12-16,Penrith,12.9,30.5,0.0,0.0,24.0,10.0,0.0,2.0,13.0,70.0,32.0,18.4,29.2,0.0,0.0,,
16,2008-12-17,Penrith,14.8,31.6,0.0,9.0,50.0,3.0,3.0,4.0,13.0,69.0,30.0,21.9,30.4,0.0,0.0,,
17,2008-12-18,Penrith,18.6,33.5,0.0,7.0,56.0,5.0,7.0,7.0,30.0,60.0,26.0,23.3,32.1,0.0,0.0,,
18,2008-12-19,Penrith,15.8,28.5,0.0,9.0,54.0,9.0,9.0,6.0,20.0,44.0,27.0,23.0,28.0,0.0,0.0,,
19,2008-12-20,Penrith,14.2,24.1,0.0,10.0,39.0,8.0,9.0,19.0,20.0,52.0,55.0,18.3,20.6,0.0,0.0,,
20,2008-12-21,Penrith,10.7,25.8,0.0,1.0,30.0,11.0,0.0,6.0,13.0,66.0,40.0,18.6,24.1,0.0,0.0,,
21,2008-12-22,Penrith,13.3,30.1,0.0,1.0,33.0,3.0,4.0,7.0,17.0,72.0,33.0,19.5,29.0,0.0,0.0,,
22,2008-12-23,Penrith,16.3,29.4,0.0,9.0,35.0,8.0,2.0,17.0,7.0,82.0,47.0,21.2,29.4,0.0,0.0,,
23,2008-12-24,Penrith,18.3,19.9,0.0,8.0,24.0,10.0,15.0,9.0,7.0,86.0,99.0,18.9,19.1,0.0,0.0,,
24,2008-12-25,Penrith,17.6,27.8,0.6,4.0,33.0,5.0,5.0,7.0,15.0,99.0,56.0,19.0,26.4,0.0,0.0,,
25,2008-12-26,Penrith,19.0,34.7,0.0,0.0,37.0,7.0,4.0,6.0,22.0,81.0,35.0,23.0,32.7,0.0,0.0,,
26,2008-12-27,Penrith,18.9,33.0,0.0,13.0,59.0,7.0,5.0,4.0,28.0,93.0,48.0,23.7,30.2,0.0,1.0,,
27,2008-12-28,Penrith,17.2,34.9,1.8,4.0,35.0,0.0,5.0,7.0,13.0,79.0,34.0,23.1,33.2,1.0,0.0,,
28,2008-12-29,Penrith,18.9,29.3,0.0,2.0,35.0,8.0,2.0,7.0,19.0,79.0,68.0,25.0,24.3,0.0,1.0,,
29,2008-12-30,Penrith,17.5,32.9,1.4,14.0,57.0,6.0,13.0,11.0,28.0,99.0,21.0,19.9,31.6,1.0,0.0,,
30,2008-12-31,Penrith,17.8,33.2,0.2,14.0,46.0,13.0,14.0,26.0,24.0,31.0,13.0,25.7,32.6,0.0,0.0,,
31,2009-01-01,Penrith,14.8,35.4,0.0,7.0,59.0,5.0,14.0,9.0,28.0,65.0,17.0,21.9,34.4,0.0,0.0,,
32,2009-01-02,Penrith,16.9,28.5,0.0,9.0,43.0,9.0,9.0,7.0,28.0,65.0,50.0,20.4,23.5,0.0,0.0,,
33,2009-01-03,Penrith,14.1,23.2,0.0,1.0,28.0,11.0,5.0,7.0,11.0,60.0,51.0,18.1,22.6,0.0,0.0,,
34,2009-01-04,Penrith,18.1,31.7,0.0,4.0,39.0,7.0,5.0,11.0,17.0,74.0,43.0,21.2,29.6,0.0,0.0,,
35,2009-01-05,Penrith,17.5,39.3,0.0,7.0,48.0,10.0,13.0,6.0,26.0,71.0,20.0,23.6,39.0,0.0,0.0,,
36,2009-01-06,Penrith,16.5,41.6,0.0,7.0,46.0,6.0,4.0,6.0,11.0,71.0,9.0,24.2,40.0,0.0,0.0,,
37,2009-01-07,Penrith,18.7,40.2,0.0,7.0,31.807330195023535,3.0,14.0,7.0,26.0,76.0,22.0,24.3,39.5,0.0,0.0,,
38,2009-01-08,Penrith,20.4,22.6,0.0,9.0,35.0,8.0,9.0,11.0,24.0,82.0,99.0,21.6,19.3,0.0,1.0,,
39,2009-01-09,Penrith,15.3,21.8,1.4,0.0,30.0,8.0,1.0,19.0,11.0,71.0,45.0,18.1,21.3,1.0,0.0,,
40,2009-01-10,Penrith,14.3,26.8,0.0,4.0,35.0,10.0,0.0,4.0,13.0,58.0,39.0,18.7,25.4,0.0,0.0,,
41,2009-01-11,Penrith,14.3,30.9,0.0,1.0,37.0,4.0,0.0,6.0,13.0,61.0,37.0,21.4,29.8,0.0,1.0,,
42,2009-01-12,Penrith,17.4,29.9,8.4,9.0,37.0,6.0,9.0,6.0,24.0,100.0,55.0,20.2,27.3,1.0,0.0,,
43,2009-01-13,Penrith,19.9,32.9,0.0,6.0,37.0,1.0,4.0,7.0,15.0,89.0,39.0,22.1,31.1,0.0,0.0,,
44,2009-01-14,Penrith,18.1,40.0,0.0,4.0,37.0,9.0,4.0,6.0,13.0,70.0,19.0,24.0,39.6,0.0,0.0,,
45,2009-01-15,Penrith,20.3,43.3,0.0,9.0,54.0,8.0,13.0,6.0,22.0,49.0,17.0,28.4,42.2,0.0,0.0,,
46,2009-01-16,Penrith,17.1,37.2,1.0,10.0,54.0,9.0,5.0,2.0,9.0,55.0,30.0,21.5,32.4,0.0,0.0,,
47,2009-01-17,Penrith,16.6,23.2,0.2,2.0,31.0,8.0,1.0,11.0,13.0,62.0,42.0,17.9,21.7,0.0,0.0,,
48,2009-01-18,Penrith,12.9,29.3,0.0,1.0,35.0,5.0,1.0,4.0,9.0,56.0,30.0,19.5,28.3,0.0,0.0,,
49,2009-01-19,Penrith,13.8,33.6,0.0,1.0,39.0,3.0,4.0,7.0,17.0,65.0,23.0,19.8,32.5,0.0,0.0,,
50,2009-01-20,Penrith,17.1,39.5,0.0,4.0,44.0,10.0,7.0,6.0,17.0,59.0,18.0,23.8,39.2,0.0,0.0,,
51,2009-01-21,Penrith,22.8,39.8,0.0,8.0,57.0,3.0,14.0,9.0,9.0,64.0,25.0,26.0,37.5,0.0,1.0,,
52,2009-01-22,Penrith,21.7,33.5,2.2,3.0,54.0,3.0,3.0,17.0,35.0,67.0,41.0,26.4,32.2,1.0,0.0,,
53,2009-01-23,Penrith,22.2,36.8,0.2,5.0,43.0,9.0,1.0,6.0,20.0,61.0,35.0,28.8,36.6,0.0,0.0,,
54,2009-01-24,Penrith,23.1,42.1,0.0,14.0,67.0,6.0,13.0,2.0,35.0,61.0,14.0,29.1,40.4,0.0,0.0,,
55,2009-01-25,Penrith,19.7,29.4,0.0,10.0,31.0,10.0,9.0,9.0,13.0,59.0,38.0,21.4,28.1,0.0,0.0,,
56,2009-01-26,Penrith,20.7,31.4,0.0,9.0,39.0,8.0,2.0,7.0,17.0,64.0,53.0,23.0,29.6,0.0,1.0,,
57,2009-01-27,Penrith,19.7,29.5,5.6,1.0,35.0,11.0,10.0,13.0,7.0,98.0,66.0,20.4,27.0,1.0,0.0,,
58,2009-01-28,Penrith,18.6,35.8,0.2,1.0,31.0,4.0,4.0,4.0,15.0,94.0,38.0,20.9,33.5,0.0,0.0,,
59,2009-01-29,Penrith,18.6,36.0,0.0,2.0,37.0,14.0,5.0,4.0,15.0,72.0,21.0,24.4,34.6,0.0,0.0,,
60,2009-01-30,Penrith,19.8,35.4,0.0,0.0,33.0,10.0,5.0,9.0,13.0,70.0,29.0,24.0,34.2,0.0,0.0,,
61,2009-01-31,Penrith,18.9,38.6,0.0,1.0,33.0,9.0,9.0,7.0,17.0,68.0,28.0,24.3,37.5,0.0,0.0,,
62,2009-02-01,Penrith,20.5,33.0,0.0,9.0,37.0,10.0,9.0,15.0,22.0,70.0,46.0,25.5,31.2,0.0,0.0,,
63,2009-02-02,Penrith,21.2,35.4,0.0,1.0,39.0,4.0,4.0,4.0,13.0,71.0,36.0,25.4,34.1,0.0,0.0,,
64,2009-02-03,Penrith,21.8,34.8,0.2,9.0,39.0,10.0,2.0,9.0,28.0,68.0,34.0,24.7,32.6,0.0,0.0,,
65,2009-02-04,Penrith,22.3,33.4,0.0,3.0,37.0,0.0,4.0,7.0,9.0,70.0,41.0,25.5,32.3,0.0,0.0,,
66,2009-02-05,Penrith,21.0,39.5,0.0,4.0,31.0,9.0,1.0,7.0,13.0,74.0,27.0,25.3,38.5,0.0,0.0,,
67,2009-02-06,Penrith,22.8,41.4,0.0,4.0,37.0,9.0,1.0,9.0,19.0,68.0,21.0,26.8,40.0,0.0,0.0,,
68,2009-02-07,Penrith,22.3,42.3,0.0,4.0,46.0,9.0,4.0,4.0,28.0,54.0,17.0,27.1,40.7,0.0,0.0,,
69,2009-02-08,Penrith,19.8,42.5,0.0,10.0,41.0,9.0,5.0,7.0,7.0,49.0,19.0,25.6,40.6,0.0,0.0,,
70,2009-02-09,Penrith,22.2,23.6,0.0,8.0,31.0,8.0,2.0,17.0,11.0,80.0,70.0,22.4,23.0,0.0,1.0,,
71,2009-02-10,Penrith,17.4,20.2,3.2,8.0,22.0,8.0,10.0,9.0,7.0,93.0,96.0,18.5,19.3,1.0,1.0,,
72,2009-02-11,Penrith,16.2,22.0,6.6,8.0,33.0,11.0,12.0,15.0,17.0,80.0,68.0,17.4,20.9,1.0,1.0,,
73,2009-02-12,Penrith,15.9,21.3,1.6,2.0,39.0,11.0,10.0,17.0,19.0,76.0,60.0,18.0,20.9,1.0,0.0,,
74,2009-02-13,Penrith,15.6,19.8,0.8,15.0,48.0,11.0,9.0,7.0,26.0,86.0,72.0,16.6,19.1,0.0,1.0,,
75,2009-02-14,Penrith,15.1,18.2,28.0,11.0,30.0,11.0,8.0,19.0,13.0,94.0,97.0,15.8,17.5,1.0,1.0,,
