,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-07-01,Perth,2.7,18.8,0.0,1.0,20.0,16.0,0.0,0.0,7.0,97.0,53.0,1027.6,1024.5,8.5,18.1,0.0,0.0
1,2008-07-02,Perth,6.4,20.7,0.0,4.0,22.0,2.0,1.0,6.0,9.0,80.0,39.0,1024.1,1019.0,11.1,19.7,0.0,0.0
2,2008-07-03,Perth,6.5,19.9,0.4,4.0,31.0,2.0,14.0,0.0,4.0,84.0,71.0,1016.8,1015.6,12.1,17.7,0.0,1.0
3,2008-07-04,Perth,9.5,19.2,1.8,13.0,26.0,5.0,6.0,11.0,6.0,93.0,73.0,1019.3,1018.4,13.2,17.7,1.0,1.0
4,2008-07-05,Perth,9.5,16.4,1.8,15.0,44.0,13.0,12.0,13.0,17.0,69.0,57.0,1020.4,1022.1,15.9,16.0,1.0,1.0
5,2008-07-06,Perth,0.7,15.9,6.8,5.0,24.0,1.0,4.0,4.0,7.0,86.0,41.0,1032.0,1029.6,6.9,15.5,1.0,0.0
6,2008-07-07,Perth,0.7,18.3,0.0,3.0,37.0,4.0,5.0,15.0,13.0,72.0,36.0,1028.9,1024.2,8.7,17.9,0.0,0.0
7,2008-07-08,Perth,3.2,20.4,0.0,6.0,24.0,4.0,3.0,9.0,13.0,58.0,42.0,1023.9,1021.1,10.2,19.3,0.0,1.0
8,2008-07-09,Perth,9.8,19.5,8.0,2.0,31.0,4.0,2.0,0.0,9.0,97.0,64.0,1026.4,1024.9,12.1,18.7,1.0,1.0
9,2008-07-10,Perth,11.2,20.4,4.6,6.0,46.0,4.0,5.0,19.0,11.0,79.0,50.0,1020.2,1014.0,13.4,19.0,1.0,1.0
10,2008-07-11,Perth,13.4,17.1,2.6,12.0,54.0,12.0,12.0,26.0,13.0,63.0,77.0,1014.7,1015.2,15.4,14.8,1.0,1.0
11,2008-07-12,Perth,7.9,17.3,4.4,11.0,19.0,3.0,11.0,7.0,9.0,99.0,59.0,1019.0,1018.7,9.6,16.2,1.0,0.0
12,2008-07-13,Perth,5.3,18.8,0.2,3.0,17.0,4.0,13.0,7.0,7.0,96.0,63.0,1025.1,1024.1,9.5,17.2,0.0,0.0
13,2008-07-14,Perth,7.9,19.7,0.0,4.0,31.0,4.0,3.0,11.0,15.0,86.0,41.0,1026.0,1021.9,11.7,18.7,0.0,0.0
14,2008-07-15,Perth,9.0,17.1,0.0,5.0,43.0,3.0,13.0,22.0,15.0,62.0,90.0,1010.4,1008.1,15.8,14.9,0.0,1.0
15,2008-07-16,Perth,10.2,17.1,24.0,12.0,44.0,12.0,15.0,19.0,13.0,76.0,54.0,1013.8,1014.8,13.2,15.9,1.0,1.0
16,2008-07-17,Perth,6.7,16.9,2.6,15.0,46.0,4.0,6.0,9.0,9.0,87.0,75.0,1015.1,1010.1,10.5,14.4,1.0,1.0
17,2008-07-18,Perth,10.4,17.9,20.6,7.0,76.0,7.0,13.0,22.0,30.0,57.0,50.0,1002.3,1002.2,16.8,13.9,1.0,1.0
18,2008-07-19,Perth,3.3,14.3,15.2,10.0,37.0,7.0,8.0,0.0,17.0,95.0,49.0,1022.9,1023.1,8.0,13.9,1.0,0.0
19,2008-07-20,Perth,1.2,17.0,0.0,4.0,20.0,4.0,10.0,7.0,6.0,97.0,52.0,1030.1,1028.5,7.5,15.6,0.0,0.0
20,2008-07-21,Perth,3.1,17.1,0.0,5.0,28.0,4.0,0.0,2.0,6.0,94.0,49.0,1031.1,1027.4,9.1,16.6,0.0,0.0
21,2008-07-22,Perth,3.3,18.9,0.0,4.0,37.0,4.0,3.0,11.0,15.0,80.0,40.0,1024.8,1020.2,8.9,17.9,0.0,0.0
22,2008-07-23,Perth,8.9,17.4,0.0,3.0,43.0,3.0,6.0,15.0,7.0,68.0,97.0,1013.6,1013.2,14.9,14.9,0.0,1.0
23,2008-07-24,Perth,9.3,18.3,19.2,13.0,33.0,14.0,15.0,7.0,15.0,65.0,57.0,1018.0,1017.6,15.6,17.4,1.0,0.0
24,2008-07-25,Perth,7.4,17.0,0.0,4.0,28.0,0.0,12.0,7.0,19.0,84.0,88.0,1017.7,1014.1,12.1,14.0,0.0,1.0
25,2008-07-26,Perth,7.8,19.3,12.6,9.0,52.0,0.0,3.0,4.0,2.0,99.0,50.0,1017.8,1015.2,9.0,19.2,1.0,1.0
26,2008-07-27,Perth,9.0,20.8,4.0,5.0,39.0,4.0,13.0,11.0,11.0,94.0,87.0,1009.7,1007.9,13.4,18.3,1.0,1.0
27,2008-07-28,Perth,11.8,15.9,5.4,15.0,44.0,3.0,13.0,11.0,15.0,97.0,81.0,1008.2,1007.5,14.6,14.7,1.0,1.0
28,2008-07-29,Perth,9.7,18.0,11.6,14.0,39.0,5.0,14.0,7.0,11.0,93.0,86.0,1012.3,1008.4,12.5,15.3,1.0,1.0
29,2008-07-30,Perth,12.4,16.2,30.6,15.0,54.0,13.0,13.0,19.0,24.0,61.0,45.0,1005.1,1005.5,14.4,15.0,1.0,1.0
30,2008-07-31,Perth,6.7,14.1,3.0,12.0,37.0,5.0,11.0,4.0,9.0,97.0,76.0,1015.2,1017.0,9.1,13.2,1.0,1.0
31,2008-08-01,Perth,7.8,18.1,7.8,3.0,30.0,5.0,3.0,11.0,11.0,82.0,86.0,1021.6,1018.3,11.8,15.0,1.0,1.0
32,2008-08-02,Perth,11.2,17.5,18.2,12.0,46.0,12.0,11.0,22.0,20.0,57.0,51.0,1017.3,1018.0,14.7,15.6,1.0,0.0
33,2008-08-03,Perth,4.7,17.1,0.2,8.0,24.0,5.0,8.0,6.0,15.0,70.0,50.0,1027.5,1026.5,11.2,16.4,0.0,0.0
34,2008-08-04,Perth,2.1,19.4,0.0,4.0,22.0,1.0,4.0,6.0,6.0,78.0,39.0,1033.2,1030.5,9.7,19.2,0.0,0.0
35,2008-08-05,Perth,2.2,20.3,0.0,4.0,20.0,1.0,9.0,7.0,7.0,84.0,40.0,1034.0,1030.5,9.6,18.9,0.0,0.0
