,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,PerthAirport,18.8,37.2,0.0,0.0,56.0,0.0,1.0,30.0,15.0,48.0,22.0,1011.0,1007.9,22.2,35.0,0.0,0.0
1,2009-01-02,PerthAirport,21.9,36.1,0.0,0.0,59.0,4.0,13.0,11.0,20.0,39.0,31.0,1008.7,1007.9,27.5,33.9,0.0,0.0
2,2009-01-03,PerthAirport,20.3,34.4,0.0,11.0,44.0,8.0,13.0,17.0,24.0,57.0,34.0,1012.8,1010.7,23.5,33.0,0.0,0.0
3,2009-01-04,PerthAirport,18.5,36.5,0.0,9.0,39.0,0.0,0.0,11.0,13.0,48.0,20.0,1017.1,1013.1,22.5,34.9,0.0,0.0
4,2009-01-05,PerthAirport,21.8,37.2,0.0,0.0,57.0,0.0,13.0,19.0,22.0,38.0,21.0,1014.7,1010.8,25.3,36.4,0.0,0.0
5,2009-01-06,PerthAirport,19.7,36.4,0.0,15.0,43.0,2.0,13.0,15.0,26.0,54.0,35.0,1014.5,1009.7,24.6,33.9,0.0,0.0
6,2009-01-07,PerthAirport,18.9,36.3,0.0,0.0,52.0,9.0,10.0,15.0,17.0,50.0,23.0,1014.7,1011.1,23.1,34.3,0.0,0.0
7,2009-01-08,PerthAirport,20.3,37.2,0.0,2.0,41.0,2.0,10.0,15.0,13.0,48.0,24.0,1014.7,1011.4,24.2,36.3,0.0,0.0
8,2009-01-09,PerthAirport,19.1,37.1,0.0,12.0,46.0,10.0,13.0,13.0,26.0,50.0,32.0,1015.7,1011.4,24.4,34.6,0.0,0.0
9,2009-01-10,PerthAirport,20.5,35.7,0.0,12.0,48.0,2.0,12.0,13.0,33.0,43.0,26.0,1013.1,1010.5,26.0,33.3,0.0,0.0
10,2009-01-11,PerthAirport,21.2,39.1,0.0,12.0,41.0,1.0,15.0,20.0,20.0,41.0,15.0,1009.6,1005.4,25.6,38.0,0.0,0.0
11,2009-01-12,PerthAirport,13.5,28.4,0.0,12.0,57.0,12.0,15.0,24.0,35.0,54.0,52.0,1007.7,1009.0,23.8,26.6,0.0,0.0
12,2009-01-13,PerthAirport,10.3,26.9,0.0,12.0,48.0,5.0,13.0,2.0,28.0,60.0,37.0,1017.8,1014.9,18.1,25.0,0.0,0.0
13,2009-01-14,PerthAirport,14.6,31.7,0.0,13.0,37.0,2.0,15.0,17.0,22.0,49.0,35.0,1017.5,1014.6,21.4,30.0,0.0,0.0
14,2009-01-15,PerthAirport,19.0,39.8,0.0,0.0,72.0,1.0,2.0,35.0,20.0,45.0,16.0,1016.4,1012.0,22.7,37.2,0.0,0.0
15,2009-01-16,PerthAirport,22.5,43.0,0.0,4.0,50.0,4.0,14.0,31.0,20.0,12.0,18.0,1011.1,1010.1,34.0,37.3,0.0,0.0
16,2009-01-17,PerthAirport,17.9,32.6,0.0,13.0,41.0,12.0,12.0,9.0,17.0,57.0,31.0,1015.5,1013.9,22.1,31.6,0.0,0.0
17,2009-01-18,PerthAirport,21.9,33.5,0.0,10.0,46.0,10.0,10.0,15.0,11.0,47.0,31.0,1015.2,1012.0,23.9,31.0,0.0,1.0
18,2009-01-19,PerthAirport,15.7,30.0,12.6,0.0,72.0,10.0,10.0,17.0,20.0,68.0,39.0,1016.8,1013.9,19.5,28.0,1.0,0.0
19,2009-01-20,PerthAirport,15.5,30.1,0.0,12.0,48.0,0.0,12.0,24.0,28.0,51.0,35.0,1018.6,1015.0,18.7,28.7,0.0,0.0
20,2009-01-21,PerthAirport,15.4,27.3,0.0,11.0,43.0,11.0,12.0,17.0,30.0,63.0,42.0,1016.1,1013.5,20.1,26.6,0.0,0.0
21,2009-01-22,PerthAirport,18.7,28.7,0.0,15.0,43.0,8.0,15.0,15.0,24.0,67.0,48.0,1013.6,1011.6,21.5,28.2,0.0,0.0
22,2009-01-23,PerthAirport,20.0,28.9,0.0,12.0,39.0,8.0,12.0,20.0,24.0,71.0,50.0,1013.9,1011.7,21.8,27.8,0.0,0.0
