,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,Portland,12.5,16.6,0.0,12.0,59.0,12.0,12.0,28.0,28.0,97.0,99.0,1006.7,1010.5,13.7,14.5,0.0,1.0
1,2009-01-02,Portland,8.6,15.2,1.6,11.0,39.0,12.0,8.0,20.0,17.0,60.0,61.0,1020.0,1021.3,11.9,14.0,1.0,0.0
2,2009-01-03,Portland,1.6,18.0,0.2,8.0,30.0,4.0,2.0,9.0,15.0,67.0,52.0,1020.4,1018.3,11.6,17.5,0.0,0.0
3,2009-01-04,Portland,4.8,20.1,0.0,8.0,28.0,0.0,8.0,11.0,17.0,73.0,63.0,1016.4,1015.2,14.7,18.1,0.0,0.0
4,2009-01-05,Portland,4.4,18.8,0.0,13.0,46.0,13.0,13.0,20.0,31.0,72.0,68.0,1014.0,1013.4,14.9,18.0,0.0,0.0
5,2009-01-06,Portland,9.586866666666673,20.0,0.0,13.0,42.05985205110962,14.0,13.0,17.0,26.0,99.0,81.0,1010.9,1010.8,15.4,18.9,0.0,1.0
6,2009-01-07,Portland,12.8,18.6,1.4,15.0,50.0,12.0,13.0,9.0,28.0,88.0,57.0,1011.5,1012.8,14.6,17.9,1.0,0.0
7,2009-01-08,Portland,10.8,16.2,0.0,8.0,39.0,11.0,8.0,20.0,22.0,58.0,50.0,1019.8,1021.5,12.9,15.0,0.0,0.0
8,2009-01-09,Portland,10.9,18.0,0.0,9.0,35.0,9.0,2.0,17.0,19.0,56.0,51.0,1022.2,1019.7,14.1,17.2,0.0,0.0
9,2009-01-10,Portland,11.8,18.5,0.0,2.0,33.0,0.0,10.0,15.0,19.0,71.0,56.0,1014.5,1013.0,15.4,17.7,0.0,0.0
10,2009-01-11,Portland,7.4,18.6,0.0,13.0,35.0,0.0,15.0,0.0,24.0,75.0,51.0,1012.7,1013.1,14.0,17.5,0.0,0.0
11,2009-01-12,Portland,13.4,21.6,0.2,8.0,24.0,14.0,10.0,9.0,13.0,89.0,64.0,1018.3,1017.5,16.2,20.8,0.0,0.0
12,2009-01-13,Portland,11.0,36.8,0.0,7.0,48.0,3.0,13.0,15.0,30.0,51.0,14.0,1010.9,1006.7,21.4,36.3,0.0,0.0
13,2009-01-14,Portland,15.2,18.5,0.0,13.0,43.0,11.0,8.0,17.0,15.0,90.0,71.0,1011.5,1012.7,15.4,17.2,0.0,0.0
14,2009-01-15,Portland,10.5,20.0,0.0,15.0,54.0,13.0,15.0,20.0,30.0,61.0,58.0,1015.8,1017.5,16.7,18.2,0.0,0.0
15,2009-01-16,Portland,13.0,17.6,0.0,15.0,52.0,12.0,12.0,28.0,26.0,51.0,47.0,1020.3,1022.7,14.6,15.7,0.0,0.0
16,2009-01-17,Portland,7.4,18.5,0.0,11.0,41.0,9.0,9.0,9.0,15.0,59.0,52.0,1024.4,1023.9,14.5,17.2,0.0,0.0
17,2009-01-18,Portland,2.7,22.6,0.0,0.0,28.0,1.0,2.0,13.0,19.0,67.0,50.0,1021.8,1019.7,14.1,20.9,0.0,0.0
18,2009-01-19,Portland,8.4,29.4,0.0,15.0,39.0,0.0,11.0,9.0,20.0,72.0,28.0,1012.3,1010.3,16.9,26.0,0.0,0.0
19,2009-01-20,Portland,13.2,27.8,0.0,13.0,56.0,15.0,6.0,9.0,20.0,78.0,27.0,1006.3,1007.6,18.0,24.6,0.0,0.0
20,2009-01-21,Portland,8.4,22.4,0.0,13.0,43.0,7.0,13.0,17.0,35.0,79.0,53.0,1011.3,1008.2,16.3,21.2,0.0,0.0
21,2009-01-22,Portland,13.5,23.2,0.0,14.0,83.0,7.0,13.0,44.0,41.0,46.0,63.0,994.6,998.9,21.7,17.8,0.0,0.0
22,2009-01-23,Portland,8.1,23.3,0.2,14.0,57.0,3.0,13.0,15.0,31.0,75.0,50.0,1006.6,1003.1,12.8,21.4,0.0,1.0
23,2009-01-24,Portland,12.6,18.3,7.4,13.0,57.0,15.0,15.0,28.0,28.0,60.0,48.0,1008.8,1013.6,15.3,17.3,1.0,0.0
24,2009-01-25,Portland,6.5,20.4,0.0,13.0,39.0,3.0,13.0,7.0,24.0,78.0,54.0,1018.5,1018.9,13.8,19.6,0.0,0.0
25,2009-01-26,Portland,6.9,21.5,0.0,9.0,33.0,9.0,2.0,9.0,19.0,86.0,63.0,1022.6,1021.4,16.6,20.4,0.0,0.0
26,2009-01-27,Portland,12.3,33.1,0.0,0.0,28.0,1.0,2.0,15.0,15.0,87.0,35.0,1016.3,1013.3,15.5,32.1,0.0,0.0
27,2009-01-28,Portland,15.1,39.1,0.0,3.0,41.0,3.0,8.0,11.0,15.0,29.0,19.0,1009.0,1008.6,27.5,33.4,0.0,0.0
28,2009-01-29,Portland,18.3,39.3,0.0,13.0,59.0,3.0,13.0,19.0,28.0,33.0,21.0,1006.9,1007.8,31.3,36.5,0.0,0.0
29,2009-01-30,Portland,18.2,30.9,0.0,13.0,42.05985205110962,8.0,8.0,13.0,19.0,64.0,65.0,1011.7,1011.8,23.2,23.7,0.0,0.0
30,2009-01-31,Portland,9.586866666666673,25.2,0.0,9.0,50.0,9.0,2.0,20.0,28.0,77.0,77.0,1015.7,1017.2,21.2,20.8,0.0,0.0
31,2009-02-01,Portland,16.1,26.1,0.0,2.0,41.0,2.0,9.0,20.0,20.0,87.0,64.0,1017.1,1014.7,17.9,25.2,0.0,0.0
32,2009-02-02,Portland,17.6,21.4,0.0,9.0,35.0,8.0,10.0,9.0,19.0,93.0,89.0,1012.6,1013.7,19.3,19.2,0.0,0.0
33,2009-02-03,Portland,15.9,24.0,0.0,0.0,39.0,2.0,2.0,20.0,28.0,83.0,64.0,1014.7,1012.2,17.4,23.1,0.0,0.0
34,2009-02-04,Portland,14.9,26.2,0.0,0.0,31.0,0.0,0.0,19.0,17.0,83.0,57.0,1009.7,1007.5,17.8,25.5,0.0,0.0
35,2009-02-05,Portland,13.4,20.4,0.0,0.0,42.05985205110962,15.0,11.0,17.0,15.0,84.0,68.0,1008.4,1010.6,17.2,20.4,0.0,0.0
36,2009-02-06,Portland,6.1,26.8,0.0,12.0,57.0,1.0,10.0,15.0,17.0,89.0,77.0,1009.5,1008.6,14.3,18.7,0.0,0.0
37,2009-02-07,Portland,14.3,33.8,0.0,15.0,67.0,2.0,12.0,9.0,15.0,82.0,74.0,1000.4,1003.2,20.4,21.5,0.0,0.0
38,2009-02-08,Portland,14.2,20.4,0.0,12.0,46.0,15.0,12.0,22.0,26.0,57.0,58.0,1013.6,1016.1,16.3,18.2,0.0,0.0
39,2009-02-09,Portland,12.1,17.9,0.0,11.0,35.0,8.0,11.0,17.0,22.0,53.0,44.0,1019.9,1019.7,14.0,16.6,0.0,1.0
40,2009-02-10,Portland,9.9,17.2,1.6,8.0,43.0,11.0,8.0,15.0,20.0,67.0,58.0,1020.5,1021.3,13.1,15.5,1.0,0.0
41,2009-02-11,Portland,11.9,16.7,0.0,8.0,39.0,8.0,8.0,19.0,17.0,56.0,62.0,1023.1,1023.3,13.1,14.1,0.0,0.0
42,2009-02-12,Portland,11.5,17.7,0.8,2.0,52.0,9.0,9.0,20.0,28.0,60.0,56.0,1024.5,1024.3,14.4,17.3,0.0,0.0
43,2009-02-13,Portland,13.5,22.9,0.0,0.0,50.0,0.0,2.0,30.0,20.0,54.0,48.0,1026.5,1024.3,16.4,22.1,0.0,0.0
44,2009-02-14,Portland,8.8,21.9,0.0,11.0,35.0,2.0,8.0,9.0,15.0,82.0,61.0,1023.0,1020.8,16.0,20.5,0.0,0.0
45,2009-02-15,Portland,15.3,21.0,0.0,2.0,52.0,2.0,9.0,28.0,31.0,80.0,72.0,1020.7,1020.5,17.4,18.8,0.0,0.0
46,2009-02-16,Portland,15.2,23.7,0.0,9.0,37.0,2.0,9.0,24.0,22.0,87.0,61.0,1019.7,1017.1,17.4,22.1,0.0,0.0
47,2009-02-17,Portland,14.5,25.8,0.0,2.0,31.0,1.0,9.0,19.0,20.0,80.0,52.0,1015.5,1013.6,17.0,24.8,0.0,0.0
