,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,Richmond,12.0,33.1,0.0,13.0,61.0,1.0,13.0,9.0,31.0,99.0,49.0,1005.5,1001.0,20.0,32.1,0.0,0.0
1,2009-01-02,Richmond,15.9,25.8,0.0,9.0,50.0,1.0,9.0,13.0,35.0,99.0,49.0,1012.6,1012.1,20.0,23.7,0.0,0.0
2,2009-01-03,Richmond,13.6,20.8,0.0,0.0,24.0,11.0,5.0,7.0,9.0,99.0,49.0,1021.9,1019.1,16.8,20.0,0.0,0.0
3,2009-01-04,Richmond,16.3,30.1,0.0,4.0,33.0,1.0,4.0,4.0,17.0,99.0,49.0,1018.7,1013.5,19.6,29.3,0.0,0.0
4,2009-01-05,Richmond,14.6,36.5,0.0,13.0,57.0,5.0,15.0,7.0,24.0,99.0,49.0,1013.1,1007.7,21.2,36.1,0.0,0.0
5,2009-01-06,Richmond,14.0,38.2,0.0,6.0,59.0,2.0,4.0,6.0,11.0,99.0,49.0,1011.8,1006.1,22.5,38.0,0.0,0.0
6,2009-01-07,Richmond,15.6,38.2,0.0,13.0,48.0,4.0,7.0,9.0,19.0,99.0,49.0,1010.0,1004.2,22.2,35.8,0.0,0.0
7,2009-01-08,Richmond,19.4,21.4,0.0,9.0,43.0,10.0,9.0,11.0,19.0,99.0,49.0,1012.4,1013.4,20.2,18.3,0.0,1.0
8,2009-01-09,Richmond,14.2,21.2,1.4,0.0,37.0,11.0,0.0,17.0,13.0,99.0,49.0,1020.3,1018.5,16.9,19.9,1.0,0.0
9,2009-01-10,Richmond,11.3,25.1,0.0,4.0,35.0,10.0,0.0,6.0,19.0,99.0,49.0,1017.1,1012.7,17.2,23.3,0.0,0.0
10,2009-01-11,Richmond,11.8,28.5,0.0,2.0,37.0,13.0,4.0,2.0,17.0,99.0,49.0,1014.3,1009.8,19.4,27.8,0.0,1.0
11,2009-01-12,Richmond,15.4,28.3,3.4,1.0,50.0,13.0,2.0,4.0,30.0,99.0,49.0,1015.8,1014.8,17.8,26.4,1.0,0.0
12,2009-01-13,Richmond,17.8,31.1,0.2,4.0,35.0,4.0,4.0,11.0,17.0,99.0,49.0,1019.4,1015.0,22.7,29.3,0.0,0.0
13,2009-01-14,Richmond,15.1,38.4,0.0,1.0,37.0,0.0,1.0,4.0,13.0,99.0,49.0,1014.6,1009.5,22.3,37.0,0.0,0.0
14,2009-01-15,Richmond,17.6,40.7,0.0,9.0,72.0,4.0,7.0,11.0,24.0,99.0,49.0,1008.9,1005.1,29.7,39.9,0.0,0.0
15,2009-01-16,Richmond,15.9,34.9,0.4,9.0,63.0,8.0,5.0,6.0,11.0,99.0,49.0,1012.9,1007.4,19.8,30.7,0.0,0.0
16,2009-01-17,Richmond,14.7,21.4,0.2,10.0,35.0,11.0,9.0,11.0,17.0,99.0,49.0,1020.8,1020.1,15.9,20.0,0.0,0.0
17,2009-01-18,Richmond,10.7,28.0,0.0,4.0,33.0,4.0,1.0,4.0,11.0,99.0,49.0,1022.1,1018.5,18.0,27.1,0.0,0.0
18,2009-01-19,Richmond,11.6,33.5,0.0,2.0,41.0,5.0,4.0,6.0,19.0,99.0,23.0,1019.4,1013.5,18.9,31.9,0.0,0.0
19,2009-01-20,Richmond,15.4,39.0,0.0,6.0,44.0,4.0,7.0,4.0,19.0,60.0,19.0,1013.7,1008.8,22.7,38.5,0.0,0.0
20,2009-01-21,Richmond,21.6,38.9,0.0,11.0,46.0,5.0,7.0,9.0,17.0,61.0,26.0,1011.7,1006.6,26.5,38.1,0.0,1.0
21,2009-01-22,Richmond,21.2,32.6,1.6,7.0,48.0,1.0,6.0,13.0,22.0,65.0,48.0,1008.9,1005.7,26.0,30.9,1.0,0.0
22,2009-01-23,Richmond,23.0,36.4,0.2,2.0,46.0,5.0,1.0,17.0,19.0,53.0,40.0,1008.9,1006.0,29.6,35.0,0.0,0.0
23,2009-01-24,Richmond,23.0,41.0,0.0,9.0,69.0,7.0,14.0,20.0,35.0,51.0,23.0,1004.8,1002.6,32.6,40.5,0.0,0.0
24,2009-01-25,Richmond,19.8,27.6,0.0,0.0,33.0,10.0,1.0,15.0,13.0,57.0,40.0,1019.8,1017.4,21.5,27.2,0.0,0.0
25,2009-01-26,Richmond,21.1,30.7,0.0,2.0,39.0,15.0,9.0,9.0,19.0,64.0,51.0,1019.4,1018.1,22.5,30.1,0.0,1.0
26,2009-01-27,Richmond,19.8,29.2,10.6,8.0,28.0,12.0,9.0,9.0,9.0,99.0,63.0,1021.4,1019.1,20.3,27.3,1.0,0.0
27,2009-01-28,Richmond,18.1,35.1,0.2,1.0,33.0,5.0,4.0,7.0,17.0,99.0,38.0,1018.7,1014.6,19.3,32.9,0.0,0.0
