,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Pressure9am,Pressure3pm
0,2009-01-01,SalmonGums,14.8,31.8,0.4,0.0,46.0,2.0,9.0,28.0,20.0,62.0,28.0,18.2,30.1,0.0,0.0,,
1,2009-01-02,SalmonGums,14.7,37.6,0.0,5.0,43.0,4.0,6.0,24.0,17.0,58.0,22.0,21.2,35.7,0.0,0.0,,
2,2009-01-03,SalmonGums,15.8,32.0,0.0,11.0,54.0,11.0,11.0,15.0,30.0,60.0,37.0,23.5,30.4,0.0,0.0,,
3,2009-01-04,SalmonGums,17.0,30.8,0.0,0.0,50.0,9.0,2.0,24.0,22.0,66.0,29.0,19.0,28.7,0.0,0.0,,
4,2009-01-05,SalmonGums,11.0,35.9,0.0,10.0,41.0,4.0,0.0,15.0,11.0,61.0,21.0,19.7,33.2,0.0,0.0,,
5,2009-01-06,SalmonGums,15.6,31.8,0.0,10.0,44.0,9.0,2.0,19.0,19.0,67.0,32.0,20.3,30.4,0.0,0.0,,
6,2009-01-07,SalmonGums,16.2,30.9,0.0,1.0,46.0,1.0,0.0,28.0,24.0,68.0,33.0,19.2,28.7,0.0,0.0,,
7,2009-01-08,SalmonGums,15.9,34.3,0.0,2.0,44.0,1.0,0.0,24.0,22.0,60.0,30.0,20.7,31.9,0.0,0.0,,
8,2009-01-09,SalmonGums,15.1,34.5,0.0,9.0,46.0,1.0,1.0,22.0,9.0,59.0,25.0,20.7,32.6,0.0,0.0,,
9,2009-01-10,SalmonGums,14.3,35.3,0.0,10.0,50.0,4.0,10.0,15.0,11.0,52.0,23.0,21.1,34.2,0.0,0.0,,
10,2009-01-11,SalmonGums,10.2,38.0,0.0,6.0,39.0,5.0,14.0,19.0,19.0,47.0,19.0,23.1,35.7,0.0,0.0,,
11,2009-01-12,SalmonGums,23.0,42.5,0.0,7.0,76.0,3.0,11.0,35.0,41.0,18.0,34.0,32.0,30.2,0.0,0.0,,
12,2009-01-13,SalmonGums,14.1,26.9,0.8,10.0,39.0,11.0,13.0,17.0,13.0,62.0,31.0,19.4,25.5,0.0,0.0,,
13,2009-01-14,SalmonGums,8.7,28.3,0.0,9.0,41.0,0.0,10.0,9.0,19.0,58.0,32.0,19.6,27.2,0.0,0.0,,
14,2009-01-15,SalmonGums,10.2,31.9,0.0,0.0,39.0,0.0,0.0,26.0,22.0,59.0,22.0,19.4,29.7,0.0,0.0,,
15,2009-01-16,SalmonGums,14.6,37.0,0.0,4.0,39.0,5.0,5.0,26.0,19.0,54.0,13.0,21.2,35.1,0.0,0.0,,
16,2009-01-17,SalmonGums,21.2,39.0,0.0,11.0,54.0,6.0,8.0,24.0,31.0,20.0,28.0,28.9,33.7,0.0,0.0,,
17,2009-01-18,SalmonGums,18.1,25.8,0.0,8.0,46.0,9.0,8.0,19.0,35.0,73.0,55.0,19.9,24.2,0.0,1.0,,
18,2009-01-19,SalmonGums,15.0,18.2,16.8,10.0,41.0,9.0,8.0,24.0,22.0,94.0,94.0,15.4,16.0,1.0,1.0,,
19,2009-01-20,SalmonGums,13.0,26.5,11.2,9.0,31.0,9.0,11.0,11.0,19.0,62.0,44.0,16.1,24.6,1.0,0.0,,
20,2009-01-21,SalmonGums,10.9,33.7,0.0,15.0,48.0,3.0,13.0,4.0,28.0,70.0,23.0,19.2,31.1,0.0,0.0,,
21,2009-01-22,SalmonGums,16.8,29.3,0.0,11.0,39.0,12.0,11.0,19.0,15.0,74.0,34.0,20.5,27.5,0.0,0.0,,
22,2009-01-23,SalmonGums,13.0,30.2,0.0,8.0,44.0,15.0,11.0,22.0,24.0,64.0,37.0,22.4,29.3,0.0,0.0,,
23,2009-01-24,SalmonGums,10.6,33.8,0.0,10.0,44.0,5.0,11.0,15.0,11.0,66.0,24.0,18.6,31.6,0.0,0.0,,
24,2009-01-25,SalmonGums,12.5,37.0,0.0,9.0,50.0,1.0,4.0,15.0,15.0,52.0,19.0,22.6,34.6,0.0,0.0,,
25,2009-01-26,SalmonGums,20.8,43.4,0.0,6.0,57.0,5.0,3.0,30.0,33.0,22.0,14.0,28.9,41.4,0.0,1.0,,
26,2009-01-27,SalmonGums,18.0,21.9,7.4,8.0,33.0,10.0,0.0,19.0,13.0,94.0,92.0,18.2,20.6,1.0,1.0,,
27,2009-01-28,SalmonGums,18.1,20.8,47.8,0.0,26.0,1.0,2.0,11.0,11.0,95.0,94.0,19.4,20.7,1.0,1.0,,
28,2009-01-29,SalmonGums,17.6,24.8,28.8,2.0,39.0,8.0,9.0,13.0,19.0,95.0,72.0,19.5,23.6,1.0,0.0,,
29,2009-01-30,SalmonGums,17.2,25.4,0.0,0.0,39.0,2.0,0.0,19.0,20.0,89.0,66.0,18.0,24.8,0.0,0.0,,
30,2009-01-31,SalmonGums,17.2,24.3,0.0,2.0,33.0,0.0,0.0,20.0,20.0,89.0,74.0,18.6,23.3,0.0,0.0,,
31,2009-02-01,SalmonGums,18.3,32.6,0.0,2.0,31.0,0.0,2.0,15.0,13.0,80.0,50.0,22.5,31.8,0.0,0.0,,
32,2009-02-02,SalmonGums,17.6,34.0,0.0,9.0,35.0,0.0,0.0,20.0,17.0,65.0,41.0,24.3,33.1,0.0,0.0,,
33,2009-02-03,SalmonGums,17.2,38.6,0.0,11.0,44.0,6.0,8.0,13.0,31.0,56.0,46.0,27.5,34.0,0.0,0.0,,
34,2009-02-04,SalmonGums,18.2,25.7,0.0,8.0,46.0,8.0,10.0,17.0,30.0,90.0,55.0,19.2,24.2,0.0,0.0,,
35,2009-02-05,SalmonGums,13.9,24.250827423167877,0.0,8.0,39.74837161467261,0.0,1.0,17.0,13.0,76.0,52.0,18.0,25.6,0.0,0.0,,
36,2009-02-06,SalmonGums,9.313006756756767,22.7,0.0,0.0,33.0,2.0,8.0,11.0,20.0,79.0,83.0,19.3,19.6,0.0,0.0,,
37,2009-02-07,SalmonGums,12.6,22.2,0.0,10.0,44.0,11.0,8.0,20.0,24.0,61.0,58.0,19.1,20.6,0.0,0.0,,
38,2009-02-08,SalmonGums,6.2,25.1,0.0,2.0,43.0,0.0,9.0,15.0,22.0,54.0,38.0,17.9,24.5,0.0,0.0,,
39,2009-02-09,SalmonGums,9.1,25.3,0.0,2.0,46.0,0.0,0.0,24.0,26.0,57.0,41.0,20.0,24.5,0.0,0.0,,
40,2009-02-10,SalmonGums,13.7,27.0,0.0,0.0,48.0,1.0,1.0,26.0,22.0,49.0,31.0,19.5,26.4,0.0,0.0,,
41,2009-02-11,SalmonGums,14.9,28.9,0.0,5.0,46.0,4.0,1.0,30.0,15.0,58.0,31.0,17.7,27.7,0.0,0.0,,
42,2009-02-12,SalmonGums,14.1,33.2,0.0,5.0,48.0,5.0,4.0,24.0,20.0,56.0,22.0,19.4,31.4,0.0,0.0,,
43,2009-02-13,SalmonGums,18.3,28.4,0.0,8.0,39.0,11.0,8.0,6.0,20.0,36.0,52.0,23.1,26.6,0.0,0.0,,
44,2009-02-14,SalmonGums,19.5,35.6,0.0,0.0,57.0,1.0,1.0,28.0,35.0,53.0,14.0,22.6,34.6,0.0,0.0,,
45,2009-02-15,SalmonGums,18.0,33.6,0.0,1.0,54.0,1.0,5.0,30.0,28.0,63.0,24.0,19.6,31.4,0.0,0.0,,
46,2009-02-16,SalmonGums,18.7,35.9,0.0,8.0,48.0,5.0,11.0,13.0,20.0,31.0,36.0,25.6,30.0,0.0,0.0,,
47,2009-02-17,SalmonGums,16.6,26.6,1.0,8.0,43.0,10.0,10.0,22.0,24.0,79.0,47.0,18.7,25.0,0.0,0.0,,
48,2009-02-18,SalmonGums,15.4,22.8,0.0,8.0,37.0,2.0,9.0,20.0,17.0,69.0,52.0,17.4,21.4,0.0,0.0,,
49,2009-02-19,SalmonGums,5.7,27.4,0.0,9.0,44.0,2.0,2.0,19.0,19.0,69.0,34.0,18.3,25.5,0.0,0.0,,
50,2009-02-20,SalmonGums,9.4,28.9,0.0,9.0,39.0,1.0,1.0,19.0,20.0,67.0,26.0,17.6,28.1,0.0,0.0,,
51,2009-02-21,SalmonGums,13.0,32.2,0.0,3.0,37.0,5.0,4.0,26.0,17.0,66.0,26.0,18.8,30.1,0.0,0.0,,
52,2009-02-22,SalmonGums,17.7,27.6,0.0,8.0,48.0,11.0,8.0,17.0,31.0,36.0,50.0,26.3,24.7,0.0,0.0,,
53,2009-02-23,SalmonGums,11.9,30.1,0.0,4.0,41.0,0.0,4.0,26.0,17.0,59.0,34.0,17.1,27.4,0.0,0.0,,
54,2009-02-24,SalmonGums,16.6,29.2,0.0,4.0,50.0,4.0,4.0,30.0,26.0,80.0,52.0,18.3,27.1,0.0,0.0,,
55,2009-02-25,SalmonGums,15.1,25.2,0.6,15.0,46.0,11.0,4.0,15.0,13.0,88.0,63.0,18.5,24.3,0.0,0.0,,
56,2009-02-26,SalmonGums,11.5,25.3,0.2,12.0,48.0,15.0,11.0,19.0,20.0,67.0,25.0,15.5,24.0,0.0,0.0,,
57,2009-02-27,SalmonGums,6.6,26.8,0.0,10.0,37.0,1.0,1.0,13.0,13.0,79.0,33.0,16.9,25.1,0.0,0.0,,
58,2009-02-28,SalmonGums,12.7,29.6,0.0,1.0,46.0,1.0,1.0,19.0,26.0,82.0,33.0,17.0,28.5,0.0,0.0,,
59,2009-03-01,SalmonGums,16.8,26.1,0.0,4.0,43.0,4.0,5.0,19.0,22.0,84.0,61.0,17.8,24.8,0.0,0.0,,
60,2009-03-02,SalmonGums,17.8,22.6,0.0,12.0,63.0,7.0,11.0,19.0,24.0,82.0,77.0,22.4,18.9,0.0,0.0,,
61,2009-03-03,SalmonGums,7.8,20.0,0.0,11.0,41.0,15.0,11.0,17.0,24.0,67.0,39.0,13.2,18.3,0.0,0.0,,
62,2009-03-04,SalmonGums,6.1,24.2,0.0,9.0,39.0,2.0,2.0,15.0,19.0,64.0,37.0,15.8,22.2,0.0,0.0,,
63,2009-03-05,SalmonGums,6.3,26.6,0.0,10.0,30.0,1.0,9.0,19.0,15.0,73.0,35.0,15.5,25.0,0.0,0.0,,
64,2009-03-06,SalmonGums,7.5,27.7,0.0,8.0,46.0,6.0,8.0,13.0,24.0,71.0,39.0,18.6,25.6,0.0,0.0,,
65,2009-03-07,SalmonGums,10.7,23.3,0.0,0.0,37.0,9.0,9.0,17.0,19.0,68.0,43.0,16.3,22.2,0.0,0.0,,
66,2009-03-08,SalmonGums,5.9,26.8,0.0,1.0,41.0,4.0,0.0,15.0,17.0,77.0,35.0,15.6,25.3,0.0,0.0,,
67,2009-03-09,SalmonGums,9.4,29.2,0.0,1.0,35.0,5.0,13.0,17.0,7.0,61.0,27.0,17.5,28.1,0.0,0.0,,
68,2009-03-10,SalmonGums,11.7,31.3,0.0,1.0,37.0,5.0,5.0,17.0,15.0,68.0,21.0,19.1,29.6,0.0,0.0,,
69,2009-03-11,SalmonGums,16.0,35.8,0.0,8.0,52.0,3.0,14.0,20.0,13.0,54.0,17.0,21.3,33.6,0.0,0.0,,
70,2009-03-12,SalmonGums,15.7,23.6,0.0,9.0,31.0,9.0,9.0,13.0,7.0,83.0,53.0,16.8,22.7,0.0,0.0,,
71,2009-03-13,SalmonGums,12.3,24.9,0.0,10.0,54.0,11.0,8.0,24.0,35.0,61.0,58.0,17.7,20.2,0.0,0.0,,
72,2009-03-14,SalmonGums,5.9,26.0,0.0,10.0,33.0,2.0,0.0,17.0,13.0,55.0,28.0,16.1,24.7,0.0,0.0,,
73,2009-03-15,SalmonGums,10.8,26.7,0.0,4.0,37.0,4.0,1.0,24.0,22.0,67.0,30.0,15.4,25.2,0.0,0.0,,
74,2009-03-16,SalmonGums,13.4,35.1,0.0,3.0,44.0,5.0,3.0,24.0,24.0,58.0,21.0,19.5,32.7,0.0,0.0,,
75,2009-03-17,SalmonGums,19.3,37.6,0.0,12.0,56.0,6.0,14.0,19.0,22.0,24.0,14.0,27.2,36.4,0.0,0.0,,
76,2009-03-18,SalmonGums,13.9,25.4,0.0,11.0,43.0,12.0,12.0,22.0,13.0,63.0,36.0,17.6,24.2,0.0,0.0,,
77,2009-03-19,SalmonGums,6.9,28.9,0.0,6.0,35.0,5.0,6.0,13.0,17.0,75.0,28.0,16.1,26.6,0.0,0.0,,
78,2009-03-20,SalmonGums,13.6,28.8,0.0,11.0,50.0,15.0,13.0,20.0,24.0,59.0,25.0,17.2,27.7,0.0,0.0,,
79,2009-03-21,SalmonGums,14.5,24.7,0.0,8.0,33.0,11.0,14.0,13.0,13.0,64.0,35.0,16.3,22.8,0.0,0.0,,
80,2009-03-22,SalmonGums,6.3,31.1,0.0,5.0,39.0,5.0,14.0,20.0,13.0,72.0,27.0,16.8,30.4,0.0,0.0,,
81,2009-03-23,SalmonGums,15.0,27.4,0.0,8.0,50.0,8.0,8.0,20.0,17.0,77.0,33.0,18.6,25.6,0.0,0.0,,
82,2009-03-24,SalmonGums,12.4,25.4,0.0,14.0,30.0,11.0,11.0,13.0,9.0,74.0,45.0,18.0,23.5,0.0,0.0,,
83,2009-03-25,SalmonGums,9.4,28.2,0.0,8.0,44.0,9.0,8.0,6.0,17.0,79.0,33.0,17.1,27.8,0.0,0.0,,
84,2009-03-26,SalmonGums,9.9,30.5,0.0,3.0,37.0,1.0,4.0,19.0,15.0,82.0,35.0,17.1,28.5,0.0,0.0,,
85,2009-03-27,SalmonGums,17.1,34.3,0.0,3.0,39.0,3.0,6.0,20.0,19.0,55.0,21.0,21.9,33.0,0.0,0.0,,
86,2009-03-28,SalmonGums,15.0,26.3,0.0,10.0,46.0,11.0,10.0,17.0,24.0,81.0,51.0,19.4,23.8,0.0,0.0,,
87,2009-03-29,SalmonGums,14.5,17.4,0.4,9.0,44.0,9.0,9.0,28.0,30.0,92.0,87.0,15.4,16.3,0.0,0.0,,
88,2009-03-30,SalmonGums,14.8,22.5,0.0,9.0,50.0,0.0,1.0,26.0,26.0,85.0,90.0,17.3,17.9,0.0,0.0,,
89,2009-03-31,SalmonGums,13.4,21.2,0.0,8.0,33.0,8.0,8.0,13.0,26.0,95.0,85.0,17.7,18.9,0.0,0.0,,
90,2009-04-01,SalmonGums,13.6,18.3,0.0,11.0,43.0,11.0,8.0,20.0,22.0,92.0,66.0,14.1,17.4,0.0,0.0,,
91,2009-04-02,SalmonGums,5.1,21.4,0.0,15.0,33.0,8.0,11.0,9.0,13.0,76.0,41.0,15.0,20.1,0.0,0.0,,
92,2009-04-03,SalmonGums,3.8,21.0,0.0,10.0,33.0,10.0,10.0,19.0,19.0,58.0,43.0,16.1,19.4,0.0,0.0,,
93,2009-04-04,SalmonGums,3.3,22.9,0.0,10.0,37.0,0.0,9.0,13.0,17.0,61.0,38.0,15.6,21.8,0.0,0.0,,
94,2009-04-05,SalmonGums,8.4,22.1,0.0,2.0,50.0,0.0,9.0,17.0,17.0,62.0,40.0,14.9,20.5,0.0,0.0,,
95,2009-04-06,SalmonGums,5.9,23.1,0.0,0.0,41.0,4.0,1.0,22.0,20.0,75.0,49.0,15.9,22.3,0.0,0.0,,
96,2009-04-07,SalmonGums,8.5,24.4,0.0,4.0,41.0,4.0,4.0,30.0,22.0,68.0,32.0,16.5,23.9,0.0,0.0,,
97,2009-04-08,SalmonGums,8.7,27.6,0.0,3.0,35.0,3.0,7.0,24.0,9.0,53.0,20.0,17.8,27.0,0.0,0.0,,
