,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-02-01,Sydney,19.5,22.4,15.6,16.0,41.757588898525576,8.0,11.0,17.0,20.0,92.0,84.0,1017.6,1017.4,20.7,20.9,1.0,1.0
1,2008-02-02,Sydney,19.5,25.6,6.0,16.0,41.757588898525576,13.0,0.0,9.0,13.0,83.0,73.0,1017.9,1016.4,22.4,24.8,1.0,1.0
2,2008-02-03,Sydney,21.6,24.5,6.6,16.0,41.757588898525576,2.0,2.0,17.0,2.0,88.0,86.0,1016.7,1015.6,23.5,23.0,1.0,1.0
3,2008-02-04,Sydney,20.2,22.8,18.8,16.0,41.757588898525576,5.0,0.0,22.0,20.0,83.0,90.0,1014.2,1011.8,21.4,20.9,1.0,1.0
4,2008-02-05,Sydney,19.7,25.7,77.4,16.0,41.757588898525576,5.0,13.0,11.0,6.0,88.0,74.0,1008.3,1004.8,22.5,25.5,1.0,1.0
5,2008-02-06,Sydney,20.2,27.2,1.6,16.0,41.757588898525576,13.0,1.0,9.0,22.0,69.0,62.0,1002.7,998.6,23.8,26.0,1.0,1.0
6,2008-02-07,Sydney,18.6,26.3,6.2,16.0,41.757588898525576,13.0,8.0,15.0,15.0,75.0,80.0,999.0,1000.3,21.7,22.3,1.0,1.0
7,2008-02-08,Sydney,17.2,22.3,27.6,16.0,41.757588898525576,8.0,9.0,7.0,15.0,77.0,61.0,1008.3,1007.4,18.9,21.1,1.0,1.0
8,2008-02-09,Sydney,16.4,20.8,12.6,16.0,41.757588898525576,11.0,13.0,19.0,9.0,92.0,91.0,1006.4,1007.6,17.1,16.5,1.0,1.0
9,2008-02-10,Sydney,14.6,24.2,8.8,16.0,41.757588898525576,13.0,10.0,11.0,20.0,80.0,53.0,1014.0,1013.4,17.2,23.3,1.0,0.0
10,2008-02-11,Sydney,16.4,23.9,0.0,16.0,41.757588898525576,14.0,0.0,9.0,26.0,78.0,53.0,1017.6,1015.3,18.9,23.7,0.0,0.0
11,2008-02-12,Sydney,18.9,27.3,0.0,16.0,41.757588898525576,3.0,4.0,7.0,24.0,68.0,67.0,1010.7,1007.5,22.9,24.7,0.0,1.0
12,2008-02-13,Sydney,18.4,22.8,14.4,16.0,41.757588898525576,8.0,8.0,24.0,30.0,87.0,70.0,1009.2,1011.7,20.9,21.0,1.0,1.0
13,2008-02-14,Sydney,16.9,24.3,3.0,16.0,41.757588898525576,11.0,10.0,15.0,19.0,81.0,51.0,1017.2,1016.5,18.4,23.3,1.0,0.0
14,2008-02-15,Sydney,18.3,24.4,0.0,16.0,41.757588898525576,12.0,10.0,19.0,22.0,80.0,56.0,1020.2,1018.9,19.5,23.8,0.0,0.0
15,2008-02-16,Sydney,16.7,24.1,0.0,16.0,41.757588898525576,14.0,10.0,11.0,26.0,77.0,52.0,1023.0,1022.6,19.8,23.3,0.0,0.0
