,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,SydneyAirport,17.7,35.1,0.0,8.0,72.0,7.0,7.0,15.0,33.0,63.0,13.0,1005.3,1000.2,22.9,34.0,0.0,0.0
1,2009-01-02,SydneyAirport,18.5,23.0,0.0,8.0,63.0,10.0,9.0,15.0,35.0,63.0,58.0,1012.9,1014.1,20.6,20.1,0.0,0.0
2,2009-01-03,SydneyAirport,16.9,23.2,0.0,8.0,47.2342799188641,2.0,1.0,15.0,17.0,52.0,50.0,1021.8,1019.4,18.9,22.0,0.0,0.0
3,2009-01-04,SydneyAirport,18.7,27.1,0.0,4.0,65.0,5.0,4.0,24.0,48.0,60.0,51.0,1018.5,1014.9,22.9,25.9,0.0,0.0
4,2009-01-05,SydneyAirport,20.2,31.6,0.0,5.0,63.0,14.0,4.0,11.0,35.0,58.0,52.0,1013.2,1008.0,24.9,29.0,0.0,0.0
5,2009-01-06,SydneyAirport,19.9,29.7,0.0,4.0,41.0,8.0,0.0,19.0,20.0,82.0,54.0,1011.7,1007.8,22.7,28.7,0.0,0.0
6,2009-01-07,SydneyAirport,20.6,34.9,0.0,8.0,59.0,10.0,4.0,15.0,26.0,79.0,52.0,1010.0,1004.7,22.3,30.3,0.0,0.0
7,2009-01-08,SydneyAirport,20.2,21.7,0.2,11.0,56.0,8.0,8.0,33.0,35.0,85.0,78.0,1012.4,1013.6,20.7,19.7,0.0,0.0
8,2009-01-09,SydneyAirport,17.4,22.9,0.0,10.0,50.0,10.0,9.0,30.0,28.0,54.0,44.0,1020.2,1018.8,19.4,22.3,0.0,0.0
9,2009-01-10,SydneyAirport,16.3,24.0,0.0,1.0,48.0,0.0,4.0,17.0,28.0,49.0,44.0,1017.0,1013.8,20.3,23.2,0.0,0.0
10,2009-01-11,SydneyAirport,18.0,26.6,0.0,4.0,54.0,5.0,4.0,24.0,33.0,57.0,48.0,1013.9,1011.3,23.1,25.7,0.0,0.0
11,2009-01-12,SydneyAirport,18.5,24.0,0.8,8.0,39.0,8.0,8.0,9.0,28.0,81.0,72.0,1015.5,1016.5,21.8,23.7,0.0,0.0
12,2009-01-13,SydneyAirport,19.3,27.9,0.6,5.0,59.0,10.0,4.0,11.0,35.0,84.0,48.0,1019.5,1016.1,21.9,26.7,0.0,0.0
13,2009-01-14,SydneyAirport,20.9,32.0,0.0,4.0,67.0,3.0,4.0,9.0,46.0,57.0,39.0,1014.5,1010.5,26.5,30.9,0.0,0.0
14,2009-01-15,SydneyAirport,22.6,38.8,0.0,8.0,81.0,1.0,5.0,6.0,26.0,42.0,43.0,1009.1,1006.6,29.6,32.0,0.0,1.0
15,2009-01-16,SydneyAirport,18.4,26.3,5.4,10.0,54.0,8.0,0.0,17.0,24.0,73.0,54.0,1013.0,1008.9,20.5,25.5,1.0,0.0
16,2009-01-17,SydneyAirport,17.1,20.7,0.0,8.0,54.0,10.0,8.0,43.0,33.0,58.0,57.0,1020.2,1020.8,18.8,19.8,0.0,0.0
17,2009-01-18,SydneyAirport,14.4,25.0,0.0,1.0,43.0,15.0,1.0,9.0,30.0,65.0,43.0,1022.0,1019.8,19.3,23.5,0.0,0.0
18,2009-01-19,SydneyAirport,17.0,27.3,0.0,5.0,59.0,3.0,4.0,22.0,37.0,53.0,49.0,1019.2,1014.7,22.2,25.6,0.0,0.0
19,2009-01-20,SydneyAirport,19.5,31.7,0.0,4.0,67.0,3.0,4.0,7.0,41.0,51.0,38.0,1013.8,1009.9,25.8,31.1,0.0,1.0
20,2009-01-21,SydneyAirport,20.9,33.7,3.0,11.0,59.0,7.0,4.0,13.0,39.0,57.0,45.0,1011.8,1007.6,27.6,31.2,1.0,0.0
21,2009-01-22,SydneyAirport,22.6,34.6,0.6,3.0,63.0,6.0,3.0,26.0,39.0,42.0,40.0,1008.7,1004.8,29.4,33.0,0.0,0.0
22,2009-01-23,SydneyAirport,24.7,32.1,0.0,4.0,80.0,11.0,2.0,13.0,20.0,80.0,56.0,1009.3,1007.3,25.3,29.8,0.0,0.0
23,2009-01-24,SydneyAirport,24.1,41.8,0.0,8.0,69.0,7.0,9.0,11.0,31.0,52.0,37.0,1004.6,1002.9,31.7,34.4,0.0,0.0
24,2009-01-25,SydneyAirport,19.6,25.0,0.0,10.0,44.0,8.0,9.0,22.0,20.0,69.0,52.0,1019.5,1018.5,20.2,24.0,0.0,0.0
25,2009-01-26,SydneyAirport,20.1,24.9,0.0,8.0,39.0,8.0,8.0,17.0,30.0,81.0,81.0,1019.4,1019.3,21.4,24.1,0.0,1.0
26,2009-01-27,SydneyAirport,19.8,24.6,8.2,4.0,39.0,8.0,8.0,24.0,15.0,98.0,96.0,1021.1,1020.1,20.2,21.5,1.0,0.0
27,2009-01-28,SydneyAirport,19.5,29.4,0.2,4.0,54.0,3.0,4.0,24.0,35.0,73.0,50.0,1018.4,1015.5,24.6,29.2,0.0,0.0
28,2009-01-29,SydneyAirport,20.7,30.0,0.0,4.0,57.0,3.0,4.0,13.0,37.0,70.0,59.0,1018.5,1016.2,25.5,28.7,0.0,0.0
