,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,Townsville,24.4,31.4,23.6,1.0,33.0,4.0,1.0,11.0,26.0,72.0,74.0,1011.9,1008.9,30.1,30.1,1.0,0.0
1,2008-12-02,Townsville,25.9,31.7,0.6,1.0,37.0,0.0,1.0,19.0,28.0,72.0,70.0,1012.4,1008.9,29.7,30.4,0.0,1.0
2,2008-12-03,Townsville,26.1,32.0,2.4,1.0,33.0,1.0,5.0,20.0,9.0,59.0,44.0,1013.5,1010.4,29.4,31.2,1.0,0.0
3,2008-12-04,Townsville,23.9,31.2,0.0,4.0,41.0,1.0,4.0,11.0,26.0,63.0,62.0,1014.2,1011.9,29.0,30.5,0.0,0.0
4,2008-12-05,Townsville,24.2,32.3,0.0,1.0,39.0,2.0,1.0,20.0,26.0,65.0,65.0,1015.1,1012.3,29.8,30.7,0.0,1.0
5,2008-12-06,Townsville,26.2,31.8,1.4,1.0,35.0,4.0,1.0,22.0,28.0,74.0,66.0,1013.2,1009.2,29.9,30.9,1.0,0.0
6,2008-12-07,Townsville,26.7,32.4,0.0,5.0,39.0,3.0,3.0,20.0,24.0,71.0,65.0,1010.6,1006.4,29.3,31.5,0.0,1.0
7,2008-12-08,Townsville,22.5,30.9,76.8,11.0,54.0,4.0,1.0,2.0,13.0,93.0,70.0,1011.0,1006.3,24.4,30.4,1.0,1.0
8,2008-12-09,Townsville,23.8,32.2,3.8,2.0,59.0,0.0,1.0,17.0,28.0,76.0,71.0,1010.3,1006.3,29.2,30.8,1.0,0.0
9,2008-12-10,Townsville,27.5,31.5,0.0,1.0,39.0,1.0,1.0,20.0,28.0,72.0,73.0,1010.4,1007.2,30.2,30.7,0.0,0.0
10,2008-12-11,Townsville,27.3,31.6,0.0,4.0,33.0,1.0,1.0,20.0,26.0,70.0,63.0,1010.8,1007.1,29.9,31.0,0.0,0.0
11,2008-12-12,Townsville,25.2,31.4,0.0,1.0,39.0,4.0,1.0,15.0,22.0,61.0,57.0,1011.0,1008.1,29.8,30.3,0.0,0.0
12,2008-12-13,Townsville,26.2,32.2,0.0,3.0,33.0,3.0,3.0,17.0,20.0,71.0,61.0,1009.7,1005.9,29.5,31.7,0.0,0.0
13,2008-12-14,Townsville,27.5,34.0,0.0,15.0,80.0,6.0,3.0,13.0,15.0,74.0,66.0,1006.7,1002.2,29.9,33.0,0.0,1.0
14,2008-12-15,Townsville,23.4,33.8,21.2,1.0,28.0,12.0,4.0,17.0,17.0,36.0,42.0,1007.8,1004.8,30.7,32.3,1.0,0.0
15,2008-12-16,Townsville,26.1,31.7,0.0,1.0,43.0,2.0,1.0,26.0,31.0,67.0,53.0,1011.0,1008.8,29.9,31.1,0.0,0.0
16,2008-12-17,Townsville,27.2,31.2,0.0,1.0,41.0,1.0,1.0,24.0,30.0,63.0,64.0,1012.1,1009.2,29.8,30.2,0.0,0.0
17,2008-12-18,Townsville,26.1,31.4,0.0,5.0,37.0,1.0,1.0,19.0,20.0,64.0,60.0,1010.8,1007.6,29.8,31.1,0.0,0.0
18,2008-12-19,Townsville,27.3,31.5,0.0,1.0,30.0,7.0,1.0,4.0,22.0,70.0,73.0,1009.3,1007.1,29.4,30.1,0.0,0.0
19,2008-12-20,Townsville,26.6,33.5,0.0,2.0,37.0,5.0,3.0,9.0,20.0,65.0,64.0,1009.2,1005.8,31.4,31.8,0.0,0.0
20,2008-12-21,Townsville,26.3,33.0,0.2,1.0,39.0,7.0,1.0,9.0,22.0,75.0,64.0,1010.2,1008.6,28.7,30.7,0.0,0.0
21,2008-12-22,Townsville,25.6,32.4,0.0,4.0,44.0,9.0,0.0,13.0,30.0,75.0,69.0,1012.2,1010.1,28.8,29.3,0.0,0.0
22,2008-12-23,Townsville,25.4,31.2,0.4,0.0,39.0,0.0,1.0,28.0,30.0,57.0,50.0,1013.0,1009.8,29.4,30.4,0.0,0.0
23,2008-12-24,Townsville,24.1,31.5,0.0,1.0,39.0,0.0,1.0,13.0,30.0,54.0,52.0,1012.2,1009.2,28.8,30.5,0.0,0.0
24,2008-12-25,Townsville,24.1,31.7,0.0,4.0,37.0,4.0,1.0,13.0,24.0,59.0,54.0,1010.4,1008.7,29.4,30.5,0.0,0.0
25,2008-12-26,Townsville,25.1,32.4,0.0,4.0,37.0,2.0,1.0,20.0,30.0,60.0,58.0,1010.3,1008.7,29.8,30.8,0.0,0.0
26,2008-12-27,Townsville,26.5,33.2,0.0,0.0,39.0,0.0,1.0,20.0,26.0,66.0,65.0,1010.0,1006.8,30.6,30.4,0.0,0.0
27,2008-12-28,Townsville,26.7,33.4,0.0,3.0,41.0,14.0,5.0,13.0,28.0,75.0,62.0,1008.1,1003.6,29.6,31.4,0.0,1.0
28,2008-12-29,Townsville,24.9,31.1,14.4,1.0,35.0,4.0,3.0,28.0,9.0,82.0,66.0,1007.6,1003.9,28.1,30.3,1.0,1.0
29,2008-12-30,Townsville,25.1,32.3,2.8,13.0,31.0,7.0,3.0,2.0,13.0,66.0,83.0,1007.0,1004.9,29.1,28.4,1.0,1.0
30,2008-12-31,Townsville,24.1,31.2,31.2,5.0,37.0,3.0,4.0,13.0,13.0,76.0,67.0,1007.4,1003.7,28.7,30.7,1.0,1.0
31,2009-01-01,Townsville,24.8,31.9,1.4,6.0,39.0,6.0,3.0,2.0,19.0,77.0,69.0,1008.0,1005.4,28.8,29.9,1.0,0.0
32,2009-01-02,Townsville,25.1,31.0,0.8,14.0,26.0,6.0,1.0,0.0,13.0,73.0,72.0,1009.1,1006.9,28.2,30.2,0.0,1.0
33,2009-01-03,Townsville,25.3,31.3,1.2,2.0,35.0,3.0,0.0,9.0,11.0,90.0,70.0,1010.1,1007.5,25.7,29.7,1.0,1.0
34,2009-01-04,Townsville,23.8,31.5,17.4,0.0,43.0,2.0,2.0,22.0,28.0,72.0,69.0,1010.2,1006.9,28.2,29.7,1.0,0.0
35,2009-01-05,Townsville,25.0,31.3,0.4,1.0,33.0,9.0,4.0,13.0,26.0,66.0,70.0,1008.8,1005.6,29.2,30.1,0.0,1.0
36,2009-01-06,Townsville,25.2,31.6,1.8,4.0,30.0,12.0,4.0,9.0,22.0,68.0,69.0,1009.3,1005.2,29.1,30.0,1.0,0.0
37,2009-01-07,Townsville,25.3,31.6,0.6,4.0,31.0,12.0,4.0,6.0,24.0,68.0,68.0,1008.1,1004.5,28.9,30.8,0.0,0.0
38,2009-01-08,Townsville,26.3,31.6,0.0,0.0,43.0,10.0,0.0,13.0,24.0,67.0,71.0,1006.0,1003.7,29.6,30.0,0.0,0.0
39,2009-01-09,Townsville,25.5,31.7,1.0,2.0,43.0,9.0,1.0,28.0,28.0,83.0,67.0,1006.0,1003.2,26.7,29.7,0.0,1.0
40,2009-01-10,Townsville,23.2,31.3,4.4,2.0,61.0,9.0,0.0,19.0,35.0,66.0,55.0,1005.6,1003.4,29.3,29.7,1.0,0.0
41,2009-01-11,Townsville,23.7,31.2,1.0,2.0,43.0,9.0,1.0,6.0,24.0,75.0,60.0,1007.2,1005.6,26.3,29.8,0.0,1.0
42,2009-01-12,Townsville,24.1,25.1,2.8,2.0,76.0,2.0,2.0,31.0,37.0,91.0,90.0,1005.6,1004.3,24.6,23.2,1.0,1.0
43,2009-01-13,Townsville,20.2,27.2,177.6,2.0,80.0,2.0,2.0,41.0,35.0,96.0,94.0,1005.3,1003.8,23.2,24.9,1.0,1.0
44,2009-01-14,Townsville,23.1,28.3,44.8,2.0,65.0,0.0,2.0,31.0,15.0,89.0,90.0,1007.8,1007.0,26.9,26.7,1.0,1.0
45,2009-01-15,Townsville,24.1,30.0,86.2,2.0,31.0,9.0,1.0,15.0,24.0,96.0,74.0,1011.4,1009.2,24.9,29.5,1.0,0.0
46,2009-01-16,Townsville,24.8,30.4,0.0,1.0,43.0,2.0,0.0,19.0,20.0,78.0,79.0,1012.6,1010.1,27.9,27.6,0.0,1.0
47,2009-01-17,Townsville,25.3,30.8,3.2,4.0,31.0,2.0,1.0,9.0,20.0,84.0,81.0,1011.6,1009.6,27.6,28.4,1.0,1.0
48,2009-01-18,Townsville,24.3,31.0,4.2,2.0,48.0,9.0,2.0,13.0,19.0,74.0,78.0,1012.5,1010.9,28.6,27.7,1.0,1.0
49,2009-01-19,Townsville,24.1,31.1,1.4,0.0,54.0,9.0,0.0,20.0,28.0,80.0,65.0,1013.2,1010.4,27.0,30.1,1.0,0.0
50,2009-01-20,Townsville,23.7,31.1,0.0,4.0,39.0,9.0,1.0,13.0,28.0,66.0,65.0,1012.6,1010.7,28.1,30.2,0.0,0.0
