,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,Tuggeranong,13.1,24.2,0.0,14.0,61.0,7.0,14.0,22.0,33.0,36.0,34.0,1005.6,1003.6,19.6,23.1,0.0,0.0
1,2008-12-02,Tuggeranong,5.7,24.2,0.0,14.0,48.0,6.0,14.0,17.0,26.0,38.0,25.0,1008.8,1006.3,16.4,22.9,0.0,0.0
2,2008-12-03,Tuggeranong,9.4,25.7,0.0,14.0,50.0,6.0,7.0,11.0,24.0,35.0,26.0,1005.7,1005.9,19.4,24.6,0.0,0.0
3,2008-12-04,Tuggeranong,11.6,24.8,0.0,4.0,43.0,1.0,4.0,17.0,17.0,59.0,32.0,1017.7,1014.0,16.3,23.6,0.0,0.0
4,2008-12-05,Tuggeranong,14.6,29.1,0.4,15.0,35.0,0.0,15.0,6.0,11.0,91.0,47.0,1011.7,1007.7,15.5,25.6,0.0,0.0
5,2008-12-06,Tuggeranong,13.8,28.8,0.0,7.0,46.0,3.0,7.0,11.0,24.0,48.0,21.0,1007.6,1004.8,20.8,27.0,0.0,0.0
6,2008-12-07,Tuggeranong,16.5,26.4,0.0,15.0,56.0,13.0,13.0,15.0,24.0,38.0,12.0,1007.0,1005.2,20.8,26.2,0.0,0.0
7,2008-12-08,Tuggeranong,12.2,26.4,0.0,7.0,39.0,14.0,7.0,11.0,20.0,55.0,16.0,1012.7,1008.1,16.2,25.0,0.0,0.0
8,2008-12-09,Tuggeranong,10.0,28.1,0.0,13.0,41.0,5.0,14.0,6.0,19.0,69.0,14.0,1009.5,1004.6,17.1,26.0,0.0,0.0
9,2008-12-10,Tuggeranong,14.7,22.7,0.4,9.0,39.0,6.0,2.0,6.0,19.0,53.0,48.0,1006.5,1007.0,19.2,22.7,0.0,0.0
10,2008-12-11,Tuggeranong,13.9,23.2,0.0,1.0,41.0,0.0,1.0,9.0,20.0,68.0,49.0,1012.4,1011.0,15.9,21.0,0.0,1.0
11,2008-12-12,Tuggeranong,12.5,20.7,4.8,1.0,46.0,0.0,0.0,6.0,11.0,92.0,90.0,1012.7,1006.7,12.9,14.4,1.0,1.0
12,2008-12-13,Tuggeranong,12.8,22.1,55.6,14.0,67.0,7.0,14.0,33.0,37.0,61.0,65.0,992.8,992.6,20.5,17.9,1.0,0.0
13,2008-12-14,Tuggeranong,12.7,20.0,0.0,15.0,44.0,15.0,13.0,24.0,26.0,52.0,41.0,996.2,996.8,15.4,19.0,0.0,0.0
14,2008-12-15,Tuggeranong,10.7,23.2,0.0,14.0,41.0,10.0,5.0,20.0,13.0,48.0,39.0,1006.5,1005.6,14.9,22.1,0.0,0.0
15,2008-12-16,Tuggeranong,7.5,24.6,0.0,7.0,39.0,7.0,14.0,9.0,19.0,55.0,34.0,1011.2,1008.6,14.9,24.5,0.0,0.0
16,2008-12-17,Tuggeranong,10.2,24.8,0.0,7.0,37.0,7.0,8.0,4.0,11.0,54.0,83.0,1010.5,1008.7,19.1,17.1,0.0,1.0
17,2008-12-18,Tuggeranong,13.0,24.1,8.0,13.0,46.0,14.0,13.0,13.0,26.0,72.0,39.0,1003.8,1000.5,17.5,22.9,1.0,0.0
