,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2013-03-01,Uluru,19.7,30.0,0.8,2.0,48.0,0.0,0.0,30.0,24.0,76.0,54.0,1010.6,1007.5,21.7,28.4,0.0,0.0
1,2013-03-02,Uluru,21.6,33.1,0.0,0.0,33.0,0.0,3.0,22.0,11.0,44.0,33.0,1010.5,1006.5,24.6,31.3,0.0,0.0
2,2013-03-03,Uluru,21.3,36.1,0.0,0.0,33.0,1.0,10.0,24.0,13.0,39.0,27.0,1006.9,1002.7,27.6,34.5,0.0,0.0
3,2013-03-04,Uluru,22.9,37.7,0.0,1.0,39.0,0.0,10.0,28.0,13.0,35.0,22.0,1006.0,1002.1,28.7,35.4,0.0,0.0
4,2013-03-05,Uluru,24.0,39.0,0.0,8.0,39.0,0.0,8.0,20.0,19.0,33.0,21.0,1006.9,1003.5,29.9,37.3,0.0,0.0
5,2013-03-06,Uluru,24.3,39.7,0.0,8.0,46.0,0.0,12.0,22.0,15.0,36.0,17.0,1007.9,1003.9,30.4,38.1,0.0,0.0
6,2013-03-07,Uluru,26.6,38.6,0.0,15.0,33.0,0.0,10.0,24.0,15.0,41.0,21.0,1008.3,1004.5,29.9,37.1,0.0,0.0
7,2013-03-08,Uluru,26.9,39.4,0.0,10.0,54.0,0.0,11.0,13.0,15.0,39.0,24.0,1008.9,1005.1,30.9,36.8,0.0,0.0
8,2013-03-09,Uluru,24.4,40.0,0.0,9.0,54.0,2.0,4.0,22.0,9.0,54.0,24.0,1010.4,1005.9,28.6,37.5,0.0,0.0
9,2013-03-10,Uluru,25.4,39.8,0.0,4.0,37.0,0.0,9.0,24.0,13.0,40.0,20.0,1010.7,1006.8,31.0,37.7,0.0,0.0
10,2013-03-11,Uluru,23.9,39.5,0.0,1.0,41.0,5.0,0.0,17.0,19.0,26.0,13.0,1010.3,1006.0,31.9,37.9,0.0,0.0
11,2013-03-12,Uluru,20.6,40.9,0.0,8.0,57.0,1.0,4.0,15.0,7.0,22.0,13.0,1009.2,1005.3,32.0,39.7,0.0,0.0
12,2013-03-13,Uluru,22.3,37.3,0.0,8.0,52.0,10.0,11.0,28.0,19.0,56.0,24.0,1012.6,1008.5,24.1,34.6,0.0,0.0
13,2013-03-14,Uluru,19.8,33.8,0.0,2.0,39.0,2.0,9.0,26.0,11.0,34.0,24.0,1013.8,1009.4,23.3,32.7,0.0,0.0
14,2013-03-15,Uluru,17.2,35.9,0.0,0.0,35.0,0.0,0.0,24.0,7.0,29.0,13.0,1015.3,1010.7,23.5,34.6,0.0,0.0
15,2013-03-16,Uluru,19.1,37.9,0.0,9.0,43.0,0.0,2.0,22.0,22.0,20.0,10.0,1016.1,1012.7,27.9,36.9,0.0,0.0
16,2013-03-17,Uluru,21.9,35.4,0.0,2.0,46.0,2.0,9.0,33.0,17.0,33.0,20.0,1018.6,1013.7,26.4,34.2,0.0,0.0
17,2013-03-18,Uluru,19.6,34.9,0.0,0.0,35.0,0.0,10.0,26.0,17.0,32.0,20.0,1016.3,1012.0,24.4,33.5,0.0,0.0
18,2013-03-19,Uluru,20.0,36.6,0.0,0.0,30.0,0.0,1.0,22.0,19.0,17.0,15.0,1015.6,1011.5,25.5,34.9,0.0,0.0
19,2013-03-20,Uluru,19.7,39.6,0.0,15.0,30.0,1.0,6.0,9.0,11.0,17.0,13.0,1014.8,1009.3,27.5,37.8,0.0,0.0
20,2013-03-21,Uluru,25.9,39.8,0.0,11.0,39.0,8.0,12.0,22.0,19.0,25.0,17.0,1010.4,1006.7,33.2,38.7,0.0,0.0
21,2013-03-22,Uluru,22.9,37.8,0.0,8.0,35.0,9.0,10.0,20.0,17.0,39.0,17.0,1013.9,1010.2,25.5,36.1,0.0,0.0
22,2013-03-23,Uluru,22.4,34.6,0.4,0.0,46.0,0.0,2.0,28.0,22.0,41.0,25.0,1014.9,1012.2,24.5,32.6,0.0,0.0
23,2013-03-24,Uluru,22.5,37.2,0.0,11.0,61.0,0.0,5.0,26.0,20.0,28.0,21.0,1015.6,1011.1,28.1,35.4,0.0,0.0
24,2013-03-25,Uluru,21.3,32.5,0.0,11.0,48.0,9.0,5.0,9.0,19.0,55.0,54.0,1015.3,1011.1,23.5,26.9,0.0,0.0
25,2013-03-26,Uluru,19.6,38.0,0.0,3.0,46.0,1.0,3.0,26.0,26.0,20.0,22.0,1010.1,1004.5,28.4,36.7,0.0,0.0
26,2013-03-27,Uluru,25.4,34.7,0.0,12.0,50.0,8.0,12.0,15.0,17.0,61.0,39.0,1009.7,1006.6,26.8,32.7,0.0,1.0
27,2013-03-28,Uluru,16.9,20.0,40.2,2.0,46.0,9.0,2.0,22.0,30.0,98.0,71.0,1018.1,1016.6,17.7,19.5,1.0,0.0
28,2013-03-29,Uluru,14.9,26.5,0.4,0.0,50.0,0.0,2.0,31.0,22.0,58.0,49.0,1017.0,1012.9,17.5,24.7,0.0,1.0
29,2013-03-30,Uluru,14.8,16.4,7.2,0.0,41.268372703412076,8.0,10.0,24.0,20.0,98.0,95.0,1015.3,1014.1,14.9,15.2,1.0,1.0
30,2013-03-31,Uluru,14.4,23.4,0.0,2.0,43.0,8.0,2.0,17.616731517509727,24.0,42.6641074856046,56.0,1017.1014030612242,1015.2,21.012348048624425,21.7,1.0,0.0
31,2013-04-01,Uluru,13.6,27.3,0.0,0.0,44.0,2.0,2.0,24.0,26.0,61.0,36.0,1020.1,1016.6,19.3,25.8,0.0,0.0
32,2013-04-02,Uluru,16.0,27.7,0.0,0.0,44.0,0.0,9.0,28.0,20.0,46.0,29.0,1019.9,1016.3,20.9,25.9,0.0,0.0
33,2013-04-03,Uluru,15.0,29.9,0.0,0.0,46.0,2.0,1.0,26.0,22.0,43.0,23.0,1019.1,1014.8,21.5,28.8,0.0,0.0
34,2013-04-04,Uluru,15.4,29.7,0.0,1.0,44.0,0.0,2.0,22.0,13.0,40.0,23.0,1019.6,1015.5,21.9,28.2,0.0,0.0
35,2013-04-05,Uluru,19.3,29.1,0.0,1.0,35.0,0.0,4.0,24.0,6.0,36.0,28.0,1019.4,1015.8,23.0,28.8,0.0,0.0
36,2013-04-06,Uluru,14.5,31.5,0.0,4.0,39.0,9.0,0.0,6.0,24.0,51.0,25.0,1018.7,1014.0,22.4,30.2,0.0,0.0
37,2013-04-07,Uluru,17.4,32.7,0.0,0.0,39.0,2.0,0.0,17.0,15.0,33.0,18.0,1017.9,1014.3,24.4,31.2,0.0,0.0
38,2013-04-08,Uluru,17.2,32.3,0.0,0.0,43.0,0.0,9.0,20.0,24.0,35.0,18.0,1019.7,1015.8,24.3,32.0,0.0,0.0
39,2013-04-09,Uluru,17.1,31.7,0.0,0.0,46.0,0.0,2.0,19.0,26.0,31.0,16.0,1020.7,1016.3,24.2,30.3,0.0,0.0
40,2013-04-10,Uluru,14.9,31.8,0.0,9.0,52.0,2.0,2.0,15.0,22.0,30.0,16.0,1019.8,1015.4,23.2,30.5,0.0,0.0
41,2013-04-11,Uluru,14.8,31.1,0.0,2.0,50.0,2.0,2.0,13.0,24.0,30.0,16.0,1018.5,1014.9,22.5,29.9,0.0,0.0
42,2013-04-12,Uluru,15.1,30.6,0.0,0.0,43.0,0.0,2.0,20.0,19.0,28.0,17.0,1018.4,1014.4,24.0,29.5,0.0,0.0
43,2013-04-13,Uluru,11.8,32.0,0.0,1.0,30.0,0.0,12.0,9.0,9.0,34.0,16.0,1017.2,1013.4,21.3,30.4,0.0,0.0
44,2013-04-14,Uluru,15.0,33.7,0.0,11.0,28.0,0.0,15.0,4.0,7.0,31.0,14.0,1015.2,1010.9,24.2,33.4,0.0,0.0
45,2013-04-15,Uluru,18.5,32.4,0.0,9.0,30.0,9.0,11.0,20.0,17.0,34.0,26.0,1013.1,1009.7,25.5,30.7,0.0,0.0
46,2013-04-16,Uluru,15.5,29.9,0.0,1.0,35.0,0.0,0.0,24.0,4.0,48.0,29.0,1015.9,1011.8,21.7,29.3,0.0,0.0
47,2013-04-17,Uluru,14.9,31.9,0.0,10.0,28.0,2.0,11.0,13.0,7.0,38.0,21.0,1015.2,1011.3,21.8,30.5,0.0,0.0
48,2013-04-18,Uluru,16.0,32.6,0.0,1.0,31.0,0.0,6.0,22.0,7.0,32.0,19.0,1015.6,1012.4,22.7,32.0,0.0,0.0
49,2013-04-19,Uluru,16.1,33.5,0.0,1.0,31.0,2.0,2.0,13.0,9.0,33.0,19.0,1017.6,1013.6,22.7,33.0,0.0,0.0
50,2013-04-20,Uluru,15.9,36.0,0.0,6.0,30.0,2.0,15.0,9.0,15.0,35.0,15.0,1015.0,1010.0,23.0,35.0,0.0,0.0
51,2013-04-21,Uluru,15.4,33.8,0.0,8.0,39.0,11.0,15.0,24.0,15.0,31.0,26.0,1010.5,1008.1,25.2,33.2,0.0,0.0
52,2013-04-22,Uluru,15.7,31.2,0.0,1.0,31.0,0.0,0.0,19.0,11.0,46.0,29.0,1014.1,1010.9,23.2,29.5,0.0,0.0
53,2013-04-23,Uluru,16.3,29.9,0.0,1.0,39.0,0.0,4.0,22.0,15.0,47.0,28.0,1017.4,1014.4,21.7,29.3,0.0,0.0
54,2013-04-24,Uluru,14.6,29.3,0.0,0.0,39.0,2.0,9.0,19.0,19.0,41.0,24.0,1021.2,1016.9,20.5,27.7,0.0,0.0
55,2013-04-25,Uluru,13.8,28.9,0.0,1.0,39.0,2.0,1.0,19.0,20.0,40.0,21.0,1023.0,1019.2,19.2,28.0,0.0,0.0
56,2013-04-26,Uluru,11.0,29.6,0.0,1.0,48.0,1.0,4.0,24.0,19.0,34.0,14.0,1022.7,1018.5,20.7,28.2,0.0,0.0
