,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,WaggaWagga,9.9,28.4,0.0,14.0,59.0,7.0,13.0,7.0,35.0,37.0,24.0,1005.2,1003.5,20.8,27.0,0.0,0.0
1,2009-01-02,WaggaWagga,8.9,25.3,0.0,15.0,48.0,12.0,12.0,22.0,28.0,37.0,10.0,1013.9,1012.9,14.7,23.2,0.0,0.0
2,2009-01-03,WaggaWagga,11.0,30.7,0.0,4.0,39.0,1.0,5.0,26.0,9.0,43.0,18.0,1017.8,1014.3,18.9,28.0,0.0,0.0
3,2009-01-04,WaggaWagga,14.7,35.2,0.0,3.0,39.0,4.0,7.0,17.0,13.0,46.0,19.0,1014.8,1010.6,24.7,33.7,0.0,0.0
4,2009-01-05,WaggaWagga,11.8,36.5,0.0,13.0,43.0,5.0,12.0,7.0,19.0,23.0,5.0,1013.1,1009.8,23.6,34.6,0.0,0.0
5,2009-01-06,WaggaWagga,12.5,39.1,0.0,12.0,72.0,4.0,13.0,6.0,30.0,23.0,3.0,1011.4,1007.4,25.8,37.4,0.0,0.0
6,2009-01-07,WaggaWagga,15.6,41.8,0.0,6.0,59.0,2.0,13.0,13.0,30.0,17.0,5.0,1006.4,1002.5,29.1,39.4,0.0,0.0
7,2009-01-08,WaggaWagga,14.5,30.4,0.0,13.0,54.0,15.0,15.0,19.0,28.0,38.0,8.0,1011.9,1010.9,18.9,28.5,0.0,0.0
8,2009-01-09,WaggaWagga,14.8,28.7,0.0,1.0,78.0,0.0,4.0,30.0,20.0,46.0,18.0,1016.9,1013.5,19.0,27.2,0.0,0.0
9,2009-01-10,WaggaWagga,15.9,29.7,0.0,1.0,61.0,1.0,1.0,26.0,20.0,43.0,31.0,1013.4,1008.8,19.3,27.1,0.0,0.0
10,2009-01-11,WaggaWagga,18.1,31.3,0.0,0.0,33.0,1.0,6.0,20.0,9.0,51.0,38.0,1010.1,1007.3,22.6,29.1,0.0,0.0
11,2009-01-12,WaggaWagga,16.5,35.4,0.0,4.0,39.0,1.0,15.0,9.0,15.0,53.0,17.0,1013.9,1011.8,24.9,33.9,0.0,0.0
12,2009-01-13,WaggaWagga,19.4,38.3,0.0,1.0,41.0,1.0,3.0,15.0,13.0,50.0,16.0,1016.1,1011.2,25.0,36.1,0.0,0.0
13,2009-01-14,WaggaWagga,20.9,42.0,0.0,14.0,50.0,3.0,13.0,13.0,24.0,29.0,10.0,1012.3,1008.1,31.0,41.0,0.0,0.0
14,2009-01-15,WaggaWagga,25.6,36.9,0.0,13.0,48.0,13.0,15.0,26.0,26.0,19.0,7.0,1008.6,1009.0,32.4,35.0,0.0,0.0
15,2009-01-16,WaggaWagga,14.0,28.4,0.0,12.0,61.0,15.0,12.0,24.0,37.0,35.0,15.0,1014.6,1012.3,20.0,26.7,0.0,0.0
16,2009-01-17,WaggaWagga,10.8,29.3,0.0,0.0,35.0,2.0,4.0,15.0,11.0,27.0,14.0,1018.4,1016.6,18.1,26.6,0.0,0.0
17,2009-01-18,WaggaWagga,13.7,31.8,0.0,0.0,30.0,1.0,5.0,17.0,9.0,45.0,14.0,1020.1,1016.7,18.9,29.9,0.0,0.0
18,2009-01-19,WaggaWagga,15.9,36.4,0.0,13.0,46.0,1.0,13.0,13.0,20.0,36.0,10.0,1016.0,1011.0,25.2,35.0,0.0,0.0
19,2009-01-20,WaggaWagga,21.8,40.0,0.0,13.0,115.0,3.0,5.0,17.0,20.0,41.0,19.0,1011.0,1006.0,30.9,37.2,0.0,1.0
20,2009-01-21,WaggaWagga,16.4,37.9,15.8,3.0,65.0,5.0,7.0,17.0,20.0,47.0,13.0,1009.3,1006.7,27.9,36.7,1.0,0.0
21,2009-01-22,WaggaWagga,23.1,35.0,0.2,14.0,94.0,6.0,6.0,26.0,33.0,61.0,39.0,1007.0,1001.5,25.2,32.5,0.0,1.0
22,2009-01-23,WaggaWagga,19.8,35.5,12.8,6.0,46.0,3.0,6.0,4.0,28.0,69.0,42.0,1008.1,1004.6,23.4,33.3,1.0,0.0
