,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,Watsonia,13.9,20.0,0.0,11.0,61.0,13.0,12.0,19.0,31.0,56.0,48.0,1004.8,1006.0,16.9,18.0,0.0,0.0
1,2009-01-02,Watsonia,8.9,18.4,0.8,12.0,52.0,12.0,12.0,13.0,24.0,75.0,41.0,1017.8,1019.0,11.7,17.1,0.0,0.0
2,2009-01-03,Watsonia,5.2,21.4,0.0,11.0,28.0,9.0,12.0,6.0,17.0,59.0,44.0,1020.7,1017.4,12.9,19.9,0.0,0.0
3,2009-01-04,Watsonia,7.7,30.5,0.0,11.0,30.0,5.0,11.0,6.0,13.0,73.0,16.0,1016.4,1012.7,13.7,29.0,0.0,0.0
4,2009-01-05,Watsonia,10.6,29.9,0.0,12.0,33.0,1.0,12.0,4.0,13.0,66.0,27.0,1011.5,1010.1,18.8,28.4,0.0,0.0
5,2009-01-06,Watsonia,12.8,31.7,0.0,11.0,48.0,0.0,11.0,6.0,24.0,53.0,36.0,1010.4,1007.4,20.9,29.7,0.0,0.0
6,2009-01-07,Watsonia,16.5,22.6,0.0,11.0,39.0,10.0,12.0,7.0,24.0,89.0,58.0,1009.7,1009.9,16.9,21.9,0.0,0.0
7,2009-01-08,Watsonia,11.4,19.3,0.0,8.0,52.0,12.0,11.0,19.0,30.0,59.0,42.0,1017.2,1018.6,15.1,17.7,0.0,0.0
8,2009-01-09,Watsonia,9.6,22.4,0.0,12.0,43.0,10.0,10.0,13.0,15.0,52.0,36.0,1021.4,1017.3,15.0,21.4,0.0,0.0
9,2009-01-10,Watsonia,10.8,25.6,0.0,12.0,39.0,7.0,11.0,4.0,22.0,69.0,46.0,1013.6,1009.6,15.2,23.2,0.0,0.0
10,2009-01-11,Watsonia,13.4,25.4,0.0,12.0,41.0,0.0,11.0,6.0,17.0,85.0,51.0,1011.8,1009.4,15.1,23.8,0.0,0.0
11,2009-01-12,Watsonia,10.0,26.0,0.0,8.0,30.0,0.0,8.0,2.0,13.0,75.0,44.0,1018.4,1017.1,14.7,23.9,0.0,0.0
12,2009-01-13,Watsonia,11.4,37.2,0.0,6.0,43.0,4.0,6.0,9.0,17.0,62.0,15.0,1013.9,1009.8,20.5,34.4,0.0,0.0
13,2009-01-14,Watsonia,20.5,34.5,0.0,3.0,46.0,3.0,15.0,28.0,17.0,12.0,44.0,1006.9,1008.5,33.3,27.5,0.0,0.0
