,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,Williamtown,15.2,34.0,0.0,7.0,41.0,14.0,9.0,17.0,20.0,62.0,36.0,1005.2,1001.5,23.7,28.7,0.0,0.0
1,2009-01-02,Williamtown,18.3,24.5,0.0,8.0,54.0,8.0,0.0,13.0,30.0,61.0,57.0,1012.1,1011.7,21.6,23.4,0.0,0.0
2,2009-01-03,Williamtown,16.8,23.5,0.4,4.0,37.0,2.0,1.0,19.0,22.0,60.0,58.0,1020.4,1018.4,20.1,21.7,0.0,0.0
3,2009-01-04,Williamtown,17.5,27.8,0.0,0.0,50.0,4.0,1.0,19.0,35.0,60.0,51.0,1018.4,1014.6,22.7,26.4,0.0,0.0
4,2009-01-05,Williamtown,14.8,36.0,0.0,1.0,37.0,6.0,1.0,15.0,26.0,67.0,39.0,1013.6,1008.7,22.5,33.8,0.0,0.0
5,2009-01-06,Williamtown,18.6,33.7,0.0,1.0,39.0,10.0,2.0,13.0,19.0,68.0,49.0,1011.1,1008.1,26.3,29.2,0.0,0.0
6,2009-01-07,Williamtown,19.7,35.5,0.0,4.0,30.0,8.0,1.0,15.0,19.0,81.0,40.0,1009.9,1005.8,24.1,33.8,0.0,0.0
7,2009-01-08,Williamtown,20.7,23.8,0.0,11.0,48.0,11.0,8.0,35.0,24.0,83.0,79.0,1010.3,1011.9,21.7,21.8,0.0,1.0
8,2009-01-09,Williamtown,17.6,23.0,1.4,8.0,43.0,9.0,10.0,24.0,28.0,61.0,51.0,1018.7,1017.6,19.1,21.9,1.0,0.0
9,2009-01-10,Williamtown,13.3,24.9,0.0,2.0,44.0,4.0,2.0,7.0,30.0,57.0,46.0,1016.2,1012.8,20.6,22.9,0.0,0.0
10,2009-01-11,Williamtown,12.9,27.9,0.0,2.0,41.67780097425192,4.0,1.0,17.0,28.0,56.0,45.0,1013.3,1010.3,22.7,26.6,0.0,0.0
11,2009-01-12,Williamtown,16.1,28.2,0.0,9.0,43.0,1.0,2.0,6.0,31.0,64.0,61.0,1014.4,1014.5,24.0,27.1,0.0,0.0
12,2009-01-13,Williamtown,16.6,28.2,0.0,1.0,46.0,4.0,1.0,17.0,26.0,62.0,50.0,1018.8,1016.1,23.7,27.7,0.0,0.0
13,2009-01-14,Williamtown,16.7,35.2,0.0,1.0,39.0,3.0,1.0,13.0,26.0,67.0,33.0,1015.2,1011.5,24.3,34.5,0.0,0.0
14,2009-01-15,Williamtown,17.1,42.0,0.0,11.0,57.0,3.0,14.0,11.0,22.0,51.0,15.0,1010.4,1006.2,26.8,40.5,0.0,1.0
15,2009-01-16,Williamtown,19.3,26.2,6.0,9.0,46.0,8.0,9.0,17.0,22.0,80.0,64.0,1012.1,1009.1,20.2,25.1,1.0,0.0
16,2009-01-17,Williamtown,18.8,23.2,0.0,10.0,48.0,10.0,10.0,30.0,30.0,57.0,52.0,1019.0,1019.4,19.8,20.9,0.0,0.0
17,2009-01-18,Williamtown,11.5,24.2,0.0,0.0,39.0,13.0,2.0,7.0,28.0,69.0,45.0,1021.5,1019.6,19.7,23.1,0.0,0.0
18,2009-01-19,Williamtown,11.1,30.0,0.0,1.0,35.0,4.0,1.0,13.0,22.0,59.0,46.0,1019.0,1014.8,21.2,26.3,0.0,0.0
19,2009-01-20,Williamtown,14.0,34.9,0.0,4.0,44.0,3.0,4.0,9.0,24.0,59.0,34.0,1014.4,1010.3,24.5,33.3,0.0,0.0
20,2009-01-21,Williamtown,20.5,38.8,0.0,3.0,50.0,7.0,4.0,11.0,19.0,69.0,40.0,1012.6,1008.3,25.4,33.6,0.0,0.0
21,2009-01-22,Williamtown,21.8,28.8,0.0,7.0,41.0,3.0,6.0,11.0,13.0,67.0,84.0,1010.1,1008.0,25.7,24.9,0.0,0.0
22,2009-01-23,Williamtown,20.1,35.7,1.0,4.0,41.0,14.0,0.0,13.0,22.0,62.0,44.0,1010.1,1007.0,27.9,33.3,0.0,0.0
23,2009-01-24,Williamtown,22.8,40.8,0.0,11.0,61.0,6.0,14.0,11.0,24.0,60.0,32.0,1006.0,1003.5,29.6,38.9,0.0,1.0
24,2009-01-25,Williamtown,18.6,23.5,10.4,8.0,57.0,8.0,10.0,22.0,26.0,72.0,68.0,1018.2,1017.6,21.0,22.1,1.0,0.0
25,2009-01-26,Williamtown,19.1,24.5,1.0,8.0,37.0,13.0,8.0,11.0,22.0,99.0,87.0,1018.3,1017.8,20.1,24.0,0.0,0.0
26,2009-01-27,Williamtown,20.0,27.9,0.4,2.0,37.0,1.0,2.0,13.0,24.0,86.0,69.0,1019.9,1018.5,24.1,27.3,0.0,0.0
27,2009-01-28,Williamtown,16.7,30.3,0.0,1.0,39.0,5.0,2.0,15.0,28.0,82.0,52.0,1018.1,1015.3,23.6,29.5,0.0,0.0
28,2009-01-29,Williamtown,17.6,31.7,0.0,1.0,50.0,5.0,1.0,15.0,37.0,74.0,60.0,1017.7,1015.6,25.5,29.0,0.0,0.0
29,2009-01-30,Williamtown,16.7,32.3,0.0,4.0,52.0,5.0,0.0,17.0,33.0,57.0,53.0,1017.9,1014.5,25.0,30.3,0.0,0.0
30,2009-01-31,Williamtown,19.0,33.7,0.0,1.0,54.0,3.0,1.0,13.0,28.0,61.0,44.0,1017.2,1013.6,26.1,32.2,0.0,0.0
