,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,Witchcliffe,11.9,28.3,0.0,10.0,39.0,2.0,10.0,19.0,22.0,66.0,49.0,1015.0,1012.0,17.5,27.7,0.0,0.0
1,2009-01-02,Witchcliffe,15.1,28.8,0.0,10.0,50.0,9.0,10.0,11.0,22.0,65.0,48.0,1012.4,1011.4,21.0,27.9,0.0,0.0
2,2009-01-03,Witchcliffe,16.6,24.7,0.0,9.0,44.0,9.0,8.0,24.0,22.0,66.0,54.0,1016.9,1016.2,20.3,23.7,0.0,0.0
3,2009-01-04,Witchcliffe,13.9,29.9,0.0,10.0,44.0,9.0,10.0,13.0,20.0,62.0,44.0,1020.1,1016.9,19.8,29.1,0.0,0.0
4,2009-01-05,Witchcliffe,15.6,30.1,0.0,10.0,44.0,9.0,10.0,13.0,24.0,71.0,56.0,1017.5,1015.5,20.7,26.5,0.0,0.0
5,2009-01-06,Witchcliffe,17.5,26.1,0.0,10.0,54.0,9.0,10.0,20.0,24.0,66.0,58.0,1018.1,1016.2,19.9,23.8,0.0,0.0
6,2009-01-07,Witchcliffe,13.9,27.2,0.0,10.0,50.0,2.0,10.0,20.0,28.0,63.0,45.0,1019.0,1015.9,18.1,25.2,0.0,0.0
7,2009-01-08,Witchcliffe,13.0,27.3,0.0,10.0,48.0,9.0,9.0,17.0,22.0,69.0,50.0,1018.9,1017.0,17.6,26.2,0.0,0.0
8,2009-01-09,Witchcliffe,14.6,28.7,0.0,8.0,39.0,9.0,8.0,13.0,24.0,74.0,47.0,1019.2,1016.9,18.7,26.9,0.0,0.0
9,2009-01-10,Witchcliffe,15.6,26.7,0.0,8.0,37.0,10.0,9.0,13.0,19.0,99.0,50.0,1016.3,1015.0,17.6,26.0,0.0,0.0
10,2009-01-11,Witchcliffe,12.7,32.6,0.2,14.0,31.0,5.0,14.0,9.0,19.0,68.0,30.0,1011.3,1008.4,21.8,30.5,0.0,0.0
11,2009-01-12,Witchcliffe,14.4,21.8,0.6,15.0,43.0,14.0,12.0,9.0,22.0,93.0,72.0,1007.5,1010.1,20.1,19.8,0.0,1.0
12,2009-01-13,Witchcliffe,9.4,23.3,2.0,12.0,31.0,11.0,12.0,17.0,17.0,51.0,47.0,1017.8,1017.4,18.9,22.3,1.0,0.0
13,2009-01-14,Witchcliffe,10.4,24.6,0.0,10.0,43.0,9.0,9.0,9.0,15.0,64.0,41.0,1020.4,1019.0,18.0,23.4,0.0,0.0
14,2009-01-15,Witchcliffe,12.8,32.2,0.0,10.0,40.085013440860216,0.0,10.0,17.0,19.0,70.0,33.0,1019.5,1015.9,18.6,31.8,0.0,0.0
15,2009-01-16,Witchcliffe,10.77506666666668,37.8,0.0,14.0,39.0,0.0,13.0,7.0,22.0,50.0,27.0,1012.6,1011.5,25.5,32.4,0.0,0.0
16,2009-01-17,Witchcliffe,15.8,26.7,0.0,10.0,50.0,10.0,8.0,28.0,26.0,62.0,53.0,1017.8,1017.7,21.3,25.9,0.0,0.0
17,2009-01-18,Witchcliffe,17.0,23.4,0.0,10.0,57.0,9.0,10.0,17.0,31.0,73.0,55.0,1019.5,1018.3,18.1,21.1,0.0,0.0
18,2009-01-19,Witchcliffe,14.0,22.9,0.0,9.0,48.0,2.0,10.0,13.0,26.0,53.0,42.0,1021.5,1018.9,17.3,21.4,0.0,0.0
19,2009-01-20,Witchcliffe,9.8,24.1,0.0,15.0,37.0,2.0,12.0,0.0,20.0,66.0,53.0,1020.0,1018.8,17.7,23.1,0.0,0.0
20,2009-01-21,Witchcliffe,17.0,23.7,0.0,13.0,41.0,13.0,13.0,15.0,17.0,61.0,57.0,1016.0,1014.3,20.6,23.6,0.0,1.0
21,2009-01-22,Witchcliffe,17.2,24.2,2.6,15.0,31.0,11.0,13.0,11.0,17.0,96.0,64.0,1013.6,1013.4,18.5,22.3,1.0,0.0
22,2009-01-23,Witchcliffe,18.3,24.9,0.2,12.0,31.0,15.0,12.0,15.0,15.0,86.0,52.0,1013.4,1013.4,19.7,23.8,0.0,0.0
23,2009-01-24,Witchcliffe,8.1,26.9,0.0,12.0,28.0,2.0,12.0,6.0,11.0,72.0,40.0,1015.8,1014.4,18.0,26.6,0.0,0.0
24,2009-01-25,Witchcliffe,16.5,28.6,0.0,10.0,39.0,0.0,10.0,17.0,20.0,70.0,49.0,1016.5,1013.3,20.5,27.2,0.0,0.0
25,2009-01-26,Witchcliffe,17.9,25.5,0.0,9.0,35.0,10.0,11.0,19.0,19.0,77.0,55.0,1009.9,1009.7,20.3,24.1,0.0,0.0
26,2009-01-27,Witchcliffe,11.7,25.1,0.2,8.0,50.0,9.0,10.0,13.0,26.0,82.0,50.0,1012.7,1010.1,18.5,23.6,0.0,0.0
27,2009-01-28,Witchcliffe,17.0,20.7,0.0,10.0,46.0,9.0,10.0,19.0,24.0,65.0,62.0,1008.3,1007.4,18.9,19.0,0.0,0.0
28,2009-01-29,Witchcliffe,16.4,24.1,0.0,10.0,39.0,9.0,8.0,13.0,20.0,54.0,41.0,1011.0,1011.1,19.5,22.3,0.0,0.0
29,2009-01-30,Witchcliffe,9.8,24.7,0.0,10.0,50.0,9.0,10.0,13.0,26.0,64.0,60.0,1013.8,1011.7,18.2,21.9,0.0,0.0
30,2009-01-31,Witchcliffe,17.4,32.6,0.0,10.0,33.0,2.0,8.0,13.0,20.0,69.0,47.0,1011.6,1009.1,21.2,31.6,0.0,0.0
31,2009-02-01,Witchcliffe,20.3,31.6,0.0,10.0,39.0,9.0,12.0,9.0,20.0,85.0,58.0,1013.9,1012.2,22.6,29.6,0.0,0.0
32,2009-02-02,Witchcliffe,20.0,31.8,0.0,14.0,30.0,9.0,15.0,7.0,13.0,77.0,59.0,1012.0,1010.7,23.6,28.5,0.0,0.0
33,2009-02-03,Witchcliffe,20.1,27.1,0.0,10.0,41.0,10.0,8.0,15.0,20.0,72.0,54.0,1012.3,1012.0,22.0,25.7,0.0,0.0
34,2009-02-04,Witchcliffe,15.6,23.6,0.6,10.0,40.085013440860216,8.0,10.0,13.0,22.0,83.0,51.0,1016.6,1015.9,17.1,22.0,0.0,0.0
35,2009-02-05,Witchcliffe,10.77506666666668,21.68624708624713,0.0,10.0,40.085013440860216,8.0,10.0,13.966366966366966,20.0,99.0,44.0,1018.3951304347796,1012.1,16.542895174708804,23.6,0.0,0.0
36,2009-02-06,Witchcliffe,10.77506666666668,22.5,0.0,15.0,41.0,8.0,12.0,15.0,19.0,57.0,40.0,1011.2,1009.9,18.0,21.2,0.0,0.0
37,2009-02-07,Witchcliffe,15.0,21.9,0.4,8.0,48.0,8.0,10.0,17.0,28.0,53.0,43.0,1015.8,1016.4,16.9,20.6,0.0,0.0
38,2009-02-08,Witchcliffe,9.8,25.4,0.2,9.0,48.0,0.0,10.0,17.0,26.0,56.0,44.0,1022.4,1019.3,16.2,24.6,0.0,0.0
39,2009-02-09,Witchcliffe,12.0,30.8,0.0,2.0,37.0,2.0,2.0,17.0,17.0,65.0,30.0,1021.4,1018.2,17.4,29.7,0.0,0.0
40,2009-02-10,Witchcliffe,15.6,31.9,0.0,1.0,33.0,1.0,0.0,15.0,7.0,54.0,30.0,1018.9,1016.2,20.1,30.9,0.0,0.0
41,2009-02-11,Witchcliffe,11.9,35.8,0.0,3.0,44.0,1.0,6.0,11.0,20.0,43.0,20.0,1013.4,1010.5,24.4,35.2,0.0,0.0
42,2009-02-12,Witchcliffe,19.1,28.9,0.0,11.0,48.0,1.0,2.0,7.0,9.0,39.0,76.0,1007.8,1010.1,26.5,21.2,0.0,1.0
43,2009-02-13,Witchcliffe,16.0,21.8,1.4,9.0,67.0,9.0,9.0,22.0,31.0,59.0,49.0,1019.1,1018.1,17.8,20.5,1.0,0.0
44,2009-02-14,Witchcliffe,16.4,29.6,0.0,9.0,56.0,9.0,10.0,30.0,26.0,78.0,53.0,1014.4,1009.6,18.8,27.4,0.0,1.0
45,2009-02-15,Witchcliffe,17.2,29.1,3.8,10.0,33.0,9.0,12.0,15.0,17.0,75.0,47.0,1008.6,1008.2,20.6,27.2,1.0,0.0
46,2009-02-16,Witchcliffe,15.1,24.0,0.2,8.0,39.0,12.0,11.0,9.0,22.0,69.0,59.0,1011.8,1012.5,20.7,21.1,0.0,0.0
47,2009-02-17,Witchcliffe,14.4,23.7,0.0,10.0,44.0,8.0,10.0,20.0,24.0,71.0,54.0,1016.1,1015.6,18.5,22.6,0.0,0.0
48,2009-02-18,Witchcliffe,10.5,24.7,0.0,8.0,46.0,2.0,10.0,15.0,26.0,64.0,44.0,1017.6,1014.9,16.4,24.2,0.0,0.0
49,2009-02-19,Witchcliffe,9.7,25.8,0.0,10.0,46.0,2.0,10.0,13.0,24.0,72.0,46.0,1017.7,1016.1,15.0,24.2,0.0,0.0
50,2009-02-20,Witchcliffe,12.3,31.3,0.0,10.0,39.0,9.0,10.0,13.0,22.0,69.0,38.0,1018.9,1016.1,17.0,30.1,0.0,0.0
51,2009-02-21,Witchcliffe,14.5,33.5,0.0,8.0,35.0,2.0,14.0,4.0,13.0,51.0,29.0,1013.0,1010.8,22.7,31.3,0.0,0.0
52,2009-02-22,Witchcliffe,16.2,23.4,0.0,10.0,46.0,8.0,10.0,22.0,28.0,60.0,46.0,1016.1,1015.9,19.4,21.7,0.0,0.0
53,2009-02-23,Witchcliffe,9.6,29.3,0.0,9.0,31.0,9.0,2.0,11.0,9.0,70.0,33.0,1016.4,1011.7,13.4,28.7,0.0,0.0
54,2009-02-24,Witchcliffe,13.3,20.8,0.0,12.0,37.0,12.0,15.0,19.0,19.0,79.0,58.0,1005.7,1006.9,19.6,19.7,0.0,1.0
55,2009-02-25,Witchcliffe,14.9,20.5,3.2,13.0,54.0,7.0,15.0,9.0,24.0,94.0,56.0,1005.2,1005.1,15.8,17.5,1.0,1.0
